accuracy,racers_num,wpm,time,game_num,points
0.96,17,124.75,2021-12-10T20:42:54Z,8306,95.64
0.96,15,119.85,2021-12-10T20:40:15Z,8305,111.86
0.97,14,102.63,2021-12-10T20:39:16Z,8304,83.81
0.98,14,145.13,2021-12-10T20:37:42Z,8303,87.08
0.97,12,115.78,2021-12-10T20:36:50Z,8302,113.85
0.96,14,111.88,2021-12-10T20:35:41Z,8301,91.37
0.94,14,97.69,2021-12-10T20:34:43Z,8300,22.8
0.97,16,134.87,2021-12-10T20:33:29Z,8299,110.14
0.99,15,145.95,2021-12-10T20:32:19Z,8298,75.41
0.97,18,127.63,2021-12-10T20:31:01Z,8297,95.73
0.96,17,115.84,2021-12-10T20:29:50Z,8296,71.44
0.98,18,153.03,2021-12-10T20:28:16Z,8295,175.98
1,17,159.26,2021-12-10T20:26:52Z,8294,111.48
0.99,16,142.16,2021-12-10T20:25:39Z,8293,118.46
0.96,17,114.96,2021-12-10T20:24:25Z,8292,103.47
0.98,20,132.91,2021-12-10T20:23:08Z,8291,97.47
0.98,20,126.42,2021-12-10T20:21:50Z,8290,111.68
0.97,5,123.03,2021-12-10T15:15:45Z,8289,147.64
0.97,5,126.51,2021-12-10T15:14:49Z,8288,88.56
0.98,5,143.29,2021-12-10T15:14:16Z,8287,97.92
0.96,4,107.58,2021-12-10T15:12:42Z,8286,93.24
0.96,5,129.97,2021-12-10T15:12:03Z,8285,69.32
0.98,4,153.56,2021-12-10T15:11:34Z,8284,53.75
0.97,5,117.09,2021-12-10T15:10:09Z,8283,142.46
0.99,5,138.18,2021-12-10T15:09:19Z,8282,154.31
0.99,5,147.96,2021-12-10T15:08:33Z,8281,157.82
0.94,4,108.3,2021-12-10T15:07:51Z,8280,64.98
1,4,171.99,2021-12-10T15:07:17Z,8279,103.2
0.98,5,132.62,2021-12-10T15:06:50Z,8278,88.41
1,5,169.38,2021-12-10T15:06:17Z,8277,112.92
0.98,4,140.06,2021-12-10T15:05:48Z,8276,154.06
0.98,4,128.68,2021-12-10T15:04:11Z,8275,98.66
0.98,4,138.17,2021-12-10T15:02:34Z,8274,142.77
0.98,4,140.32,2021-12-10T15:01:53Z,8273,166.05
0.97,5,124.9,2021-12-10T15:00:10Z,8272,74.94
0.99,5,138.7,2021-12-10T14:59:40Z,8271,115.58
0.98,5,132.45,2021-12-10T14:59:01Z,8270,216.33
0.98,4,129.97,2021-12-10T14:58:07Z,8269,90.98
0.98,5,122.82,2021-12-10T14:57:39Z,8268,92.12
0.99,5,132.86,2021-12-10T14:57:04Z,8267,81.93
0.98,4,144.47,2021-12-10T14:56:37Z,8266,77.05
0.97,5,130.84,2021-12-10T14:56:11Z,8265,87.23
0.98,5,115.46,2021-12-10T14:55:37Z,8264,67.35
0.97,5,130.26,2021-12-10T14:54:59Z,8263,99.87
0.98,5,125.36,2021-12-10T14:54:21Z,8262,123.27
0.98,4,140.01,2021-12-10T14:53:40Z,8261,212.35
0.99,5,141.13,2021-12-10T14:52:46Z,8260,96.44
0.97,3,119.36,2021-12-10T14:52:17Z,8259,141.24
0.98,4,136.42,2021-12-09T18:14:22Z,8258,190.98
0.99,3,132.97,2021-12-09T18:11:51Z,8257,75.35
0.99,5,149.72,2021-12-09T18:10:56Z,8256,172.18
0.98,3,148.97,2021-12-09T18:10:14Z,8255,96.83
0.96,3,123.31,2021-12-09T18:08:40Z,8254,84.26
0.98,5,145.5,2021-12-09T18:07:13Z,8253,164.9
0.98,5,115.85,2021-12-09T18:06:32Z,8252,71.44
0.98,5,142.07,2021-12-09T18:05:56Z,8251,163.38
0.98,2,145.88,2021-12-09T18:05:10Z,8250,109.41
0.98,4,149.2,2021-12-09T18:04:40Z,8249,161.63
0.98,4,147.33,2021-12-09T18:03:17Z,8248,166.98
0.98,5,129.01,2021-12-09T18:02:15Z,8247,113.95
0.96,5,128.59,2021-12-09T18:01:36Z,8246,92.16
0.98,5,149.02,2021-12-09T18:00:56Z,8245,136.6
0.97,4,129.02,2021-12-09T18:00:21Z,8244,103.21
