wpm,accuracy,time,game_num,racers_num,points
134.76,0.98,2021-02-13T20:04:33Z,2952,5,96.57
137.67,0.98,2021-02-13T20:02:07Z,2951,3,112.43
135.14,0.98,2021-02-13T20:01:20Z,2950,5,85.59
137.34,0.99,2021-02-09T22:00:25Z,2949,4,173.97
144.43,0.99,2021-02-09T16:33:12Z,2948,5,86.66
124.32,0.99,2021-02-09T16:32:42Z,2947,5,95.31
142.72,0.98,2021-02-09T16:31:47Z,2946,5,83.26
123.19,0.97,2021-02-09T16:31:24Z,2945,5,199.15
142.71,1,2021-02-09T16:25:31Z,2944,3,104.65
133.9,0.99,2021-02-09T16:24:16Z,2943,5,149.52
139.14,0.98,2021-02-09T16:21:33Z,2942,5,85.8
124.25,0.98,2021-02-09T16:20:56Z,2941,4,124.25
120.34,0.98,2021-02-09T16:19:16Z,2940,5,128.36
125.78,0.98,2021-02-09T16:16:56Z,2939,5,90.14
128.88,0.98,2021-02-09T16:15:55Z,2938,5,109.55
134.49,0.98,2021-02-09T16:15:13Z,2937,4,201.74
124.55,0.98,2021-02-09T16:14:21Z,2936,2,103.79
125.51,0.97,2021-02-09T16:13:10Z,2935,5,87.86
111.74,0.97,2021-02-09T16:11:37Z,2934,5,68.91
130.05,0.98,2021-02-09T16:09:44Z,2933,3,151.72
122.46,0.98,2021-02-09T16:08:42Z,2932,4,275.53
124.29,0.98,2021-02-09T16:07:18Z,2931,5,126.36
135.6,0.98,2021-02-09T16:06:00Z,2930,5,110.74
133.23,0.99,2021-02-09T16:05:20Z,2929,5,133.23
132.06,0.99,2021-02-09T15:59:09Z,2928,3,193.69
118.6,0.98,2021-02-09T15:56:09Z,2927,5,92.91
132.68,0.98,2021-02-09T14:48:42Z,2926,5,126.04
125.49,0.98,2021-02-09T14:46:45Z,2925,5,83.66
126.27,0.98,2021-02-09T14:43:28Z,2924,5,105.23
109.76,0.99,2021-02-09T14:42:06Z,2923,5,56.71
149.68,0.99,2021-02-09T14:40:15Z,2922,5,102.28
128.53,0.98,2021-02-09T14:38:35Z,2921,5,87.83
123.47,0.97,2021-02-09T14:36:56Z,2920,4,185.21
120.95,0.97,2021-02-09T14:35:55Z,2919,5,98.78
133.5,0.98,2021-02-09T14:33:55Z,2918,4,115.7
132.69,0.99,2021-02-09T14:33:07Z,2917,4,112.79
133.82,0.98,2021-02-09T14:31:23Z,2916,5,49.07
126.17,0.98,2021-02-09T14:30:52Z,2915,5,182.94
125.1,0.97,2021-02-09T14:28:51Z,2914,5,95.91
131.41,0.98,2021-02-09T14:28:19Z,2913,5,271.59
127.45,0.98,2021-02-09T14:27:05Z,2912,5,116.83
132.88,0.98,2021-02-09T14:25:13Z,2911,2,146.17
119.66,0.97,2021-02-09T14:23:12Z,2910,4,73.79
135.63,0.98,2021-02-09T14:22:04Z,2909,5,142.41
134.22,0.99,2021-02-09T14:20:10Z,2908,3,96.19
120.64,0.98,2021-02-09T14:19:41Z,2907,5,92.49
133.04,0.98,2021-02-09T14:19:04Z,2906,4,95.35
141.92,0.99,2021-02-08T22:42:23Z,2905,5,120.63
120.38,0.98,2021-02-08T22:40:02Z,2904,5,84.27
137.89,0.99,2021-02-08T22:39:08Z,2903,4,250.5
118.68,0.98,2021-02-08T22:36:46Z,2902,4,296.7
112.76,0.97,2021-02-08T22:35:20Z,2901,5,67.66
139.16,1,2021-02-08T22:34:31Z,2900,5,115.96
134.44,0.99,2021-02-07T22:15:49Z,2899,5,120.99
131.14,0.98,2021-02-07T22:14:03Z,2898,5,69.94
123.98,0.99,2021-02-07T22:13:14Z,2897,5,82.66
125.52,0.97,2021-02-07T22:12:41Z,2896,5,177.83
129.04,0.98,2021-02-07T22:11:16Z,2895,5,107.53
127.63,0.99,2021-02-07T22:10:05Z,2894,5,99.98
127,0.97,2021-02-07T22:09:25Z,2893,5,40.22
120.59,0.98,2021-02-07T22:09:01Z,2892,5,122.6
116.13,0.96,2021-02-07T22:07:37Z,2891,5,71.62
134.43,0.98,2021-02-07T22:06:07Z,2890,5,123.23
122.75,0.98,2021-02-07T22:05:29Z,2889,4,120.71
119.29,0.98,2021-02-07T22:04:31Z,2888,5,81.51
121.28,0.98,2021-02-07T22:03:37Z,2887,4,52.55
136.63,0.99,2021-02-07T22:03:07Z,2886,3,100.2
126.74,0.99,2021-02-07T22:00:53Z,2885,5,88.72
124.85,0.98,2021-02-07T21:59:05Z,2884,4,222.65
127.67,0.98,2021-02-07T21:57:27Z,2883,3,174.48
125.08,0.98,2021-02-07T21:56:27Z,2882,5,97.98
114.29,0.98,2021-02-07T21:55:42Z,2881,5,87.62
150.99,0.99,2021-02-07T16:55:33Z,2880,4,133.37
122.33,0.97,2021-02-07T16:53:33Z,2879,2,95.83
129.46,0.98,2021-02-07T16:52:22Z,2878,4,92.78
131.8,0.98,2021-02-07T16:51:44Z,2877,5,120.82
119.86,0.98,2021-02-07T16:50:34Z,2876,5,145.83
136.1,0.97,2021-02-07T16:49:17Z,2875,3,102.08
131.4,0.98,2021-02-07T16:48:47Z,2874,5,124.83
131.33,0.98,2021-02-07T16:47:31Z,2873,4,159.78
136.81,0.98,2021-02-07T16:44:58Z,2872,5,109.45
128.66,0.98,2021-02-07T16:44:22Z,2871,2,94.35
137.46,0.98,2021-02-07T16:43:40Z,2870,5,89.35
115.04,0.97,2021-02-07T16:42:44Z,2869,5,78.61
130,0.98,2021-02-07T16:40:29Z,2868,4,210.16
120.97,0.97,2021-02-07T16:38:11Z,2867,5,122.99
115.19,0.98,2021-02-07T16:37:24Z,2866,5,59.52
126.24,0.98,2021-02-07T16:36:01Z,2865,4,115.72
134.36,0.98,2021-02-07T16:34:56Z,2864,5,206.02
119.82,0.96,2021-02-07T16:32:36Z,2863,5,89.87
122.97,0.98,2021-02-07T16:31:58Z,2862,5,94.27
113.6,0.97,2021-02-07T16:31:21Z,2861,5,140.11
126.26,0.98,2021-02-07T16:28:14Z,2860,5,140.99
113.59,0.98,2021-02-07T16:27:28Z,2859,5,90.87
113.28,0.98,2021-02-07T16:25:23Z,2858,5,90.63
127.23,0.97,2021-02-07T16:24:20Z,2857,5,93.3
120.63,0.98,2021-02-07T15:53:36Z,2856,5,60.32
127.61,0.97,2021-02-07T15:53:03Z,2855,5,151.01
109.51,0.97,2021-02-07T15:52:11Z,2854,5,82.13
125.34,0.97,2021-02-07T15:51:29Z,2853,3,114.89
140.84,1,2021-02-07T15:50:43Z,2852,4,32.86
115.17,0.97,2021-02-07T15:50:19Z,2851,5,92.14
112.23,0.96,2021-02-07T15:49:38Z,2850,3,132.8
106.74,0.96,2021-02-07T15:48:37Z,2849,5,92.51
130.77,0.98,2021-02-07T12:54:16Z,2848,5,102.43
121.43,0.97,2021-02-07T12:52:33Z,2847,5,101.19
150.77,0.99,2021-02-07T12:51:56Z,2846,5,110.57
151.73,0.99,2021-02-07T12:51:21Z,2845,5,121.39
110.48,0.97,2021-02-07T12:50:48Z,2844,5,112.32
121.33,0.97,2021-02-07T12:49:53Z,2843,5,72.8
128.63,0.98,2021-02-07T12:49:18Z,2842,5,124.34
141.1,0.99,2021-02-07T12:48:36Z,2841,5,84.66
126.93,0.98,2021-02-07T12:48:02Z,2840,5,74.04
131.18,0.98,2021-02-07T12:47:36Z,2839,5,111.51
127.51,0.98,2021-02-07T12:46:47Z,2838,5,99.88
115.14,0.97,2021-02-07T12:46:07Z,2837,4,84.43
111.13,0.96,2021-02-07T12:45:31Z,2836,4,124.1
110.17,0.96,2021-02-07T12:44:46Z,2835,4,108.33
115.6,0.97,2021-02-07T12:43:53Z,2834,5,86.7
124.96,0.99,2021-02-07T12:43:13Z,2833,5,127.04
115.54,0.98,2021-02-07T12:41:13Z,2832,5,142.5
108.99,0.97,2021-02-07T12:39:25Z,2831,4,78.11
111.97,0.96,2021-02-07T12:38:41Z,2830,5,93.31
142.96,0.99,2021-02-07T12:34:53Z,2829,5,142.96
143.99,0.99,2021-02-07T12:34:11Z,2828,4,163.19
136.29,1,2021-02-07T12:32:19Z,2827,5,74.96
133.27,0.98,2021-02-07T12:31:50Z,2826,5,106.62
111.35,0.98,2021-02-07T12:31:15Z,2825,5,87.22
134.91,0.98,2021-02-07T12:29:15Z,2824,5,155.15
140.06,0.99,2021-02-07T12:28:27Z,2823,5,81.7
118.7,0.97,2021-02-07T12:27:15Z,2822,5,65.29
132.36,0.98,2021-02-07T12:26:05Z,2821,5,116.92
125.84,0.98,2021-02-07T12:25:09Z,2820,5,163.59
125.2,0.99,2021-02-07T12:24:20Z,2819,5,87.64
129.12,0.99,2021-02-07T12:23:29Z,2818,2,124.81
97.12,0.95,2021-02-07T12:22:41Z,2817,3,53.42
126.66,0.98,2021-02-07T12:22:08Z,2816,4,113.99
142.92,0.99,2021-02-07T12:21:32Z,2815,4,176.27
110.12,0.97,2021-02-07T12:20:47Z,2814,4,86.26
145.35,0.99,2021-02-07T12:20:02Z,2813,4,164.73
124.63,0.98,2021-02-07T12:19:20Z,2812,5,97.63
107.21,0.96,2021-02-07T12:18:47Z,2811,5,91.13
119.99,0.98,2021-02-07T12:18:03Z,2810,3,227.99
115.04,0.97,2021-02-07T12:16:39Z,2809,4,107.37
114.72,0.97,2021-02-07T12:16:01Z,2808,5,135.75
73.62,0.96,2021-02-07T12:15:03Z,2807,5,46.63
157.15,1,2021-02-07T12:12:53Z,2806,4,107.38
110.82,0.97,2021-02-07T12:10:49Z,2805,5,88.66
125.87,0.98,2021-02-07T12:10:08Z,2804,5,86.01
128.2,0.98,2021-02-04T15:16:23Z,2803,4,160.25
106,0.97,2021-02-04T15:15:30Z,2802,5,75.97
98.11,0.97,2021-02-04T15:14:54Z,2801,4,47.42
121.59,0.99,2021-02-04T15:14:20Z,2800,4,99.3
130.59,0.98,2021-02-04T15:13:42Z,2799,5,134.94
100.26,0.96,2021-02-04T15:12:46Z,2798,4,71.86
117.74,0.98,2021-02-04T15:12:10Z,2797,5,52.98
130.43,0.99,2021-02-04T15:11:41Z,2796,5,93.48
123.21,0.98,2021-02-04T15:11:06Z,2795,5,73.92
143.54,0.99,2021-02-04T15:10:32Z,2794,5,86.12
115.2,0.96,2021-02-04T15:09:54Z,2793,5,67.2
106.22,0.96,2021-02-04T15:09:21Z,2792,4,92.06
122.68,0.97,2021-02-04T15:08:10Z,2791,5,34.76
104.61,0.96,2021-02-03T22:57:39Z,2790,5,81.95
86.81,0.97,2021-02-03T22:54:37Z,2789,3,37.62
103.49,0.98,2021-02-03T22:52:18Z,2788,4,129.37
121.77,0.98,2021-02-02T18:30:11Z,2787,4,125.83
90.3,0.96,2021-02-02T18:29:22Z,2786,5,111.38
114.89,0.98,2021-02-02T18:28:13Z,2785,5,57.44
127.03,1,2021-02-02T18:27:28Z,2784,5,105.86
107.46,0.98,2021-02-02T18:26:48Z,2783,5,91.34
93.33,0.97,2021-02-02T18:26:00Z,2782,5,45.11
97.16,0.95,2021-02-02T18:25:19Z,2781,4,59.91
117.89,0.98,2021-02-02T17:40:18Z,2780,5,131.64
96.6,0.96,2021-02-02T17:39:04Z,2779,4,57.96
113.64,0.97,2021-02-02T15:28:47Z,2778,5,104.17
111.08,0.97,2021-02-02T15:27:18Z,2777,5,118.49
125.41,0.99,2021-02-02T15:22:16Z,2776,5,98.23
91.89,0.96,2021-02-02T15:15:51Z,2775,5,58.2
124.83,0.97,2021-02-02T15:15:04Z,2774,5,210.13
141.23,0.98,2021-02-02T15:13:25Z,2773,5,110.63
116.02,0.98,2021-02-02T15:11:25Z,2772,5,73.48
133.53,0.99,2021-02-02T15:10:47Z,2771,4,166.91
101.25,0.98,2021-02-02T15:09:49Z,2770,5,75.93
99.16,0.97,2021-02-02T15:04:41Z,2769,3,67.76
104.15,0.99,2021-02-02T14:50:57Z,2768,5,62.49
122.71,0.97,2021-02-02T14:50:13Z,2767,4,83.85
124.65,0.98,2021-02-02T14:47:10Z,2766,5,108.03
120.92,0.98,2021-02-02T14:43:13Z,2765,5,48.37
115.29,0.97,2021-02-02T14:42:44Z,2764,4,86.47
118.5,0.99,2021-02-02T14:42:08Z,2763,5,59.25
97.68,0.96,2021-02-02T14:38:14Z,2762,5,45.58
124.09,0.98,2021-02-02T14:35:51Z,2761,5,132.36
118.32,0.97,2021-02-02T14:34:49Z,2760,5,86.77
127.93,0.99,2021-02-02T14:32:18Z,2759,4,81.02
138.2,0.99,2021-02-02T14:31:29Z,2758,5,69.1
135.24,0.99,2021-02-02T14:27:12Z,2757,5,94.67
116.51,0.98,2021-02-02T14:19:42Z,2756,5,108.74
110.07,0.98,2021-02-02T14:19:00Z,2755,4,71.54
109.84,0.97,2021-02-02T14:18:24Z,2754,4,129.97
122.85,0.99,2021-02-02T14:17:15Z,2753,5,100.33
121.94,0.99,2021-02-02T14:16:34Z,2752,5,77.23
111.21,0.97,2021-01-31T21:59:56Z,2751,5,153.84
111.72,0.98,2021-01-31T21:58:51Z,2750,4,63.31
130.34,0.98,2021-01-31T21:58:20Z,2749,5,102.1
103.62,0.97,2021-01-31T21:57:44Z,2748,5,96.71
106.58,0.97,2021-01-31T21:56:52Z,2747,4,92.37
127.18,0.99,2021-01-31T21:56:05Z,2746,4,97.51
98.38,0.96,2021-01-31T21:55:30Z,2745,5,83.62
98.02,0.97,2021-01-31T21:54:48Z,2744,5,49.01
126.08,0.98,2021-01-31T12:36:44Z,2743,3,71.44
107.74,0.98,2021-01-31T12:36:18Z,2742,4,57.46
124.72,0.98,2021-01-31T12:35:44Z,2741,5,89.38
112.72,0.97,2021-01-31T12:35:05Z,2740,5,61.99
