wpm,accuracy,time,game_num,racers_num,points
57.57,0.95,2021-10-09T19:41:34Z,2900,5,31.67
58.8,0.95,2021-10-09T19:40:37Z,2899,5,21.56
63.89,0.96,2021-10-09T19:39:53Z,2898,5,63.89
65.94,0.96,2021-10-09T19:38:41Z,2897,5,36.27
70.97,0.98,2021-10-09T19:37:56Z,2896,5,35.49
70.87,0.97,2021-10-09T19:37:05Z,2895,5,43.71
61.97,0.94,2021-10-09T19:32:31Z,2894,4,49.58
84.64,0.98,2021-10-09T19:28:08Z,2893,4,66.3
62.98,0.96,2021-10-09T19:26:36Z,2892,5,60.88
72.04,0.97,2021-10-09T19:24:40Z,2891,5,58.83
80.04,0.97,2021-10-09T19:23:34Z,2890,4,41.35
67.39,0.97,2021-10-09T19:22:37Z,2889,4,96.59
71.84,0.98,2021-10-09T19:21:01Z,2888,5,65.86
72.08,0.99,2021-10-09T19:19:52Z,2887,5,25.23
66.79,0.97,2021-10-09T19:19:20Z,2886,5,46.76
77.69,0.98,2021-10-08T11:18:50Z,2885,5,56.97
68.32,0.96,2021-10-08T11:17:46Z,2884,5,61.49
69.54,0.99,2021-10-07T21:17:01Z,2883,5,62.59
74.49,0.97,2021-10-07T21:15:57Z,2882,5,42.21
58.48,0.96,2021-10-07T21:15:16Z,2881,4,40.93
63.04,0.97,2021-10-07T21:14:12Z,2880,5,30.47
65.96,0.97,2021-10-07T21:12:56Z,2879,5,56.07
61.52,0.98,2021-10-07T21:11:56Z,2878,5,50.24
68.74,0.98,2021-10-07T21:07:49Z,2877,4,53.85
61.21,0.96,2021-10-07T21:05:10Z,2876,5,85.7
66.93,0.97,2021-10-07T21:03:37Z,2875,5,41.27
67.54,0.96,2021-10-07T21:02:50Z,2874,4,45.03
61.47,0.96,2021-10-07T21:02:01Z,2873,5,40.98
72.35,0.97,2021-10-07T21:00:53Z,2872,5,37.38
67.13,0.96,2021-10-07T21:00:14Z,2871,5,66.01
69.4,0.97,2021-10-06T20:40:56Z,2870,5,40.48
74.16,0.98,2021-10-06T20:36:06Z,2869,5,71.69
75.91,0.98,2021-10-06T20:35:00Z,2868,5,91.1
62.39,0.95,2021-10-06T20:33:45Z,2867,5,49.91
70.52,0.97,2021-10-06T20:32:32Z,2866,5,58.76
67.84,0.99,2021-10-06T20:31:04Z,2865,5,44.1
68.7,0.97,2021-10-06T20:30:07Z,2864,5,58.39
63.41,0.96,2021-10-06T20:29:07Z,2863,5,52.84
74.82,0.98,2021-10-06T20:27:42Z,2862,5,62.35
64.15,0.97,2021-10-06T20:26:51Z,2861,5,50.25
60.05,0.96,2021-10-06T20:24:04Z,2860,5,35.03
73.09,0.97,2021-10-06T20:21:47Z,2859,5,59.69
82.22,0.99,2021-10-06T20:18:31Z,2858,5,43.85
65.48,0.97,2021-10-06T20:17:51Z,2857,5,56.75
47.56,0.95,2021-10-06T20:16:46Z,2856,5,16.65
67.43,0.97,2021-10-05T09:25:36Z,2855,4,59.56
70.49,0.96,2021-10-05T09:22:29Z,2854,5,51.7
66.51,0.96,2021-10-05T09:21:31Z,2853,5,35.47
68.19,0.97,2021-10-05T09:20:42Z,2852,5,45.46
71,0.97,2021-10-05T09:19:01Z,2851,5,43.79
70.67,0.97,2021-10-05T09:18:13Z,2850,5,41.22
67.39,0.97,2021-10-05T09:17:28Z,2849,5,65.15
60.17,0.95,2021-10-05T09:16:16Z,2848,5,35.1
67.96,0.96,2021-10-05T09:15:28Z,2847,4,54.37
75.6,0.98,2021-10-05T09:14:15Z,2846,5,41.58
68.95,0.98,2021-10-05T09:13:33Z,2845,4,58.61
73.22,0.97,2021-10-05T09:11:41Z,2844,5,58.57
58.31,0.96,2021-10-05T09:10:50Z,2843,5,40.82
66.91,0.97,2021-10-05T09:09:02Z,2842,5,65.8
67.02,0.98,2021-10-05T09:07:58Z,2841,5,39.09
60.16,0.96,2021-10-04T15:57:05Z,2840,5,44.12
63.92,0.96,2021-10-04T15:55:51Z,2839,5,66.05
65.69,0.97,2021-10-04T15:54:36Z,2838,5,48.17
66.55,0.96,2021-10-04T15:53:42Z,2837,5,46.59
67.35,0.98,2021-10-04T15:51:19Z,2836,5,34.8
67.47,0.97,2021-10-04T15:49:26Z,2835,5,59.6
77.44,0.98,2021-10-04T15:47:06Z,2834,4,40.01
65.83,0.97,2021-10-04T15:46:28Z,2833,5,43.89
60.01,0.95,2021-10-04T15:45:35Z,2832,5,49.01
65.41,0.97,2021-10-04T15:44:25Z,2831,5,68.68
64.46,0.96,2021-10-04T15:43:09Z,2830,4,37.6
61.67,0.97,2021-10-04T15:42:16Z,2829,5,55.5
75.54,1,2021-10-04T15:39:52Z,2828,5,51.62
66.15,0.97,2021-10-04T15:38:46Z,2827,5,41.89
72.6,0.98,2021-10-04T15:37:37Z,2826,5,55.66
64.24,0.97,2021-10-04T15:36:43Z,2825,4,58.89
69.77,0.99,2021-10-04T15:34:54Z,2824,5,41.86
61.05,0.95,2021-10-04T15:33:32Z,2823,5,40.7
62.8,0.95,2021-10-04T15:32:05Z,2822,5,55.47
52.76,0.97,2021-10-04T09:12:38Z,2821,5,31.65
63.88,0.97,2021-10-03T10:56:15Z,2820,5,36.2
55.3,0.96,2021-10-03T10:55:22Z,2819,5,30.42
62.61,0.97,2021-10-03T10:54:33Z,2818,5,80.35
66.56,0.98,2021-10-03T10:53:05Z,2817,5,32.17
55.25,0.95,2021-10-03T10:52:21Z,2816,5,35.91
63.64,0.96,2021-10-03T10:51:31Z,2815,5,32.88
58.39,0.96,2021-10-03T10:50:48Z,2814,4,55.47
53.2,0.94,2021-10-03T10:49:33Z,2813,5,48.77
61.62,0.96,2021-10-03T10:48:14Z,2812,5,65.73
62.95,0.98,2021-10-03T09:59:22Z,2811,5,77.64
59.12,0.97,2021-10-03T06:51:22Z,2810,5,46.31
54.47,0.95,2021-10-03T06:47:40Z,2809,5,37.22
59.18,0.95,2021-10-03T06:43:54Z,2808,5,37.48
72.08,0.97,2021-10-03T06:43:06Z,2807,4,32.43
58.05,0.96,2021-10-03T06:42:07Z,2806,5,61.92
64.97,0.97,2021-10-02T16:03:26Z,2805,5,116.94
54.76,0.94,2021-10-02T16:01:18Z,2804,5,48.37
61.19,0.97,2021-10-02T15:59:47Z,2803,5,30.59
59.06,0.96,2021-10-02T15:59:04Z,2802,4,34.45
63.2,0.97,2021-10-02T15:58:10Z,2801,4,37.92
68.14,0.96,2021-10-02T15:36:57Z,2800,5,31.8
54.83,0.95,2021-10-02T15:36:15Z,2799,5,23.76
63.57,0.98,2021-10-02T15:35:32Z,2798,5,56.16
63.49,0.95,2021-10-02T15:34:26Z,2797,5,39.15
61.73,0.96,2021-10-02T15:33:37Z,2796,5,80.25
62.35,0.97,2021-10-02T11:11:51Z,2795,5,50.92
69.8,0.97,2021-10-02T11:09:21Z,2794,5,40.72
63.46,0.96,2021-10-02T11:08:26Z,2793,5,48.65
66.92,0.96,2021-10-02T11:07:25Z,2792,5,39.04
59.71,0.95,2021-10-02T11:06:37Z,2791,5,44.78
74.5,0.98,2021-10-02T11:05:21Z,2790,5,68.29
59.05,0.96,2021-10-02T11:04:27Z,2789,5,40.35
66.19,0.96,2021-10-02T11:03:29Z,2788,5,40.82
64.96,0.96,2021-10-02T11:02:17Z,2787,5,42.22
71.48,0.98,2021-10-02T11:01:21Z,2786,5,51.23
57.55,0.95,2021-10-02T05:05:15Z,2785,5,74.82
60.18,0.96,2021-10-02T05:03:10Z,2784,5,46.14
57.8,0.96,2021-10-02T05:00:42Z,2783,3,82.85
69.89,0.98,2021-10-02T04:58:41Z,2782,5,38.44
69.32,0.97,2021-10-02T04:57:55Z,2781,5,47.37
61.17,0.97,2021-10-02T04:57:09Z,2780,5,44.86
56.27,0.96,2021-10-02T04:56:06Z,2779,5,28.13
53.81,0.96,2021-10-02T04:55:18Z,2778,5,33.18
52.56,0.95,2021-10-02T04:54:21Z,2777,5,49.06
68.91,0.99,2021-10-02T04:52:53Z,2776,5,53.98
61.17,0.95,2021-10-02T04:51:56Z,2775,5,44.86
64.47,0.99,2021-10-02T04:50:53Z,2774,5,35.46
54.46,0.96,2021-10-02T04:50:08Z,2773,5,49.01
65.61,0.98,2021-10-02T04:48:51Z,2772,5,38.28
63.39,0.96,2021-10-01T16:45:49Z,2771,5,51.77
68.94,0.98,2021-10-01T16:44:12Z,2770,4,75.84
63.17,0.96,2021-10-01T16:41:47Z,2769,4,67.38
66.17,0.96,2021-10-01T16:39:54Z,2768,4,33.09
68.55,0.98,2021-10-01T16:38:49Z,2767,5,119.96
64.85,0.98,2021-10-01T16:36:59Z,2766,5,48.64
70.4,0.98,2021-10-01T16:34:54Z,2765,5,55.15
65.48,0.95,2021-10-01T16:33:58Z,2764,4,45.83
70.91,0.98,2021-10-01T16:32:58Z,2763,5,36.64
66.76,0.98,2021-09-30T07:44:37Z,2762,5,46.73
70.87,0.96,2021-09-30T07:43:29Z,2761,5,49.61
67.57,0.98,2021-09-30T07:42:12Z,2760,5,68.69
68.2,0.97,2021-09-30T07:40:57Z,2759,5,36.37
57.94,0.96,2021-09-30T07:39:17Z,2758,4,55.04
67.66,0.96,2021-09-30T07:37:52Z,2757,5,38.34
76.55,0.98,2021-09-30T07:36:59Z,2756,5,35.72
70.77,0.99,2021-09-30T07:29:00Z,2755,5,35.38
51.98,0.94,2021-09-30T07:09:21Z,2754,5,30.32
57.96,0.96,2021-09-30T07:07:48Z,2753,5,50.24
62.83,0.95,2021-09-29T05:58:37Z,2752,5,62.83
60.6,0.97,2021-09-29T05:54:38Z,2751,5,80.79
62.19,0.98,2021-09-29T05:52:59Z,2750,5,36.28
56.04,0.96,2021-09-29T05:52:11Z,2749,5,42.03
51.47,0.95,2021-09-28T11:30:23Z,2748,5,33.46
65.64,0.96,2021-09-28T11:27:55Z,2747,5,59.07
65.02,0.96,2021-09-28T11:26:33Z,2746,5,48.77
53.33,0.94,2021-09-28T11:24:57Z,2745,5,40
72.89,0.97,2021-09-28T11:22:48Z,2744,4,70.46
69.17,0.97,2021-09-28T11:21:22Z,2743,4,58.79
70.55,0.98,2021-09-28T11:18:56Z,2742,5,63.5
65.87,0.98,2021-09-28T11:17:47Z,2741,5,54.89
61.44,0.97,2021-09-27T14:16:42Z,2740,5,65.53
53.74,0.96,2021-09-27T14:15:18Z,2739,5,42.1
57.19,0.96,2021-09-27T14:13:59Z,2738,5,65.76
62.83,0.95,2021-09-27T14:12:28Z,2737,5,75.39
