wpm,accuracy,time,game_num,racers_num,points
101.57,0.97,2021-11-16T04:04:27Z,3001,5,60.94
94.1,0.97,2021-11-16T04:03:52Z,3000,2,111.35
95.01,0.97,2021-11-16T03:55:24Z,2999,5,80.76
110,0.98,2021-11-16T03:54:39Z,2998,4,95.33
107.67,0.98,2021-11-16T03:53:54Z,2997,5,87.93
90.02,0.98,2021-11-16T03:52:29Z,2996,4,76.52
98.91,0.97,2021-11-16T03:51:36Z,2995,4,158.25
96.76,0.97,2021-11-16T03:50:21Z,2994,4,82.24
105.72,0.98,2021-11-16T03:49:36Z,2993,5,116.29
114.3,0.98,2021-11-16T03:48:47Z,2992,5,80.01
100.67,0.97,2021-11-16T03:48:08Z,2991,5,78.85
103.37,0.98,2021-11-16T03:46:39Z,2990,5,218.8
95.43,0.96,2021-11-16T03:45:03Z,2989,5,50.9
100.46,0.98,2021-11-16T03:44:07Z,2988,5,70.32
115.74,0.99,2021-11-16T03:43:34Z,2987,5,50.15
92.38,0.97,2021-11-16T03:43:09Z,2986,4,61.59
96.55,0.97,2021-11-16T03:41:29Z,2985,4,86.89
87.44,0.97,2021-11-15T02:11:56Z,2984,5,74.32
90.65,0.97,2021-11-15T00:46:46Z,2983,5,60.43
98.26,0.98,2021-11-12T06:31:15Z,2982,5,111.36
93.99,0.97,2021-11-12T06:30:04Z,2981,5,76.76
98.34,0.97,2021-11-12T06:29:14Z,2980,5,83.59
103.99,0.98,2021-11-12T06:28:25Z,2979,5,79.73
103.74,0.97,2021-11-12T06:27:43Z,2978,5,96.82
92.56,0.97,2021-11-12T06:26:59Z,2977,5,30.85
104.24,0.99,2021-11-12T06:26:32Z,2976,5,60.8
90.92,0.97,2021-11-12T06:26:01Z,2975,5,50.01
116.23,0.96,2021-11-12T06:25:27Z,2974,5,17.43
102.17,0.97,2021-11-12T04:04:08Z,2973,4,61.3
102.04,0.98,2021-11-12T04:03:31Z,2972,3,166.66
97.27,0.98,2021-11-12T04:02:16Z,2971,5,79.43
99.99,0.99,2021-11-12T04:01:31Z,2970,5,74.99
88.03,0.96,2021-11-12T04:00:47Z,2969,4,99.77
82.2,0.95,2021-11-12T03:59:46Z,2968,5,46.58
99.21,0.97,2021-11-12T03:59:07Z,2967,4,87.64
99.75,0.98,2021-11-12T03:57:06Z,2966,5,68.16
107.5,0.99,2021-11-12T03:56:23Z,2965,5,64.5
103.63,0.98,2021-11-12T03:54:57Z,2964,5,82.91
99.5,0.96,2021-11-12T03:53:35Z,2963,5,64.68
87.74,0.97,2021-11-12T03:52:07Z,2962,5,62.88
95.81,0.97,2021-11-12T03:51:23Z,2961,5,124.56
107.61,0.96,2021-11-12T02:16:37Z,2960,5,77.12
110.26,0.97,2021-11-12T02:15:58Z,2959,5,126.8
93.95,0.97,2021-11-12T02:15:07Z,2958,5,81.43
105.1,0.97,2021-11-12T02:14:21Z,2957,5,157.64
115.02,0.98,2021-11-12T02:13:14Z,2956,5,105.43
118.01,1,2021-11-12T02:12:35Z,2955,5,88.51
85.2,0.97,2021-11-12T02:11:55Z,2954,5,88.04
98.99,0.97,2021-11-12T02:10:51Z,2953,5,107.24
91.95,0.96,2021-11-12T02:09:52Z,2952,5,45.98
106.61,0.98,2021-11-12T02:09:16Z,2951,4,126.15
114.28,0.99,2021-11-12T02:08:16Z,2950,5,59.04
100.19,0.98,2021-11-12T02:07:44Z,2949,5,60.12
96.88,0.97,2021-11-12T02:07:10Z,2948,5,95.26
110.8,0.98,2021-11-12T02:06:09Z,2947,5,79.41
85.66,0.96,2021-11-12T02:05:34Z,2946,5,69.96
101.31,0.97,2021-11-12T02:04:41Z,2945,5,70.92
100.37,0.98,2021-11-11T10:28:39Z,2944,5,160.59
111.74,0.99,2021-11-11T08:23:37Z,2943,4,109.88
94.47,0.97,2021-11-11T08:22:54Z,2942,5,100.77
96.34,0.97,2021-11-11T08:21:52Z,2941,5,69.04
88.67,0.98,2021-11-11T08:21:11Z,2940,5,72.41
106.22,0.98,2021-11-11T08:20:23Z,2939,5,84.97
94.39,0.96,2021-11-11T07:58:53Z,2938,3,105.4
109.85,0.98,2021-11-11T07:57:43Z,2937,4,47.6
110.37,0.98,2021-11-11T07:57:12Z,2936,5,40.47
100.44,0.97,2021-11-11T07:55:31Z,2935,5,87.05
96.23,0.98,2021-11-11T07:54:49Z,2934,4,88.21
99.79,0.97,2021-11-11T07:53:58Z,2933,5,59.87
91.75,0.98,2021-11-11T07:52:48Z,2932,5,96.34
95.17,0.97,2021-11-11T07:51:50Z,2931,4,111.03
98.96,0.97,2021-11-11T07:50:48Z,2930,4,133.6
114.11,0.98,2021-11-11T07:49:44Z,2929,5,81.78
108.19,0.98,2021-11-11T07:49:12Z,2928,5,81.14
106.35,0.96,2021-11-11T07:47:15Z,2927,2,115.21
99.08,0.97,2021-11-11T07:44:27Z,2926,2,54.5
100.03,0.97,2021-11-11T07:43:31Z,2925,2,78.36
95.14,0.96,2021-11-11T07:42:33Z,2924,2,96.72
102.22,0.98,2021-11-11T07:41:23Z,2923,2,73.26
106.89,0.98,2021-11-11T07:40:29Z,2922,2,195.96
100.52,0.97,2021-11-11T07:38:57Z,2921,2,61.99
101.56,0.96,2021-11-11T07:38:07Z,2920,2,155.73
115.48,0.98,2021-11-11T07:36:36Z,2919,2,100.08
114.05,0.98,2021-11-11T07:35:39Z,2918,2,102.65
114.73,0.98,2021-11-11T07:34:41Z,2917,2,95.6
104.74,0.97,2021-11-11T07:33:51Z,2916,2,146.64
100.44,0.97,2021-11-11T07:32:23Z,2915,2,160.7
98.87,0.97,2021-11-11T07:30:56Z,2914,2,107.11
94.86,0.97,2021-11-11T07:27:13Z,2913,4,110.67
106.05,0.99,2021-11-11T07:26:03Z,2912,5,56.56
104.59,0.98,2021-11-11T07:25:16Z,2911,4,92.39
120.34,0.98,2021-11-11T07:24:32Z,2910,4,46.13
90.65,0.97,2021-11-11T05:47:31Z,2909,5,51.37
98.91,0.97,2021-11-11T05:46:51Z,2908,5,19.78
107.6,0.97,2021-11-11T05:46:31Z,2907,5,62.77
113.62,0.98,2021-11-11T05:45:53Z,2906,5,92.79
114.39,0.98,2021-11-11T05:45:11Z,2905,4,80.07
113.17,0.97,2021-11-11T05:44:25Z,2904,5,130.14
91.76,0.96,2021-11-11T05:43:34Z,2903,4,91.76
112.19,0.96,2021-11-11T03:42:33Z,2902,2,39.27
109.15,0.97,2021-11-11T03:41:53Z,2901,2,78.23
89.69,0.96,2021-11-11T03:41:06Z,2900,2,61.29
113.98,0.98,2021-11-11T03:40:04Z,2899,2,125.37
106.36,0.97,2021-11-11T03:36:39Z,2898,5,69.13
108.05,0.97,2021-11-11T03:35:21Z,2897,4,82.84
108.85,0.97,2021-11-11T03:34:42Z,2896,4,78.01
108.61,0.97,2021-11-11T03:34:06Z,2895,4,56.12
94.25,0.96,2021-11-11T03:33:26Z,2894,5,97.39
102.49,0.97,2021-11-11T03:32:29Z,2893,5,93.95
110.98,0.99,2021-11-11T03:31:26Z,2892,5,72.14
108.7,0.98,2021-11-11T03:28:19Z,2891,5,108.7
115.75,0.97,2021-11-11T03:27:21Z,2890,5,111.89
88.53,0.97,2021-11-11T03:26:36Z,2889,5,109.18
120.21,0.99,2021-11-11T03:25:25Z,2888,5,94.16
96.92,0.99,2021-11-11T03:24:48Z,2887,5,90.46
96.14,0.98,2021-11-11T03:23:55Z,2886,5,116.97
105.29,0.96,2021-11-11T03:22:42Z,2885,5,89.49
95.21,0.97,2021-11-11T03:22:03Z,2884,5,104.73
125.38,0.99,2021-11-11T03:20:56Z,2883,5,71.05
106.68,0.98,2021-11-11T03:20:29Z,2882,5,71.12
118.34,0.99,2021-11-11T03:19:50Z,2881,5,136.09
101.57,0.98,2021-11-11T03:18:56Z,2880,5,99.87
104.81,0.98,2021-11-11T03:16:24Z,2879,5,97.82
86.82,0.98,2021-11-11T02:06:34Z,2878,5,86.82
89.86,0.96,2021-11-10T03:23:05Z,2877,4,32.95
100.58,0.98,2021-11-10T03:19:36Z,2876,5,93.87
105.34,0.99,2021-11-10T03:18:41Z,2875,5,42.14
96.91,0.98,2021-11-10T03:17:46Z,2874,5,66.22
95.86,0.97,2021-11-10T03:17:05Z,2873,5,79.88
112.53,0.99,2021-11-10T03:16:16Z,2872,5,73.14
94.13,0.97,2021-11-10T03:15:40Z,2871,5,67.46
89.34,0.96,2021-11-10T03:14:58Z,2870,5,52.11
117.96,0.98,2021-11-10T03:14:10Z,2869,5,45.22
112.56,0.99,2021-11-10T03:13:48Z,2868,5,65.66
96.32,0.99,2021-11-10T03:13:17Z,2867,5,38.53
77.56,0.97,2021-11-10T03:12:47Z,2866,5,41.36
100.3,0.95,2021-11-10T03:12:08Z,2865,5,61.85
103.6,0.98,2021-11-10T03:11:29Z,2864,5,84.61
91.57,0.98,2021-11-10T03:10:44Z,2863,5,42.73
96.97,0.98,2021-11-10T03:09:34Z,2862,5,79.19
102.14,0.98,2021-11-10T03:08:38Z,2861,5,74.91
93.19,0.97,2021-11-10T03:07:30Z,2860,5,77.66
96.77,0.96,2021-11-10T03:06:41Z,2859,5,101.61
101.29,0.97,2021-11-10T03:04:50Z,2858,3,195.82
86.7,0.95,2021-11-10T03:03:23Z,2857,4,63.58
106.83,0.98,2021-11-10T03:00:11Z,2856,5,78.34
100.21,0.97,2021-11-10T02:58:10Z,2855,4,162
111.41,0.99,2021-11-10T02:55:36Z,2854,5,59.42
108.82,0.97,2021-11-10T02:53:36Z,2853,5,77.99
105.63,0.99,2021-11-10T02:52:39Z,2852,5,80.98
97.78,0.97,2021-11-10T02:52:00Z,2851,5,68.44
88.99,0.97,2021-11-10T02:50:38Z,2850,5,50.43
90.83,0.97,2021-11-10T02:49:25Z,2849,4,163.49
102.72,0.97,2021-11-10T02:48:06Z,2848,5,169.49
89.4,0.98,2021-11-10T02:46:42Z,2847,4,29.8
102.12,0.99,2021-11-10T02:45:16Z,2846,4,62.97
96.88,0.97,2021-11-10T02:06:10Z,2845,5,43.59
89.83,0.97,2021-11-10T02:05:41Z,2844,5,77.85
97.37,0.98,2021-11-09T13:07:07Z,2843,4,95.75
84.29,0.96,2021-11-09T11:43:09Z,2842,2,96.93
94.25,0.98,2021-11-09T11:41:33Z,2841,2,106.82
97.35,0.97,2021-11-09T11:40:15Z,2840,2,77.88
65.51,0.96,2021-11-09T11:39:12Z,2839,2,73.16
79.32,0.97,2021-11-09T11:37:42Z,2838,2,54.21
88.81,0.98,2021-11-09T11:36:36Z,2837,2,59.21
87.4,0.96,2021-11-09T11:35:38Z,2836,2,59.72
96.47,0.97,2021-11-09T11:34:37Z,2835,2,70.74
91.78,0.97,2021-11-09T11:33:31Z,2834,3,73.42
96.6,0.97,2021-11-09T11:32:27Z,2833,3,75.67
115.89,0.99,2021-11-09T11:31:19Z,2832,2,83.05
86.35,0.96,2021-11-09T11:20:32Z,2831,4,94.99
92.54,0.97,2021-11-09T11:19:21Z,2830,3,46.27
109.78,0.98,2021-11-09T11:17:06Z,2829,4,49.4
88.92,0.96,2021-11-09T11:16:12Z,2828,4,68.17
103.68,0.98,2021-11-09T11:14:24Z,2827,5,58.75
92.86,0.97,2021-11-09T11:12:02Z,2826,4,61.9
98.24,0.98,2021-11-09T11:10:27Z,2825,5,83.5
89.32,0.97,2021-11-09T11:09:15Z,2824,4,107.19
88.29,0.96,2021-11-09T11:07:52Z,2823,4,82.41
97.69,0.97,2021-11-08T10:56:05Z,2822,4,89.55
101.45,0.98,2021-11-08T10:55:19Z,2821,5,87.92
90.2,0.97,2021-11-08T09:07:48Z,2820,4,103.73
91.08,0.96,2021-11-08T09:05:32Z,2819,5,112.33
110.1,0.98,2021-11-08T08:59:08Z,2818,5,69.73
71.72,0.97,2021-11-07T12:10:08Z,2817,5,38.25
90.84,0.98,2021-11-07T12:09:22Z,2816,5,45.42
89.46,0.97,2021-11-07T11:57:56Z,2815,5,49.2
85.45,0.98,2021-10-30T13:49:50Z,2814,5,31.33
74.29,0.96,2021-10-30T13:47:19Z,2813,4,100.29
73.94,0.95,2021-08-25T08:59:05Z,2812,5,67.78
73.61,0.96,2021-08-25T02:39:18Z,2811,5,52.76
101.95,0.97,2021-08-21T06:42:08Z,2810,5,105.35
110.26,0.98,2021-08-18T07:11:29Z,2809,5,132.31
98.34,0.98,2021-08-18T07:09:15Z,2808,5,54.09
100.57,0.99,2021-08-18T07:08:40Z,2807,5,93.86
102.64,0.97,2021-08-18T07:06:32Z,2806,4,97.51
94.66,0.98,2021-08-17T06:14:50Z,2805,5,42.6
93.83,0.97,2021-08-17T06:03:31Z,2804,5,86.01
105.92,0.98,2021-08-17T06:02:43Z,2803,5,104.16
102.27,0.97,2021-08-17T05:59:37Z,2802,5,51.14
93.37,0.98,2021-08-17T05:59:02Z,2801,5,56.02
93.51,0.97,2021-08-17T05:57:41Z,2800,5,48.31
86.97,0.97,2021-08-17T05:57:03Z,2799,4,65.22
107.06,0.96,2021-08-17T05:55:28Z,2798,5,110.62
94.18,0.97,2021-08-17T05:54:41Z,2797,4,111.45
95.66,0.97,2021-08-17T05:53:38Z,2796,5,95.66
107.02,0.97,2021-08-17T05:52:39Z,2795,5,76.7
118.74,0.99,2021-08-17T05:52:02Z,2794,5,65.31
99.2,0.98,2021-08-17T05:51:35Z,2793,5,90.93
112.5,0.99,2021-08-17T05:47:54Z,2792,5,86.25
112.51,0.99,2021-08-17T05:47:07Z,2791,5,67.5
104.02,0.98,2021-08-17T05:46:23Z,2790,5,201.11
101.03,0.98,2021-08-16T07:23:10Z,2789,5,101.03
91.21,0.97,2021-08-16T07:22:15Z,2788,5,76.01
116.37,0.98,2021-08-16T07:21:22Z,2787,5,71.76
97.7,0.97,2021-08-16T07:20:03Z,2786,5,96.07
107.4,0.99,2021-08-16T07:19:10Z,2785,5,62.65
92.16,0.97,2021-08-16T07:18:21Z,2784,5,79.87
115.56,0.98,2021-08-16T07:17:24Z,2783,5,119.41
87.78,0.98,2021-08-16T07:12:51Z,2782,5,77.54
99.09,0.96,2021-08-16T07:07:36Z,2781,4,105.7
124.8,1,2021-08-16T07:02:32Z,2780,5,81.12
100.05,0.97,2021-08-16T07:01:22Z,2779,5,111.72
