wpm,accuracy,time,game_num,racers_num,points
65.18,0.98,2021-11-14T10:13:28Z,2972,5,48.88
66.23,0.98,2021-11-14T10:12:02Z,2971,5,60.71
54.56,0.94,2021-11-14T10:11:00Z,2970,5,26.37
58.27,0.96,2021-11-14T10:10:07Z,2969,5,87.41
69.31,0.97,2021-11-14T10:08:19Z,2968,4,42.74
55.42,0.95,2021-11-14T10:07:32Z,2967,5,27.71
59.61,0.97,2021-11-14T10:06:37Z,2966,5,43.71
65.23,0.97,2021-11-14T10:05:34Z,2965,5,43.49
48.86,0.95,2021-11-14T10:03:19Z,2964,5,39.09
46.83,0.93,2021-11-14T10:02:06Z,2963,4,35.9
48.9,0.96,2021-11-14T10:00:32Z,2962,5,34.23
56.83,0.98,2021-11-14T09:59:13Z,2961,4,39.78
53.57,0.95,2021-11-14T09:58:09Z,2960,5,12.5
53.25,0.95,2021-11-14T09:57:33Z,2959,5,47.92
60.52,0.97,2021-11-14T09:56:19Z,2958,5,35.3
64.36,0.96,2021-11-14T09:55:25Z,2957,5,45.06
68.97,0.98,2021-11-14T09:54:02Z,2956,4,62.08
62.17,0.96,2021-11-14T09:52:55Z,2955,4,51.81
62.48,0.97,2021-11-14T09:51:39Z,2954,4,81.22
48.81,0.97,2021-11-14T09:49:59Z,2953,5,28.47
73.49,0.99,2021-11-06T08:26:38Z,2952,5,52.67
67.2,0.98,2021-11-06T08:22:49Z,2951,4,75.04
59.5,0.96,2021-06-19T16:25:19Z,2950,5,57.52
53.94,0.95,2021-06-19T16:23:59Z,2949,5,64.73
53.66,0.96,2021-06-19T16:22:24Z,2948,5,48.29
62.1,0.97,2021-06-19T16:20:58Z,2947,5,74.52
58.3,0.97,2021-06-19T16:19:40Z,2946,5,46.64
56.45,0.95,2021-06-19T16:18:37Z,2945,5,46.1
59.72,0.97,2021-06-19T16:17:31Z,2944,5,77.63
61.09,0.96,2021-06-19T16:15:49Z,2943,5,40.73
67.91,0.98,2021-06-19T16:14:56Z,2942,5,82.62
59.82,0.98,2021-06-19T16:13:38Z,2941,5,105.69
51.82,0.97,2021-06-19T16:11:37Z,2940,5,35.41
57.35,0.97,2021-06-19T16:10:28Z,2939,5,41.1
53.9,0.95,2021-06-19T16:08:52Z,2938,5,69.17
63.3,0.97,2021-06-19T16:07:12Z,2937,5,41.14
53.06,0.96,2021-04-26T14:32:23Z,2936,5,37.14
65.83,0.98,2021-04-26T14:31:15Z,2935,5,55.95
61.18,0.98,2021-04-26T14:30:16Z,2934,5,21.41
53.85,0.97,2021-04-26T14:29:43Z,2933,5,70.91
55.58,0.97,2021-04-26T14:27:50Z,2932,5,45.39
51.86,0.95,2021-04-26T14:26:27Z,2931,5,33.71
45.54,0.96,2021-04-20T02:15:27Z,2930,5,38.71
61.45,0.98,2021-04-14T04:25:36Z,2929,2,66.57
67.85,0.97,2021-04-11T14:26:25Z,2928,5,48.63
61.12,0.95,2021-04-06T13:41:30Z,2927,5,42.78
60.64,0.97,2021-04-06T13:40:31Z,2926,5,45.48
65.89,0.98,2021-04-06T13:39:18Z,2925,5,42.83
63.63,0.97,2021-04-06T13:38:27Z,2924,5,39.24
60.85,0.97,2021-04-06T13:37:35Z,2923,5,44.62
52.09,0.95,2021-04-06T13:36:39Z,2922,4,36.46
71.63,0.97,2021-04-06T13:35:31Z,2921,5,62.08
57.49,0.96,2021-04-06T13:34:36Z,2920,5,21.08
73.76,0.97,2021-04-06T13:33:58Z,2919,5,38.11
58.1,0.96,2021-04-06T13:33:19Z,2918,5,59.07
63.73,0.97,2021-04-06T13:31:50Z,2917,5,40.36
71.03,0.98,2021-04-06T13:30:36Z,2916,4,94.71
62.2,0.97,2021-04-06T13:29:07Z,2915,5,36.28
59.81,0.96,2021-04-06T13:28:18Z,2914,5,45.86
57.84,0.96,2021-03-31T12:09:07Z,2913,5,32.77
63.94,0.98,2021-03-31T12:08:14Z,2912,5,33.03
56.57,0.96,2021-03-31T12:07:29Z,2911,4,55.63
62.41,0.97,2021-03-31T12:06:02Z,2910,5,57.21
64.02,0.97,2021-03-30T16:22:49Z,2909,5,27.74
43.55,0.95,2021-03-30T16:21:54Z,2908,5,33.39
56.62,0.97,2021-03-30T16:20:26Z,2907,4,41.52
58,0.96,2021-03-30T16:18:55Z,2906,5,29.97
60.91,0.96,2021-03-30T16:17:08Z,2905,5,52.79
64.41,0.98,2021-03-30T16:15:55Z,2904,5,66.56
59.81,0.96,2021-03-30T16:14:31Z,2903,5,48.85
48.35,0.96,2021-03-30T16:13:21Z,2902,5,45.93
64.52,0.98,2021-03-30T10:03:23Z,2901,4,36.56
60.42,0.97,2021-03-30T10:02:34Z,2900,5,30.21
53.48,0.96,2021-03-30T10:01:23Z,2899,4,41.89
58.44,0.95,2021-03-30T10:00:07Z,2898,5,37.01
61.43,0.96,2021-03-30T09:59:11Z,2897,4,101.37
68.23,0.98,2021-03-30T09:57:20Z,2896,5,59.13
61.22,0.97,2021-03-30T09:56:05Z,2895,5,36.73
58.93,0.97,2021-03-30T09:55:14Z,2894,5,75.63
52.37,0.94,2021-03-30T09:53:41Z,2893,5,27.06
52.41,0.96,2021-03-30T09:52:47Z,2892,5,33.19
76.62,0.99,2021-03-30T09:51:42Z,2891,5,42.14
33.99,0.95,2021-03-30T09:50:43Z,2890,5,20.96
58.6,0.95,2021-03-22T08:53:00Z,2889,5,36.14
59.39,0.96,2021-03-22T08:52:02Z,2888,5,51.47
65.33,0.97,2021-03-22T08:50:50Z,2887,5,44.64
57.45,0.95,2021-03-22T08:49:55Z,2886,4,59.37
60.93,0.97,2021-03-22T08:48:26Z,2885,5,86.32
63.36,0.97,2021-03-22T08:46:41Z,2884,5,31.68
54.37,0.94,2021-03-22T08:45:54Z,2883,5,51.65
59.11,0.96,2021-03-22T08:44:31Z,2882,5,24.63
70.65,0.97,2021-03-22T08:43:54Z,2881,5,50.64
67.6,0.97,2021-03-22T08:43:02Z,2880,5,48.45
61.46,0.96,2021-03-22T08:42:09Z,2879,5,51.22
61.2,0.96,2021-03-22T08:40:54Z,2878,5,52.02
55.36,0.98,2021-03-22T08:39:48Z,2877,5,25.84
57.49,0.96,2021-03-20T07:46:25Z,2876,5,70.9
62.12,0.96,2021-03-20T07:43:42Z,2875,5,60.05
58.2,0.96,2021-03-20T07:41:45Z,2874,5,36.86
64.05,0.99,2021-03-20T07:40:40Z,2873,5,25.62
62.46,0.98,2021-03-20T07:39:52Z,2872,5,54.13
56.49,0.95,2021-03-18T14:00:37Z,2871,5,45.19
59.19,0.96,2021-03-18T13:58:57Z,2870,5,60.18
68.43,0.98,2021-03-18T13:57:35Z,2869,5,58.17
60.39,0.97,2021-03-18T13:56:36Z,2868,5,45.29
61.03,0.97,2021-03-18T13:55:29Z,2867,5,61.03
68.54,0.98,2021-03-18T13:54:08Z,2866,5,46.84
54.51,0.95,2021-03-18T13:53:11Z,2865,4,40.89
70.8,0.97,2021-03-18T13:51:56Z,2864,5,66.08
61.14,0.96,2021-03-18T13:50:53Z,2863,5,33.63
52.63,0.94,2021-03-18T13:49:57Z,2862,4,72.81
60.91,0.96,2021-03-18T13:48:08Z,2861,5,58.88
74.57,0.99,2021-03-18T13:47:00Z,2860,5,41.01
67.54,0.96,2021-03-18T13:46:17Z,2859,4,36.02
59.32,0.97,2021-03-18T13:45:34Z,2858,4,41.53
66.16,0.98,2021-03-18T13:44:30Z,2857,4,44.11
62.56,0.94,2021-03-18T13:43:33Z,2856,5,81.33
72.59,0.97,2021-03-18T13:42:06Z,2855,5,36.29
63.78,0.95,2021-03-18T13:41:28Z,2854,5,28.7
66.6,0.97,2021-03-18T13:40:46Z,2853,4,106.56
67.27,0.98,2021-03-18T13:39:05Z,2852,5,67.27
60.1,0.95,2021-03-18T13:37:53Z,2851,5,32.05
57.06,0.95,2021-03-18T13:37:09Z,2850,5,46.6
67.14,0.97,2021-03-16T12:08:40Z,2849,5,42.52
63.48,0.97,2021-03-16T12:07:46Z,2848,5,56.07
60.3,0.97,2021-03-16T12:06:44Z,2847,4,45.23
55.28,0.95,2021-03-16T12:05:33Z,2846,5,33.17
46.49,0.93,2021-03-16T12:04:38Z,2845,5,35.64
64.45,0.96,2021-03-16T12:03:12Z,2844,5,13.96
56.12,0.96,2021-03-16T12:02:45Z,2843,5,53.32
67.8,0.98,2021-03-16T12:01:23Z,2842,3,75.71
64.44,0.97,2021-03-16T12:00:05Z,2841,5,54.77
65.43,0.98,2021-03-16T11:58:58Z,2840,5,51.25
57.13,0.96,2021-03-16T11:58:05Z,2839,5,74.27
71.1,0.99,2021-03-16T11:55:55Z,2838,5,36.74
56.27,0.96,2021-03-16T11:55:14Z,2837,5,52.52
66.99,0.99,2021-03-16T11:53:54Z,2836,5,59.18
52.37,0.96,2021-02-20T05:04:13Z,2835,5,45.38
53.43,0.98,2021-02-20T05:03:05Z,2834,5,47.2
51.57,0.96,2021-02-20T05:01:48Z,2833,5,35.24
51.25,0.96,2021-02-20T05:00:48Z,2832,5,25.63
54.86,0.96,2021-02-20T04:59:51Z,2831,5,42.98
56.5,0.97,2021-02-20T04:58:44Z,2830,5,30.13
50.23,0.95,2021-02-20T04:57:51Z,2829,5,38.51
59.38,0.97,2021-02-20T04:56:38Z,2828,5,24.74
58.39,0.97,2021-02-20T04:56:01Z,2827,5,36.98
