wpm,accuracy,time,game_num,racers_num,points
69.49,0.97,2021-05-23T07:05:43Z,2685,5,69.49
68.5,0.98,2021-05-23T07:04:34Z,2684,4,71.93
62.56,0.97,2021-05-23T07:03:22Z,2683,5,37.54
66.28,0.96,2021-05-23T07:02:24Z,2682,5,53.03
65.54,0.97,2021-05-23T07:01:22Z,2681,5,77.56
70.2,0.95,2021-03-08T11:29:23Z,2680,5,50.31
67.93,0.97,2021-03-08T11:28:24Z,2679,5,61.14
72.02,0.98,2021-03-08T11:27:11Z,2678,5,56.42
64.31,0.94,2021-03-08T11:26:21Z,2677,5,25.73
73.35,0.98,2021-03-08T11:25:35Z,2676,5,37.9
69.41,0.98,2021-02-25T09:37:57Z,2675,3,87.92
55.3,0.95,2021-02-25T09:36:30Z,2674,5,20.28
59.58,0.95,2021-02-25T09:35:52Z,2673,4,63.55
65.61,0.96,2021-02-24T10:38:44Z,2672,5,45.93
62.12,0.95,2021-02-24T10:37:48Z,2671,5,39.34
72.94,0.99,2021-02-24T10:36:43Z,2670,5,66.86
59.66,0.97,2021-02-24T10:35:40Z,2669,5,29.83
69.46,0.96,2021-02-24T10:34:31Z,2668,5,41.67
73.31,0.96,2021-01-24T05:43:15Z,2667,4,56.2
74.56,0.97,2020-08-20T17:12:50Z,2666,5,58.4
78.52,0.99,2020-08-20T17:11:54Z,2665,5,44.49
78,0.99,2020-08-20T17:11:07Z,2664,5,68.9
61.67,0.97,2020-08-20T17:10:12Z,2663,5,56.53
65.05,0.95,2020-08-20T17:08:33Z,2662,3,69.38
62.66,0.97,2020-08-20T17:07:12Z,2661,5,43.86
63.8,0.95,2020-08-10T07:40:39Z,2660,4,45.72
64.64,0.96,2020-08-10T07:39:29Z,2659,5,100.2
66.06,0.95,2020-08-10T07:37:43Z,2658,5,51.75
61.13,0.96,2020-07-31T16:48:46Z,2657,5,70.3
69.94,0.98,2020-07-31T16:47:12Z,2656,5,62.94
64.52,0.97,2020-07-21T13:00:58Z,2655,5,89.25
59.95,0.96,2020-07-21T12:59:14Z,2654,5,101.92
57.68,0.96,2020-07-21T12:57:09Z,2653,5,20.19
71.26,0.98,2020-07-21T12:56:23Z,2652,5,73.64
59.28,0.94,2020-07-21T12:55:08Z,2651,5,52.36
73.49,0.97,2020-07-18T14:14:15Z,2650,4,84.51
71.67,0.99,2020-07-18T14:12:54Z,2649,5,48.98
68.35,0.97,2020-07-18T14:11:59Z,2648,4,94.55
67.23,0.96,2020-07-18T14:10:24Z,2647,4,62.75
