wpm,accuracy,time,game_num,racers_num,points
38.91,0.96,2019-11-12T11:06:35Z,2946,4,22.7
42.47,0.94,2019-11-12T11:01:47Z,2945,5,24.06
43.6,0.96,2019-11-12T09:03:12Z,2944,4,15.99
41.26,0.94,2019-11-12T09:02:19Z,2943,5,28.88
46.92,0.95,2019-11-08T05:35:07Z,2942,5,39.88
44.69,0.93,2019-11-08T05:29:30Z,2941,5,33.52
47.09,0.96,2019-11-07T04:13:49Z,2940,4,38.46
56.37,0.98,2019-11-07T04:07:46Z,2939,5,42.28
47.36,0.95,2019-11-07T03:59:38Z,2938,5,39.47
54.75,0.95,2019-11-07T03:58:09Z,2937,5,21.9
50.74,0.96,2019-11-07T03:55:54Z,2936,5,43.13
47.1,0.96,2019-11-03T14:51:01Z,2935,4,42.39
41.69,0.96,2019-11-03T13:04:19Z,2934,4,24.32
40.62,0.95,2019-11-03T13:03:03Z,2933,5,31.82
44.91,0.96,2019-11-03T13:01:25Z,2932,3,32.18
49.53,0.96,2019-11-03T13:00:05Z,2931,4,52.83
42.96,0.93,2019-11-03T12:43:46Z,2930,5,21.48
51.97,0.97,2019-11-03T12:41:23Z,2929,5,43.31
46.73,0.96,2019-11-03T12:40:00Z,2928,5,42.83
49.99,0.95,2019-11-03T12:38:00Z,2927,5,48.32
45.5,0.96,2019-10-13T23:50:17Z,2926,2,15.17
43.76,0.91,2019-10-13T19:23:24Z,2925,5,18.96
35.92,0.94,2019-10-09T15:57:28Z,2924,5,13.77
47.65,0.95,2019-10-09T15:56:24Z,2923,5,44.47
59.81,0.98,2019-10-09T15:54:48Z,2922,5,30.9
53.69,0.97,2019-10-06T23:26:40Z,2921,5,42.95
43.24,0.96,2019-10-06T22:57:06Z,2920,5,22.34
49.64,0.96,2019-10-06T22:55:53Z,2919,5,52.95
53.42,0.95,2019-10-06T21:57:38Z,2918,5,27.6
46.22,0.96,2019-10-06T21:56:02Z,2917,5,30.04
42.87,0.95,2019-10-06T21:53:53Z,2916,5,16.43
47.96,0.96,2019-10-06T21:52:20Z,2915,5,31.17
37.34,0.95,2019-10-02T19:04:52Z,2914,5,32.36
41.43,0.94,2019-10-02T18:45:07Z,2913,5,34.53
