wpm,accuracy,time,game_num,racers_num,points
67.69,0.96,2021-07-02T15:03:32Z,2980,5,34.97
73.26,0.97,2021-07-02T15:01:58Z,2979,5,57.39
57.55,0.95,2021-07-02T15:00:13Z,2978,5,58.51
56.3,0.94,2021-07-02T14:58:52Z,2977,4,57.24
60.17,0.95,2021-06-30T18:34:22Z,2976,4,61.18
61.68,0.96,2021-05-26T10:35:44Z,2975,5,63.73
59.41,0.96,2021-05-26T10:34:18Z,2974,5,51.49
63.15,0.96,2021-05-26T10:33:00Z,2973,5,45.26
56.45,0.95,2021-05-26T09:44:11Z,2972,5,34.81
67.51,0.97,2021-05-26T09:42:36Z,2971,5,52.88
57.87,0.97,2021-05-26T09:41:32Z,2970,5,23.15
54.52,0.95,2021-05-25T14:01:05Z,2969,5,63.61
65.83,0.97,2021-05-25T13:58:37Z,2968,5,37.31
64.03,0.96,2021-05-25T13:57:37Z,2967,5,52.29
57.69,0.95,2021-05-25T13:56:03Z,2966,5,48.08
60.97,0.96,2021-05-25T13:54:41Z,2965,5,37.6
66.12,0.97,2021-05-25T13:49:40Z,2964,5,78.24
64.96,0.96,2021-05-25T13:43:02Z,2963,5,50.88
60.43,0.96,2021-05-25T09:39:41Z,2962,5,32.23
49.38,0.95,2021-05-25T06:27:53Z,2961,5,30.45
61.04,0.96,2021-05-23T14:26:14Z,2960,5,63.07
65.37,0.97,2021-05-23T04:19:44Z,2959,5,87.15
57.31,0.96,2021-05-23T04:12:09Z,2958,4,44.89
60.17,0.96,2021-05-23T04:08:23Z,2957,5,51.15
57.78,0.94,2021-05-23T04:07:21Z,2956,5,31.78
60.85,0.96,2021-05-20T17:46:54Z,2955,5,34.48
65.36,0.96,2021-05-20T05:37:12Z,2954,5,34.86
59.54,0.95,2021-05-20T05:28:39Z,2953,5,33.74
76.36,0.98,2021-05-20T05:27:11Z,2952,5,30.54
57.5,0.96,2021-05-09T18:12:59Z,2951,5,32.58
68.37,0.97,2021-05-09T18:12:05Z,2950,5,29.63
63.99,0.97,2021-05-09T09:19:46Z,2949,5,38.39
60.93,0.97,2021-05-09T09:16:36Z,2948,5,43.66
62.43,0.96,2021-05-09T09:15:32Z,2947,5,39.54
66.33,0.97,2021-05-09T09:13:59Z,2946,4,53.06
65.11,0.96,2021-05-08T17:31:19Z,2945,5,49.92
58.73,0.97,2021-05-08T04:57:32Z,2944,5,30.34
58.92,0.95,2021-05-08T04:56:44Z,2943,5,34.37
55.14,0.95,2021-05-08T04:48:25Z,2942,5,63.41
60.06,0.97,2021-05-08T04:46:50Z,2941,4,48.05
59.68,0.96,2021-05-08T04:44:50Z,2940,5,36.8
