wpm,accuracy,time,game_num,racers_num,points
110.42,0.99,2021-11-10T05:34:29Z,2652,3,90.18
133.89,0.99,2021-11-10T05:31:25Z,2651,5,80.34
116.93,0.98,2021-11-10T05:30:46Z,2650,5,72.11
125.97,0.99,2021-11-10T05:29:50Z,2649,4,153.27
121.43,0.98,2021-11-10T05:28:55Z,2648,4,133.57
130.77,1,2020-06-10T15:00:34Z,2647,3,111.16
118.93,0.99,2020-06-10T03:28:34Z,2646,5,146.68
141.69,1,2020-06-10T02:54:16Z,2645,4,75.57
116.04,0.99,2020-06-09T20:26:53Z,2644,5,88.96
111.34,0.98,2020-06-09T20:13:17Z,2643,5,85.36
110.56,0.99,2020-06-09T20:10:32Z,2642,5,75.55
105.19,0.99,2020-06-09T20:09:20Z,2641,5,134.99
106.9,0.98,2020-06-09T20:05:26Z,2640,5,62.36
101.41,0.97,2020-06-09T20:04:52Z,2639,5,79.44
108,0.98,2020-06-09T20:03:20Z,2638,5,81
108.83,0.98,2020-05-30T18:07:42Z,2637,3,119.71
122.8,0.99,2020-05-22T03:31:26Z,2636,4,73.68
132.57,1,2020-05-22T03:30:28Z,2635,4,81.75
107.78,0.98,2020-05-22T03:29:57Z,2634,4,57.48
104.14,0.98,2020-05-22T03:29:10Z,2633,4,41.66
116.52,0.99,2020-05-22T03:28:38Z,2632,5,122.34
111.02,0.98,2020-05-22T03:27:48Z,2631,5,99.92
114,0.98,2020-05-22T03:27:01Z,2630,5,209.01
120.93,0.98,2020-05-22T03:25:48Z,2629,4,167.29
125.79,1,2020-05-22T03:24:39Z,2628,2,98.53
110.49,0.99,2020-04-30T04:21:52Z,2627,5,68.14
118.54,0.99,2020-04-30T04:21:21Z,2626,4,120.52
143.72,1,2020-04-22T06:06:21Z,2625,5,136.54
104.1,0.97,2020-04-22T06:05:32Z,2624,3,183.91
125.02,0.99,2020-04-22T06:03:48Z,2623,4,143.77
117.76,0.99,2020-03-09T06:17:44Z,2622,5,168.79
110.61,0.97,2020-03-09T06:16:48Z,2621,5,125.35
