wpm,accuracy,time,game_num,racers_num,points
103.16,0.98,2021-11-14T18:17:19Z,2576,4,110.04
97.52,0.99,2021-11-14T18:16:12Z,2575,4,68.27
114.85,0.99,2021-10-13T12:28:01Z,2574,4,68.91
107.15,0.99,2021-10-13T12:27:16Z,2573,5,89.29
90.06,0.97,2021-10-13T12:26:22Z,2572,5,85.56
101.76,0.98,2021-10-13T12:25:19Z,2571,5,83.1
102.52,0.99,2021-10-13T12:24:19Z,2570,3,76.89
105.09,0.99,2021-10-13T12:23:26Z,2569,5,98.08
93.83,0.97,2021-10-13T12:22:39Z,2568,3,128.24
83.86,0.97,2021-10-13T12:21:09Z,2567,5,44.72
101.94,0.97,2021-10-11T12:27:39Z,2566,5,122.33
102.17,0.98,2021-10-11T12:24:11Z,2565,5,146.44
100.04,0.98,2021-09-29T15:04:10Z,2564,5,103.38
96.79,0.97,2021-09-27T19:10:38Z,2563,5,104.85
92.67,0.98,2021-09-27T19:09:29Z,2562,4,89.58
115.36,0.99,2021-09-27T19:07:43Z,2561,5,65.37
104.2,0.99,2021-09-27T19:06:52Z,2560,4,74.68
97.06,0.99,2021-09-27T19:06:04Z,2559,3,51.76
112.17,0.99,2021-09-27T19:04:56Z,2558,2,140.21
104.79,0.99,2021-09-27T19:03:51Z,2557,5,55.89
98.08,0.98,2021-09-27T19:03:00Z,2556,5,62.11
102.34,0.97,2021-09-27T19:02:08Z,2555,5,64.82
111.93,0.99,2021-09-27T19:01:02Z,2554,5,91.41
104.28,0.99,2021-09-25T02:58:40Z,2553,5,118.18
110.02,0.98,2021-09-25T02:57:29Z,2552,5,66.01
97.66,0.97,2021-09-25T02:56:48Z,2551,5,78.13
103.5,0.99,2021-09-25T02:55:54Z,2550,5,94.87
94.77,0.98,2021-09-25T02:55:00Z,2549,5,85.29
99.34,0.99,2021-09-25T02:53:59Z,2548,4,74.51
99.24,0.98,2021-09-25T02:53:16Z,2547,5,81.05
105.5,0.99,2021-09-25T02:52:24Z,2546,5,80.89
92.08,0.97,2021-09-20T13:55:24Z,2545,5,158.07
95.09,0.99,2021-09-20T13:53:21Z,2544,5,38.03
90.52,0.97,2021-09-12T11:49:53Z,2543,5,69.4
98.25,0.98,2021-09-12T11:49:04Z,2542,5,90.06
98.59,0.98,2021-09-12T11:47:56Z,2541,5,115.02
96.99,0.98,2021-09-12T11:46:50Z,2540,4,79.21
108.69,1,2021-09-12T11:45:24Z,2539,5,83.33
100.78,0.99,2021-09-12T11:44:14Z,2538,4,62.15
88.9,0.97,2021-09-11T12:17:29Z,2537,5,102.24
97.53,0.97,2021-09-11T12:16:11Z,2536,2,50.39
