wpm,accuracy,time,game_num,racers_num,points
123.5,0.99,2021-09-18T14:12:00Z,2905,5,74.1
118.63,1,2021-09-18T13:49:38Z,2904,5,69.2
120.93,1,2021-08-23T18:11:23Z,2903,5,104.8
127.82,0.99,2021-08-21T19:01:39Z,2902,5,100.12
131.44,1,2021-08-21T19:00:46Z,2901,5,98.58
120.61,0.99,2021-08-19T17:51:02Z,2900,5,132.67
106.89,0.99,2021-08-19T17:50:11Z,2899,5,78.38
127.52,1,2021-08-19T17:48:53Z,2898,5,93.52
117.28,0.99,2021-08-09T15:51:21Z,2897,4,62.55
115.37,0.99,2021-07-25T18:34:41Z,2896,5,84.61
125.42,1,2021-07-24T17:33:43Z,2895,5,60.62
116.01,0.98,2021-07-24T17:32:50Z,2894,5,119.87
110.85,0.99,2021-07-24T17:31:54Z,2893,5,121.93
119.71,0.99,2021-07-24T17:30:36Z,2892,5,93.77
132.58,1,2021-07-24T17:28:44Z,2891,5,95.02
117.61,0.98,2021-07-23T18:14:14Z,2890,5,113.69
114.9,1,2021-07-22T19:33:09Z,2889,5,95.75
116.01,0.99,2021-07-21T14:18:11Z,2888,5,156.62
117.07,1,2021-07-21T14:01:22Z,2887,5,87.8
115.09,0.99,2021-07-21T14:00:26Z,2886,5,101.66
114.02,0.99,2021-07-21T13:59:28Z,2885,5,68.41
111.66,0.99,2021-07-17T16:25:52Z,2884,5,87.47
111.48,0.98,2021-07-17T16:25:04Z,2883,4,48.31
106.05,0.99,2021-07-16T15:08:20Z,2882,2,137.87
111.79,0.99,2021-07-13T15:19:06Z,2881,4,42.85
106.55,0.98,2021-07-10T17:43:08Z,2880,4,133.19
110.3,0.98,2021-06-23T14:26:26Z,2879,5,75.37
115.23,0.99,2021-06-09T14:23:46Z,2878,5,49.93
115.03,0.99,2021-06-05T17:14:26Z,2877,5,113.12
114.04,0.99,2021-06-05T17:12:50Z,2876,5,98.83
111.31,0.99,2021-05-30T16:01:32Z,2875,5,122.44
126.41,1,2021-01-17T17:18:59Z,2874,5,75.84
122.95,1,2021-01-16T19:27:36Z,2873,5,79.92
115.22,0.99,2021-01-07T00:38:31Z,2872,5,84.49
110.08,0.99,2021-01-03T23:51:38Z,2871,5,77.06
112.86,0.99,2021-01-03T17:05:34Z,2870,5,77.12
111.77,0.99,2021-01-01T19:06:05Z,2869,5,72.65
120.14,1,2021-01-01T16:10:23Z,2868,5,76.09
120.78,0.98,2020-12-31T21:51:48Z,2867,5,64.42
116.52,0.99,2020-12-31T19:22:29Z,2866,4,106.81
126.06,0.99,2020-12-31T18:16:41Z,2865,5,50.42
110.82,0.99,2020-12-28T18:10:36Z,2864,5,96.05
112.75,0.98,2020-12-27T18:30:58Z,2863,3,69.53
123.56,0.99,2020-12-27T18:30:18Z,2862,5,63.84
122.78,0.98,2020-12-27T18:29:38Z,2861,5,87.99
117.02,0.99,2020-12-27T18:28:57Z,2860,5,91.67
128.8,0.99,2020-12-27T18:28:02Z,2859,5,79.43
126.68,0.99,2020-12-27T18:27:25Z,2858,5,133.02
106.38,0.99,2020-12-27T18:26:20Z,2857,3,108.15
123.2,1,2020-12-27T16:44:30Z,2856,5,80.08
119.21,1,2020-12-27T16:39:34Z,2855,5,61.59
120.3,0.99,2020-12-27T15:38:46Z,2854,4,94.23
122.09,0.99,2020-12-27T15:09:48Z,2853,5,26.45
124.43,0.99,2020-12-27T00:27:57Z,2852,5,66.36
127.97,0.99,2020-12-26T18:29:41Z,2851,3,123.71
114.64,0.99,2020-12-26T18:28:59Z,2850,5,124.19
116.08,0.99,2020-12-26T17:52:02Z,2849,5,69.65
120.37,0.99,2020-12-26T17:51:20Z,2848,4,100.31
124.94,0.99,2020-12-26T17:50:24Z,2847,4,81.21
127.36,1,2020-12-26T17:49:24Z,2846,5,91.27
123.44,1,2020-12-26T16:46:02Z,2845,5,123.44
113.86,0.99,2020-12-25T18:50:29Z,2844,5,151.82
107.35,0.98,2020-12-25T18:15:43Z,2843,5,118.08
117.31,0.97,2020-12-25T18:13:51Z,2842,5,136.86
122.67,0.98,2020-12-25T18:12:38Z,2841,5,104.27
116.99,0.99,2020-12-25T18:11:14Z,2840,5,105.29
105.97,0.99,2020-12-25T17:23:15Z,2839,5,65.35
112.41,0.99,2020-12-25T17:16:17Z,2838,5,86.18
115.52,0.98,2020-12-25T17:14:32Z,2837,5,55.83
109.98,0.98,2020-12-25T17:12:06Z,2836,4,161.3
109.44,0.99,2020-12-25T16:50:49Z,2835,5,54.72
146.4,1,2020-12-24T20:31:35Z,2834,5,41.48
121.53,0.99,2020-12-24T20:31:14Z,2833,3,147.87
116.6,0.99,2020-12-24T20:29:51Z,2832,5,186.57
117.98,0.98,2020-12-24T20:28:41Z,2831,5,80.62
118,0.99,2020-12-24T20:28:01Z,2830,5,70.8
102.29,0.97,2020-12-24T20:27:24Z,2829,5,51.14
113.54,0.99,2020-12-24T20:26:40Z,2828,5,208.15
114.49,1,2020-12-24T20:25:03Z,2827,5,89.68
123.84,0.99,2020-12-24T20:24:06Z,2826,5,72.24
113.02,0.99,2020-12-24T20:23:31Z,2825,5,80.99
134.21,1,2020-12-24T20:21:25Z,2824,5,111.84
109.89,0.99,2020-12-24T20:20:35Z,2823,5,86.08
128.67,1,2020-12-24T18:53:37Z,2822,5,83.64
111.4,0.99,2020-12-24T18:52:01Z,2821,5,115.12
120.65,0.98,2020-12-24T18:50:55Z,2820,5,76.41
113.01,0.98,2020-12-24T18:50:16Z,2819,5,97.95
115.72,0.98,2020-12-24T18:48:45Z,2818,4,111.87
109.37,0.98,2020-12-24T17:34:09Z,2817,4,162.23
112.64,0.98,2020-12-24T16:59:57Z,2816,5,135.17
106.11,0.99,2020-12-24T16:59:04Z,2815,4,72.51
118.88,1,2020-12-24T16:57:44Z,2814,5,29.72
111.68,0.98,2020-12-24T16:57:19Z,2813,5,167.52
113.06,0.99,2020-12-24T16:55:58Z,2812,5,130.02
113.53,0.99,2020-12-24T16:55:02Z,2811,4,128.67
130.02,0.99,2020-12-24T16:52:58Z,2810,5,67.18
108.98,0.99,2020-12-24T16:48:43Z,2809,3,69.02
132.32,1,2020-12-24T16:44:42Z,2808,5,116.88
113.86,0.98,2020-12-23T23:30:28Z,2807,5,81.6
123.34,0.99,2020-12-23T20:07:24Z,2806,5,65.78
126.73,0.99,2020-12-23T20:06:08Z,2805,5,52.8
102.49,0.98,2020-12-23T20:05:40Z,2804,3,52.95
120.67,0.98,2020-12-23T20:04:59Z,2803,5,128.71
120.48,0.99,2020-12-23T20:03:44Z,2802,2,110.44
118.66,0.99,2020-12-23T20:02:59Z,2801,5,146.35
113.93,0.98,2020-12-23T19:06:39Z,2800,5,87.34
135.48,1,2020-12-23T19:05:20Z,2799,5,140
127.1,1,2020-12-23T19:04:16Z,2798,5,114.39
115.95,0.99,2020-12-23T19:03:09Z,2797,4,73.44
109.88,0.98,2020-12-23T19:02:31Z,2796,4,111.71
120.85,1,2020-12-23T19:01:09Z,2795,5,96.68
120.03,0.98,2020-12-23T19:00:27Z,2794,5,124.03
137.17,0.99,2020-12-23T18:59:27Z,2793,4,89.16
146.18,1,2020-12-23T18:58:19Z,2792,5,31.67
113.12,0.99,2020-12-23T18:57:26Z,2791,5,73.53
111.51,0.98,2020-12-23T18:56:48Z,2790,5,87.35
110.4,0.99,2020-12-23T17:45:36Z,2789,4,71.76
111.48,0.99,2020-12-23T17:44:13Z,2788,5,115.2
116.14,0.98,2020-12-23T17:29:35Z,2787,4,118.07
111.31,0.99,2020-12-23T17:28:34Z,2786,5,107.6
113.28,0.99,2020-12-23T17:23:03Z,2785,3,96.29
105,0.99,2020-12-23T16:32:11Z,2784,5,80.5
110.66,0.98,2020-12-23T16:21:04Z,2783,5,86.68
114.02,0.99,2020-12-23T16:20:10Z,2782,4,57.01
120.09,0.99,2020-12-23T16:18:38Z,2781,4,92.07
115.2,0.99,2020-12-23T16:16:02Z,2780,5,119.04
115.97,0.99,2020-12-23T00:33:36Z,2779,5,108.24
115.63,0.99,2020-12-22T19:45:05Z,2778,5,175.37
123.67,0.99,2020-12-22T19:43:31Z,2777,5,100.99
113.41,0.99,2020-12-22T19:42:46Z,2776,5,120.97
107.55,0.99,2020-12-22T19:41:41Z,2775,5,102.18
126.18,1,2020-12-22T19:37:37Z,2774,5,86.23
112.98,0.99,2020-12-22T19:36:21Z,2773,5,94.15
126.43,1,2020-12-22T19:34:32Z,2772,5,107.47
128.16,0.99,2020-12-22T17:47:51Z,2771,5,128.16
