wpm,accuracy,time,game_num,racers_num,points
50.25,0.95,2019-11-24T11:48:40Z,2981,5,86.26
47.18,0.95,2019-11-24T11:46:25Z,2980,5,26.73
74.42,0.98,2019-11-14T21:04:42Z,2979,5,37.21
58.78,0.96,2019-11-14T20:59:01Z,2978,5,50.94
60.58,0.97,2019-11-14T20:56:26Z,2977,5,49.47
45,0.94,2019-03-16T21:48:44Z,2976,5,31.5
57.1,0.96,2019-03-16T21:47:23Z,2975,5,39.02
66.5,0.98,2019-03-16T21:46:17Z,2974,5,41.01
72.18,0.98,2019-03-16T21:45:22Z,2973,4,81.81
58.99,0.96,2019-03-07T22:55:24Z,2972,5,60.95
58.69,0.95,2019-03-07T22:54:06Z,2971,3,56.73
63.5,0.96,2019-03-07T22:52:27Z,2970,5,33.86
67.34,0.98,2019-03-02T17:15:48Z,2969,5,65.09
54.96,0.97,2019-03-02T16:40:22Z,2968,4,10.99
66.23,0.97,2019-03-02T16:29:51Z,2967,5,65.13
60.68,0.96,2019-03-02T15:08:37Z,2966,5,65.74
52.36,0.97,2019-03-02T15:07:11Z,2965,3,32.29
54.82,0.96,2019-03-02T14:58:52Z,2964,5,31.06
65.14,0.98,2019-03-02T14:52:29Z,2963,5,72.74
68.57,0.97,2019-03-02T13:29:12Z,2962,5,81.14
52.6,0.94,2019-02-18T20:31:11Z,2961,2,95.55
64.49,0.97,2019-02-18T20:27:36Z,2960,4,53.74
43.36,0.93,2019-02-18T15:27:28Z,2959,5,18.79
54.6,0.95,2019-02-18T15:23:27Z,2958,5,40.95
52.61,0.96,2019-02-18T15:18:24Z,2957,4,62.25
58.7,0.96,2019-02-18T15:08:03Z,2956,5,32.29
66.89,0.97,2019-02-18T15:07:11Z,2955,4,44.59
50.1,0.94,2019-02-18T15:06:26Z,2954,3,35.07
55.25,0.95,2019-02-18T15:05:19Z,2953,4,46.96
61.88,0.96,2019-02-18T15:00:26Z,2952,3,60.84
54.74,0.95,2019-02-17T21:40:29Z,2951,4,44.71
56.25,0.96,2019-02-17T21:39:12Z,2950,5,55.31
57.59,0.97,2019-02-17T21:37:51Z,2949,5,40.31
59.75,0.96,2019-02-17T21:36:51Z,2948,5,38.84
55.24,0.96,2019-02-17T21:35:57Z,2947,3,60.76
58.02,0.96,2019-02-17T20:20:08Z,2946,5,26.11
59.87,0.97,2019-02-17T17:16:54Z,2945,3,58.87
51.79,0.96,2019-02-17T17:14:30Z,2944,5,32.8
57.23,0.96,2019-02-17T17:13:24Z,2943,5,23.84
65.66,0.97,2019-02-17T17:09:40Z,2942,5,47.05
75.25,0.98,2019-02-17T16:46:51Z,2941,5,67.73
64.08,0.97,2019-02-17T16:42:01Z,2940,5,43.79
58.78,0.98,2019-02-17T16:41:00Z,2939,5,28.41
59.4,0.97,2019-02-17T15:10:29Z,2938,4,43.56
57.99,0.94,2019-02-17T15:09:25Z,2937,5,20.3
57.16,0.96,2019-02-16T15:07:25Z,2936,4,47.64
55.81,0.95,2019-02-16T14:58:18Z,2935,5,59.53
53.49,0.97,2019-02-16T14:56:39Z,2934,5,26.74
