wpm,accuracy,time,game_num,racers_num,points
75.46,0.98,2021-11-20T08:58:20Z,2828,5,31.44
73.8,0.98,2021-11-20T08:40:59Z,2827,5,70.11
79.28,0.98,2021-11-20T08:25:29Z,2826,5,40.96
96.6,0.99,2021-11-17T22:22:27Z,2825,5,56.35
73.83,0.97,2021-11-17T22:21:54Z,2824,4,54.14
66.92,0.95,2021-11-17T22:21:02Z,2823,5,34.58
68.05,0.96,2021-11-17T22:19:43Z,2822,5,55.58
76.98,0.97,2021-11-17T22:18:38Z,2821,5,71.85
88.45,0.99,2021-11-17T22:16:59Z,2820,5,98.77
89.05,1,2021-11-17T22:16:04Z,2819,5,38.59
77.78,0.98,2021-11-17T22:15:25Z,2818,5,81.67
65.23,0.98,2021-11-17T22:13:11Z,2817,5,30.44
72.74,0.98,2021-11-17T22:12:32Z,2816,5,37.58
65.76,0.97,2021-11-17T22:11:49Z,2815,5,60.28
69.35,0.98,2021-11-13T21:11:30Z,2814,5,57.79
79.85,0.98,2021-11-13T21:10:30Z,2813,5,65.21
76.16,0.98,2021-11-13T21:08:24Z,2812,5,66
74.79,0.99,2021-11-13T21:06:50Z,2811,5,42.38
63.69,0.95,2021-11-13T21:05:55Z,2810,5,35.03
79.68,0.97,2021-11-12T16:21:03Z,2809,5,43.83
70.39,0.96,2021-11-12T16:20:13Z,2808,5,55.14
82.97,0.98,2021-11-09T15:41:05Z,2807,5,74.67
67.2,0.96,2021-11-09T15:40:00Z,2806,5,35.84
76.15,0.98,2021-11-09T15:38:36Z,2805,4,139.61
80.7,0.98,2021-11-09T15:36:51Z,2804,5,63.21
71.47,0.98,2021-11-09T15:36:03Z,2803,5,71.47
80.76,0.97,2021-11-09T15:34:40Z,2802,5,67.3
77.26,0.98,2021-11-09T15:32:42Z,2801,5,66.96
82.87,0.97,2021-11-08T16:17:23Z,2800,5,67.68
82.51,0.99,2021-11-08T16:16:05Z,2799,5,75.63
65.88,0.98,2021-11-08T16:15:10Z,2798,5,63.69
73.72,0.97,2021-11-08T16:13:29Z,2797,4,62.67
72.85,0.98,2021-11-08T16:12:19Z,2796,4,59.49
56.34,0.95,2021-11-08T16:11:24Z,2795,3,25.35
76.22,0.98,2021-11-08T16:10:17Z,2794,4,71.13
74.28,0.97,2021-10-12T04:41:42Z,2793,4,120.09
68.55,0.97,2021-10-12T04:40:14Z,2792,5,53.69
76.15,0.97,2021-10-12T04:39:24Z,2791,5,45.69
78.73,0.98,2021-10-12T04:38:42Z,2790,5,80.04
74.93,0.97,2021-10-12T04:37:12Z,2789,5,44.96
76.51,0.98,2021-10-12T04:36:37Z,2788,5,61.21
80.63,0.98,2021-10-12T04:34:31Z,2787,5,45.69
70.88,0.96,2021-10-12T04:33:50Z,2786,5,49.62
78.24,0.98,2021-10-12T04:33:01Z,2785,4,52.16
79.51,0.98,2021-10-12T04:32:02Z,2784,5,62.28
66.9,0.98,2021-10-12T04:31:08Z,2783,5,45.71
64.14,0.97,2021-10-12T03:30:50Z,2782,4,34.21
74.57,0.97,2021-10-08T19:26:26Z,2781,4,58.42
71.17,0.97,2021-10-08T19:23:04Z,2780,5,56.93
82.02,0.98,2021-10-08T19:22:10Z,2779,5,46.48
83.61,0.98,2021-10-08T19:21:28Z,2778,5,51.56
78,0.98,2021-10-03T08:40:54Z,2777,5,52
76.52,0.97,2021-10-03T08:40:16Z,2776,5,48.46
74.31,0.97,2021-10-03T08:39:29Z,2775,5,74.31
61.27,0.94,2021-10-03T08:38:25Z,2774,5,39.83
74.73,0.98,2021-10-01T06:53:59Z,2773,5,48.57
70.19,0.97,2021-10-01T06:53:08Z,2772,5,45.62
63.49,0.97,2021-10-01T06:52:20Z,2771,5,48.67
91.69,1,2021-09-29T12:25:09Z,2770,5,62.66
69.5,0.97,2021-09-25T09:54:05Z,2769,5,84.55
68.79,0.97,2021-09-19T09:10:03Z,2768,5,45.86
75.7,0.99,2021-09-19T09:07:51Z,2767,4,55.51
65.87,0.98,2021-09-19T09:00:34Z,2766,5,54.89
79.03,0.98,2021-09-18T07:08:30Z,2765,4,50.05
83.52,1,2021-09-18T07:06:45Z,2764,5,71
74.73,0.97,2021-09-18T07:04:24Z,2763,5,77.22
75.46,0.99,2021-09-18T07:03:24Z,2762,5,40.24
75.98,0.98,2021-09-18T07:02:44Z,2761,5,41.79
71.12,0.98,2021-09-18T07:00:41Z,2760,5,55.71
75.34,0.99,2021-09-17T19:01:08Z,2759,5,55.25
72.48,0.97,2021-09-17T19:00:22Z,2758,5,83.35
78.67,0.97,2021-09-17T18:58:49Z,2757,5,61.62
79.39,0.98,2021-09-17T18:57:16Z,2756,5,44.99
71.9,0.96,2021-09-17T18:56:37Z,2755,5,79.09
81.77,0.98,2021-09-17T18:55:16Z,2754,5,39.52
80.99,0.98,2021-09-17T06:27:19Z,2753,4,102.59
75.92,0.95,2021-09-16T17:56:06Z,2752,5,26.57
62.14,0.97,2021-09-14T19:47:30Z,2751,5,74.56
73.7,0.99,2021-09-14T19:45:49Z,2750,5,52.82
65.34,0.97,2021-09-14T19:44:33Z,2749,5,54.45
69.37,0.98,2021-09-14T19:43:02Z,2748,4,55.49
62.98,0.98,2021-09-14T19:41:48Z,2747,5,58.78
58.92,0.97,2021-09-14T19:40:27Z,2746,5,43.21
71.25,0.98,2021-09-14T19:39:18Z,2745,5,26.12
64.46,0.97,2021-09-14T19:38:09Z,2744,5,61.24
67.51,0.97,2021-09-14T19:36:32Z,2743,4,83.26
70.37,0.99,2021-09-14T19:35:08Z,2742,5,31.67
64.81,0.98,2021-09-14T19:34:16Z,2741,5,55.09
57.4,0.96,2021-09-14T19:32:54Z,2740,5,61.22
56.12,0.96,2021-09-14T19:31:05Z,2739,5,42.09
68.14,0.99,2021-09-14T19:29:53Z,2738,5,68.14
65.49,0.98,2021-09-14T19:19:35Z,2737,5,52.39
63.11,0.98,2021-09-14T19:18:11Z,2736,5,37.86
65.19,0.98,2021-09-14T19:17:15Z,2735,5,61.93
70.35,0.98,2021-09-14T19:11:54Z,2734,4,86.77
64.54,0.98,2021-09-14T19:09:26Z,2733,5,45.18
63.89,0.97,2021-09-14T19:08:28Z,2732,5,30.88
73.34,0.98,2021-09-14T19:07:43Z,2731,5,45.22
73.06,0.98,2021-09-14T19:06:58Z,2730,5,45.06
73.77,0.98,2021-09-14T19:04:33Z,2729,3,60.24
63.26,0.96,2021-09-14T19:03:28Z,2728,5,37.95
75.09,0.98,2021-09-14T19:02:41Z,2727,5,33.79
73.93,0.99,2021-09-14T19:02:02Z,2726,5,48.06
68.07,0.98,2021-09-14T19:01:13Z,2725,5,31.76
65.4,0.97,2021-09-14T19:00:31Z,2724,5,50.14
79.15,0.99,2021-09-14T18:55:10Z,2723,5,19.79
63.13,0.97,2021-09-14T18:54:19Z,2722,5,42.09
79.55,0.97,2021-09-13T16:09:47Z,2721,5,34.47
71.02,0.96,2021-09-13T16:09:08Z,2720,4,73.39
78.94,0.98,2021-09-13T16:06:58Z,2719,5,40.79
74.36,0.97,2021-09-13T16:05:41Z,2718,4,43.37
84.69,0.98,2021-09-13T16:04:09Z,2717,5,66.34
74.15,0.99,2021-09-12T15:13:57Z,2716,5,103.81
64.58,0.97,2021-09-12T15:12:12Z,2715,5,34.44
77.15,0.98,2021-09-12T15:11:24Z,2714,5,64.29
68.32,0.96,2021-09-11T18:39:47Z,2713,5,119.57
67.34,0.95,2021-09-11T18:37:54Z,2712,5,52.75
65.25,0.97,2021-09-11T18:36:05Z,2711,5,50.02
73.24,0.97,2021-09-11T18:34:00Z,2710,5,37.84
78.39,0.98,2021-09-11T18:33:01Z,2709,3,126.72
68.83,0.96,2021-09-11T18:31:32Z,2708,5,43.59
61.27,0.95,2021-09-10T16:52:05Z,2707,4,27.57
68.55,0.99,2021-09-10T14:41:02Z,2706,4,60.55
62.42,0.97,2021-09-09T06:27:44Z,2705,5,72.82
65.4,0.97,2021-09-09T06:26:07Z,2704,5,41.42
78.33,0.98,2021-09-08T22:58:33Z,2703,5,48.3
62.46,0.97,2021-09-08T22:52:52Z,2702,2,43.72
55.49,0.95,2021-09-08T22:52:01Z,2701,5,24.97
75.27,0.97,2021-09-08T22:51:11Z,2700,4,131.73
86.69,0.99,2021-09-08T14:22:35Z,2699,5,34.67
60.56,0.94,2021-09-08T07:49:00Z,2698,5,31.29
76.28,0.96,2021-09-08T07:45:57Z,2697,5,59.75
74.51,0.96,2021-09-08T07:45:01Z,2696,5,86.92
81.88,0.97,2021-09-07T21:43:17Z,2695,5,64.14
69.95,0.97,2021-09-07T21:42:33Z,2694,4,57.13
80.61,0.99,2021-09-07T21:41:22Z,2693,3,69.87
66.95,0.98,2021-09-07T21:39:41Z,2692,5,40.17
79.15,0.98,2021-09-07T21:38:46Z,2691,3,48.81
66.96,0.96,2021-09-07T21:38:02Z,2690,5,50.22
69.16,0.98,2021-09-07T21:36:27Z,2689,5,91.06
78.41,0.98,2021-09-04T08:07:52Z,2688,5,56.19
87.68,0.98,2021-09-04T08:07:07Z,2687,5,43.84
78.49,0.97,2021-09-04T08:03:54Z,2686,5,43.17
71.74,0.97,2021-09-04T08:03:12Z,2685,4,77.72
64.72,0.97,2021-09-04T08:02:01Z,2684,4,40.99
87.47,0.98,2021-09-04T08:00:42Z,2683,5,67.06
82.77,0.98,2021-09-04T07:58:43Z,2682,5,66.22
71.22,0.98,2021-09-04T07:56:52Z,2681,5,64.09
77.17,0.97,2021-09-04T07:55:13Z,2680,4,82.32
86.12,0.97,2021-09-04T07:52:26Z,2679,5,76.08
81.73,0.98,2021-09-04T07:51:31Z,2678,5,74.92
74.52,0.98,2021-09-04T07:49:54Z,2677,5,43.47
70.34,0.99,2021-09-04T07:49:16Z,2676,5,63.31
77.88,0.98,2021-09-04T07:45:05Z,2675,5,35.05
72.53,0.97,2021-09-04T07:28:19Z,2674,5,68.91
82.05,0.98,2021-09-04T07:26:22Z,2673,5,58.8
77.37,0.98,2021-09-04T07:25:04Z,2672,4,110.89
72.63,0.97,2021-09-03T14:05:41Z,2671,4,56.9
75.96,0.99,2021-09-03T14:04:38Z,2670,5,31.65
72.45,0.97,2021-09-03T13:31:34Z,2669,5,64
90.77,0.99,2021-09-02T13:59:15Z,2668,5,59
67.68,0.96,2021-09-02T13:58:26Z,2667,5,38.35
71.52,0.97,2021-09-02T13:56:26Z,2666,5,66.75
68.91,0.97,2021-09-02T11:39:21Z,2665,4,91.88
75.42,0.97,2021-09-02T11:36:12Z,2664,5,30.17
75.41,0.99,2021-09-02T11:35:34Z,2663,5,33.93
68.57,0.97,2021-09-02T11:34:49Z,2662,5,35.43
66.59,0.98,2021-09-02T11:34:06Z,2661,5,52.16
73.99,0.97,2021-09-02T11:33:02Z,2660,5,43.16
67.87,0.96,2021-09-02T11:32:21Z,2659,5,48.64
68.11,0.96,2021-09-02T11:31:24Z,2658,5,34.05
65.09,0.97,2021-09-02T11:30:10Z,2657,5,65.09
71.3,0.98,2021-09-02T11:28:50Z,2656,4,35.65
69.36,0.98,2021-09-02T11:28:03Z,2655,4,43.93
65,0.97,2021-09-02T11:27:11Z,2654,5,32.5
75.17,0.99,2021-09-02T11:15:14Z,2653,5,63.89
61.85,0.95,2021-09-02T11:14:17Z,2652,5,29.89
62.19,0.95,2021-09-02T11:13:25Z,2651,5,37.31
69.5,0.98,2021-09-02T10:39:44Z,2650,5,60.23
64.91,0.97,2021-09-02T10:38:47Z,2649,5,31.37
75.27,0.99,2021-09-02T10:38:00Z,2648,5,38.89
70.64,0.97,2021-09-02T10:36:05Z,2647,5,43.56
54.58,0.93,2021-09-02T10:30:32Z,2646,5,23.65
64.81,0.96,2021-09-02T10:29:35Z,2645,5,34.57
70.14,0.97,2021-09-02T10:27:48Z,2644,5,42.08
75.27,0.95,2021-09-02T10:26:56Z,2643,5,30.11
65.66,0.97,2021-09-02T10:26:01Z,2642,5,37.21
63.41,0.96,2021-09-02T10:22:24Z,2641,5,44.38
74.76,0.98,2021-09-02T10:21:26Z,2640,4,67.29
69.14,0.97,2021-09-02T10:20:02Z,2639,4,61.07
73.97,0.96,2021-09-02T10:18:33Z,2638,5,49.32
76.47,0.96,2021-09-01T15:07:46Z,2637,5,93.04
80.05,0.99,2021-09-01T15:06:29Z,2636,5,54.7
81.55,1,2021-09-01T15:05:33Z,2635,5,43.49
75.84,0.98,2021-09-01T15:05:00Z,2634,5,50.56
80.4,0.99,2021-09-01T15:03:01Z,2633,5,53.6
73.91,0.97,2021-09-01T15:01:35Z,2632,5,49.27
90.97,0.99,2021-09-01T04:09:39Z,2631,5,78.84
74.33,0.95,2021-09-01T04:08:54Z,2630,5,40.88
71.28,0.97,2021-09-01T04:08:14Z,2629,5,89.1
69.27,0.98,2021-09-01T04:06:59Z,2628,5,38.1
71.39,0.98,2021-08-31T07:05:42Z,2627,4,66.63
69.17,0.98,2021-08-31T06:59:14Z,2626,5,50.73
