wpm,accuracy,time,game_num,racers_num,points
66.52,0.98,2021-10-10T10:02:43Z,2919,5,41.02
66.39,0.98,2021-10-10T07:00:32Z,2918,5,59.75
66.29,0.97,2021-10-03T05:39:31Z,2917,5,68.5
66.77,0.98,2021-10-01T10:21:16Z,2916,5,58.98
66.52,0.97,2021-09-20T04:47:03Z,2915,5,89.8
71.3,0.97,2021-09-09T06:04:32Z,2914,2,106.95
58.92,0.97,2021-09-06T06:58:22Z,2913,5,37.31
73.87,0.97,2021-09-06T06:57:31Z,2912,5,43.09
73.86,0.99,2021-08-14T00:01:35Z,2911,5,49.24
69.46,0.97,2021-08-09T19:00:23Z,2910,4,57.88
75.63,0.98,2021-07-13T09:36:59Z,2909,5,49.16
65.18,0.96,2021-07-13T08:01:35Z,2908,5,45.62
77.54,0.98,2021-07-13T07:12:26Z,2907,5,45.23
70.27,0.96,2021-07-13T07:11:43Z,2906,5,67.93
60.56,0.96,2021-07-05T06:55:25Z,2905,5,44.41
68,0.97,2021-07-05T04:58:18Z,2904,5,56.67
62.25,0.96,2021-07-01T07:06:59Z,2903,5,31.12
74.18,0.98,2021-06-23T06:49:15Z,2902,5,95.2
75.72,0.97,2021-06-20T06:11:56Z,2901,4,36.6
65.52,0.97,2021-06-20T05:14:10Z,2900,5,63.34
61.65,0.97,2021-06-18T00:16:35Z,2899,5,26.71
66.07,0.97,2021-06-15T07:32:18Z,2898,5,61.67
75.87,0.98,2021-06-13T02:32:16Z,2897,5,56.9
61.31,0.96,2021-05-12T03:24:20Z,2896,5,87.88
70.29,0.97,2021-05-07T06:46:12Z,2895,5,94.9
55.87,0.96,2021-05-06T08:13:51Z,2894,5,66.12
67.31,0.96,2021-04-27T20:50:32Z,2893,5,54.97
70.25,0.98,2021-04-26T20:10:34Z,2892,5,62.05
66.85,0.98,2021-04-25T20:59:01Z,2891,5,66.85
57.55,0.96,2021-04-24T20:46:31Z,2890,5,45.08
71.93,0.98,2021-04-24T20:45:10Z,2889,5,68.34
69.99,0.98,2021-04-23T20:39:25Z,2888,5,50.16
65.44,0.96,2021-04-22T20:33:42Z,2887,4,41.45
68.05,0.96,2021-04-21T07:22:38Z,2886,5,70.32
70.26,0.97,2021-04-20T23:35:29Z,2885,5,67.92
76.94,0.97,2021-04-20T07:52:59Z,2884,5,41.03
69.51,0.97,2021-04-20T07:27:06Z,2883,5,56.77
66.54,0.97,2021-04-19T21:59:11Z,2882,5,70.97
68.02,0.98,2021-04-19T21:57:53Z,2881,5,36.28
53.71,0.97,2021-04-19T19:45:32Z,2880,4,34.01
69.75,0.96,2021-04-19T07:25:42Z,2879,5,29.06
86.59,0.99,2021-04-19T06:30:25Z,2878,5,40.41
61.96,0.97,2021-04-15T20:30:40Z,2877,5,37.18
63.33,0.98,2021-04-15T06:15:38Z,2876,5,39.06
64.19,0.97,2021-04-14T19:56:11Z,2875,5,69.54
72.6,0.98,2021-04-14T08:46:27Z,2874,4,30.25
78.55,0.98,2021-04-14T08:45:45Z,2873,5,56.3
61.28,0.95,2021-04-14T05:16:53Z,2872,5,28.6
70.11,0.98,2021-04-13T20:09:49Z,2871,5,65.43
61.77,0.98,2021-04-13T09:49:31Z,2870,5,43.24
69.36,0.98,2021-04-13T07:26:18Z,2869,5,75.14
67.05,0.96,2021-04-13T02:02:37Z,2868,5,51.41
61.63,0.97,2021-04-12T21:36:47Z,2867,5,46.22
63.29,0.98,2021-04-12T21:35:40Z,2866,4,88.61
68.72,0.97,2021-04-12T21:34:05Z,2865,5,61.85
70.57,0.98,2021-04-12T07:44:04Z,2864,5,37.64
61.14,0.96,2021-04-12T05:33:29Z,2863,5,56.04
70.44,0.98,2021-04-12T01:47:58Z,2862,5,51.66
66.82,0.97,2021-04-11T20:02:00Z,2861,5,71.28
76.11,0.98,2021-04-11T06:57:40Z,2860,5,58.35
70.47,0.98,2021-04-11T04:22:14Z,2859,4,89.26
58.08,0.95,2021-04-11T02:43:16Z,2858,4,42.6
70.29,0.96,2021-04-11T02:41:48Z,2857,5,46.86
66.02,0.97,2021-04-10T21:32:36Z,2856,4,83.63
67.12,0.97,2021-04-10T21:30:59Z,2855,5,39.15
71.97,0.97,2021-04-10T20:29:46Z,2854,5,59.98
80.21,0.99,2021-04-10T04:58:35Z,2853,4,52.14
69.31,0.96,2021-04-10T04:57:42Z,2852,5,78.55
69.58,0.97,2021-04-10T04:56:02Z,2851,5,48.7
80.46,0.98,2021-04-10T04:53:26Z,2850,5,96.55
73.34,0.98,2021-04-09T09:11:22Z,2849,5,25.67
66.01,0.97,2021-04-09T09:10:32Z,2848,4,96.82
65.09,0.95,2021-04-09T09:08:42Z,2847,5,54.24
70.02,0.98,2021-04-09T09:07:38Z,2846,5,47.85
66.18,0.97,2021-04-09T09:06:46Z,2845,5,45.22
78.87,0.97,2021-04-09T07:45:31Z,2844,4,38.12
75.21,0.97,2021-04-08T21:15:15Z,2843,4,57.66
77.09,0.98,2021-04-08T21:13:48Z,2842,5,65.53
70.58,0.96,2021-04-08T21:12:18Z,2841,5,89.4
71.87,0.98,2021-04-08T21:10:48Z,2840,5,47.91
75.86,0.97,2021-04-08T07:38:55Z,2839,5,53.1
65.43,0.97,2021-04-08T05:06:51Z,2838,5,43.62
59.39,0.95,2021-04-08T02:20:50Z,2837,5,53.45
64.77,0.97,2021-04-07T22:02:26Z,2836,5,70.17
64.48,0.96,2021-04-07T22:00:56Z,2835,5,42.98
60.3,0.97,2021-04-07T21:58:24Z,2834,5,30.15
72.96,0.97,2021-04-07T21:56:41Z,2833,5,68.1
71.88,0.98,2021-04-07T09:22:08Z,2832,4,35.94
70.91,0.98,2021-04-07T08:32:00Z,2831,5,69.73
61.12,0.96,2021-04-07T08:30:44Z,2830,5,30.56
62.77,0.95,2021-04-07T06:06:45Z,2829,5,49.17
71.23,0.97,2021-04-07T02:28:17Z,2828,5,97.35
73.37,0.98,2021-04-07T02:25:25Z,2827,5,52.58
65.76,0.97,2021-04-06T09:34:09Z,2826,4,55.89
65.11,0.97,2021-04-06T09:32:46Z,2825,5,62.94
69.42,0.97,2021-04-06T06:54:44Z,2824,5,70.58
76.15,0.98,2021-04-05T06:09:13Z,2823,5,45.69
60.16,0.97,2021-04-04T18:57:39Z,2822,4,48.13
66.98,0.97,2021-04-03T09:23:16Z,2821,5,98.23
64.71,0.98,2021-04-03T09:16:26Z,2820,5,81.96
67.83,0.98,2021-04-02T07:49:59Z,2819,4,76.88
63.44,0.96,2021-04-01T02:01:49Z,2818,5,121.6
64.97,0.97,2021-04-01T01:59:45Z,2817,5,14.08
63.9,0.96,2021-04-01T01:59:01Z,2816,4,51.12
64.53,0.97,2021-03-31T08:07:32Z,2815,5,59.15
59.85,0.96,2021-03-31T08:03:45Z,2814,5,55.86
71.58,0.98,2021-03-31T08:02:24Z,2813,5,58.45
71.87,0.98,2021-03-30T07:42:38Z,2812,5,83.85
74.25,0.98,2021-03-30T07:41:03Z,2811,5,64.35
70.05,0.97,2021-03-30T07:39:29Z,2810,5,39.69
68.24,0.98,2021-03-30T07:38:44Z,2809,5,30.71
67.43,0.98,2021-03-30T07:38:00Z,2808,5,53.94
70.9,0.98,2021-03-30T07:36:55Z,2807,5,61.45
73.06,0.98,2021-03-30T07:35:55Z,2806,4,45.05
71.77,0.97,2021-03-30T07:35:10Z,2805,5,37.08
64.4,0.97,2021-03-30T00:13:13Z,2804,5,59.03
58.54,0.94,2021-03-29T21:41:48Z,2803,5,33.17
60.8,0.95,2021-03-29T07:55:20Z,2802,4,37.5
66.13,0.97,2021-03-29T07:53:32Z,2801,5,92.58
73.9,0.97,2021-03-29T07:51:41Z,2800,5,44.34
69.73,0.97,2021-03-29T07:49:37Z,2799,4,142.94
73.41,0.98,2021-03-29T07:47:35Z,2798,5,91.77
68.11,0.97,2021-03-29T07:46:14Z,2797,5,35.19
66.91,0.97,2021-03-29T05:06:39Z,2796,4,60.22
75.94,0.97,2021-03-29T05:04:19Z,2795,5,96.19
76.06,0.98,2021-03-29T05:02:53Z,2794,5,63.39
76.69,0.99,2021-03-29T05:01:54Z,2793,5,99.7
72.39,0.99,2021-03-29T05:00:13Z,2792,5,48.26
70.25,0.98,2021-03-29T04:59:10Z,2791,5,78.45
76.11,0.99,2021-03-29T04:57:56Z,2790,5,57.08
67.49,0.98,2021-03-29T04:57:00Z,2789,5,40.49
63.48,0.96,2021-03-29T04:55:46Z,2788,4,76.18
70.95,0.98,2021-03-29T04:54:21Z,2787,5,46.12
72,0.97,2021-03-29T01:38:26Z,2786,5,50.4
73.21,0.97,2021-03-28T08:17:08Z,2785,5,51.25
56.62,0.98,2021-03-28T08:16:05Z,2784,5,32.09
60.92,0.98,2021-03-28T08:15:00Z,2783,5,34.52
59.23,0.96,2021-03-28T08:14:12Z,2782,5,38.5
68.32,0.99,2021-03-28T08:13:15Z,2781,5,18.22
61.72,0.96,2021-03-28T07:45:35Z,2780,5,69.95
67.22,0.98,2021-03-28T07:44:17Z,2779,5,45.94
80.05,0.98,2021-03-28T07:42:15Z,2778,5,42.69
67.24,0.96,2021-03-28T03:11:48Z,2777,5,107.59
66.4,0.96,2021-03-28T02:54:39Z,2776,5,52.02
61.42,0.96,2021-03-27T08:33:17Z,2775,5,47.09
64.42,0.97,2021-03-27T08:32:10Z,2774,5,39.73
58.67,0.95,2021-03-27T08:31:18Z,2773,5,62.58
71.96,0.98,2021-03-27T08:29:49Z,2772,4,37.18
56.5,0.96,2021-03-27T08:27:40Z,2771,5,58.38
70.69,0.97,2021-03-27T08:25:16Z,2770,5,41.23
64.79,0.97,2021-03-27T08:24:27Z,2769,5,50.76
62.43,0.96,2021-03-27T08:23:25Z,2768,5,55.14
73.09,0.98,2021-03-27T08:21:34Z,2767,5,53.6
69.96,0.98,2021-03-27T08:19:40Z,2766,5,50.14
66.63,0.98,2021-03-27T08:18:52Z,2765,5,41.09
73.89,0.98,2021-03-25T07:43:30Z,2764,4,46.8
66.54,0.97,2021-03-25T05:50:28Z,2763,4,44.36
75.98,0.99,2021-03-24T01:43:45Z,2762,5,65.85
76.28,0.98,2021-03-22T07:45:58Z,2761,5,63.57
79.03,0.98,2021-03-22T07:44:42Z,2760,5,69.81
65.29,0.98,2021-03-21T03:49:56Z,2759,5,67.46
69.38,0.97,2021-03-17T03:46:47Z,2758,4,42.79
77.7,0.99,2021-03-17T03:45:36Z,2757,5,47.91
67.65,0.98,2021-03-07T22:08:49Z,2756,5,36.08
69.24,0.98,2021-03-07T22:05:06Z,2755,4,94.63
67.01,0.99,2021-03-07T20:36:52Z,2754,5,34.62
