wpm,accuracy,time,game_num,racers_num,points
80.3,0.99,2021-11-05T07:09:15Z,2576,5,80.3
64.25,0.96,2021-11-05T07:08:10Z,2575,5,38.55
78.6,0.98,2021-11-05T07:07:22Z,2574,5,75.98
81.37,1,2021-11-05T07:06:20Z,2573,5,73.24
84.62,0.98,2021-10-13T07:30:16Z,2572,5,32.44
71.32,0.97,2021-10-12T09:59:02Z,2571,5,51.11
78.22,0.98,2021-10-12T09:58:04Z,2570,4,62.58
86.19,0.99,2021-10-12T09:57:07Z,2569,5,94.81
65.29,0.99,2021-09-23T11:04:51Z,2568,5,57.68
85.68,1,2021-09-23T11:03:37Z,2567,5,67.11
72.08,0.97,2021-09-23T11:02:31Z,2566,5,62.47
75.63,0.98,2021-09-23T11:01:31Z,2565,5,60.5
76.41,0.97,2021-09-02T09:12:19Z,2564,5,53.49
72.09,0.98,2021-09-02T09:11:27Z,2563,4,63.68
78.22,0.98,2021-09-02T09:10:13Z,2562,5,32.59
66.44,0.98,2021-09-02T09:09:34Z,2561,5,35.43
80.05,0.98,2019-07-23T12:38:14Z,2560,3,86.72
82.56,0.98,2019-07-23T11:59:12Z,2559,5,60.55
74.3,0.98,2019-07-23T11:54:28Z,2558,3,75.54
80.24,0.98,2019-07-23T11:53:18Z,2557,5,139.08
85.7,0.99,2019-07-15T11:00:51Z,2556,3,104.27
66.73,0.99,2019-07-15T10:44:22Z,2555,5,52.27
68.08,0.97,2019-07-15T10:43:25Z,2554,4,49.92
83.59,0.97,2019-07-15T09:00:55Z,2553,5,37.62
94.54,0.99,2019-07-15T09:00:16Z,2552,5,59.87
86.12,0.99,2019-07-15T08:05:36Z,2551,4,44.5
71.14,0.97,2019-07-15T06:20:50Z,2550,4,64.02
84.87,0.98,2019-07-15T06:19:39Z,2549,2,106.09
68.48,0.97,2019-07-05T11:32:28Z,2548,4,50.22
92.18,0.98,2019-07-05T11:27:47Z,2547,5,64.53
75.86,0.99,2019-07-05T07:13:09Z,2546,5,54.37
63.72,0.98,2019-07-05T07:12:13Z,2545,5,56.28
65.91,0.99,2019-07-05T06:14:13Z,2544,5,35.15
24.11,0.94,2019-07-04T09:33:54Z,2543,5,16.48
42.3,0.95,2019-07-04T09:26:22Z,2542,2,40.18
43.73,0.94,2019-07-04T09:24:30Z,2541,2,43
46.03,0.96,2019-07-04T09:22:16Z,2540,2,46.79
44.88,0.96,2019-07-04T09:20:09Z,2539,2,33.66
42.28,0.94,2019-07-04T09:18:21Z,2538,2,43.69
42.78,0.93,2019-07-04T09:16:24Z,2537,2,24.24
46.13,0.97,2019-07-04T09:14:47Z,2536,2,36.9
45.84,0.96,2019-07-04T09:13:03Z,2535,2,39.73
38.72,0.91,2019-07-04T09:11:21Z,2534,2,15.49
48.23,0.96,2019-07-04T09:10:09Z,2533,2,48.23
38.09,0.94,2019-07-04T09:08:01Z,2532,2,35.55
46.66,0.96,2019-07-04T09:05:51Z,2531,2,27.22
31.43,0.94,2019-07-04T09:04:20Z,2530,2,10.48
44.04,0.95,2019-07-04T09:02:59Z,2529,2,17.62
52.61,0.97,2019-07-04T09:01:47Z,2528,2,53.48
36.98,0.94,2019-07-04T08:57:50Z,2527,2,12.33
42.32,0.93,2019-07-04T08:56:48Z,2526,2,15.52
37.25,0.94,2019-07-04T08:55:38Z,2525,2,17.38
42.09,0.96,2019-07-04T08:54:12Z,2524,2,23.15
32.61,0.93,2019-07-04T08:52:44Z,2523,2,24.45
81.91,0.96,2019-07-04T08:00:34Z,2522,5,70.99
82.21,0.98,2019-07-04T07:59:41Z,2521,5,71.25
90.49,0.99,2019-07-04T07:44:42Z,2520,4,111.61
80.5,0.97,2019-07-04T07:43:24Z,2519,5,50.98
80.67,0.98,2019-07-04T07:39:41Z,2518,5,55.13
93.39,0.99,2019-07-04T07:38:28Z,2517,4,70.04
83.66,0.99,2019-07-03T09:07:34Z,2516,4,87.84
83.2,0.99,2019-07-03T08:46:30Z,2515,4,105.39
82.34,0.98,2019-07-03T08:30:13Z,2514,5,100.18
78.21,0.98,2019-07-03T08:09:06Z,2513,4,70.39
75.37,0.99,2019-07-03T08:08:05Z,2512,4,48.99
85.74,0.98,2019-07-03T08:00:14Z,2511,4,105.75
