wpm,accuracy,time,game_num,racers_num,points
77.89,0.95,2019-05-28T19:51:00Z,2648,5,79.19
96.89,0.99,2019-05-19T21:17:18Z,2647,5,82.36
94.4,0.98,2019-05-19T21:16:30Z,2646,5,55.06
91.02,0.98,2019-05-19T21:15:53Z,2645,4,87.99
89.44,0.98,2019-05-19T21:15:04Z,2644,5,64.1
76.62,0.95,2019-05-19T18:51:00Z,2643,5,43.42
99.17,0.98,2019-05-19T18:50:10Z,2642,5,82.64
89.51,0.96,2019-05-19T18:49:26Z,2641,5,67.13
87.15,0.97,2019-05-19T18:48:48Z,2640,5,84.25
85.63,0.98,2019-05-19T18:47:20Z,2639,5,85.63
95.44,0.99,2019-05-19T18:46:26Z,2638,5,54.08
89.41,0.97,2019-05-18T17:27:15Z,2637,3,68.55
83.34,0.97,2019-05-18T17:25:46Z,2636,2,63.89
95.69,0.97,2019-05-18T17:24:36Z,2635,5,57.41
90.02,0.97,2019-05-18T17:23:30Z,2634,5,102.03
87.74,0.98,2019-05-13T16:30:13Z,2633,5,68.73
94.25,0.98,2019-05-13T16:29:33Z,2632,5,76.97
92.22,0.97,2019-05-13T16:28:47Z,2631,5,70.7
91.37,0.97,2019-05-13T16:28:03Z,2630,4,97.46
93.12,0.98,2019-05-13T16:27:04Z,2629,5,80.71
92.48,0.97,2019-05-13T16:26:18Z,2628,4,70.9
93.52,0.97,2019-05-13T16:25:33Z,2627,5,116.9
103.23,0.98,2019-05-13T16:24:32Z,2626,5,80.86
95.52,0.97,2019-05-13T16:23:55Z,2625,5,63.68
88.36,0.97,2019-05-13T16:23:15Z,2624,5,76.58
93.5,0.97,2019-05-13T16:22:27Z,2623,5,134.02
94.71,0.97,2019-05-13T16:20:30Z,2622,4,142.07
108.76,0.98,2019-05-13T16:18:30Z,2621,5,56.19
84.2,0.96,2019-05-13T15:25:19Z,2620,5,106.65
85.09,0.97,2019-05-13T15:23:52Z,2619,4,58.14
76.71,0.96,2019-05-13T15:23:01Z,2618,4,85.66
87.26,0.96,2019-05-12T22:58:01Z,2617,5,49.45
81.71,0.97,2019-05-12T22:57:26Z,2616,5,66.73
88.35,0.97,2019-05-12T22:56:35Z,2615,5,153.14
86.78,0.96,2019-05-12T22:55:09Z,2614,3,88.22
92.78,0.96,2019-02-11T22:24:44Z,2613,5,72.68
98.04,0.99,2019-02-11T22:23:51Z,2612,5,98.04
84.36,0.97,2019-02-11T22:22:58Z,2611,5,102.64
95.34,0.98,2019-02-11T22:21:39Z,2610,5,74.68
89.81,0.97,2019-02-11T22:20:56Z,2609,5,56.88
73.47,0.96,2019-02-11T22:19:00Z,2608,5,39.18
85.72,0.97,2019-02-11T22:18:17Z,2607,4,78.58
85.36,0.97,2019-02-11T20:09:31Z,2606,5,56.9
88.69,0.97,2019-02-11T20:08:05Z,2605,5,69.48
90.88,0.97,2019-02-11T20:07:09Z,2604,5,59.07
89.16,0.97,2019-02-11T20:05:34Z,2603,4,86.19
94.39,0.97,2019-02-11T20:04:38Z,2602,5,105.4
68.91,0.95,2019-02-11T20:03:21Z,2601,4,62.02
84.97,0.98,2019-01-27T17:07:24Z,2600,4,66.56
102.7,0.99,2019-01-27T17:06:20Z,2599,5,46.22
87.13,0.97,2019-01-27T17:01:59Z,2598,2,69.7
82.21,0.97,2019-01-26T11:00:47Z,2597,5,61.66
79.29,0.98,2018-09-10T19:26:17Z,2596,3,70.04
87.57,0.97,2018-09-10T19:25:24Z,2595,5,48.16
90.99,0.98,2018-09-10T19:24:51Z,2594,2,33.36
99.82,0.99,2018-09-10T19:24:11Z,2593,5,81.52
85.28,0.99,2018-09-10T19:21:46Z,2592,5,32.69
104.71,0.99,2018-09-10T19:21:08Z,2591,5,71.55
90.34,0.98,2018-09-03T09:44:44Z,2590,5,67.75
97.79,0.98,2018-09-03T09:43:22Z,2589,5,94.53
94.45,0.98,2018-09-03T09:41:57Z,2588,5,94.45
88.62,0.98,2018-06-21T16:55:56Z,2587,5,81.23
93.62,0.97,2018-06-21T16:55:02Z,2586,5,84.26
88.72,0.97,2018-06-17T20:49:01Z,2585,5,112.38
89.98,0.96,2018-06-17T20:47:51Z,2584,5,49.49
93.22,0.98,2018-06-17T20:47:16Z,2583,5,55.93
90.14,0.97,2018-06-17T20:45:37Z,2582,5,57.09
125.62,1,2018-06-17T20:44:28Z,2581,5,64.91
78.91,0.98,2018-04-27T20:12:56Z,2580,5,51.29
102.02,0.99,2018-04-27T20:12:10Z,2579,5,142.83
92.06,0.99,2018-04-03T19:41:54Z,2578,3,84.39
92.28,0.97,2018-03-19T18:01:58Z,2577,4,101.51
85.64,0.98,2018-02-22T05:47:42Z,2576,3,44.25
88.93,0.97,2018-02-22T05:46:50Z,2575,4,69.66
93.35,0.98,2018-02-22T05:45:48Z,2574,5,107.35
97.5,0.98,2018-02-22T05:38:38Z,2573,4,170.63
93.33,0.98,2018-02-22T05:36:47Z,2572,5,82.44
99.32,0.99,2018-02-22T05:35:44Z,2571,5,94.35
97.12,0.99,2018-02-22T05:32:48Z,2570,5,79.32
92.05,0.98,2018-02-22T05:32:11Z,2569,4,90.52
102.14,0.99,2018-02-11T05:26:36Z,2568,4,129.38
89.78,0.98,2018-02-04T03:56:11Z,2567,4,146.64
95.31,0.98,2018-02-04T03:55:01Z,2566,3,131.84
95.23,0.98,2018-02-04T03:53:09Z,2565,5,109.52
101.42,0.99,2018-02-04T03:52:09Z,2564,4,67.61
71.52,0.96,2018-02-04T03:51:34Z,2563,2,45.3
88.58,0.98,2018-02-04T03:49:36Z,2562,4,82.67
