wpm,accuracy,time,game_num,racers_num,points
73.31,0.96,2021-02-28T20:39:33Z,2959,5,75.75
71.08,0.94,2021-02-28T20:38:25Z,2958,5,39.1
71.02,0.95,2021-02-28T20:37:40Z,2957,5,98.25
71.35,0.97,2021-02-28T20:36:14Z,2956,5,52.32
67.89,0.96,2021-02-28T20:35:17Z,2955,4,79.2
80.88,0.97,2021-02-28T20:34:05Z,2954,5,52.57
82.04,0.98,2021-02-28T20:33:21Z,2953,5,56.06
64.85,0.96,2020-12-18T20:43:52Z,2952,5,100.52
83.26,0.97,2020-12-18T20:42:05Z,2951,5,86.03
86.93,0.98,2020-12-18T20:41:01Z,2950,5,98.52
70.8,0.96,2020-12-18T20:39:54Z,2949,5,40.12
71.52,0.97,2020-12-18T20:39:12Z,2948,5,114.43
87.95,0.98,2020-12-18T20:37:33Z,2947,4,99.68
68.84,0.96,2020-09-27T12:40:11Z,2946,5,44.74
69.36,0.96,2020-09-27T12:39:17Z,2945,5,49.71
74.06,0.96,2020-09-27T12:38:19Z,2944,5,65.42
77.82,0.97,2020-09-27T12:37:16Z,2943,5,106.36
69.17,0.96,2020-09-27T12:35:59Z,2942,5,146.4
91.04,0.98,2020-09-27T12:33:53Z,2941,5,34.9
75.85,0.97,2020-09-27T12:32:25Z,2940,5,74.59
81.87,0.98,2020-09-27T12:31:29Z,2939,5,65.5
71.99,0.96,2020-09-27T12:30:39Z,2938,5,94.78
75.17,0.97,2020-09-27T12:29:07Z,2937,5,117.76
75.23,0.96,2020-09-27T12:27:23Z,2936,5,65.2
66.25,0.95,2020-09-27T12:26:31Z,2935,5,43.06
81.89,0.98,2020-09-27T12:25:32Z,2934,4,131.02
86.32,0.99,2020-09-27T12:24:13Z,2933,5,64.74
65.07,0.95,2020-09-27T12:23:31Z,2932,5,26.03
69.76,0.96,2020-09-27T12:22:46Z,2931,5,43.02
85.46,0.97,2020-09-27T12:21:54Z,2930,5,42.73
87.68,0.99,2020-09-27T12:21:17Z,2929,4,46.76
86.19,0.98,2020-09-27T12:20:41Z,2928,5,47.41
63.9,0.95,2020-03-14T11:09:21Z,2927,5,80.94
76.53,0.97,2020-03-14T11:08:03Z,2926,4,43.36
72.91,0.96,2020-03-14T11:07:18Z,2925,5,37.67
57.98,0.95,2020-03-14T11:06:29Z,2924,5,77.31
69.88,0.97,2020-03-14T11:01:45Z,2923,5,66.39
63.03,0.95,2020-03-14T11:00:21Z,2922,5,43.07
66.21,0.95,2020-03-14T10:59:25Z,2921,5,56.27
69.34,0.96,2020-03-14T10:58:11Z,2920,4,125.97
