wpm,accuracy,time,game_num,racers_num,points
79.03,0.95,2021-11-20T15:07:47Z,3024,4,61.9
84.74,0.96,2021-11-20T15:06:48Z,3023,4,64.97
86.92,0.95,2021-11-20T15:05:59Z,3022,5,55.05
79.89,0.95,2021-11-20T15:05:16Z,3021,5,38.62
77.67,0.95,2021-11-20T15:04:40Z,3020,5,77.67
96.04,0.96,2021-11-20T15:03:34Z,3019,5,72.03
83.88,0.95,2021-11-20T15:02:56Z,3018,4,113.24
107.05,0.98,2021-11-20T15:01:30Z,3017,5,94.56
78.42,0.96,2021-11-20T14:58:21Z,3016,5,32.67
102.78,0.98,2021-11-19T15:57:11Z,3015,5,97.64
85.08,0.95,2021-11-17T16:32:32Z,3014,5,85.08
90.22,0.96,2021-11-17T16:31:34Z,3013,5,90.22
73.38,0.93,2021-11-17T16:30:38Z,3012,5,24.46
85,0.95,2021-11-17T16:30:07Z,3011,4,119.01
80.17,0.95,2021-11-17T16:27:00Z,3010,5,50.77
99.76,0.98,2021-11-17T16:26:14Z,3009,5,88.12
78.2,0.94,2021-11-17T16:25:18Z,3008,4,78.2
103.97,0.98,2021-11-16T21:10:36Z,3007,4,90.1
81.96,0.95,2021-11-16T21:09:51Z,3006,5,72.39
102.34,0.97,2021-11-16T21:05:38Z,3005,5,69.93
82.68,0.95,2021-11-16T21:04:59Z,3004,3,64.77
84.34,0.96,2021-11-16T21:03:26Z,3003,4,102.61
84.51,0.94,2021-11-16T21:02:12Z,3002,5,59.16
90.04,0.95,2021-11-16T21:01:24Z,3001,5,82.54
97.23,0.96,2021-11-16T21:00:33Z,3000,5,51.86
89.35,0.96,2021-11-16T20:59:54Z,2999,4,120.62
87.09,0.96,2021-11-16T20:58:27Z,2998,4,117.57
79.01,0.94,2021-11-14T15:40:52Z,2997,5,131.69
90.54,0.96,2021-11-14T15:39:25Z,2996,5,110.16
83.47,0.95,2021-11-14T15:38:18Z,2995,5,57.04
81.96,0.94,2021-11-14T15:37:19Z,2994,5,65.57
81.12,0.95,2021-11-14T15:36:26Z,2993,5,85.18
66.5,0.94,2021-11-14T15:34:42Z,2992,5,34.36
95.96,0.97,2021-11-14T15:33:57Z,2991,5,54.37
76.71,0.95,2021-11-14T15:33:17Z,2990,5,53.7
80.74,0.95,2021-11-14T15:32:22Z,2989,5,74.01
86.39,0.95,2021-11-14T15:31:20Z,2988,5,83.51
84.79,0.95,2021-11-14T15:30:19Z,2987,5,56.53
82.18,0.95,2021-11-14T15:29:27Z,2986,5,69.85
98.54,0.97,2021-11-13T15:05:50Z,2985,3,172.44
81.06,0.95,2021-11-13T15:04:32Z,2984,4,63.5
83.51,0.96,2021-11-13T15:03:43Z,2983,5,68.2
78.91,0.95,2021-11-13T15:02:49Z,2982,5,48.66
90.41,0.95,2021-11-13T15:02:00Z,2981,5,78.36
78.32,0.95,2021-11-13T15:01:14Z,2980,5,48.3
87.65,0.96,2021-11-13T14:58:33Z,2979,5,59.89
79.67,0.95,2021-11-13T14:57:52Z,2978,5,34.52
84.64,0.96,2021-11-13T14:57:25Z,2977,4,67.71
99.69,0.96,2021-11-13T14:54:55Z,2976,5,46.52
86.56,0.96,2021-11-13T14:54:28Z,2975,5,56.26
85.49,0.96,2021-11-13T14:53:35Z,2974,5,88.34
77.94,0.93,2021-11-13T14:52:35Z,2973,5,35.07
95.55,0.96,2021-11-13T14:51:57Z,2972,5,74.85
91.3,0.97,2021-11-13T14:51:14Z,2971,5,65.43
