accuracy,racers_num,wpm,time,game_num,points
1,5,96.58,2019-11-14T08:37:44Z,2964,67.61
0.98,5,93.09,2019-11-14T08:36:59Z,2963,102.4
0.97,2,66.96,2019-11-14T08:36:00Z,2962,46.87
0.99,5,99.37,2019-11-14T08:34:48Z,2961,91.09
0.98,3,85.59,2019-11-14T08:33:31Z,2960,95.58
0.99,5,89.82,2019-11-13T13:45:19Z,2959,77.85
0.98,5,83.42,2019-11-13T13:44:13Z,2958,51.45
0.99,5,99.07,2019-11-13T13:43:19Z,2957,105.68
0.99,5,89.23,2019-10-10T17:13:13Z,2956,101.13
0.98,5,85.09,2019-10-10T17:12:16Z,2955,59.56
0.99,5,102.32,2019-10-10T17:11:24Z,2954,57.98
0.99,5,86.35,2019-10-08T01:18:37Z,2953,59.01
0.95,5,67.55,2019-10-08T01:14:25Z,2952,19.14
0.98,5,88.43,2019-10-08T01:12:52Z,2951,141.49
0.98,3,87.24,2019-10-06T13:56:53Z,2950,52.34
0.98,4,83.13,2019-10-06T11:24:07Z,2949,59.58
0.99,5,93.52,2019-10-06T11:23:26Z,2948,95.08
0.98,3,83.26,2019-09-27T04:45:26Z,2947,111.01
0.99,4,100.81,2019-09-27T04:44:02Z,2946,126.02
0.98,5,85.61,2019-09-19T07:54:31Z,2945,95.59
0.99,3,90.46,2019-09-19T07:53:16Z,2944,129.66
0.98,4,77.94,2019-09-19T07:52:03Z,2943,44.17
0.98,5,79.44,2019-09-19T07:51:18Z,2942,71.5
0.97,4,84.35,2019-09-19T07:50:18Z,2941,178.54
0.98,4,82.71,2019-08-07T01:35:17Z,2940,95.12
0.98,5,90.04,2019-06-28T10:37:51Z,2939,49.52
0.98,5,81.24,2019-06-28T10:34:49Z,2938,81.24
0.97,4,79.63,2019-06-28T10:32:25Z,2937,114.14
0.98,5,84.75,2019-06-28T10:26:57Z,2936,52.26
0.99,4,92.75,2019-06-27T10:09:05Z,2935,109.75
0.98,4,79.85,2019-06-15T12:16:18Z,2934,71.87
0.98,5,84.43,2019-06-15T12:07:59Z,2933,80.21
0.97,3,84.31,2019-06-15T12:06:43Z,2932,53.4
0.98,5,78.05,2019-06-13T19:34:39Z,2931,70.25
1,4,99.84,2019-06-13T15:57:25Z,2930,78.21
0.98,4,76.92,2019-06-13T15:56:10Z,2929,38.46
0.99,5,89.58,2019-06-13T15:55:18Z,2928,70.17
0.99,4,93.76,2019-06-13T15:54:22Z,2927,67.19
0.99,5,87.83,2019-06-13T15:53:33Z,2926,58.55
0.98,5,83.29,2019-06-13T15:46:14Z,2925,113.83
0.98,2,84.86,2019-06-13T05:38:02Z,2924,74.96
0.99,5,87.29,2019-06-13T05:36:53Z,2923,125.12
1,5,98.89,2019-06-13T05:35:29Z,2922,59.33
0.98,5,85.84,2019-06-12T14:31:44Z,2921,157.37
1,5,88.76,2019-06-12T12:18:53Z,2920,87.28
0.99,5,105.92,2019-06-12T12:17:39Z,2919,74.15
0.99,5,88.8,2019-06-12T12:16:13Z,2918,127.28
0.97,4,77.85,2019-06-12T10:57:42Z,2917,71.36
0.99,5,90.38,2019-06-12T10:56:31Z,2916,72.3
0.98,5,83.42,2019-06-12T10:55:36Z,2915,52.83
0.97,5,86.36,2019-06-12T10:54:36Z,2914,53.25
0.98,4,78.92,2019-06-12T10:53:54Z,2913,46.04
0.97,4,84.3,2019-06-12T10:52:20Z,2912,60.41
0.98,5,83.44,2019-06-12T10:51:24Z,2911,58.41
0.98,4,94.77,2019-06-12T10:49:47Z,2910,80.55
0.97,3,79.6,2019-06-11T03:54:58Z,2909,47.76
0.98,3,79.35,2019-06-10T13:29:46Z,2908,54.23
0.98,2,79.88,2019-06-10T13:28:54Z,2907,117.16
1,4,89.67,2019-06-10T10:41:49Z,2906,83.7
0.98,4,88.39,2019-06-05T04:57:48Z,2905,126.69
0.97,5,80.19,2019-06-05T04:45:32Z,2904,72.17
0.99,4,93.13,2019-06-05T04:41:11Z,2903,144.35
0.98,4,81.69,2019-06-05T04:39:56Z,2902,102.11
0.99,5,97.67,2019-06-05T04:38:15Z,2901,112.32
0.99,5,81.97,2019-06-05T04:37:07Z,2900,61.48
0.99,5,92.37,2019-06-05T04:35:42Z,2899,40.03
1,5,111.32,2019-06-05T04:34:26Z,2898,59.37
0.98,5,75.49,2019-06-03T03:50:19Z,2897,66.68
0.97,4,83.08,2019-06-03T03:49:24Z,2896,59.54
0.96,5,74.61,2019-06-03T03:48:39Z,2895,41.03
0.97,4,76.9,2019-06-03T03:39:21Z,2894,149.96
0.95,4,62.05,2019-06-03T03:37:30Z,2893,34.13
0.99,5,87.89,2019-05-29T21:36:33Z,2892,82.03
0.96,5,55.09,2019-05-29T21:34:55Z,2891,15.61
0.98,5,84.95,2019-05-29T21:16:40Z,2890,79.29
0.98,5,84.72,2019-05-29T21:15:45Z,2889,88.95
0.98,5,79.92,2019-05-29T12:35:31Z,2888,51.95
0.98,4,84.62,2019-05-29T12:34:47Z,2887,78.98
0.99,4,92.13,2019-05-29T12:22:10Z,2886,70.63
0.96,4,80.73,2019-05-29T12:21:17Z,2885,61.89
1,5,106.41,2019-05-29T12:20:16Z,2884,63.85
0.99,4,83.35,2019-05-29T12:18:49Z,2883,168.09
0.98,5,82.03,2019-05-29T12:16:03Z,2882,38.28
0.99,5,99.99,2019-05-29T12:15:18Z,2881,58.33
0.99,4,88.37,2019-05-29T10:26:46Z,2880,114.88
0.98,4,84.32,2019-05-28T02:31:46Z,2879,155.99
0.98,5,76.54,2019-05-28T00:12:29Z,2878,63.78
0.98,5,78.09,2019-05-27T21:44:48Z,2877,36.44
0.99,4,94.4,2019-05-27T21:44:00Z,2876,180.93
0.98,5,79.22,2019-05-25T20:21:00Z,2875,46.21
0.98,4,82.12,2019-05-25T19:09:29Z,2874,72.54
0.98,5,83.66,2019-05-23T22:29:08Z,2873,73.9
0.98,4,87.97,2019-05-23T11:22:03Z,2872,64.51
0.99,5,91.64,2019-05-23T11:21:06Z,2871,90.12
0.97,3,71.83,2019-05-23T11:19:06Z,2870,75.42
0.97,5,72.86,2019-05-23T10:41:41Z,2869,51
0.99,2,88.08,2019-05-23T10:40:38Z,2868,66.06
0.98,5,84.99,2019-05-23T10:38:43Z,2867,73.66
0.98,5,89.05,2019-05-23T04:23:51Z,2866,46.01
0.99,2,96.59,2019-05-23T04:23:11Z,2865,72.45
