wpm,accuracy,time,game_num,racers_num,points
71.31,0.98,2021-10-07T13:34:38Z,2513,4,60.62
62.55,0.97,2021-10-05T07:14:54Z,2512,5,46.91
67.86,0.97,2021-10-04T10:57:36Z,2511,4,62.2
77.41,0.98,2021-10-04T10:50:42Z,2510,3,100.64
77.64,0.98,2021-10-04T10:23:59Z,2509,5,56.94
79.02,0.98,2021-10-04T10:22:06Z,2508,5,69.8
78.75,0.98,2021-10-04T09:37:11Z,2507,5,47.25
81.09,0.98,2021-10-04T09:35:51Z,2506,5,50
75.46,0.98,2021-10-04T09:14:48Z,2505,5,59.11
64.9,0.97,2021-10-04T08:05:45Z,2504,4,41.11
69.3,0.98,2021-10-04T07:57:26Z,2503,5,99.33
88.96,0.99,2021-10-04T07:40:37Z,2502,5,53.38
67.96,0.98,2021-10-04T07:39:46Z,2501,5,49.84
64.16,0.95,2021-09-29T12:21:33Z,2500,5,78.06
67.35,0.98,2021-09-29T12:20:05Z,2499,5,40.41
82.19,0.99,2021-09-29T11:24:26Z,2498,5,76.71
75.7,0.99,2021-09-29T10:50:24Z,2497,5,41.64
63.51,0.98,2021-09-28T10:42:31Z,2496,5,50.81
80.06,0.99,2021-09-28T10:36:27Z,2495,5,46.7
72.69,0.97,2021-09-28T08:31:00Z,2494,5,77.53
78.78,0.97,2021-09-28T08:29:44Z,2493,5,47.27
72.26,0.98,2021-09-28T08:28:56Z,2492,5,33.72
76.62,0.99,2021-09-28T08:26:57Z,2491,4,40.86
68.7,0.97,2021-09-28T08:21:40Z,2490,5,57.25
79.73,0.98,2021-09-28T08:13:40Z,2489,5,41.19
85.63,0.99,2021-09-28T08:12:26Z,2488,5,74.22
85.13,1,2021-09-28T08:08:37Z,2487,5,99.32
74.6,0.98,2021-09-28T08:06:27Z,2486,5,59.68
84.43,0.98,2021-09-28T08:05:30Z,2485,5,36.59
83.47,0.99,2021-09-28T08:04:32Z,2484,5,66.78
75.29,0.98,2021-09-28T07:58:07Z,2483,4,188.22
92.44,1,2021-09-28T07:55:39Z,2482,5,75.49
61.44,0.96,2021-09-27T07:48:56Z,2481,5,35.84
67.61,0.97,2021-09-24T11:12:48Z,2480,5,45.07
77.61,0.98,2021-09-24T10:54:55Z,2479,5,109.95
93.8,0.99,2021-09-24T10:53:23Z,2478,5,40.65
67.3,0.98,2021-09-24T10:14:53Z,2477,5,71.79
77.31,0.98,2021-09-24T08:30:35Z,2476,5,83.76
78.33,0.98,2021-09-24T08:28:05Z,2475,5,73.11
71.35,0.98,2021-09-22T10:56:04Z,2474,5,74.92
82.03,0.99,2021-09-22T10:54:43Z,2473,5,90.23
