wpm,accuracy,time,game_num,racers_num,points
119,0.98,2021-11-09T07:01:40Z,2529,3,243.96
95.66,0.95,2021-11-09T07:00:28Z,2528,4,100.44
87.75,0.97,2021-11-09T06:59:34Z,2527,5,45.34
91.57,0.95,2021-11-05T07:10:38Z,2526,3,62.57
107.88,0.96,2021-11-05T07:09:56Z,2525,5,109.67
103.42,0.96,2021-11-05T07:09:08Z,2524,5,93.08
107.41,0.95,2021-11-05T07:08:24Z,2523,4,71.6
102.66,0.96,2021-11-05T07:07:46Z,2522,5,82.13
102.57,0.95,2021-11-05T07:04:15Z,2521,5,131.63
109.26,0.97,2021-11-05T07:03:20Z,2520,3,71.02
107.2,0.97,2021-11-05T07:02:43Z,2519,4,69.68
119.03,0.98,2021-11-05T07:02:04Z,2518,5,119.03
103.98,0.95,2021-11-05T07:01:20Z,2517,5,57.19
87.51,0.94,2021-11-05T07:00:43Z,2516,4,29.17
114.43,0.98,2021-11-05T07:00:12Z,2515,5,64.84
102.69,0.96,2021-11-05T06:59:42Z,2514,3,54.77
104.99,0.96,2021-11-05T06:59:13Z,2513,3,97.99
120.85,0.98,2021-11-05T06:58:20Z,2512,5,72.51
92.25,0.96,2021-11-05T06:49:08Z,2511,4,52.28
107.93,0.95,2021-11-05T06:48:37Z,2510,3,97.14
98.44,0.96,2021-11-05T06:47:54Z,2509,4,82.03
124.16,0.98,2021-11-05T06:47:07Z,2508,4,105.53
119.15,0.97,2021-11-05T06:46:30Z,2507,5,79.43
138.59,1,2021-11-05T06:45:54Z,2506,5,92.4
95.22,0.96,2021-11-05T06:45:23Z,2505,2,74.59
105.86,0.97,2021-11-05T06:44:40Z,2504,5,68.81
100.38,0.96,2021-11-05T06:44:03Z,2503,3,180.69
112.83,0.96,2021-11-02T09:54:32Z,2502,2,137.28
117.38,0.98,2021-11-02T09:53:40Z,2501,4,107.6
113.55,0.96,2021-11-02T09:53:08Z,2500,4,85.16
125.86,0.97,2021-11-02T09:52:29Z,2499,4,81.81
104.79,0.98,2021-11-02T09:52:00Z,2498,5,64.62
99.91,0.96,2021-11-02T09:49:58Z,2497,5,66.61
103.81,0.97,2021-11-02T09:49:19Z,2496,5,121.11
119.28,0.97,2021-11-02T09:48:23Z,2495,3,109.34
103.4,0.98,2021-11-02T09:47:47Z,2494,4,74.1
100.29,0.98,2021-11-02T09:47:14Z,2493,5,95.28
124.51,0.98,2021-11-02T09:46:24Z,2492,3,224.12
124.36,0.99,2021-11-02T09:45:13Z,2491,5,116.07
109.91,0.98,2021-11-02T09:44:39Z,2490,5,49.46
104.96,0.97,2021-11-02T09:44:18Z,2489,4,110.21
100.14,0.96,2021-11-02T09:43:27Z,2488,5,86.79
86.63,0.95,2021-11-02T09:42:41Z,2487,5,60.64
129.33,0.99,2021-11-02T09:41:57Z,2486,5,84.07
103.79,0.97,2021-11-02T09:41:31Z,2485,5,83.03
106.86,0.97,2021-11-02T09:40:46Z,2484,5,71.24
95.96,0.96,2021-11-02T09:40:11Z,2483,4,76.77
112.97,0.99,2021-11-02T09:39:32Z,2482,2,143.1
94.42,0.96,2021-11-02T09:38:29Z,2481,5,59.8
112.92,0.97,2021-11-02T09:31:34Z,2480,5,88.45
126.76,0.98,2021-11-02T07:04:18Z,2479,5,92.96
119.89,0.99,2021-11-02T07:03:43Z,2478,5,83.93
93.07,0.97,2021-11-02T07:03:08Z,2477,5,43.43
105.97,0.96,2021-11-02T07:02:32Z,2476,5,83.01
102.38,0.97,2021-11-02T07:01:46Z,2475,5,56.31
99.01,0.96,2021-11-02T07:01:13Z,2474,5,128.71
135.59,0.99,2021-11-01T23:21:13Z,2473,5,70.06
108.42,0.97,2021-11-01T23:20:45Z,2472,5,75.89
125.35,0.99,2021-11-01T23:20:08Z,2471,5,102.37
89.69,0.94,2021-11-01T23:19:35Z,2470,4,64.28
81.97,0.96,2021-11-01T23:18:54Z,2469,4,54.65
