wpm,accuracy,time,game_num,racers_num,points
69.86,0.97,2019-07-07T04:12:41Z,2570,4,41.91
84.15,0.98,2018-11-11T16:55:20Z,2569,3,88.36
93.32,0.99,2018-09-10T17:09:08Z,2568,5,60.66
77.71,0.98,2018-09-10T17:07:54Z,2567,5,58.28
66.77,0.96,2018-09-10T17:06:50Z,2566,4,46.74
73.14,0.96,2018-09-10T17:05:48Z,2565,5,53.64
75.34,0.96,2018-09-10T17:04:59Z,2564,5,57.76
81.51,0.97,2018-09-10T17:02:44Z,2563,5,73.36
71.92,0.98,2017-12-05T13:32:50Z,2562,5,74.32
72.25,0.97,2017-12-04T09:11:47Z,2561,5,71.04
67.42,0.96,2017-12-04T09:10:34Z,2560,4,41.58
69.86,0.95,2017-12-04T09:09:34Z,2559,5,82.67
67.04,0.97,2017-12-04T05:02:20Z,2558,5,69.28
60.32,0.98,2017-12-04T05:01:13Z,2557,4,31.17
80.87,0.98,2017-12-04T05:00:11Z,2556,5,60.65
70.6,0.96,2017-12-04T04:59:26Z,2555,5,57.66
63.3,0.95,2017-12-04T04:58:26Z,2554,4,32.71
63.68,0.96,2017-12-04T04:57:37Z,2553,4,53.06
67.37,0.96,2017-12-04T04:56:17Z,2552,4,31.44
82.94,0.99,2017-12-04T04:55:35Z,2551,5,91.24
70.56,0.96,2017-12-04T04:54:31Z,2550,4,45.87
72.01,0.96,2017-12-04T04:53:41Z,2549,3,141.62
80.39,0.98,2017-12-04T04:49:03Z,2548,5,143.36
63.77,0.97,2017-12-04T04:47:28Z,2547,5,106.28
74.45,0.97,2017-11-29T12:45:39Z,2546,4,85.62
72.05,0.97,2017-11-28T14:29:11Z,2545,5,64.85
73.23,0.97,2017-11-28T11:59:40Z,2544,5,40.27
71.41,0.98,2017-11-28T11:58:54Z,2543,5,48.79
74.61,0.96,2017-11-25T08:25:43Z,2542,5,62.17
70.05,0.98,2017-11-25T08:24:47Z,2541,5,54.87
64.2,0.95,2017-11-25T08:23:53Z,2540,5,41.73
57.15,0.95,2017-11-24T12:27:54Z,2539,5,57.15
63.82,0.96,2017-11-24T12:26:22Z,2538,5,75.52
70.76,0.97,2017-11-24T12:24:54Z,2537,4,60.14
59.6,0.95,2017-11-24T12:23:53Z,2536,4,98.34
75.91,0.98,2017-11-24T12:21:51Z,2535,4,83.51
76.45,0.97,2017-11-24T12:20:34Z,2534,4,112.12
79.66,0.99,2017-11-24T12:19:11Z,2533,4,94.26
82.41,0.99,2017-11-24T12:18:01Z,2532,5,30.22
71.03,0.97,2017-11-22T16:27:09Z,2531,5,58.01
60.68,0.97,2017-11-22T16:25:34Z,2530,4,62.71
35.94,0.94,2017-11-22T16:23:58Z,2529,5,19.77
64.79,0.95,2017-11-22T12:15:25Z,2528,5,61.55
63.19,0.95,2017-11-22T12:14:11Z,2527,5,36.86
86.75,0.98,2017-11-22T12:09:52Z,2526,5,60.72
73.03,0.97,2017-11-22T12:07:54Z,2525,5,66.94
54.14,0.95,2017-11-21T11:57:59Z,2524,5,31.58
67.11,0.97,2017-11-21T11:54:38Z,2523,4,39.15
77.03,0.98,2017-11-21T11:45:41Z,2522,5,65.48
53.95,0.96,2017-11-20T01:52:50Z,2521,5,48.55
68.51,0.97,2017-11-20T01:51:25Z,2520,5,25.12
68.23,0.97,2017-11-20T01:50:40Z,2519,5,35.25
62.86,0.98,2017-11-20T01:49:25Z,2518,5,38.76
54.69,0.98,2017-11-19T02:40:20Z,2517,5,38.28
63.59,0.96,2017-11-14T10:21:04Z,2516,5,98.57
75.28,0.98,2017-11-14T10:05:46Z,2515,5,67.75
55.95,0.93,2017-11-13T04:48:59Z,2514,5,39.16
77.03,0.98,2017-11-13T04:47:57Z,2513,4,96.29
60.46,0.94,2017-11-13T04:46:43Z,2512,5,37.29
61.49,0.98,2017-11-13T04:45:25Z,2511,5,57.39
59.41,0.97,2017-11-13T04:44:07Z,2510,5,83.18
61.49,0.97,2017-11-13T03:41:21Z,2509,5,54.31
69.87,0.97,2017-11-13T03:31:20Z,2508,5,47.74
71.41,0.99,2017-11-13T03:24:17Z,2507,4,76.17
64.52,0.96,2017-11-13T03:22:50Z,2506,5,65.6
57.58,0.96,2017-11-13T03:19:47Z,2505,2,45.11
71.82,0.98,2017-11-13T02:33:15Z,2504,2,106.54
76.81,0.99,2017-11-13T02:28:31Z,2503,5,62.72
70.69,0.96,2017-11-12T12:37:34Z,2502,5,57.73
65.17,0.96,2017-11-12T12:36:22Z,2501,5,84.72
69.65,0.96,2017-11-11T05:52:50Z,2500,5,67.33
61.12,0.95,2017-11-11T05:51:45Z,2499,2,49.92
71.46,0.96,2017-11-09T13:37:42Z,2498,5,100.04
76.35,0.97,2017-11-09T13:36:19Z,2497,3,83.99
71.88,0.96,2017-11-08T12:25:49Z,2496,5,61.09
69.96,0.96,2017-11-08T12:24:53Z,2495,3,58.3
68.98,0.95,2017-11-07T14:59:21Z,2494,5,47.14
77.75,0.97,2017-11-07T14:58:30Z,2493,5,44.06
75.6,0.98,2017-11-07T14:57:45Z,2492,5,65.52
62.78,0.96,2017-11-07T14:55:54Z,2491,4,64.88
74.28,0.98,2017-11-07T14:54:24Z,2490,5,78
80,0.97,2017-11-07T14:52:53Z,2489,5,110.66
88.47,0.98,2017-11-07T14:50:40Z,2488,5,48.66
74.12,0.97,2017-11-07T14:46:32Z,2487,5,53.12
76.88,0.97,2017-11-07T14:45:41Z,2486,5,60.22
69.33,0.96,2017-11-06T11:24:39Z,2485,4,61.24
73.87,0.99,2017-11-06T11:23:37Z,2484,5,41.86
62.9,0.96,2017-11-06T11:22:49Z,2483,3,61.86
70.85,0.97,2017-11-06T11:21:40Z,2482,3,100.37
61.97,0.96,2017-11-06T11:20:06Z,2481,5,50.61
75.47,0.97,2017-11-06T11:18:49Z,2480,5,76.73
84.83,0.99,2017-11-06T11:17:33Z,2479,4,114.52
113.34,1,2017-11-06T11:12:43Z,2478,5,24.56
64.15,0.95,2017-11-06T11:12:25Z,2477,5,34.22
77.74,0.97,2017-11-06T11:11:34Z,2476,5,53.12
78.25,0.98,2017-11-06T11:08:59Z,2475,3,92.6
70.84,0.97,2017-11-06T11:07:44Z,2474,2,37.78
63.69,0.97,2017-11-06T11:07:00Z,2473,2,118.89
71.3,0.97,2017-11-06T11:04:49Z,2472,5,33.27
70.9,0.98,2017-11-06T11:04:09Z,2471,5,68.54
75.6,0.97,2017-11-06T11:03:09Z,2470,3,124.74
72.86,0.98,2017-11-06T11:01:18Z,2469,4,63.15
66.41,0.97,2017-11-06T11:00:19Z,2468,5,65.31
61.72,0.96,2017-11-06T10:59:18Z,2467,4,59.66
73.66,0.98,2017-11-06T10:57:58Z,2466,4,104.35
64.7,0.96,2017-11-06T09:17:21Z,2465,5,57.15
60.69,0.96,2017-11-06T09:08:52Z,2464,5,55.63
70.93,0.96,2017-11-06T09:07:26Z,2463,3,53.2
72.98,0.96,2017-11-06T09:06:37Z,2462,3,58.38
