wpm,accuracy,time,game_num,racers_num,points
88.58,0.98,2021-08-08T21:49:42Z,2986,5,62.01
92.42,0.97,2021-08-08T21:48:47Z,2985,5,78.56
64.96,0.95,2021-08-08T09:10:41Z,2984,5,73.62
82.09,0.97,2021-08-02T21:18:09Z,2983,5,91.66
99.4,0.97,2021-08-02T21:17:12Z,2982,5,102.71
68.35,0.95,2021-08-02T21:16:21Z,2981,5,28.48
87.55,0.97,2021-08-02T21:15:27Z,2980,5,68.58
90.62,0.98,2021-08-02T21:14:41Z,2979,5,101.19
95.89,0.99,2021-08-02T21:13:43Z,2978,5,67.12
112.76,1,2021-06-29T16:09:36Z,2977,5,46.98
96.4,0.98,2021-06-29T16:09:08Z,2976,5,85.15
95.83,0.98,2021-06-29T16:04:31Z,2975,4,119.79
89.85,0.97,2021-03-31T14:10:08Z,2974,5,148.26
90.02,0.97,2021-03-31T14:08:46Z,2973,4,78.01
72.08,0.93,2021-03-31T14:07:46Z,2972,4,49.25
92.94,0.98,2021-03-31T14:06:58Z,2971,5,83.65
82.94,0.97,2021-03-31T14:06:06Z,2970,5,56.68
86.45,0.97,2021-03-31T14:05:18Z,2969,5,66.28
88.56,0.96,2021-03-31T14:04:30Z,2968,5,91.51
93.27,0.98,2021-03-31T14:03:35Z,2967,5,73.06
89.94,0.97,2021-03-24T16:35:11Z,2966,4,82.44
95.15,0.98,2021-03-24T16:30:41Z,2965,5,57.09
92.42,0.98,2021-03-24T16:30:01Z,2964,4,58.53
92.46,0.97,2021-03-24T16:29:19Z,2963,5,35.44
77.49,0.97,2021-03-24T16:28:48Z,2962,5,50.37
87.64,0.97,2021-03-24T16:27:57Z,2961,5,62.81
77.58,0.96,2021-03-24T16:27:14Z,2960,4,58.18
89.76,0.98,2021-03-19T22:47:26Z,2959,4,61.34
89.26,0.96,2021-03-19T22:46:42Z,2958,5,53.56
99.91,0.98,2021-03-19T22:46:06Z,2957,5,198.15
85.24,0.97,2021-03-19T22:44:38Z,2956,5,72.46
102.67,0.99,2021-03-19T22:43:49Z,2955,5,90.7
87.96,0.98,2021-03-19T22:43:03Z,2954,4,60.11
88.38,0.97,2021-03-19T22:42:19Z,2953,5,73.65
90.25,0.98,2021-03-19T22:41:33Z,2952,5,85.73
87.36,0.97,2021-03-19T22:40:41Z,2951,5,58.24
101.2,0.99,2021-03-19T22:39:58Z,2950,5,35.42
87,0.97,2021-03-19T22:39:33Z,2949,5,92.8
90.83,0.98,2021-03-19T22:38:30Z,2948,5,89.32
83.58,0.97,2021-03-19T22:37:40Z,2947,5,48.75
81.86,0.97,2021-03-19T22:36:57Z,2946,4,96.86
97.77,0.99,2021-03-19T22:22:16Z,2945,5,43.99
104.56,0.98,2021-03-19T22:21:31Z,2944,5,76.68
87.4,0.97,2021-03-10T19:14:04Z,2943,4,78.66
86.66,0.99,2021-03-10T19:13:04Z,2942,3,57.77
77.17,0.95,2021-03-10T19:12:13Z,2941,5,47.59
102.44,0.98,2021-03-10T19:11:18Z,2940,5,107.56
84.1,0.96,2021-03-10T19:10:31Z,2939,5,86.9
89.77,0.97,2021-03-10T19:09:27Z,2938,4,38.9
89.07,0.97,2021-03-10T19:08:56Z,2937,5,132.12
92.2,0.98,2021-03-10T19:07:41Z,2936,5,55.32
89.46,0.97,2021-03-10T19:07:03Z,2935,4,140.15
