wpm,accuracy,time,game_num,racers_num,points
77.84,0.97,2020-04-12T05:40:23Z,2656,5,67.46
77.66,0.97,2020-04-12T05:37:36Z,2655,5,45.3
82.57,0.97,2020-04-12T05:36:55Z,2654,5,59.17
77.7,0.97,2020-04-12T05:36:09Z,2653,5,112.66
81.38,0.98,2020-04-12T05:33:13Z,2652,5,54.26
74.23,0.95,2020-04-07T12:34:29Z,2651,5,54.44
93.84,0.98,2020-04-07T12:32:15Z,2650,3,57.87
78.7,0.97,2020-04-07T12:31:33Z,2649,5,78.7
98.17,0.99,2020-04-07T12:28:37Z,2648,5,96.54
84.69,0.97,2020-04-07T12:27:45Z,2647,4,94.57
85.31,0.99,2020-04-07T12:26:17Z,2646,5,42.66
75.25,0.96,2020-04-07T12:25:33Z,2645,4,57.69
77.49,0.98,2020-04-07T12:23:57Z,2644,5,37.45
72.29,0.97,2020-04-07T12:06:06Z,2643,5,53.01
79.18,0.97,2019-11-01T09:28:24Z,2642,5,47.51
76,0.97,2019-11-01T09:27:08Z,2641,5,64.6
92.19,0.99,2019-09-16T09:03:13Z,2640,5,87.58
82.76,0.98,2019-08-09T06:07:58Z,2639,5,70.35
83.5,0.97,2019-08-09T06:04:43Z,2638,3,75.15
80.51,0.98,2019-08-09T06:02:26Z,2637,3,60.38
83.12,0.97,2019-08-09T06:00:34Z,2636,5,51.26
90.62,0.98,2019-08-09T05:59:26Z,2635,5,108.74
83.66,0.98,2019-08-09T05:57:06Z,2634,2,96.21
88.01,0.98,2019-08-09T05:55:21Z,2633,4,74.81
94.98,0.99,2019-08-09T05:52:49Z,2632,5,83.9
81.25,0.97,2019-08-09T05:51:25Z,2631,4,59.58
96.13,0.99,2019-08-09T05:48:57Z,2630,5,57.68
85.35,0.99,2018-12-05T10:00:11Z,2629,3,61.17
83.82,0.98,2018-08-29T10:52:59Z,2628,4,100.58
80.55,0.98,2018-08-29T10:50:25Z,2627,5,37.59
91.45,0.98,2018-08-29T10:47:08Z,2626,5,56.39
94.7,1,2018-08-29T10:44:48Z,2625,5,77.34
84.06,0.98,2018-08-28T08:31:50Z,2624,5,65.85
78.97,0.97,2018-08-28T08:28:27Z,2623,4,36.85
84.16,1,2018-08-28T08:27:56Z,2622,5,53.3
92.21,0.99,2018-08-28T08:21:36Z,2621,4,50.72
95.79,0.99,2018-08-28T08:20:41Z,2620,5,33.53
85.48,0.99,2018-08-28T08:20:18Z,2619,4,98.3
83.74,0.98,2018-08-16T10:05:25Z,2618,5,85.13
90.23,0.98,2018-08-14T07:53:50Z,2617,5,46.62
88.69,0.98,2018-08-14T07:52:11Z,2616,4,69.47
82.82,0.97,2018-08-14T07:50:14Z,2615,4,71.78
87.71,0.99,2018-08-14T07:48:55Z,2614,5,61.4
79.6,0.96,2018-08-14T07:47:10Z,2613,5,41.13
92.71,0.99,2018-08-14T07:46:13Z,2612,5,60.26
79.3,0.97,2018-08-14T07:43:24Z,2611,4,37
84.53,0.97,2018-08-14T07:42:40Z,2610,5,136.65
96.6,0.99,2018-08-14T07:40:48Z,2609,5,66.01
98.14,0.99,2018-08-14T07:38:17Z,2608,2,107.95
86.6,0.97,2018-08-14T07:37:14Z,2607,5,50.52
91.45,0.99,2018-07-27T09:12:11Z,2606,4,33.53
88.15,0.98,2018-07-27T09:08:44Z,2605,5,96.97
75.97,0.97,2018-07-27T09:07:50Z,2604,5,74.71
82.4,0.99,2018-07-27T09:06:42Z,2603,5,59.05
76.72,0.97,2018-07-27T09:05:07Z,2602,4,57.54
84.17,0.97,2018-07-26T06:13:12Z,2601,4,49.1
97.61,0.99,2018-07-26T06:11:10Z,2600,5,68.33
80.75,0.98,2018-07-23T11:01:50Z,2599,5,65.95
86.76,0.98,2018-07-23T10:59:56Z,2598,5,79.53
82.65,0.96,2018-07-23T10:13:05Z,2597,5,70.25
83.06,0.99,2018-07-23T10:12:09Z,2596,4,69.22
78.73,0.96,2018-07-23T10:08:54Z,2595,5,62.99
91.35,0.99,2018-07-23T10:07:19Z,2594,5,56.33
76.79,0.97,2018-07-23T10:04:57Z,2593,5,70.39
87.35,1,2018-07-23T10:03:41Z,2592,4,52.41
93.01,0.99,2018-07-20T10:15:46Z,2591,2,63.56
87.53,0.98,2018-07-20T10:14:56Z,2590,4,65.65
88.16,0.98,2018-07-20T10:12:50Z,2589,5,66.12
80.29,0.98,2018-07-20T10:02:51Z,2588,4,86.99
80.65,0.97,2018-07-20T10:01:45Z,2587,5,64.52
87.04,0.98,2018-07-19T10:52:22Z,2586,5,46.42
91.09,0.98,2018-07-19T10:51:15Z,2585,5,71.35
80.63,0.99,2018-07-19T10:50:18Z,2584,3,77.95
84.77,0.98,2018-07-19T10:49:09Z,2583,5,50.86
90.62,0.98,2018-07-19T10:48:26Z,2582,4,67.97
84.06,0.98,2018-07-19T10:43:57Z,2581,5,47.63
97.65,0.99,2018-07-19T07:46:32Z,2580,3,112.3
85.05,0.98,2018-07-19T07:43:54Z,2579,3,83.63
89.59,0.98,2018-06-17T10:23:13Z,2578,4,40.32
89.62,0.98,2018-06-17T10:22:19Z,2577,5,38.83
90.5,0.98,2018-06-17T10:21:27Z,2576,4,96.53
85.56,0.97,2018-06-17T10:19:18Z,2575,3,72.73
83.72,0.96,2018-06-13T11:15:12Z,2574,5,65.58
79.04,0.97,2018-06-13T11:14:27Z,2573,4,98.8
82.69,0.97,2018-06-13T11:12:21Z,2572,5,67.53
79.57,0.97,2018-06-13T11:11:24Z,2571,5,64.98
88.21,0.98,2018-06-13T11:10:27Z,2570,5,89.68
84.72,0.98,2018-06-13T11:07:18Z,2569,4,91.78
78.81,0.97,2018-06-13T11:06:12Z,2568,5,35.47
86.06,0.98,2018-06-13T11:05:34Z,2567,5,50.2
84.68,0.98,2018-05-21T11:05:10Z,2566,5,74.8
81.17,0.98,2018-05-21T11:04:11Z,2565,3,116.34
70.05,0.96,2018-05-21T11:02:51Z,2564,5,31.52
87.92,0.97,2018-05-21T11:00:28Z,2563,5,101.11
75.16,0.97,2018-02-23T09:29:48Z,2562,4,70.15
81.5,0.97,2018-02-22T11:16:11Z,2561,3,71.99
80.1,0.98,2018-02-22T11:14:59Z,2560,5,53.4
87.03,0.99,2018-02-22T11:12:44Z,2559,5,59.47
77.7,0.98,2018-02-22T11:11:49Z,2558,2,50.5
79.18,0.97,2018-02-22T11:10:55Z,2557,4,64.67
80.37,0.97,2018-02-22T11:10:05Z,2556,3,60.28
80.74,0.98,2018-02-22T11:09:04Z,2555,4,53.83
82.91,0.99,2018-02-22T05:45:43Z,2554,5,33.17
75.55,0.97,2018-02-22T05:38:48Z,2553,4,52.88
94.08,0.98,2018-02-22T05:37:26Z,2552,5,47.04
74.37,0.97,2018-02-22T05:36:29Z,2551,5,75.61
77.01,0.97,2018-02-22T05:35:23Z,2550,5,61.61
90.9,0.99,2018-02-22T05:31:59Z,2549,4,60.6
71.91,0.94,2018-02-22T05:30:29Z,2548,3,34.76
87.57,0.98,2018-02-22T05:28:07Z,2547,5,39.41
87.92,0.99,2018-02-21T10:53:44Z,2546,4,54.22
82.48,0.98,2018-02-21T10:52:52Z,2545,2,39.87
83.85,0.97,2018-02-21T10:51:59Z,2544,5,72.67
80.35,0.97,2018-02-21T10:49:24Z,2543,3,62.94
84.32,0.97,2018-02-21T10:45:32Z,2542,5,60.43
88.04,0.99,2018-02-21T10:44:04Z,2541,3,45.49
84.36,0.98,2018-02-21T10:43:19Z,2540,4,49.21
86.15,0.98,2018-02-21T10:42:23Z,2539,5,56
92.07,0.99,2018-02-21T10:41:33Z,2538,5,67.52
67.64,0.97,2018-02-21T10:40:48Z,2537,4,45.09
91.13,0.98,2018-02-21T10:38:19Z,2536,5,48.6
84.12,0.98,2018-02-21T10:37:31Z,2535,5,63.09
83.91,0.98,2018-02-21T10:30:00Z,2534,4,50.35
88.95,0.98,2018-02-21T09:14:11Z,2533,5,87.47
78.73,0.98,2018-02-21T09:12:41Z,2532,5,53.8
80.99,0.98,2018-02-21T09:11:39Z,2531,5,54
85.47,0.98,2018-02-21T09:10:43Z,2530,5,75.5
89.33,0.98,2018-02-21T09:06:54Z,2529,5,80.4
82.77,0.98,2018-02-21T09:05:49Z,2528,4,84.15
83.98,0.97,2018-02-21T09:04:41Z,2527,3,76.98
83.31,0.99,2018-02-21T09:03:38Z,2526,5,33.32
77.02,0.97,2018-02-21T09:01:58Z,2525,5,46.21
80.77,0.98,2018-02-21T08:55:10Z,2524,5,36.35
82.98,0.99,2018-02-21T06:17:42Z,2523,4,47.02
81.49,0.98,2018-02-21T06:10:35Z,2522,3,47.54
86.63,0.97,2018-02-21T06:09:36Z,2521,2,103.95
76.04,0.98,2018-02-21T06:07:28Z,2520,5,87.45
92.09,0.99,2018-02-20T08:15:23Z,2519,5,79.81
80.07,0.97,2018-02-20T06:07:10Z,2518,5,40.03
76.63,0.97,2018-02-20T06:06:33Z,2517,5,95.79
73.6,0.95,2018-02-20T06:05:26Z,2516,5,50.29
88.9,0.98,2018-02-20T06:04:25Z,2515,5,42.97
79.94,0.96,2018-02-20T06:03:37Z,2514,5,77.28
82.47,0.98,2018-02-20T06:02:37Z,2513,5,50.85
81.13,0.97,2018-02-19T11:11:54Z,2512,3,63.55
81.67,0.97,2018-02-19T11:11:00Z,2511,5,54.45
71.84,0.97,2018-02-19T11:09:40Z,2510,5,32.33
76.91,0.96,2018-02-19T10:55:09Z,2509,4,57.68
91.08,0.99,2018-02-19T10:50:55Z,2508,5,72.87
96.22,0.99,2018-02-19T10:47:41Z,2507,5,64.15
75.23,0.96,2018-02-19T10:46:26Z,2506,5,52.66
83.57,0.98,2018-02-16T08:38:00Z,2505,5,69.64
77.69,0.96,2018-02-16T08:35:47Z,2504,3,36.26
