wpm,accuracy,time,game_num,racers_num,points
73.06,0.95,2021-05-23T23:38:13Z,2912,4,57.23
104.28,0.99,2021-05-23T23:37:11Z,2911,5,73
86.15,0.96,2021-05-23T23:36:31Z,2910,5,63.18
86.98,0.97,2021-05-23T23:35:46Z,2909,4,85.53
104.66,0.98,2021-05-23T23:34:48Z,2908,5,81.99
93.16,0.97,2021-05-23T23:34:01Z,2907,5,190.98
94.87,0.97,2021-05-07T13:34:29Z,2906,5,105.93
57.56,0.94,2021-05-07T01:42:48Z,2905,5,44.13
92.8,0.98,2021-05-05T18:03:13Z,2904,5,55.68
96.24,0.97,2021-05-05T18:02:36Z,2903,5,86.62
105.11,0.98,2021-05-05T13:17:34Z,2902,5,120.88
97.73,0.97,2021-04-29T17:14:08Z,2901,5,110.76
91.71,0.97,2021-04-29T17:13:18Z,2900,5,79.48
97.27,0.98,2021-04-29T17:11:47Z,2899,3,110.24
91.27,0.96,2021-04-29T17:10:17Z,2898,5,144.51
95.22,0.98,2021-04-29T17:09:01Z,2897,5,82.52
100.51,0.98,2021-04-29T17:08:09Z,2896,5,61.98
90.98,0.97,2021-04-23T14:42:38Z,2895,5,74.3
95.01,0.97,2021-04-21T03:33:30Z,2894,5,136.18
92.85,0.97,2021-04-21T03:32:14Z,2893,4,120.7
95.67,0.98,2021-04-21T03:31:05Z,2892,4,95.67
106.39,0.98,2021-04-21T03:30:10Z,2891,5,74.47
96.76,0.97,2021-04-21T03:29:27Z,2890,5,96.76
107.37,0.99,2021-04-21T03:28:30Z,2889,5,100.22
106.35,0.99,2021-04-21T03:27:36Z,2888,5,69.13
96.07,0.99,2021-04-20T16:41:22Z,2887,5,62.45
96.19,0.98,2021-04-20T16:40:39Z,2886,4,141.08
111.44,0.98,2021-04-17T20:10:00Z,2885,5,102.16
101.5,0.97,2021-04-16T15:07:45Z,2884,5,104.89
104.33,0.97,2021-04-16T15:06:54Z,2883,4,99.12
100.41,0.98,2021-04-16T15:06:12Z,2882,5,98.74
104.71,0.98,2021-04-16T15:05:11Z,2881,5,68.06
95.66,0.98,2021-04-16T15:04:33Z,2880,5,122.76
118.79,0.99,2021-04-16T15:03:24Z,2879,5,162.34
106.4,0.99,2021-04-16T15:02:24Z,2878,5,97.53
83.23,0.95,2021-04-16T15:01:34Z,2877,4,62.42
87.04,0.96,2021-04-16T15:00:48Z,2876,5,55.12
101.79,0.98,2021-04-16T14:59:58Z,2875,5,74.65
91.17,0.97,2021-04-16T14:59:12Z,2874,5,86.62
95.59,0.96,2021-04-16T14:58:12Z,2873,4,138.6
103.01,0.98,2021-04-16T14:56:50Z,2872,5,99.58
100.82,0.98,2021-04-16T14:55:59Z,2871,5,60.49
104.07,0.99,2021-04-16T14:54:43Z,2870,5,84.99
99.59,0.98,2021-04-16T14:20:46Z,2869,5,101.25
98.88,0.98,2021-04-15T22:51:09Z,2868,5,67.57
82.97,0.96,2021-04-15T22:50:23Z,2867,4,87.12
87.05,0.97,2021-04-15T22:48:23Z,2866,5,143.63
98,0.98,2021-04-15T22:47:03Z,2865,5,73.5
97.55,0.98,2021-04-15T22:46:21Z,2864,5,76.42
97.91,0.98,2021-04-15T22:45:37Z,2863,5,78.33
86.8,0.96,2021-04-15T22:44:29Z,2862,5,85.36
98.19,0.98,2021-04-15T22:43:28Z,2861,5,94.91
82.02,0.97,2021-04-15T22:42:40Z,2860,4,43.74
88.08,0.97,2021-04-15T22:41:58Z,2859,5,83.68
90.3,0.96,2021-04-15T22:37:51Z,2858,5,67.72
88.68,0.98,2021-04-15T18:35:12Z,2857,4,93.11
72.29,0.95,2021-04-15T18:33:59Z,2856,5,26.51
96.36,0.98,2021-04-15T18:04:44Z,2855,5,183.09
87.17,0.97,2021-04-15T18:02:01Z,2854,4,97.34
97.33,0.97,2021-04-15T18:00:46Z,2853,5,76.24
92.24,0.98,2021-04-15T17:59:45Z,2852,5,119.92
93.71,0.97,2021-04-15T17:58:24Z,2851,5,57.79
102.95,1,2021-04-15T17:57:40Z,2850,4,60.06
93.16,0.99,2021-04-15T17:57:00Z,2849,4,68.32
74.1,0.95,2021-04-15T17:56:11Z,2848,5,51.87
89.96,0.96,2021-04-15T17:55:14Z,2847,5,85.46
84.61,0.97,2021-04-15T17:53:44Z,2846,5,95.89
90.41,0.98,2021-04-15T17:41:40Z,2845,5,70.82
91.52,0.97,2021-04-15T17:39:56Z,2844,4,47.28
87.22,0.96,2021-04-15T17:38:27Z,2843,5,66.87
88.4,0.97,2021-04-15T17:37:30Z,2842,4,73.67
93.83,0.97,2021-04-15T17:29:44Z,2841,5,143.87
114.13,1,2021-04-15T17:28:22Z,2840,5,45.65
90.63,0.96,2021-04-15T17:27:14Z,2839,5,81.57
96.64,0.99,2021-04-15T17:24:34Z,2838,5,78.93
84.88,0.98,2021-04-15T17:23:47Z,2837,5,49.52
108.84,0.99,2021-04-15T17:23:01Z,2836,5,56.23
93.19,0.98,2021-04-15T17:22:29Z,2835,5,124.25
90.77,0.96,2021-04-15T17:21:18Z,2834,4,128.58
89.88,0.96,2021-04-15T17:20:05Z,2833,5,83.89
88.31,0.97,2021-04-15T17:19:23Z,2832,5,73.6
85.56,0.97,2021-04-15T17:18:36Z,2831,4,61.32
90.55,0.97,2021-04-15T17:17:12Z,2830,3,67.91
107.75,0.99,2021-04-15T14:43:07Z,2829,4,134.68
82.04,0.95,2021-04-15T14:38:21Z,2828,5,97.08
88.12,0.95,2021-04-15T14:37:16Z,2827,5,83.72
102.8,0.99,2021-04-15T14:36:20Z,2826,4,162.76
81.16,0.96,2021-04-15T14:35:12Z,2825,5,77.1
98.03,0.98,2021-04-15T13:47:04Z,2824,5,42.48
91.57,0.96,2021-04-15T13:46:32Z,2823,5,71.73
99.5,0.97,2021-04-15T13:45:43Z,2822,5,59.7
97.44,0.97,2021-04-15T13:45:03Z,2821,5,69.83
95.74,0.98,2021-04-15T13:19:49Z,2820,4,79.78
76.89,0.95,2021-04-15T13:18:50Z,2819,4,78.18
91.02,0.97,2021-04-15T13:17:24Z,2818,4,94.05
104.39,0.99,2021-04-15T13:15:56Z,2817,4,100.91
89.83,0.98,2021-04-15T13:14:48Z,2816,4,112.28
84.06,0.97,2021-04-15T13:13:36Z,2815,5,64.45
91.93,0.97,2021-04-15T13:12:24Z,2814,5,68.95
