wpm,accuracy,time,game_num,racers_num,points
107.22,0.99,2020-06-06T20:48:19Z,2845,5,55.39
120.21,1,2020-06-06T20:46:30Z,2844,4,88.16
94.67,0.97,2020-06-06T20:45:43Z,2843,4,71
116.39,0.99,2020-03-03T21:21:45Z,2842,5,89.23
95.86,0.99,2020-01-17T20:17:59Z,2841,5,118.23
111.93,0.99,2019-10-14T09:58:45Z,2840,5,95.14
99.34,0.98,2019-10-14T09:57:23Z,2839,4,112.59
66.68,0.96,2019-10-14T09:56:21Z,2838,4,77.79
82.73,0.97,2019-10-14T09:54:51Z,2837,2,91.01
91.38,0.98,2019-10-14T09:53:32Z,2836,5,74.62
95.4,0.98,2019-10-14T09:52:10Z,2835,4,79.5
88.57,0.97,2019-09-14T14:15:13Z,2834,3,119.57
91.25,0.97,2019-09-14T14:13:56Z,2833,5,53.23
92.12,0.98,2019-09-14T14:12:40Z,2832,5,75.23
97.3,0.97,2019-07-05T13:06:49Z,2831,5,108.66
101.12,0.99,2019-07-05T11:30:01Z,2830,5,60.67
109.51,0.98,2019-07-03T14:03:55Z,2829,4,91.25
105.66,0.99,2019-07-03T14:01:13Z,2828,3,88.05
104.86,0.98,2019-07-03T14:00:29Z,2827,4,117.1
105.82,0.98,2019-07-03T13:58:13Z,2826,4,86.42
112.03,0.99,2019-07-03T13:57:12Z,2825,5,147.51
103.21,0.98,2019-07-03T13:56:05Z,2824,4,89.45
95.46,0.98,2019-07-03T13:55:11Z,2823,4,90.68
90.24,0.98,2019-07-03T13:53:16Z,2822,5,150.4
96.96,0.98,2019-07-03T13:34:33Z,2821,4,151.9
118.02,1,2019-07-02T17:17:03Z,2820,3,78.68
88.53,0.98,2019-07-02T17:08:49Z,2819,5,66.4
98.08,0.98,2019-07-02T16:35:23Z,2818,5,57.21
88.66,0.98,2019-07-02T16:33:01Z,2817,5,62.06
91.19,0.96,2019-07-02T15:28:40Z,2816,3,62.32
101.22,0.98,2019-07-02T15:28:04Z,2815,4,77.6
81.51,0.97,2019-07-02T15:26:07Z,2814,5,61.14
87.47,0.98,2019-07-02T15:23:32Z,2813,4,83.1
108.18,0.99,2019-07-02T15:21:39Z,2812,5,55.89
119.63,0.99,2019-07-02T15:21:08Z,2811,5,93.71
112.68,0.99,2019-07-02T15:20:21Z,2810,5,101.41
93.28,0.98,2019-07-02T15:19:38Z,2809,4,68.41
119.92,0.98,2019-07-02T15:18:27Z,2808,4,111.93
118.47,0.98,2019-07-02T15:17:30Z,2807,5,146.11
102.51,0.98,2019-07-02T15:15:56Z,2806,3,158.89
101.5,0.98,2019-07-02T15:01:09Z,2805,4,147.17
93.73,0.97,2019-07-02T15:00:03Z,2804,5,98.42
97.29,0.98,2019-07-02T14:59:13Z,2803,5,103.77
128.8,1,2019-07-02T14:58:02Z,2802,5,96.6
92.43,0.98,2019-07-02T14:57:23Z,2801,5,75.49
110.22,0.99,2019-07-02T14:56:33Z,2800,5,64.29
97.07,0.96,2019-07-02T14:55:52Z,2799,2,56.63
109.13,0.99,2019-07-02T14:52:37Z,2798,3,163.69
109.38,0.99,2019-07-02T14:51:24Z,2797,5,74.74
90.23,0.97,2019-07-02T14:50:47Z,2796,5,61.66
107.97,0.99,2019-07-02T14:50:09Z,2795,4,100.78
110.25,0.99,2019-07-02T14:49:26Z,2794,5,115.77
94.19,0.98,2019-07-02T14:48:38Z,2793,4,56.51
119.22,0.98,2019-07-02T14:47:48Z,2792,5,115.25
104.48,0.99,2019-07-02T14:46:20Z,2791,4,92.29
112.44,1,2019-07-02T14:45:23Z,2790,5,59.97
105.05,0.99,2019-07-02T14:44:48Z,2789,3,61.28
118.78,1,2019-07-02T14:44:09Z,2788,5,83.15
101.99,0.98,2019-07-02T14:43:28Z,2787,5,57.79
98.56,0.99,2019-07-02T14:42:55Z,2786,5,60.78
108.81,0.98,2019-07-02T14:42:16Z,2785,5,65.29
91.03,0.98,2019-07-02T14:41:42Z,2784,4,71.31
97.44,0.98,2019-07-02T14:41:01Z,2783,5,87.69
94.41,0.98,2019-07-01T23:43:24Z,2782,3,116.44
96.82,0.98,2019-07-01T23:36:31Z,2781,4,85.52
110.8,0.98,2019-07-01T21:22:23Z,2780,5,138.5
114.14,0.99,2019-07-01T18:04:43Z,2779,3,60.87
113.05,0.99,2019-07-01T18:01:54Z,2778,5,73.48
117.58,1,2019-07-01T17:56:07Z,2777,5,119.54
106.91,0.99,2019-06-30T22:19:22Z,2776,5,140.76
