wpm,accuracy,time,game_num,racers_num,points
102.7,0.98,2021-09-19T06:35:17Z,2604,4,87.29
100.3,1,2021-09-19T06:34:28Z,2603,5,71.88
89.88,0.98,2021-09-19T06:33:38Z,2602,5,67.41
81.28,0.97,2021-09-19T06:32:57Z,2601,5,66.38
75.38,0.97,2021-09-19T06:32:10Z,2600,4,55.28
82.64,0.97,2021-09-19T06:30:58Z,2599,5,121.21
87.8,0.98,2021-09-19T06:29:45Z,2598,5,70.24
81.66,0.98,2021-09-19T06:28:53Z,2597,5,46.27
107.84,1,2021-09-19T06:28:13Z,2596,4,53.92
87.66,0.97,2021-09-19T06:27:46Z,2595,5,87.66
67.36,0.97,2021-09-19T06:26:47Z,2594,5,96.55
81.28,0.98,2021-09-19T06:25:09Z,2593,5,78.57
76.79,0.98,2021-09-19T06:24:01Z,2592,5,62.71
98.12,0.99,2021-09-19T06:23:02Z,2591,5,106.3
89.49,0.99,2021-07-07T03:40:42Z,2590,5,126.78
81.33,0.97,2021-07-07T03:39:28Z,2589,5,79.97
92.61,0.99,2021-07-07T03:38:24Z,2588,5,104.96
91.74,0.98,2021-07-07T03:37:20Z,2587,5,111.61
89.93,0.98,2021-07-07T03:36:17Z,2586,5,71.94
79.24,0.96,2021-07-07T03:35:23Z,2585,5,62.07
79.05,0.97,2021-06-08T17:18:26Z,2584,5,50.07
91.1,0.98,2021-06-08T17:17:41Z,2583,5,56.18
86.5,0.97,2021-06-08T17:16:54Z,2582,4,56.23
95.97,0.98,2021-06-08T17:16:06Z,2581,4,63.98
93.97,0.98,2021-06-08T17:15:23Z,2580,5,54.81
81.59,0.96,2021-06-08T17:14:45Z,2579,5,70.71
90.58,0.98,2021-06-08T17:13:51Z,2578,5,70.96
86.8,0.97,2021-06-08T17:13:06Z,2577,5,53.53
90.46,0.97,2021-06-08T17:12:15Z,2576,5,70.86
82.88,0.97,2021-06-08T17:11:27Z,2575,5,55.25
94.49,0.97,2021-05-04T23:36:55Z,2574,5,50.39
100.34,0.99,2021-05-04T23:36:19Z,2573,5,78.6
101.26,0.98,2021-05-04T23:35:22Z,2572,5,87.76
103.17,0.99,2021-05-04T23:34:35Z,2571,5,70.5
87.33,0.97,2021-04-21T05:55:47Z,2570,5,37.84
69.64,0.96,2021-04-21T05:55:10Z,2569,5,63.84
80.49,0.95,2021-04-07T13:22:24Z,2568,5,42.93
111.62,1,2021-04-07T13:13:15Z,2567,5,39.07
89.11,0.98,2021-04-07T13:12:45Z,2566,5,66.84
94.26,0.98,2021-04-07T13:11:59Z,2565,5,122.54
77.86,0.97,2021-04-07T13:10:48Z,2564,4,38.93
102.63,0.99,2021-04-07T13:09:59Z,2563,5,83.81
92.09,0.99,2021-04-07T13:08:51Z,2562,4,101.3
