wpm,accuracy,time,game_num,racers_num,points
89.8,0.98,2021-06-01T00:06:56Z,2921,5,62.86
82.26,0.98,2021-05-26T14:28:27Z,2920,5,116.53
75.22,0.98,2021-05-26T14:27:01Z,2919,5,41.37
82.11,0.96,2021-05-26T14:26:18Z,2918,5,75.27
82.89,0.96,2021-05-25T11:42:25Z,2917,5,66.32
91.61,0.97,2021-05-25T11:41:09Z,2916,5,140.47
83.99,0.97,2021-05-25T11:39:49Z,2915,5,61.59
93.67,0.99,2021-05-25T11:38:57Z,2914,5,134.26
74.95,0.97,2021-05-25T11:37:42Z,2913,5,17.49
79.35,0.96,2021-05-25T11:37:14Z,2912,5,39.67
92.12,0.99,2021-05-24T15:04:21Z,2911,5,64.48
89.19,0.97,2021-05-24T15:03:35Z,2910,5,86.22
78.32,0.97,2021-05-23T23:50:49Z,2909,5,77.02
88.03,0.98,2021-05-23T23:49:03Z,2908,5,111.51
101.04,0.99,2021-05-23T23:47:45Z,2907,3,52.21
90.19,0.97,2021-05-23T23:47:11Z,2906,3,109.73
75.1,0.95,2021-05-23T23:46:04Z,2905,5,56.32
91.9,0.99,2021-05-23T23:45:12Z,2904,5,82.71
102.07,0.99,2021-05-23T23:44:23Z,2903,5,62.95
89.5,0.97,2021-05-23T22:55:35Z,2902,4,96.96
91.35,0.99,2021-05-20T22:49:20Z,2901,5,70.03
88.46,0.97,2021-05-20T22:48:37Z,2900,5,79.62
86.51,0.98,2021-05-20T22:47:47Z,2899,5,85.06
83.73,0.99,2021-05-20T22:46:47Z,2898,5,54.43
78.98,0.97,2021-05-20T07:32:42Z,2897,5,52.65
79.51,0.97,2021-05-20T07:31:59Z,2896,5,66.26
91.49,0.98,2021-05-15T05:43:41Z,2895,5,105.22
82.03,0.98,2021-05-15T05:42:44Z,2894,5,38.28
86.38,0.96,2021-05-15T05:35:55Z,2893,4,99.33
107.47,0.99,2021-05-15T05:34:43Z,2892,5,68.07
84.59,0.97,2021-05-15T05:34:07Z,2891,5,69.08
93.03,0.98,2021-05-15T05:33:14Z,2890,5,66.67
86.64,0.97,2021-05-15T05:31:48Z,2889,5,86.64
87.88,0.99,2021-05-15T05:30:49Z,2888,5,39.55
90.14,0.96,2021-05-15T05:30:14Z,2887,5,72.11
87.18,0.98,2021-05-15T05:29:30Z,2886,5,95.9
86.04,0.97,2021-05-15T05:28:29Z,2885,5,90.34
87.61,0.97,2021-05-15T05:27:30Z,2884,5,64.24
87.69,0.97,2021-05-15T05:26:43Z,2883,5,49.69
85.68,0.97,2021-05-15T05:26:02Z,2882,5,65.69
79.23,0.97,2021-05-15T05:25:12Z,2881,5,56.78
84.35,0.97,2021-05-15T05:24:21Z,2880,5,59.04
94.73,0.98,2021-05-15T05:23:33Z,2879,5,83.68
84.28,0.97,2021-05-15T05:22:44Z,2878,5,43.54
89.72,0.96,2021-05-15T05:22:04Z,2877,5,62.8
81.86,0.96,2021-05-15T05:20:09Z,2876,5,60.03
81.49,0.97,2021-05-15T05:19:24Z,2875,4,73.34
89.92,0.98,2021-05-14T11:13:33Z,2874,5,86.92
83.07,0.98,2021-05-14T11:12:32Z,2873,4,52.61
82.56,0.97,2021-05-14T11:11:52Z,2872,5,56.42
78.15,0.97,2021-05-14T11:11:04Z,2871,5,125.05
81.89,0.97,2021-05-14T11:08:49Z,2870,5,140.58
87.53,0.97,2021-05-14T11:07:06Z,2869,5,71.48
87.94,0.98,2021-05-14T11:06:17Z,2868,5,49.83
87.74,0.98,2021-05-14T11:05:27Z,2867,5,65.81
93.51,1,2021-05-14T10:49:34Z,2866,5,65.46
86.81,0.96,2021-05-14T09:25:11Z,2865,5,44.85
82.61,0.98,2021-05-14T08:36:18Z,2864,5,56.45
79.53,0.96,2021-05-14T08:35:22Z,2863,5,46.39
86.25,0.97,2021-05-14T08:34:42Z,2862,5,48.87
85.61,0.98,2021-05-14T08:34:01Z,2861,4,91.31
83.72,0.98,2021-05-14T08:33:00Z,2860,5,69.77
86.93,0.97,2021-05-14T08:32:09Z,2859,4,46.36
88.66,0.98,2021-05-14T08:31:34Z,2858,4,59.11
89.55,0.98,2021-05-14T08:29:52Z,2857,5,98.5
87.56,0.96,2021-05-14T08:28:49Z,2856,5,71.51
85.69,0.97,2021-05-14T08:27:58Z,2855,5,37.13
94.98,0.99,2021-05-14T08:27:00Z,2854,5,72.81
76.47,0.97,2021-05-14T08:26:15Z,2853,5,47.15
