accuracy,racers_num,wpm,time,game_num,points
0.99,2,99.61,2021-11-18T01:48:05Z,2577,51.47
0.99,5,104.9,2021-11-18T01:42:45Z,2576,48.95
0.98,5,97.39,2021-11-17T07:16:08Z,2575,90.9
0.99,5,110.18,2021-11-17T01:35:51Z,2574,165.26
0.99,5,94.91,2021-11-17T01:34:47Z,2573,82.25
0.99,5,100.08,2021-11-15T07:04:19Z,2572,53.38
0.99,5,104.24,2021-11-15T07:03:39Z,2571,50.38
0.98,3,96.93,2021-11-11T07:47:16Z,2570,88.85
0.99,5,112.36,2021-11-11T07:43:32Z,2569,76.78
0.99,5,106.26,2021-11-11T07:42:54Z,2568,109.81
0.99,5,97.99,2021-11-10T14:41:36Z,2567,137.18
0.99,5,108.04,2021-11-10T14:40:29Z,2566,55.82
0.96,4,81.94,2021-11-10T14:39:57Z,2565,39.6
0.98,5,98.12,2021-11-10T14:34:28Z,2564,65.42
0.99,5,102.51,2021-11-10T09:53:04Z,2563,99.09
0.98,5,94.15,2021-11-10T09:52:17Z,2562,59.63
0.99,4,104.73,2021-11-10T09:51:37Z,2561,83.79
0.98,4,94.02,2021-11-10T09:50:54Z,2560,90.89
0.98,5,89.32,2021-11-04T03:32:44Z,2559,56.57
0.99,5,108.25,2021-11-03T09:20:23Z,2558,93.82
0.99,5,107.22,2021-11-03T06:25:40Z,2557,42.89
0.98,5,104.33,2021-11-03T06:25:13Z,2556,43.47
0.98,5,101.17,2021-11-03T06:24:45Z,2555,91.05
0.99,5,106.46,2021-11-03T06:23:45Z,2554,76.3
0.97,5,93.95,2021-11-03T06:20:15Z,2553,95.51
0.98,5,101.87,2021-11-01T05:03:04Z,2552,127.34
0.99,5,104.53,2021-11-01T03:49:29Z,2551,78.4
0.98,5,101.95,2021-11-01T03:42:09Z,2550,83.26
0.99,5,110.09,2021-11-01T01:52:02Z,2549,60.55
0.98,3,95.07,2021-10-28T07:23:09Z,2548,79.23
0.98,5,106.91,2021-10-28T07:21:41Z,2547,81.97
0.98,5,101.07,2021-10-25T13:33:43Z,2546,79.17
0.98,5,104.95,2021-10-25T13:32:58Z,2545,204.66
0.98,4,100.6,2021-10-25T13:30:43Z,2544,87.19
0.98,5,105.29,2021-10-25T13:28:24Z,2543,100.02
0.99,5,108.94,2021-10-14T02:42:13Z,2542,59.92
0.99,5,109.36,2021-10-14T02:41:39Z,2541,67.44
0.98,5,104.35,2021-10-14T02:40:26Z,2540,85.22
1,5,111.13,2021-10-13T09:51:13Z,2539,70.38
0.97,5,89.33,2021-10-12T02:57:14Z,2538,58.06
0.98,5,99.62,2021-10-12T02:56:33Z,2537,66.41
0.99,4,86.17,2021-10-10T15:25:48Z,2536,37.34
0.98,5,101.91,2021-10-10T15:21:30Z,2535,61.15
0.99,5,97.35,2021-10-10T15:19:00Z,2534,76.25
0.98,5,89.53,2021-10-10T14:52:13Z,2533,52.23
0.98,5,95.83,2021-10-10T14:43:07Z,2532,79.86
1,5,96.02,2021-10-10T14:42:10Z,2531,35.21
0.98,5,103.39,2021-10-05T09:56:53Z,2530,106.83
0.99,5,99.38,2021-10-04T12:12:45Z,2529,120.91
0.98,5,101.42,2021-10-04T12:11:48Z,2528,121.7
1,4,114.67,2021-10-04T12:07:40Z,2527,53.51
0.98,5,95.11,2021-10-04T12:07:11Z,2526,69.75
0.99,5,98.68,2021-10-04T12:00:55Z,2525,62.5
0.98,5,93.73,2021-10-04T07:02:29Z,2524,84.35
0.99,5,103.61,2021-09-15T16:08:17Z,2523,94.98
0.98,4,90.58,2021-08-17T11:58:57Z,2522,46.8
0.97,4,82.22,2021-08-17T11:58:15Z,2521,74
0.98,5,90.33,2021-08-08T18:31:28Z,2520,64.74
0.98,5,97.74,2021-08-08T17:47:14Z,2519,65.16
1,5,127.8,2021-08-05T11:24:04Z,2518,27.69
1,5,103.37,2021-08-04T13:48:03Z,2517,43.07
0.97,5,93.61,2021-08-04T13:47:04Z,2516,54.6
0.97,4,92.41,2021-08-04T11:17:57Z,2515,98.57
1,5,111.33,2021-08-01T14:44:27Z,2514,81.64
0.98,5,97.37,2021-07-30T11:33:12Z,2513,82.77
0.99,5,98.21,2021-07-30T11:21:01Z,2512,68.75
0.98,5,104,2021-07-30T11:20:23Z,2511,83.2
0.99,5,107.99,2021-07-30T11:19:39Z,2510,48.59
0.98,5,92.61,2021-07-26T07:12:39Z,2509,44.76
0.98,5,92.83,2021-07-26T07:12:02Z,2508,57.24
0.98,4,86.25,2021-07-23T11:27:18Z,2507,50.31
0.99,5,102.46,2021-07-23T11:26:42Z,2506,68.3
0.98,4,94.58,2021-07-23T11:24:34Z,2505,50.44
0.97,5,91.37,2021-07-23T11:19:10Z,2504,51.78
0.99,4,106.24,2021-07-23T05:23:53Z,2503,53.12
0.97,4,98.87,2021-07-21T11:04:01Z,2502,67.56
0.98,5,100.15,2021-07-21T11:03:22Z,2501,70.1
0.99,5,97.2,2021-07-20T15:36:43Z,2500,140.93
0.99,4,99.89,2021-07-19T14:46:19Z,2499,78.25
0.99,4,106.35,2021-07-19T14:45:36Z,2498,83.31
0.98,5,102,2021-07-19T14:43:59Z,2497,78.2
0.99,5,99.63,2021-07-19T14:42:05Z,2496,107.93
1,4,101.3,2021-07-19T14:37:54Z,2495,101.3
1,5,104.53,2021-07-19T14:35:55Z,2494,47.04
0.99,5,103.39,2021-07-19T14:35:27Z,2493,89.61
0.99,5,101.25,2021-07-19T13:57:13Z,2492,60.75
1,5,109.52,2021-07-19T13:56:29Z,2491,56.58
0.99,4,101.5,2021-07-19T11:21:17Z,2490,89.66
0.98,4,92.7,2021-07-19T11:19:52Z,2489,72.62
0.99,5,105.57,2021-07-19T11:07:12Z,2488,123.17
0.98,4,101.78,2021-07-19T11:06:19Z,2487,113.66
0.98,5,97.18,2021-07-16T15:18:07Z,2486,71.26
0.99,5,107.05,2021-07-16T15:16:05Z,2485,76.72
0.98,3,104.77,2021-07-16T11:14:18Z,2484,76.83
0.98,5,96.34,2021-07-16T11:12:09Z,2483,91.52
0.97,5,92.58,2021-07-16T09:41:33Z,2482,92.58
0.98,5,95.13,2021-07-16T09:40:42Z,2481,79.28
0.98,5,97.66,2021-07-15T08:43:58Z,2480,79.76
0.99,4,101.37,2021-07-15T08:43:12Z,2479,109.82
0.99,5,100.21,2021-07-15T01:31:21Z,2478,150.32
0.98,4,96.79,2021-07-15T01:30:12Z,2477,59.69
0.98,5,95.97,2021-07-15T01:29:33Z,2476,78.37
1,5,104.59,2021-07-15T01:16:25Z,2475,61.01
0.99,5,109.74,2021-07-13T07:35:06Z,2474,98.76
0.99,5,99.69,2021-07-13T07:34:25Z,2473,61.48
0.98,4,104.12,2021-07-13T07:18:27Z,2472,98.92
0.98,5,94.59,2021-07-13T03:17:07Z,2471,105.63
0.98,5,96.83,2021-07-13T03:09:22Z,2470,62.94
0.98,5,87.35,2021-07-12T11:07:40Z,2469,53.86
0.96,4,78.35,2021-07-09T11:59:09Z,2468,49.62
0.99,5,106.26,2021-07-09T11:58:25Z,2467,70.84
1,5,123.37,2021-07-07T16:37:38Z,2466,82.24
0.99,5,114.24,2021-07-07T16:37:06Z,2465,100.91
0.98,5,100.56,2021-07-07T16:31:18Z,2464,70.39
0.97,5,100.91,2021-07-07T16:30:35Z,2463,80.73
0.98,5,100.9,2021-07-07T16:28:15Z,2462,121.07
