wpm,accuracy,time,game_num,racers_num,points
62.89,0.94,2021-11-19T10:57:17Z,2628,5,46.12
71.39,0.97,2021-11-16T18:26:45Z,2627,5,66.63
71.68,0.97,2021-10-19T05:24:57Z,2626,5,35.84
69.3,0.96,2021-10-18T11:34:31Z,2625,5,55.44
74.88,0.97,2021-10-12T07:52:20Z,2624,5,54.91
88.76,0.98,2021-10-12T07:50:49Z,2623,5,53.26
65.65,0.96,2021-10-11T15:58:50Z,2622,5,37.2
74.61,0.96,2021-10-11T07:29:33Z,2621,4,79.58
73.79,0.97,2021-10-06T08:34:24Z,2620,5,45.5
80.61,0.97,2021-09-30T22:40:56Z,2619,5,65.83
71.25,0.95,2021-09-30T22:39:56Z,2618,5,68.88
78.09,0.98,2021-09-30T22:38:49Z,2617,5,62.47
64.19,0.95,2021-06-25T08:59:37Z,2616,4,28.88
77,0.96,2021-06-16T09:38:22Z,2615,4,64.17
75.68,0.96,2021-06-16T09:35:31Z,2614,5,52.98
80.5,0.98,2021-06-16T09:34:08Z,2613,5,52.33
78.36,0.98,2021-05-25T18:22:03Z,2612,5,48.32
71.37,0.95,2021-05-25T18:21:17Z,2611,5,61.86
78.7,0.96,2021-05-25T18:20:07Z,2610,5,62.96
72.97,0.95,2021-05-25T18:19:07Z,2609,5,65.67
76.2,0.96,2021-05-24T19:06:09Z,2608,5,64.77
79.95,0.97,2021-05-21T12:49:08Z,2607,2,46.64
66.3,0.95,2021-05-20T20:15:02Z,2606,5,44.2
69.54,0.97,2021-05-18T19:10:33Z,2605,5,47.52
71.04,0.95,2021-05-16T20:04:39Z,2604,5,35.52
74.32,0.95,2021-05-16T20:03:49Z,2603,5,60.69
80.14,0.97,2021-05-14T18:56:53Z,2602,5,48.08
75.56,0.96,2021-05-04T19:48:27Z,2601,5,46.59
69.22,0.94,2021-05-04T19:47:24Z,2600,5,38.07
70.55,0.96,2021-05-02T13:56:16Z,2599,5,56.44
64.12,0.95,2021-04-30T10:20:12Z,2598,5,40.61
79.61,0.97,2021-04-30T10:17:29Z,2597,5,76.96
71.53,0.94,2021-04-30T10:15:56Z,2596,5,42.92
84.16,0.96,2021-04-25T19:06:37Z,2595,5,58.91
73.34,0.95,2021-04-25T00:28:06Z,2594,5,45.23
75.76,0.97,2021-04-25T00:27:21Z,2593,5,13.89
68.98,0.96,2021-04-25T00:26:54Z,2592,5,28.74
81.94,0.97,2021-04-19T19:49:45Z,2591,5,50.53
84.84,0.98,2021-04-19T19:48:56Z,2590,5,49.49
69.7,0.95,2021-04-13T08:28:27Z,2589,5,82.48
75.83,0.95,2021-04-13T08:11:17Z,2588,5,37.92
63.72,0.95,2021-04-10T17:56:26Z,2587,5,43.54
67.32,0.96,2021-04-07T19:59:07Z,2586,5,142.49
73.16,0.96,2021-04-03T20:32:08Z,2585,5,41.46
70.49,0.96,2021-04-03T20:30:14Z,2584,5,50.52
78.99,0.96,2021-04-02T08:32:50Z,2583,4,92.15
73.09,0.97,2021-04-02T08:31:26Z,2582,5,57.25
70.56,0.95,2021-03-29T19:39:00Z,2581,5,104.66
78.89,0.97,2021-03-29T19:37:21Z,2580,5,57.85
69.89,0.96,2021-03-29T19:36:09Z,2579,4,39.6
78.38,0.98,2021-03-27T00:11:38Z,2578,5,69.24
65.99,0.95,2021-03-26T10:33:11Z,2577,5,49.49
68.05,0.95,2021-03-25T23:02:57Z,2576,5,65.78
73.56,0.96,2021-03-21T20:37:47Z,2575,5,40.46
79.26,0.97,2021-03-21T20:36:42Z,2574,5,26.42
94.29,0.97,2021-03-21T20:34:49Z,2573,5,44
80.82,0.96,2021-03-21T20:33:45Z,2572,5,49.84
77.72,0.97,2021-03-21T18:06:22Z,2571,4,77.72
91.48,0.97,2021-03-20T14:37:44Z,2570,5,47.26
73.22,0.96,2021-03-20T14:36:08Z,2569,5,52.47
74.53,0.96,2021-03-18T20:57:50Z,2568,5,49.69
78.03,0.96,2021-03-18T20:56:05Z,2567,5,70.23
73.57,0.95,2021-03-18T20:54:34Z,2566,5,38.01
80.7,0.97,2021-03-14T20:42:01Z,2565,5,75.32
92.4,0.98,2021-03-14T20:40:54Z,2564,5,49.28
73.79,0.95,2021-03-14T20:39:57Z,2563,5,43.04
73.51,0.95,2021-03-14T20:36:54Z,2562,5,55.13
76.3,0.96,2021-03-13T18:19:53Z,2561,5,45.78
76.44,0.97,2021-03-13T18:18:04Z,2560,5,61.15
79.38,0.96,2021-03-13T18:16:28Z,2559,5,48.95
80.74,0.96,2021-03-13T18:15:31Z,2558,5,61.9
66.43,0.95,2021-03-13T00:51:13Z,2557,5,73.08
72.8,0.95,2021-03-13T00:47:50Z,2556,5,37.61
74.87,0.97,2021-03-13T00:45:19Z,2555,5,52.41
88.84,0.98,2021-03-13T00:42:05Z,2554,5,53.3
73.7,0.95,2021-03-13T00:41:23Z,2553,5,39.31
75.57,0.96,2021-03-09T18:23:11Z,2552,4,68.02
86.1,0.98,2021-03-09T15:50:41Z,2551,5,57.4
75.47,0.96,2021-03-09T10:03:45Z,2550,5,65.41
78.28,0.97,2021-03-09T10:01:50Z,2549,5,90.03
78.61,0.97,2021-03-09T10:00:11Z,2548,5,65.51
71.35,0.95,2021-03-01T20:02:08Z,2547,5,96.32
77.89,0.96,2021-02-26T23:11:28Z,2546,5,70.1
77.55,0.97,2021-02-26T17:37:08Z,2545,5,52.99
88.14,0.98,2021-02-26T17:30:20Z,2544,5,60.23
74.71,0.95,2021-02-25T20:00:06Z,2543,5,68.48
88.04,0.98,2021-02-25T19:59:05Z,2542,4,54.29
