wpm,accuracy,time,game_num,racers_num,points
75.26,0.99,2021-10-03T16:55:08Z,2829,5,60.21
79.54,0.98,2021-09-17T19:40:57Z,2828,5,39.77
73.75,0.97,2021-09-17T19:39:57Z,2827,5,87.27
88.31,0.97,2021-09-17T19:38:37Z,2826,5,54.46
76.18,0.98,2021-09-17T19:37:54Z,2825,5,27.93
72.9,0.98,2021-09-17T19:36:55Z,2824,5,52.25
72.49,0.98,2021-09-17T19:36:00Z,2823,5,65.24
83.29,0.99,2021-09-17T19:34:18Z,2822,5,65.25
72.3,0.97,2021-09-17T19:33:27Z,2821,5,39.77
72.41,0.97,2021-09-17T19:32:43Z,2820,5,38.62
83.11,0.98,2021-09-17T19:31:09Z,2819,5,42.94
66.28,0.97,2021-09-17T19:30:28Z,2818,5,56.33
82.07,0.97,2021-09-17T19:28:56Z,2817,5,57.45
70.85,0.99,2021-09-13T22:41:38Z,2816,4,34.24
76.41,0.97,2021-09-13T22:41:00Z,2815,5,103.15
83.05,0.99,2021-09-13T22:39:36Z,2814,5,71.98
71,0.97,2021-09-13T22:38:47Z,2813,5,49.7
69.45,0.97,2021-09-13T22:37:36Z,2812,5,45.14
61.9,0.98,2021-09-13T22:36:21Z,2811,5,27.85
45.3,0.97,2021-09-13T22:35:37Z,2810,5,42.28
68.78,0.97,2021-09-13T22:28:58Z,2809,5,47
55.57,0.98,2021-09-13T22:28:02Z,2808,5,37.05
58.15,0.96,2021-09-13T22:27:00Z,2807,5,45.55
70.24,0.99,2021-09-13T22:25:40Z,2806,5,55.02
50.32,0.95,2021-09-13T22:02:02Z,2805,5,25.16
51.65,0.97,2021-09-13T22:00:50Z,2804,5,41.32
63.59,0.96,2021-09-13T21:57:54Z,2803,5,43.45
43.55,0.96,2021-09-13T21:55:50Z,2802,5,29.03
57.19,0.95,2021-09-13T21:53:49Z,2801,5,32.41
89.42,0.99,2021-09-11T00:01:17Z,2800,4,84.95
76.61,0.99,2021-09-10T22:49:19Z,2799,4,58.73
68.77,0.98,2021-09-10T19:50:37Z,2798,5,61.9
62.51,0.96,2021-09-10T19:49:30Z,2797,5,72.92
84.56,0.98,2021-09-10T04:44:58Z,2796,4,71.88
75.38,0.99,2021-09-10T04:41:41Z,2795,5,64.07
80.44,0.99,2021-09-10T04:31:03Z,2794,5,76.42
76.1,0.98,2021-09-10T01:15:01Z,2793,5,38.05
82.07,0.99,2021-09-10T00:04:23Z,2792,5,43.77
92.83,0.99,2021-09-09T19:36:39Z,2791,5,44.87
68.56,0.95,2021-09-09T19:36:02Z,2790,5,41.14
72.13,0.96,2021-09-09T19:34:58Z,2789,5,46.88
77.04,0.97,2021-09-09T19:30:01Z,2788,5,56.5
65.74,0.96,2021-09-09T19:29:07Z,2787,5,49.31
79.02,0.97,2021-09-09T19:22:54Z,2786,5,123.8
80.97,0.99,2021-09-09T19:20:17Z,2785,5,41.83
76.86,0.98,2021-09-09T17:48:46Z,2784,5,65.33
74.35,0.97,2021-09-09T17:46:25Z,2783,5,96.66
70.73,0.96,2021-09-09T17:37:53Z,2782,5,34.19
79.43,0.98,2021-09-09T17:35:37Z,2781,5,43.69
78.38,0.98,2021-09-09T17:32:46Z,2780,5,96.67
76.36,0.98,2021-09-09T07:06:08Z,2779,4,39.45
86.23,0.99,2021-09-09T07:05:27Z,2778,5,35.93
65.02,0.97,2021-09-09T07:04:22Z,2777,5,35.76
84.61,0.98,2021-09-09T02:18:40Z,2776,4,118.45
85.93,0.99,2021-09-09T00:08:39Z,2775,5,57.29
74.32,0.97,2021-09-09T00:07:51Z,2774,5,47.07
73.84,0.97,2021-09-09T00:04:49Z,2773,5,66.46
64.36,0.96,2021-09-08T23:55:25Z,2772,5,50.41
52.43,0.96,2021-09-08T23:52:40Z,2771,5,35.83
67.44,0.97,2021-09-08T23:35:50Z,2770,5,55.07
80.47,0.98,2021-09-08T23:34:55Z,2769,5,46.94
85.77,0.99,2021-09-08T23:33:32Z,2768,4,85.77
81,0.98,2021-09-08T23:32:31Z,2767,5,62.1
70.54,0.97,2021-09-08T23:18:26Z,2766,5,47.02
69.83,0.96,2021-09-08T23:17:24Z,2765,5,29.1
66.66,0.98,2021-09-08T23:15:48Z,2764,4,50
79.7,0.98,2021-09-08T23:14:11Z,2763,5,38.52
64.92,0.96,2021-09-07T23:47:40Z,2762,4,46.53
77.4,0.97,2021-09-07T23:46:18Z,2761,5,64.5
66.26,0.96,2021-09-07T23:44:57Z,2760,5,73.99
67.42,0.97,2021-08-28T16:06:49Z,2759,5,46.07
79.31,0.97,2021-08-27T19:58:54Z,2758,5,63.45
90.37,0.99,2021-08-26T17:04:23Z,2757,3,118.99
78.86,0.99,2021-08-25T07:19:50Z,2756,4,81.49
86.39,0.99,2021-08-25T01:09:10Z,2755,4,67.67
84.08,0.99,2021-08-25T01:06:11Z,2754,5,67.26
65.41,0.96,2021-08-25T01:05:19Z,2753,5,49.06
75.74,0.99,2021-08-24T18:34:24Z,2752,5,66.91
76.45,0.98,2021-08-24T18:32:46Z,2751,5,95.56
78.77,0.97,2021-08-24T07:09:38Z,2750,5,143.09
71.8,0.99,2021-08-24T07:07:30Z,2749,5,61.03
78.42,0.99,2021-08-24T07:06:14Z,2748,5,43.13
71.86,0.98,2021-08-24T01:05:38Z,2747,5,53.9
73.6,0.97,2021-08-24T01:04:06Z,2746,5,62.56
70.73,0.97,2021-08-24T01:03:01Z,2745,5,43.62
76.79,0.98,2021-08-23T20:01:50Z,2744,4,56.31
79.12,0.98,2021-08-23T20:00:51Z,2743,5,84.39
77.74,0.98,2021-08-23T07:04:13Z,2742,5,104.95
70.07,0.98,2021-08-23T07:02:32Z,2741,5,64.23
81.83,0.98,2021-08-22T23:32:24Z,2740,4,110.47
78.99,0.99,2021-08-22T00:25:43Z,2739,4,46.08
76.99,0.97,2021-08-22T00:23:50Z,2738,5,107.79
80.93,0.98,2021-08-22T00:20:34Z,2737,5,32.37
92.51,0.99,2021-08-22T00:18:54Z,2736,5,75.55
74.01,0.97,2021-08-22T00:16:28Z,2735,4,70.31
81.81,0.98,2021-08-21T20:14:22Z,2734,5,49.09
85.49,0.99,2021-08-21T18:20:19Z,2733,5,61.27
69.54,0.97,2021-08-21T18:18:56Z,2732,4,52.16
94.23,0.99,2021-08-21T00:46:34Z,2731,5,67.53
94.2,0.99,2021-08-21T00:45:36Z,2730,4,97.34
91.56,0.99,2021-08-21T00:44:04Z,2729,4,94.62
87.02,0.99,2021-08-21T00:35:12Z,2728,5,92.82
71.16,0.97,2021-08-21T00:33:59Z,2727,5,35.58
93.51,0.99,2021-08-20T23:09:19Z,2726,4,40.52
76.78,0.98,2021-08-20T23:08:16Z,2725,5,39.67
82.42,0.98,2021-08-20T23:07:05Z,2724,5,38.46
72.04,0.98,2021-08-20T23:06:03Z,2723,5,42.02
67.77,0.98,2021-08-20T23:05:08Z,2722,5,36.14
73.58,0.98,2021-08-20T23:03:47Z,2721,4,68.68
76.06,0.98,2021-08-20T23:02:07Z,2720,4,74.79
84.06,0.98,2021-08-20T23:00:18Z,2719,5,89.67
74.34,0.97,2021-08-20T20:06:46Z,2718,5,73.1
84.6,0.98,2021-08-20T20:01:44Z,2717,5,62.04
81.22,0.98,2021-08-20T19:59:21Z,2716,5,70.39
84.58,0.98,2021-08-20T17:54:00Z,2715,5,53.57
84.41,0.99,2021-08-20T17:52:01Z,2714,5,94.25
71.32,0.98,2021-08-20T16:20:37Z,2713,3,82.02
78.83,0.97,2021-08-20T14:15:31Z,2712,5,42.04
76.32,0.98,2021-08-20T07:06:02Z,2711,5,55.97
72.69,0.99,2021-08-20T05:47:04Z,2710,5,58.15
71.05,0.98,2021-08-20T05:45:59Z,2709,5,98.29
82.42,0.98,2021-08-20T05:44:05Z,2708,4,107.15
70.72,0.98,2021-08-20T05:42:40Z,2707,5,82.51
76.07,0.98,2021-08-20T05:40:45Z,2706,5,122.98
60.66,0.96,2021-08-20T05:39:03Z,2705,4,20.22
63.78,0.97,2021-08-20T05:38:18Z,2704,4,69.09
59.9,0.97,2021-08-20T05:36:58Z,2703,4,61.9
78.07,0.99,2021-08-20T05:34:49Z,2702,5,67.66
75.9,0.98,2021-08-20T05:33:47Z,2701,5,45.54
68.09,0.98,2021-08-20T05:32:56Z,2700,5,34.05
73.07,0.99,2021-08-20T05:31:21Z,2699,5,103.52
66.48,0.97,2021-08-20T05:24:24Z,2698,5,48.75
86.31,0.98,2021-08-20T05:23:26Z,2697,5,94.94
66.33,0.96,2021-08-20T05:22:26Z,2696,5,47.54
78.89,0.98,2021-08-20T05:21:15Z,2695,5,71
70.2,0.97,2021-08-20T05:19:37Z,2694,4,139.24
68.07,0.96,2021-08-20T05:17:23Z,2693,5,37.44
76.37,0.98,2021-08-20T05:08:29Z,2692,4,147.64
80.71,0.98,2021-08-20T05:06:30Z,2691,5,48.43
72.54,0.98,2021-08-20T05:04:00Z,2690,4,73.75
75.09,0.99,2021-08-20T05:02:18Z,2689,5,73.84
