wpm,accuracy,time,game_num,racers_num,points
90.27,0.98,2021-11-10T13:58:32Z,2698,4,52.66
100.78,0.99,2021-11-10T13:55:27Z,2697,5,78.95
99.41,0.98,2021-11-10T13:54:43Z,2696,5,84.5
102.78,0.97,2021-11-10T13:54:00Z,2695,5,95.93
107.82,1,2021-11-10T13:52:29Z,2694,5,55.71
92.91,0.98,2021-11-10T13:51:59Z,2693,4,43.36
112.53,1,2021-11-10T13:51:15Z,2692,5,93.78
97.13,0.98,2021-11-10T13:50:33Z,2691,5,71.23
97.41,0.99,2021-11-10T13:49:51Z,2690,4,43.83
97.93,0.98,2021-11-10T13:48:08Z,2689,5,75.08
105.01,0.99,2021-11-10T13:47:23Z,2688,5,98.01
88.65,0.98,2021-11-10T13:46:40Z,2687,5,47.28
94.45,0.98,2021-11-10T13:45:58Z,2686,5,83.43
105.18,0.99,2021-11-08T20:59:50Z,2685,5,77.13
104.09,0.99,2021-11-08T20:59:10Z,2684,5,100.62
95.39,0.98,2021-10-28T22:23:06Z,2683,5,68.36
98.61,0.98,2021-10-28T22:22:06Z,2682,4,92.03
97.75,0.99,2021-10-28T22:20:27Z,2681,4,104.26
87.98,0.97,2021-10-28T22:19:37Z,2680,5,114.37
94.45,0.98,2021-10-28T22:16:39Z,2679,5,39.35
104.99,0.99,2021-10-28T22:14:49Z,2678,5,101.49
106.79,0.99,2021-10-28T22:14:01Z,2677,4,101.45
104.96,0.99,2021-10-19T22:22:03Z,2676,5,150.45
70.97,0.99,2021-08-10T01:31:12Z,2675,2,55.59
95.89,0.98,2021-08-10T01:29:52Z,2674,2,86.3
93.75,0.98,2021-08-10T01:28:22Z,2673,2,42.19
89.25,0.98,2021-08-10T01:27:24Z,2672,2,87.77
96.06,0.98,2021-08-10T01:26:08Z,2671,2,68.85
81.43,0.98,2021-08-10T01:25:03Z,2670,2,44.79
86.76,0.99,2021-08-10T01:24:14Z,2669,2,53.5
90.23,0.97,2021-08-10T01:23:22Z,2668,2,85.72
105.39,1,2021-08-10T01:22:17Z,2667,2,107.15
75.61,0.95,2021-08-10T01:21:16Z,2666,2,61.75
98.44,1,2021-08-10T01:18:33Z,2665,3,103.37
84.25,0.97,2021-08-10T01:17:22Z,2664,3,51.96
