wpm,accuracy,time,game_num,racers_num,points
80.7,0.99,2021-07-16T02:21:06Z,2867,4,86.08
69.97,0.97,2021-07-16T02:19:52Z,2866,5,65.31
77.06,0.98,2021-04-27T04:58:32Z,2865,5,33.39
81.87,0.99,2021-04-27T04:57:52Z,2864,5,61.4
76.71,0.97,2021-04-27T04:57:05Z,2863,5,74.16
75.53,0.98,2021-04-27T04:56:03Z,2862,5,51.61
81.23,0.99,2021-04-27T04:55:14Z,2861,4,55.51
82.13,0.99,2021-04-27T04:54:29Z,2860,4,109.5
76.38,0.98,2021-04-27T04:53:11Z,2859,5,54.74
89.97,1,2021-04-27T04:52:06Z,2858,5,47.98
86.13,0.99,2021-04-27T04:51:33Z,2857,5,68.9
82.21,0.99,2021-04-27T04:50:46Z,2856,5,53.44
77.65,0.98,2021-04-03T10:47:40Z,2855,5,69.88
82.76,0.99,2021-03-03T13:25:37Z,2854,5,88.28
70.62,0.98,2021-03-03T13:24:35Z,2853,4,58.85
76.49,0.97,2021-02-28T05:23:37Z,2852,4,51
74.1,0.98,2021-02-23T10:36:22Z,2851,5,81.51
77.96,0.99,2021-02-23T10:34:19Z,2850,5,85.76
70.56,0.97,2021-02-23T10:33:05Z,2849,5,50.57
73.5,0.96,2021-02-23T10:32:11Z,2848,5,30.62
86.95,0.98,2021-02-23T10:31:29Z,2847,5,39.13
86.97,0.98,2021-02-23T10:30:46Z,2846,5,57.98
81.39,0.98,2021-02-23T10:29:40Z,2845,5,84.11
86.91,0.98,2021-02-23T10:28:21Z,2844,5,50.7
84.61,1,2019-11-22T05:29:15Z,2843,5,88.84
59.32,0.98,2019-11-20T08:45:44Z,2842,4,33.62
64.58,0.98,2019-11-15T04:46:07Z,2841,5,35.52
73.25,0.99,2019-11-15T04:38:53Z,2840,4,73.25
73.37,0.97,2019-11-15T04:37:36Z,2839,4,110.05
87.09,0.99,2019-11-15T04:35:54Z,2838,5,76.93
58.6,0.97,2019-11-15T04:17:08Z,2837,4,86.93
67.21,0.98,2019-11-15T04:14:57Z,2836,5,81.77
86.71,1,2019-10-08T12:48:54Z,2835,5,65.04
61.77,0.96,2019-08-01T12:28:16Z,2834,5,48.39
58.21,0.98,2019-07-09T12:35:19Z,2833,5,57.24
61.33,0.98,2019-07-09T11:28:35Z,2832,3,51.11
67.94,0.98,2019-07-09T11:27:30Z,2831,5,58.88
73.65,0.97,2019-07-09T11:26:35Z,2830,5,41.73
74.45,0.98,2019-07-09T11:25:34Z,2829,5,42.19
65.15,0.98,2019-07-08T05:15:02Z,2828,5,23.89
67.55,0.97,2019-06-30T05:41:43Z,2827,5,45.03
61.62,0.99,2019-06-28T12:58:42Z,2826,3,31.84
69.3,0.98,2019-06-28T08:38:34Z,2825,5,41.58
76.29,0.99,2019-06-28T08:21:00Z,2824,4,36.87
59.92,0.97,2019-06-27T08:57:49Z,2823,5,79.89
72.01,0.99,2019-06-27T07:52:17Z,2822,3,74.41
60.12,0.98,2019-06-27T06:53:42Z,2821,4,44.09
69.37,0.98,2019-06-25T10:39:27Z,2820,5,108.68
64.05,0.97,2019-06-25T07:29:53Z,2819,5,72.59
66.18,0.98,2019-06-24T12:21:28Z,2818,5,58.46
77.95,1,2019-06-24T12:19:46Z,2817,5,41.57
64.96,0.98,2019-06-22T06:13:39Z,2816,5,45.47
56.18,0.96,2019-06-21T11:23:20Z,2815,5,35.58
48.21,0.97,2019-05-07T01:58:53Z,2814,4,38.57
59.78,0.99,2019-05-07T01:57:18Z,2813,5,89.67
60.65,0.97,2019-05-07T01:55:35Z,2812,3,30.33
58.61,0.96,2019-05-06T04:39:44Z,2811,4,59.59
65.3,0.97,2019-05-06T04:38:10Z,2810,5,68.56
71.14,0.98,2019-05-06T04:36:57Z,2809,5,72.32
58.12,0.97,2019-05-06T04:35:39Z,2808,4,34.87
66.25,0.98,2019-05-06T04:34:45Z,2807,5,60.73
67.51,0.97,2019-05-06T04:33:28Z,2806,5,47.26
64.08,0.97,2019-05-06T04:32:35Z,2805,4,56.6
65.25,0.98,2019-05-06T04:31:15Z,2804,5,71.78
65.75,0.97,2018-12-31T05:03:22Z,2803,5,28.49
71.9,0.98,2018-12-31T05:02:43Z,2802,5,41.94
68.3,0.98,2018-12-31T05:01:59Z,2801,4,70.58
64.7,0.97,2018-12-31T05:00:50Z,2800,4,53.92
49.15,0.96,2018-12-31T04:59:40Z,2799,5,33.59
80.46,0.99,2018-12-31T04:58:17Z,2798,5,72.41
