accuracy,racers_num,wpm,time,game_num,points
0.95,4,59.02,2019-07-17T07:11:05Z,2582,71.8
0.96,4,64.27,2019-07-17T07:09:33Z,2581,122.11
0.97,5,71.72,2019-07-17T07:07:35Z,2580,34.67
0.96,5,63.72,2019-07-17T07:06:54Z,2579,106.2
0.97,3,60.21,2019-07-17T07:04:52Z,2578,35.12
0.95,5,65.23,2019-07-17T07:04:04Z,2577,40.23
0.96,5,70.75,2019-07-17T07:03:01Z,2576,34.19
0.97,4,65.63,2019-07-17T07:02:23Z,2575,74.39
0.94,5,65.36,2019-02-13T06:13:47Z,2574,40.3
0.96,3,66.81,2019-02-13T06:12:47Z,2573,45.66
0.97,5,63.08,2019-02-07T04:12:34Z,2572,53.62
0.96,5,59.29,2019-02-02T08:53:44Z,2571,32.61
0.97,5,74.6,2019-02-02T08:30:13Z,2570,39.78
0.96,5,66.25,2019-02-02T08:29:28Z,2569,51.89
0.96,4,68.72,2019-02-02T08:27:01Z,2568,77.88
0.96,4,67.34,2019-01-25T22:40:23Z,2567,53.87
0.96,5,70.87,2019-01-25T22:39:22Z,2566,35.43
0.98,5,81.34,2019-01-25T01:41:48Z,2565,69.14
0.98,5,79.8,2019-01-25T00:16:20Z,2564,39.9
0.97,5,72.38,2019-01-16T21:14:33Z,2563,48.25
0.98,5,68.16,2019-01-16T21:12:33Z,2562,22.72
0.97,5,72.58,2019-01-16T21:11:34Z,2561,81.05
0.98,4,73.07,2019-01-16T21:09:30Z,2560,47.5
0.97,5,69.02,2019-01-16T21:07:38Z,2559,94.33
0.96,5,70.14,2018-09-24T06:01:01Z,2558,45.59
0.96,5,73.06,2018-09-24T05:59:09Z,2557,45.06
0.97,5,62.64,2018-09-24T05:56:55Z,2556,49.07
0.96,5,67.85,2018-09-24T05:55:33Z,2555,101.78
0.96,5,63.67,2018-09-24T05:53:54Z,2554,44.57
0.96,5,67.8,2018-09-24T05:52:51Z,2553,65.54
0.98,4,67.59,2018-09-24T05:51:25Z,2552,33.8
0.96,5,61.75,2018-09-24T05:50:36Z,2551,54.54
0.95,5,66.27,2018-09-24T05:49:13Z,2550,48.6
0.97,5,68.53,2018-09-24T05:48:10Z,2549,59.39
0.95,4,69.06,2018-09-22T11:45:54Z,2548,49.49
0.96,5,65.26,2018-09-22T11:44:59Z,2547,38.07
0.94,5,65.7,2018-09-22T11:37:21Z,2546,59.13
0.96,2,71.67,2018-09-22T11:26:45Z,2545,74.06
0.96,5,72.85,2018-09-22T11:25:31Z,2544,72.85
0.97,5,71.12,2018-09-22T11:23:34Z,2543,52.16
0.96,5,65.39,2018-09-22T11:18:01Z,2542,63.21
0.96,3,67.23,2018-09-21T07:55:56Z,2541,72.84
0.96,5,61.32,2018-09-21T07:54:32Z,2540,30.66
0.94,5,59.34,2018-09-21T07:41:30Z,2539,48.46
0.95,4,57.49,2018-09-21T07:40:02Z,2538,52.7
0.94,5,57.88,2018-09-21T07:38:32Z,2537,51.12
0.97,5,78.76,2018-09-21T07:37:08Z,2536,76.14
0.96,5,68.61,2018-09-21T07:35:51Z,2535,54.89
0.95,5,62.88,2018-09-21T07:31:15Z,2534,73.36
0.96,3,58.71,2018-09-21T07:25:14Z,2533,36.21
0.96,5,69.69,2018-08-27T13:03:25Z,2532,85.95
0.95,4,65.33,2018-08-27T13:02:06Z,2531,39.2
0.96,5,65.37,2018-08-27T13:01:19Z,2530,78.45
0.96,5,72.53,2018-08-27T12:59:55Z,2529,44.73
0.97,2,70.63,2018-07-04T15:17:21Z,2528,50.62
0.97,5,73.38,2018-07-04T02:44:46Z,2527,78.27
0.96,4,56.24,2018-07-04T01:58:07Z,2526,59.99
0.97,5,75.92,2018-07-04T01:55:04Z,2525,62
0.96,5,67.27,2018-06-24T05:37:57Z,2524,85.21
0.96,5,68.24,2018-06-24T05:34:58Z,2523,71.66
0.97,4,72.12,2018-06-24T05:33:47Z,2522,78.13
0.98,5,74.19,2018-06-24T05:30:53Z,2521,75.43
0.97,4,68.92,2018-06-24T05:29:53Z,2520,35.61
0.95,5,61.73,2018-05-16T10:29:54Z,2519,38.07
0.96,4,71.55,2018-05-16T07:22:33Z,2518,63.2
0.97,5,67.76,2018-05-16T07:09:03Z,2517,54.21
0.96,5,73.03,2018-05-15T10:49:26Z,2516,55.99
0.95,5,71.75,2018-05-10T14:55:04Z,2515,68.16
0.95,5,68.27,2018-05-10T14:53:59Z,2514,48.93
0.96,4,69.21,2018-05-08T16:42:54Z,2513,71.52
