wpm,accuracy,time,game_num,racers_num,points
104.22,0.99,2021-11-16T05:02:41Z,2681,5,71.22
105.2,0.99,2021-11-16T05:01:56Z,2680,5,82.41
102.17,0.99,2021-11-16T05:01:16Z,2679,5,86.85
102.67,0.99,2021-11-16T05:00:02Z,2678,5,88.98
89.91,0.99,2021-11-16T04:59:01Z,2677,5,67.43
98.75,0.98,2021-11-16T04:57:20Z,2676,5,47.73
93.3,1,2021-11-16T04:56:39Z,2675,4,90.19
87.38,0.97,2021-11-16T04:55:04Z,2674,5,58.25
86.27,0.97,2021-11-16T04:50:45Z,2673,5,38.82
100.03,0.99,2021-11-16T04:49:48Z,2672,5,86.7
86.52,0.98,2021-11-16T04:45:12Z,2671,5,80.76
83.97,0.97,2021-11-16T04:44:15Z,2670,4,57.38
90.53,0.98,2021-11-16T04:42:14Z,2669,4,102.6
78.76,0.98,2021-11-16T04:39:43Z,2668,5,55.13
81.81,0.99,2021-11-15T10:11:36Z,2667,5,51.81
82.28,0.98,2021-11-15T10:04:09Z,2666,5,80.91
79.22,0.98,2021-11-15T10:02:16Z,2665,4,66.02
92.92,0.98,2021-11-15T10:00:14Z,2664,5,41.81
83.11,0.97,2021-11-15T09:59:39Z,2663,5,51.25
86.04,0.97,2021-11-15T09:58:39Z,2662,5,41.59
89.26,1,2021-11-15T09:57:59Z,2661,4,34.22
90.89,0.99,2021-11-15T09:57:23Z,2660,5,56.05
84.46,0.97,2021-11-15T07:48:11Z,2659,5,98.54
77.2,0.97,2021-11-15T07:40:17Z,2658,4,66.91
93.94,0.98,2021-11-15T07:39:13Z,2657,5,87.68
84.96,0.98,2021-11-15T07:35:44Z,2656,5,66.55
85.56,0.98,2021-11-15T07:34:52Z,2655,4,62.74
80.55,0.98,2021-11-15T07:33:57Z,2654,5,72.49
86.06,0.98,2021-11-15T07:33:03Z,2653,5,60.24
96.97,0.99,2021-11-15T07:32:18Z,2652,5,63.03
95.59,0.98,2021-11-15T07:31:22Z,2651,5,98.78
90.9,0.99,2021-11-15T07:30:27Z,2650,5,59.09
99.8,0.99,2021-11-15T07:28:43Z,2649,5,149.7
81.17,0.98,2021-11-15T07:27:33Z,2648,5,56.82
78.43,0.99,2021-11-15T07:26:47Z,2647,5,57.51
87.75,0.99,2021-11-15T07:25:24Z,2646,5,65.81
87.68,0.99,2021-11-15T07:24:11Z,2645,5,42.38
84.34,0.98,2021-11-15T07:23:37Z,2644,5,74.5
96.42,0.98,2021-11-15T07:22:34Z,2643,5,91.6
91.45,0.99,2021-11-15T07:21:44Z,2642,5,97.54
81.22,0.98,2021-11-15T07:20:29Z,2641,5,44.67
80.76,0.99,2021-11-15T07:19:50Z,2640,5,96.92
88.73,0.99,2021-11-15T07:18:35Z,2639,5,60.63
91.37,0.99,2021-11-15T07:17:27Z,2638,5,82.24
84.16,0.99,2021-11-15T07:16:25Z,2637,5,99.59
80.13,0.99,2021-11-15T07:15:20Z,2636,4,72.12
78.27,0.96,2021-11-15T07:14:23Z,2635,5,36.52
74.21,0.97,2021-11-15T07:13:41Z,2634,5,47
78.17,0.98,2021-11-15T07:12:52Z,2633,5,99.02
79.4,0.97,2021-11-15T07:11:34Z,2632,4,100.57
80.85,0.98,2021-11-15T07:10:28Z,2631,5,64.68
81.24,0.97,2021-11-15T07:09:30Z,2630,5,96.14
79.89,0.98,2021-11-15T07:08:03Z,2629,5,63.91
91.84,0.98,2021-11-14T18:32:01Z,2628,2,119.4
86.13,0.98,2021-11-14T18:30:40Z,2627,2,63.16
83.26,0.98,2021-11-14T18:29:36Z,2626,2,49.96
91.84,0.99,2021-11-14T18:28:32Z,2625,2,79.6
80.73,0.99,2021-11-14T18:27:24Z,2624,2,63.24
74.04,0.99,2021-11-14T18:25:57Z,2623,2,71.57
67.77,0.98,2021-11-14T18:24:31Z,2622,2,25.98
69.67,0.96,2021-11-14T18:23:26Z,2621,2,48.77
78.99,0.98,2021-11-14T18:22:04Z,2620,2,88.21
81.98,0.99,2021-11-14T18:19:52Z,2619,2,122.98
76.88,0.98,2021-11-14T18:16:40Z,2618,2,71.76
83.26,1,2021-11-14T18:15:07Z,2617,2,51.35
96.78,0.99,2021-11-14T18:11:44Z,2616,2,83.88
74.36,0.99,2021-11-14T18:10:06Z,2615,2,42.14
91.25,0.99,2021-11-14T18:08:48Z,2614,2,101.89
78.47,0.98,2021-11-14T18:07:24Z,2613,2,37.93
74.04,0.96,2021-11-14T18:06:15Z,2612,2,76.51
87.92,0.99,2021-11-14T18:01:40Z,2611,2,58.62
71.95,0.96,2021-11-14T17:39:05Z,2610,4,35.97
88.18,1,2021-11-14T17:37:23Z,2609,3,57.32
73.88,0.97,2021-11-14T17:35:58Z,2608,3,87.43
77.03,0.98,2021-11-14T17:34:03Z,2607,4,41.08
88.83,0.98,2021-11-14T17:32:31Z,2606,4,57.74
75.18,0.97,2021-11-14T17:31:04Z,2605,4,53.88
83.41,0.97,2021-11-14T17:29:08Z,2604,4,98.7
72.86,0.96,2021-11-14T17:15:05Z,2603,3,31.57
82.86,0.99,2021-11-14T13:25:58Z,2602,5,60.76
70.17,0.98,2021-11-09T16:20:51Z,2601,2,36.25
74.16,0.97,2021-11-09T14:24:10Z,2600,4,76.63
80.83,0.98,2021-11-09T14:23:02Z,2599,5,51.19
83.43,0.98,2021-11-09T14:22:21Z,2598,5,83.43
86.85,0.99,2021-11-09T14:19:18Z,2597,5,69.48
99.28,0.99,2021-11-09T14:18:28Z,2596,5,86.04
78.12,0.98,2021-11-09T14:17:44Z,2595,5,50.78
83.68,0.99,2021-11-09T14:16:39Z,2594,4,117.15
76.81,0.98,2021-11-09T14:15:23Z,2593,5,72.97
85.76,0.99,2021-11-09T14:14:18Z,2592,5,70.04
80.15,0.99,2021-11-09T14:13:27Z,2591,5,73.47
88.85,0.99,2021-11-09T14:12:21Z,2590,5,45.91
79.99,0.98,2021-11-09T14:11:46Z,2589,5,61.33
78,0.98,2021-11-09T14:09:45Z,2588,5,83.21
79.11,0.99,2021-11-09T14:08:37Z,2587,5,54.06
90.44,0.99,2021-11-09T14:07:53Z,2586,5,66.32
81.78,0.98,2021-11-09T14:06:00Z,2585,5,76.33
85.62,1,2021-11-09T14:04:07Z,2584,5,74.21
81.94,0.98,2021-11-09T14:02:04Z,2583,5,73.75
84.93,0.98,2021-11-09T13:59:57Z,2582,3,80.68
86.31,0.97,2021-10-30T06:59:54Z,2581,5,43.15
86.85,0.98,2021-10-30T06:59:10Z,2580,4,62.24
84.47,0.99,2021-10-30T06:58:24Z,2579,4,92.92
83.6,0.98,2021-10-30T06:57:07Z,2578,4,82.2
93.15,0.98,2021-10-30T06:54:34Z,2577,4,180.1
90.26,0.98,2021-10-30T06:52:24Z,2576,4,114.33
93.51,0.98,2021-10-30T06:50:39Z,2575,5,73.25
80.69,0.97,2021-10-30T06:49:54Z,2574,5,75.31
82.31,0.98,2021-10-29T06:34:11Z,2573,5,82.31
78.6,0.97,2021-10-29T06:30:01Z,2572,4,49.78
81.37,0.97,2021-10-29T06:24:59Z,2571,4,100.36
79.81,0.98,2021-10-29T06:23:38Z,2570,5,99.76
87.07,0.97,2021-10-29T06:18:39Z,2569,5,68.2
86.86,0.98,2021-10-29T06:17:52Z,2568,4,110.02
88.42,0.98,2021-10-29T06:16:47Z,2567,5,95.79
76.5,0.97,2021-10-29T06:15:08Z,2566,5,45.9
87.72,0.97,2021-10-29T06:13:28Z,2565,5,80.41
82.31,0.99,2021-10-23T13:51:24Z,2564,5,115.24
86.07,0.98,2021-10-23T13:42:58Z,2563,5,78.9
84.83,0.99,2021-10-23T13:39:59Z,2562,5,118.76
78.91,0.98,2021-10-23T13:38:46Z,2561,5,35.51
79.54,0.98,2021-10-23T13:38:05Z,2560,5,68.93
81.28,0.98,2021-10-23T13:36:59Z,2559,5,88.05
83.99,0.98,2021-10-23T13:35:02Z,2558,5,86.79
82.79,0.99,2021-10-23T13:33:56Z,2557,5,78.65
77.97,0.98,2021-10-23T13:33:02Z,2556,5,61.08
78.88,0.98,2021-10-23T13:30:43Z,2555,5,55.21
89.02,0.97,2021-10-23T13:29:55Z,2554,5,62.31
86.81,0.99,2021-10-23T13:29:09Z,2553,5,49.19
93.86,0.99,2021-10-23T13:28:29Z,2552,5,76.65
87.57,0.98,2021-10-23T13:27:43Z,2551,5,64.22
91.7,0.99,2021-10-23T13:24:35Z,2550,5,82.53
86.66,0.99,2021-10-23T13:23:46Z,2549,5,50.55
85.63,0.99,2021-10-23T13:23:04Z,2548,5,68.51
78.4,0.98,2021-10-23T13:22:21Z,2547,5,77.09
85.88,0.98,2021-10-23T13:20:27Z,2546,5,62.98
79.06,0.97,2021-10-20T07:17:04Z,2545,5,71.16
90.41,0.99,2021-10-20T07:15:17Z,2544,2,66.3
83.28,0.97,2021-10-20T07:12:58Z,2543,2,47.19
87.84,0.97,2021-10-20T07:12:02Z,2542,2,65.88
83.32,0.97,2021-10-20T07:11:05Z,2541,2,127.76
58.93,0.97,2021-10-20T07:09:21Z,2540,2,41.25
84.71,0.98,2021-10-20T07:08:04Z,2539,2,52.24
83.46,0.97,2021-10-20T07:05:59Z,2538,2,48.69
90.95,0.99,2021-10-20T07:03:36Z,2537,2,90.95
84.29,0.98,2021-10-20T07:02:30Z,2536,2,102.56
82.2,0.98,2021-10-20T06:59:57Z,2535,2,49.32
79.89,0.97,2021-10-20T06:59:03Z,2534,2,87.88
85.39,0.98,2021-10-20T06:57:32Z,2533,2,72.58
89.14,0.98,2021-10-20T06:56:22Z,2532,2,144.11
75.47,0.98,2021-10-20T06:54:50Z,2531,2,37.74
78.41,0.95,2021-10-20T06:53:48Z,2530,2,57.5
74.94,0.97,2021-10-20T06:52:45Z,2529,2,51.21
80.63,0.98,2021-10-20T06:51:46Z,2528,2,34.94
85.34,0.98,2021-10-04T13:48:12Z,2527,2,110.94
87.27,0.98,2021-10-04T13:46:46Z,2526,2,55.27
97.66,0.99,2021-10-04T13:45:42Z,2525,2,55.34
91.35,0.99,2021-10-04T13:44:44Z,2524,2,66.99
95.69,0.98,2021-10-04T13:43:44Z,2523,2,63.79
80.83,0.98,2021-10-04T13:42:38Z,2522,2,80.83
85.53,0.98,2021-10-04T13:38:39Z,2521,2,86.95
78.23,0.99,2021-09-10T08:16:47Z,2520,2,49.54
76.1,0.98,2021-09-06T14:09:59Z,2519,2,62.15
81.77,0.98,2021-09-06T14:07:14Z,2518,2,57.24
87.23,0.99,2021-09-06T14:06:07Z,2517,2,62.52
83.66,0.99,2021-09-06T14:04:14Z,2516,2,94.82
81.32,0.99,2021-09-06T14:01:18Z,2515,2,134.18
74.82,0.97,2021-09-06T13:58:27Z,2514,2,47.38
86.74,0.99,2021-09-06T13:54:44Z,2513,2,88.19
81.06,0.98,2021-09-06T13:53:14Z,2512,2,101.33
85.73,0.99,2021-09-06T13:51:44Z,2511,2,71.44
81.52,0.98,2021-09-06T13:50:18Z,2510,2,55.7
74.85,0.97,2021-09-06T13:49:02Z,2509,4,67.36
70.13,0.98,2021-09-06T13:43:42Z,2508,2,39.74
85.37,0.99,2021-09-06T13:42:33Z,2507,2,38.42
89.43,1,2021-09-06T13:41:29Z,2506,2,70.05
87.82,0.98,2021-09-06T13:38:41Z,2505,2,33.66
71.5,0.97,2021-09-06T13:37:26Z,2504,2,47.67
82.68,0.98,2021-09-06T13:36:12Z,2503,2,73.03
77.53,0.98,2021-09-06T13:34:43Z,2502,2,64.61
80.57,0.98,2021-09-06T13:29:13Z,2501,2,55.06
76.03,0.98,2021-09-06T13:28:06Z,2500,2,84.9
85.06,0.99,2021-09-06T13:26:18Z,2499,2,46.78
76.95,0.97,2021-09-06T13:21:05Z,2498,2,65.41
40.75,0.98,2021-09-06T13:17:56Z,2497,2,44.83
70.77,0.98,2021-09-06T13:15:22Z,2496,2,79.03
82.65,0.98,2021-09-06T13:13:27Z,2495,2,137.74
74.57,0.98,2021-09-06T13:11:41Z,2494,2,85.76
79.86,0.98,2021-09-06T13:09:53Z,2493,2,81.19
82.43,0.99,2021-09-06T13:06:29Z,2492,2,152.49
77.46,0.97,2021-09-06T13:04:37Z,2491,2,37.44
79.51,0.99,2021-09-06T13:01:13Z,2490,2,113.97
83.09,0.99,2021-09-05T14:44:45Z,2489,2,69.24
80.32,0.99,2021-09-05T14:43:35Z,2488,2,45.51
79.56,0.97,2021-09-05T14:42:38Z,2487,2,51.71
79.9,0.98,2021-09-05T14:41:39Z,2486,2,65.25
68.52,0.97,2021-09-05T14:39:05Z,2485,2,51.39
78.06,0.97,2021-09-05T14:36:42Z,2484,2,27.32
74.3,0.97,2021-09-05T14:35:54Z,2483,2,74.3
76.67,0.97,2021-09-05T14:34:40Z,2482,2,47.28
79.37,0.98,2021-09-05T14:33:41Z,2481,2,76.73
74.64,0.98,2021-09-05T14:31:15Z,2480,2,70.91
85.73,1,2021-09-05T14:26:56Z,2479,2,70.01
80.65,0.98,2021-09-05T14:22:29Z,2478,2,126.36
77.45,0.97,2021-09-05T14:17:22Z,2477,2,43.89
82.99,0.98,2021-09-05T14:16:17Z,2476,2,63.63
76.95,0.98,2021-09-05T14:15:05Z,2475,2,74.39
72.87,0.97,2021-09-05T14:13:53Z,2474,2,71.66
74.21,0.98,2021-09-05T14:12:41Z,2473,2,59.37
76,0.96,2021-09-05T14:11:30Z,2472,2,45.6
70.61,0.98,2021-09-05T14:08:49Z,2471,2,31.78
76.16,0.96,2021-09-05T14:02:40Z,2470,2,57.12
78.61,0.97,2021-09-05T14:01:33Z,2469,2,66.81
75.3,0.99,2021-09-05T14:00:24Z,2468,2,64
78.75,0.97,2021-09-05T13:59:06Z,2467,2,59.07
82,0.98,2021-09-05T13:58:02Z,2466,2,91.57
81.29,0.98,2021-09-05T13:54:21Z,2465,2,63.68
83.4,0.98,2021-09-05T13:49:35Z,2464,4,58.38
77.27,0.99,2021-08-27T11:10:33Z,2463,5,74.69
73.08,0.98,2021-08-27T11:09:39Z,2462,5,69.43
84.91,0.99,2021-08-27T11:06:50Z,2461,5,43.87
82.92,0.99,2021-08-27T11:04:10Z,2460,5,37.31
79.94,0.97,2021-08-27T11:02:11Z,2459,5,94.6
80.19,0.98,2021-08-27T11:01:06Z,2458,5,74.85
92.43,0.99,2021-08-27T10:58:58Z,2457,5,52.38
76.29,0.99,2021-08-27T10:58:26Z,2456,5,66.12
78.68,0.98,2021-08-27T10:55:13Z,2455,4,82.62
90.51,0.98,2021-08-27T10:54:01Z,2454,5,82.97
82.35,0.99,2021-08-27T10:52:14Z,2453,4,65.88
83.85,0.99,2021-08-27T10:50:02Z,2452,5,72.67
81.13,0.98,2021-08-27T10:48:17Z,2451,4,112.23
79.21,0.98,2021-08-27T10:47:02Z,2450,5,81.85
68.07,0.97,2021-07-13T11:48:48Z,2449,5,64.67
84.76,0.99,2021-07-13T11:41:18Z,2448,5,83.35
77.48,0.97,2021-07-13T11:40:26Z,2447,4,82.64
72.66,0.97,2021-07-13T11:38:46Z,2446,5,113.83
83.04,0.98,2021-07-13T11:37:16Z,2445,5,58.12
89.17,0.99,2021-07-13T11:36:30Z,2444,5,44.58
76.81,0.98,2021-07-13T11:35:56Z,2443,5,57.61
83.7,0.98,2021-07-13T11:35:03Z,2442,5,92.07
75.24,0.98,2021-07-13T11:33:56Z,2441,4,102.83
66.38,0.97,2021-07-13T11:32:40Z,2440,4,81.87
79.08,0.99,2021-07-13T11:31:18Z,2439,5,69.86
83.4,0.99,2021-07-13T11:30:20Z,2438,5,52.82
76.68,0.98,2021-07-13T11:29:30Z,2437,4,95.85
75.49,0.98,2021-07-13T11:28:13Z,2436,5,56.61
75.09,0.97,2021-07-13T11:27:13Z,2435,5,78.85
69.69,0.98,2021-07-13T11:25:18Z,2434,4,63.88
77.16,0.98,2021-07-13T11:24:12Z,2433,5,73.3
68.6,0.97,2021-07-13T11:04:03Z,2432,5,76.6
67.15,0.97,2021-07-13T11:02:48Z,2431,4,52.6
67.26,0.97,2021-07-13T11:01:48Z,2430,5,36.99
69.13,0.98,2021-07-13T11:00:15Z,2429,5,58.76
76.36,0.97,2021-07-13T10:58:12Z,2428,5,91.64
84.59,0.99,2021-07-13T10:56:59Z,2427,5,59.21
70.06,0.98,2021-07-13T10:56:15Z,2426,5,60.72
72.18,0.98,2021-07-13T10:55:11Z,2425,5,62.56
66.16,0.96,2021-07-13T10:53:57Z,2424,5,52.93
74.86,0.98,2021-07-13T10:52:58Z,2423,5,91.08
70.38,0.97,2021-07-13T10:51:37Z,2422,5,105.57
85.97,0.99,2021-07-13T10:48:44Z,2421,5,108.9
71.85,0.99,2021-07-13T10:47:34Z,2420,5,50.3
74.08,0.96,2021-07-13T10:46:42Z,2419,5,33.34
78.37,0.98,2021-07-13T10:46:03Z,2418,5,69.23
77.34,0.98,2021-07-13T10:45:03Z,2417,5,116.01
82.81,0.99,2021-07-13T10:43:41Z,2416,5,95.24
67.79,0.97,2021-07-13T10:41:19Z,2415,4,82.48
74.67,0.97,2021-07-13T10:39:52Z,2414,5,37.34
67.29,0.97,2021-07-13T10:39:12Z,2413,5,44.86
71.42,0.97,2021-07-13T10:38:16Z,2412,5,70.23
71.16,0.96,2021-07-13T10:37:10Z,2411,4,42.69
64.67,0.96,2021-07-13T10:36:24Z,2410,5,34.49
69.64,0.97,2021-07-13T10:35:39Z,2409,5,52.23
68.66,0.97,2021-07-13T10:34:14Z,2408,4,98.41
67.52,0.97,2021-07-13T10:32:38Z,2407,5,54.01
62.66,0.97,2021-07-12T13:04:59Z,2406,2,37.59
78.27,0.98,2021-07-12T12:18:31Z,2405,5,41.75
62.34,0.97,2021-07-12T12:17:26Z,2404,5,69.61
77.25,0.98,2021-07-12T12:15:54Z,2403,5,83.69
69.07,0.97,2021-07-12T12:14:16Z,2402,5,35.68
74.14,0.96,2021-07-12T12:13:35Z,2401,5,97.62
69.96,0.97,2021-07-12T12:12:05Z,2400,4,40.81
77.48,0.98,2021-07-12T12:09:11Z,2399,4,69.73
74.19,0.98,2021-07-12T12:08:09Z,2398,5,84.08
68.41,0.97,2021-07-12T12:07:02Z,2397,4,66.13
69.39,0.97,2021-07-12T12:04:53Z,2396,4,91.37
75.09,0.98,2021-07-12T12:02:59Z,2395,5,53.81
69.83,0.96,2021-07-12T12:01:37Z,2394,5,47.72
71.82,0.97,2021-07-12T12:00:47Z,2393,5,111.33
