wpm,accuracy,time,game_num,racers_num,points
69.47,0.94,2020-07-13T18:49:36Z,2835,5,60.21
84.23,0.96,2020-07-13T18:48:35Z,2834,5,49.14
80.13,0.96,2020-07-13T18:48:00Z,2833,5,58.76
75.28,0.95,2020-07-13T18:46:46Z,2832,4,84.06
71.28,0.95,2020-07-13T18:45:33Z,2831,5,46.33
68.16,0.95,2020-07-13T18:44:38Z,2830,5,55.66
86.9,0.96,2020-07-13T18:43:38Z,2829,5,84
83.1,0.97,2020-07-13T18:42:48Z,2828,5,60.94
86.55,0.97,2020-07-13T18:42:04Z,2827,5,64.91
65.85,0.95,2020-07-13T18:40:59Z,2826,5,68.04
79.4,0.96,2020-07-13T18:39:31Z,2825,5,87.34
64.83,0.94,2020-07-13T18:38:23Z,2824,4,57.27
67.76,0.96,2020-07-13T18:37:20Z,2823,5,83.57
67.76,0.97,2020-07-13T18:35:51Z,2822,5,31.62
67.31,0.96,2020-07-13T18:35:14Z,2821,5,59.45
66.06,0.95,2020-07-10T20:33:40Z,2820,5,85.88
67.83,0.93,2020-07-10T20:31:17Z,2819,5,41.83
77.88,0.96,2020-07-10T20:30:32Z,2818,4,86.97
63.93,0.94,2020-07-09T00:14:12Z,2817,4,56.47
68.74,0.95,2020-07-08T20:25:43Z,2816,5,91.66
70.32,0.97,2020-06-30T19:16:02Z,2815,5,35.16
73.45,0.94,2020-06-30T19:15:23Z,2814,5,26.93
59.49,0.93,2020-06-30T19:14:47Z,2813,4,28.75
69.9,0.95,2020-06-30T19:14:00Z,2812,5,47.76
72.06,0.96,2020-06-30T19:12:05Z,2811,4,69.66
67.18,0.94,2020-06-30T19:11:04Z,2810,5,23.51
79.75,0.97,2020-06-30T19:08:58Z,2809,5,90.39
86.01,0.97,2020-06-30T19:07:06Z,2808,5,77.41
62.22,0.94,2020-06-08T05:18:09Z,2807,5,50.82
77.63,0.96,2020-06-08T05:17:07Z,2806,5,49.16
74.99,0.94,2020-06-08T04:33:34Z,2805,5,46.25
68.71,0.95,2020-06-06T19:16:47Z,2804,5,53.82
61.53,0.95,2020-06-06T18:25:40Z,2803,4,62.56
69.19,0.96,2020-06-06T18:19:32Z,2802,5,53.05
68.11,0.94,2020-06-06T18:18:24Z,2801,5,64.71
61.73,0.95,2020-06-06T18:16:06Z,2800,5,39.09
66.06,0.96,2020-06-06T18:14:59Z,2799,3,85.88
92.27,0.97,2020-06-06T18:13:27Z,2798,5,64.59
68.26,0.96,2020-06-06T18:12:35Z,2797,5,40.96
65.98,0.95,2020-06-06T18:11:49Z,2796,5,43.99
76.69,0.97,2020-06-06T18:10:52Z,2795,5,43.46
72.36,0.96,2020-06-06T18:09:25Z,2794,5,84.42
57.84,0.94,2020-05-31T23:09:04Z,2793,4,45.3
74.4,0.96,2020-05-31T23:06:15Z,2792,5,53.32
72.94,0.95,2020-05-31T18:07:52Z,2791,5,63.22
68.72,0.94,2020-05-29T21:00:07Z,2790,5,44.67
64.87,0.93,2020-05-29T20:59:13Z,2789,4,29.19
71.13,0.96,2020-05-27T16:49:46Z,2788,5,60.46
75.75,0.96,2020-05-27T03:54:33Z,2787,5,58.08
82.3,0.95,2020-05-27T03:49:20Z,2786,5,78.19
80.61,0.95,2020-05-26T23:30:52Z,2785,5,65.83
86.28,0.96,2020-05-26T23:29:51Z,2784,5,104.97
69.37,0.94,2020-05-26T23:28:34Z,2783,2,46.25
62.53,0.94,2020-05-26T23:27:37Z,2782,3,69.83
65.84,0.96,2020-05-26T23:26:12Z,2781,4,46.09
61.28,0.94,2020-05-26T22:08:31Z,2780,5,87.84
72.2,0.95,2020-05-26T22:06:47Z,2779,5,132.37
81.7,0.96,2020-05-26T22:02:24Z,2778,5,58.55
78.41,0.96,2020-05-26T22:01:38Z,2777,4,148.98
68.56,0.95,2020-05-26T21:59:54Z,2776,5,54.85
70.61,0.94,2020-05-26T21:58:57Z,2775,5,42.37
83.04,0.97,2020-05-26T21:58:08Z,2774,5,146.71
84.5,0.97,2020-05-26T21:56:46Z,2773,5,71.83
78.81,0.97,2020-05-26T21:55:49Z,2772,5,48.6
77.62,0.95,2020-05-26T21:55:06Z,2771,5,76.32
67.7,0.95,2020-05-26T17:20:44Z,2770,5,62.06
68.55,0.94,2020-05-26T02:04:47Z,2769,4,77.7
67.82,0.95,2020-05-26T00:02:02Z,2768,4,72.34
68.29,0.95,2020-05-25T17:15:32Z,2767,5,42.11
67.52,0.96,2020-05-25T17:14:37Z,2766,5,40.51
70.24,0.96,2020-05-25T17:13:47Z,2765,5,37.46
74.79,0.96,2020-05-25T17:13:03Z,2764,5,39.89
65.56,0.97,2020-05-25T17:12:03Z,2763,5,43.71
64.56,0.95,2020-05-25T17:11:07Z,2762,5,39.81
75.99,0.95,2020-05-24T18:50:34Z,2761,4,59.52
91.1,0.96,2020-05-24T17:26:00Z,2760,5,75.92
78.67,0.97,2020-05-21T23:07:25Z,2759,5,114.07
71.45,0.94,2020-05-20T23:58:35Z,2758,5,65.5
73.53,0.93,2020-05-20T23:57:30Z,2757,5,82.1
78.15,0.95,2020-05-20T23:55:53Z,2756,5,123.73
75.07,0.95,2020-05-18T05:06:11Z,2755,5,37.53
76.37,0.96,2020-05-18T05:05:30Z,2754,5,67.46
77.2,0.95,2020-05-18T05:04:27Z,2753,5,82.35
96.34,0.99,2020-05-18T05:03:17Z,2752,5,41.75
64.04,0.94,2020-05-13T20:44:06Z,2751,5,60.83
68.22,0.96,2020-05-13T02:51:04Z,2750,5,79.59
64.16,0.98,2020-05-13T02:49:44Z,2749,5,47.05
83.3,0.97,2020-05-11T19:28:02Z,2748,5,44.43
74.69,0.98,2020-05-11T19:27:26Z,2747,5,37.35
87.18,0.97,2020-05-11T19:26:46Z,2746,5,87.18
67.95,0.97,2020-05-11T19:25:36Z,2745,5,39.64
70.97,0.93,2020-05-11T19:24:44Z,2744,5,37.85
69.82,0.95,2020-05-11T19:24:00Z,2743,3,60.51
