wpm,accuracy,time,game_num,racers_num,points
140.01,0.97,2021-11-18T12:29:33Z,2645,4,95.67
122.84,0.97,2021-11-18T12:25:47Z,2644,2,98.27
131.96,0.96,2021-11-18T12:23:45Z,2643,4,70.38
129.81,0.96,2021-11-18T12:22:33Z,2642,3,95.2
129.43,0.97,2021-11-18T12:21:26Z,2641,4,69.03
129.11,0.97,2021-11-18T12:11:40Z,2640,5,131.26
117.82,0.96,2021-11-18T11:51:31Z,2639,3,96.22
120.16,0.97,2021-11-18T11:50:51Z,2638,5,42.05
123.97,0.97,2021-11-18T11:49:38Z,2637,3,53.72
138.36,0.97,2021-11-18T11:46:36Z,2636,3,96.85
137.45,0.96,2021-11-18T11:45:25Z,2635,3,75.6
119.56,0.96,2021-11-18T11:44:46Z,2634,5,95.65
127.81,0.98,2021-11-18T11:44:05Z,2633,4,76.68
120.45,0.97,2021-11-18T11:42:33Z,2632,5,166.62
132.67,0.96,2021-11-18T11:40:42Z,2631,5,95.08
113.96,0.95,2021-11-18T11:40:07Z,2630,5,77.88
123.51,0.96,2021-11-18T11:38:54Z,2629,5,63.81
131.97,0.96,2021-11-18T11:38:19Z,2628,5,96.78
139.81,0.97,2021-11-18T11:36:09Z,2627,5,144.47
118.98,0.94,2021-11-18T11:33:49Z,2626,5,77.34
123.5,0.96,2021-11-18T11:32:06Z,2625,3,117.32
129.46,0.96,2021-11-18T11:29:43Z,2624,5,163.98
109.24,0.95,2021-11-18T06:49:31Z,2623,5,94.67
112.76,0.95,2021-11-18T06:47:33Z,2622,4,240.56
127.32,0.97,2021-11-18T06:46:10Z,2621,4,112.47
118.5,0.95,2021-11-18T06:44:06Z,2620,5,138.26
130.41,0.97,2021-11-18T06:41:24Z,2619,3,121.72
128.65,0.97,2021-11-18T06:40:13Z,2618,4,126.51
143.58,0.98,2021-11-18T06:37:29Z,2617,5,162.73
127.3,0.97,2021-11-18T06:36:15Z,2616,5,91.23
147.39,0.99,2021-11-18T06:33:40Z,2615,3,61.41
134.87,0.98,2021-11-18T06:33:13Z,2614,5,92.16
144.4,0.97,2021-11-17T10:23:52Z,2613,3,125.14
123.02,0.95,2021-11-17T10:19:28Z,2612,2,75.86
138.93,0.97,2021-11-17T10:17:57Z,2611,4,169.03
130.52,0.96,2021-11-17T10:16:06Z,2610,4,134.87
129.02,0.98,2021-11-17T10:14:47Z,2609,4,92.47
133.27,0.97,2021-11-17T07:05:02Z,2608,4,122.17
127.72,0.97,2021-11-17T07:02:48Z,2607,2,74.5
127.21,0.96,2021-11-17T07:01:55Z,2606,5,148.42
129.64,0.97,2021-11-17T07:01:02Z,2605,4,79.94
132.75,0.97,2021-11-17T06:59:01Z,2604,3,86.29
130.21,0.96,2021-11-17T06:55:38Z,2603,4,125.87
131.15,0.96,2021-11-17T06:54:55Z,2602,5,113.66
146.36,0.98,2021-11-17T06:53:37Z,2601,5,134.16
126.92,0.97,2021-11-16T13:20:14Z,2600,5,71.92
127.21,0.96,2021-11-16T13:18:24Z,2599,5,139.93
150.34,0.97,2021-11-16T13:14:51Z,2598,5,80.18
118.3,0.96,2021-11-16T13:09:44Z,2597,5,86.75
136.99,0.97,2021-11-16T13:04:13Z,2596,5,114.16
133.38,0.97,2021-11-16T13:01:13Z,2595,4,115.6
136.3,0.96,2021-11-16T13:00:22Z,2594,5,88.59
133.15,0.96,2021-11-16T12:56:39Z,2593,4,110.96
141,0.97,2021-11-16T11:40:00Z,2592,5,68.15
114.84,0.95,2021-11-16T11:38:23Z,2591,5,162.69
127.62,0.97,2021-11-16T11:36:05Z,2590,4,110.6
114.93,0.96,2021-11-16T11:29:59Z,2589,5,78.54
110.11,0.95,2021-11-11T14:27:27Z,2588,5,67.9
119.68,0.95,2021-11-11T07:22:40Z,2587,4,149.6
129.92,0.96,2021-11-11T07:21:45Z,2586,5,86.61
125.68,0.96,2021-11-11T07:21:14Z,2585,5,113.11
126.4,0.95,2021-11-11T07:19:47Z,2584,5,160.11
144.7,0.98,2021-11-11T07:17:57Z,2583,5,62.7
129.12,0.96,2021-11-11T07:13:21Z,2582,5,58.11
132.33,0.98,2021-11-11T07:10:37Z,2581,4,114.69
114.93,0.96,2021-11-11T07:09:16Z,2580,2,118.76
132.69,0.97,2021-11-11T07:08:31Z,2579,4,92.88
137.89,0.97,2021-11-11T07:07:27Z,2578,5,96.52
120.43,0.97,2021-11-11T07:06:28Z,2577,5,108.39
123.27,0.96,2021-11-11T07:05:44Z,2576,5,63.69
123.5,0.95,2021-11-11T07:04:27Z,2575,3,220.24
129.62,0.97,2021-11-11T02:43:17Z,2574,5,133.94
121.22,0.96,2021-11-11T02:42:34Z,2573,5,94.95
127.04,0.96,2021-11-11T02:41:56Z,2572,4,69.87
127.14,0.96,2021-11-11T02:41:24Z,2571,5,65.69
128.26,0.95,2021-11-11T02:40:13Z,2570,3,143.22
134.76,0.97,2021-11-11T02:38:29Z,2569,4,217.85
144.76,0.97,2021-11-11T02:37:29Z,2568,5,91.68
147.9,0.97,2021-11-11T02:36:23Z,2567,5,110.93
127.96,0.95,2021-11-11T02:35:31Z,2566,5,102.37
134.66,0.95,2021-11-11T02:34:34Z,2565,5,105.49
132.57,0.98,2021-11-11T02:33:28Z,2564,5,99.43
127.82,0.96,2021-11-11T02:31:38Z,2563,4,206.64
128.47,0.97,2021-11-11T02:30:39Z,2562,5,98.5
142.47,0.97,2021-11-11T02:29:57Z,2561,5,216.08
155.77,0.98,2021-11-11T02:28:27Z,2560,5,122.02
131.93,0.96,2021-11-11T02:27:55Z,2559,5,184.7
129.92,0.95,2021-11-10T11:22:21Z,2558,4,210.03
125.82,0.96,2021-11-10T11:20:20Z,2557,5,161.47
138.66,0.95,2021-11-10T11:19:28Z,2556,5,92.44
113.22,0.96,2021-11-10T11:17:19Z,2555,5,58.5
144.5,0.97,2021-11-10T11:15:26Z,2554,5,144.5
132.82,0.96,2021-11-10T11:14:03Z,2553,5,177.09
134.04,0.96,2021-11-10T11:13:10Z,2552,2,80.43
145.26,0.97,2021-11-10T11:10:45Z,2551,5,89.58
147.13,0.97,2021-11-10T11:09:39Z,2550,5,105.44
133.53,0.95,2021-11-10T11:07:41Z,2549,2,109.05
130.76,0.96,2021-11-09T13:13:46Z,2548,5,113.33
133.24,0.98,2021-11-09T13:13:09Z,2547,4,115.48
119.4,0.96,2021-11-09T13:12:03Z,2546,5,123.38
139.3,0.97,2021-11-09T13:11:11Z,2545,4,85.9
158.87,0.98,2021-11-09T13:10:03Z,2544,5,116.5
116.4,0.96,2021-11-09T13:09:08Z,2543,5,67.9
119.73,0.97,2021-11-09T13:08:20Z,2542,5,83.81
127.41,0.97,2021-11-09T13:07:13Z,2541,4,152.89
117.99,0.97,2021-11-09T13:06:20Z,2540,5,96.36
116.29,0.96,2021-11-09T13:04:29Z,2539,5,151.17
135.97,0.98,2021-11-09T13:02:20Z,2538,2,99.71
135.36,0.97,2021-11-09T13:01:28Z,2537,4,81.22
157.25,0.99,2021-11-09T11:41:45Z,2536,5,99.59
125.42,0.96,2021-11-09T05:37:40Z,2535,5,173.5
165.34,1,2021-11-09T05:30:18Z,2534,4,30.31
128.03,0.98,2021-11-09T05:27:58Z,2533,4,140.83
131.78,0.96,2021-11-09T05:25:57Z,2532,5,206.45
140.49,0.98,2021-11-09T05:18:27Z,2531,4,210.73
121.7,0.96,2021-11-08T11:24:50Z,2530,5,133.87
124.06,0.97,2021-11-08T11:07:07Z,2529,3,72.37
121.9,0.96,2021-11-08T11:00:00Z,2528,5,87.36
141.14,0.97,2021-11-08T10:59:09Z,2527,4,199.95
121.59,0.96,2021-11-08T10:57:14Z,2526,3,87.14
132.58,0.96,2021-11-08T10:56:03Z,2525,5,77.34
122.85,0.96,2021-11-08T10:52:30Z,2524,3,77.81
131.1,0.97,2021-11-08T10:51:20Z,2523,4,61.18
122.06,0.96,2021-11-08T10:49:53Z,2522,4,179.02
134.11,0.97,2021-11-08T05:28:37Z,2521,5,163.17
145.39,0.97,2021-11-08T05:25:07Z,2520,5,135.7
120.63,0.95,2021-11-08T05:24:35Z,2519,4,98.52
145.08,0.97,2021-11-07T13:24:36Z,2518,4,210.36
122.25,0.97,2021-11-07T13:18:09Z,2517,5,93.73
123.26,0.96,2021-11-07T13:14:50Z,2516,5,71.9
