wpm,accuracy,time,game_num,racers_num,points
99.37,0.98,2021-01-24T19:42:38Z,2510,5,101.02
88.76,0.96,2021-01-24T19:41:45Z,2509,5,56.22
83.8,0.96,2021-01-24T19:40:53Z,2508,4,46.09
93.01,0.97,2021-01-24T19:40:09Z,2507,5,94.56
85.05,0.97,2021-01-24T19:39:13Z,2506,5,58.12
91.14,0.96,2021-01-24T19:37:24Z,2505,5,72.91
86.75,0.97,2021-01-24T19:36:10Z,2504,5,62.17
89.49,0.97,2021-01-24T18:56:22Z,2503,5,93.97
90.94,0.96,2021-01-24T18:53:44Z,2502,5,68.2
93.41,0.96,2021-01-24T18:52:55Z,2501,5,62.27
87.08,0.97,2021-01-20T22:50:28Z,2500,5,103.04
79.24,0.96,2021-01-20T22:48:19Z,2499,5,81.88
89.75,0.97,2021-01-20T22:46:06Z,2498,5,100.22
83.47,0.97,2021-01-20T22:44:10Z,2497,3,48.69
96.69,0.98,2021-01-20T22:14:42Z,2496,5,46.73
83.48,0.96,2021-01-20T21:46:03Z,2495,5,89.04
89.41,0.97,2021-01-20T21:43:53Z,2494,5,92.39
91.32,0.96,2021-01-20T21:42:37Z,2493,5,88.28
82.68,0.95,2021-01-20T21:41:37Z,2492,5,73.03
85.74,0.97,2021-01-20T21:40:38Z,2491,4,58.59
108.1,0.99,2021-01-20T21:39:27Z,2490,5,79.27
97.19,0.97,2021-01-20T21:38:42Z,2489,5,72.89
87.09,0.96,2021-01-20T21:35:51Z,2488,5,52.26
83.33,0.95,2021-01-20T21:35:06Z,2487,5,48.61
92.25,0.97,2021-01-20T21:34:18Z,2486,4,99.94
85.17,0.98,2021-01-20T21:33:15Z,2485,5,69.56
98.63,0.98,2021-01-20T20:33:24Z,2484,4,42.74
68.1,0.93,2021-01-20T20:32:24Z,2483,5,47.67
96.19,0.98,2021-01-20T20:31:22Z,2482,5,99.4
85.3,0.95,2021-01-20T20:30:21Z,2481,5,66.82
92.2,0.97,2021-01-20T20:29:16Z,2480,5,33.81
80.8,0.96,2021-01-20T18:46:07Z,2479,4,72.72
96.76,0.99,2021-01-20T18:45:05Z,2478,5,41.93
81.87,0.96,2021-01-20T18:44:26Z,2477,5,87.33
86.89,0.96,2021-01-20T18:42:40Z,2476,5,107.16
81.5,0.94,2021-01-20T18:41:33Z,2475,5,42.11
88.5,0.97,2021-01-20T18:39:40Z,2474,4,84.08
96.46,0.98,2018-08-11T19:32:16Z,2473,4,48.23
99.46,1,2018-08-11T19:00:13Z,2472,5,39.78
88.45,0.99,2018-08-11T18:59:48Z,2471,5,61.91
95.82,0.98,2018-08-11T18:57:23Z,2470,4,67.07
102.81,0.98,2018-08-11T18:55:51Z,2469,3,71.97
92.76,0.98,2018-08-11T18:49:24Z,2468,5,81.94
99.66,0.98,2018-08-11T18:47:43Z,2467,5,74.74
96.03,0.98,2018-08-11T18:45:42Z,2466,4,78.42
98.77,0.98,2018-08-11T18:44:37Z,2465,2,69.14
95.3,0.98,2018-08-11T18:43:48Z,2464,4,93.72
103.52,0.99,2018-08-11T18:40:39Z,2463,4,84.54
89.76,0.97,2018-08-11T18:39:23Z,2462,5,94.25
90.61,0.98,2018-08-11T00:08:47Z,2461,5,66.45
88.98,0.97,2018-08-11T00:08:02Z,2460,4,44.49
101.08,0.97,2018-08-11T00:06:25Z,2459,5,62.33
85.12,0.96,2018-08-11T00:05:49Z,2458,5,66.68
98.95,0.98,2018-08-11T00:02:13Z,2457,5,61.02
89.86,0.97,2018-08-11T00:00:47Z,2456,5,166.24
92.13,0.97,2018-08-10T23:59:16Z,2455,5,53.74
98.21,0.98,2018-08-10T23:57:26Z,2454,5,68.75
80.97,0.95,2018-08-10T23:55:23Z,2453,4,122.8
92.72,0.98,2018-08-10T23:48:55Z,2452,5,92.72
95.03,0.97,2018-08-10T23:45:07Z,2451,5,72.86
95.35,0.98,2018-08-10T23:43:47Z,2450,5,125.54
93.53,0.97,2018-08-10T23:42:25Z,2449,4,106
99.19,0.98,2018-08-10T23:40:06Z,2448,5,148.78
90.02,0.97,2018-08-10T23:39:02Z,2447,5,76.52
91.59,0.97,2018-08-10T23:38:16Z,2446,5,71.74
93.16,0.97,2018-08-10T23:37:26Z,2445,5,74.53
89.14,0.98,2018-08-10T23:35:15Z,2444,4,53.49
95.95,0.97,2018-08-10T23:33:52Z,2443,2,52.77
106.49,0.99,2018-08-10T23:32:47Z,2442,4,85.19
96.69,0.98,2018-08-10T23:31:59Z,2441,4,80.58
