wpm,accuracy,time,game_num,racers_num,points
80.59,0.98,2021-06-29T18:30:17Z,2661,5,80.59
84.24,0.98,2021-06-29T18:28:57Z,2660,5,109.51
76.32,0.98,2021-06-29T18:27:11Z,2659,5,47.06
68.16,0.97,2021-06-24T06:36:31Z,2658,5,51.12
76.89,0.99,2021-06-24T05:40:19Z,2657,5,33.32
71.1,0.97,2021-06-24T05:39:34Z,2656,5,42.66
69.86,0.96,2021-06-21T17:42:02Z,2655,4,86.16
75.96,0.97,2021-06-21T17:40:11Z,2654,5,67.09
77.53,0.98,2021-06-21T17:39:12Z,2653,5,54.27
72.33,0.97,2021-05-16T12:12:09Z,2652,5,49.42
71.76,0.96,2021-04-12T12:26:37Z,2651,5,58.6
76.67,0.97,2021-04-12T12:21:21Z,2650,5,49.84
84.84,0.99,2021-04-12T12:13:37Z,2649,3,158.37
89.56,1,2021-04-10T07:17:28Z,2648,5,43.29
71.81,0.96,2021-04-10T07:16:52Z,2647,4,50.26
83.54,0.98,2021-04-10T06:54:08Z,2646,5,64.05
74.19,0.97,2021-04-09T12:53:52Z,2645,5,53.17
82.32,0.99,2021-04-09T11:42:33Z,2644,5,53.51
81.95,0.98,2021-04-09T10:49:03Z,2643,4,155.71
76.5,0.98,2021-04-09T10:46:36Z,2642,4,110.93
73.78,0.96,2021-04-07T06:05:40Z,2641,4,75.01
78.1,0.96,2021-04-07T05:26:00Z,2640,4,52.07
80.04,0.98,2021-04-07T05:25:13Z,2639,5,42.69
83.08,0.97,2021-04-07T05:24:29Z,2638,5,55.39
78.83,0.97,2021-04-07T05:23:35Z,2637,5,51.24
76.98,0.98,2021-04-07T05:22:30Z,2636,5,56.45
80.1,0.97,2021-04-06T18:25:37Z,2635,5,62.75
84.45,0.98,2021-04-06T18:23:50Z,2634,5,78.82
78.25,0.98,2021-04-03T09:59:41Z,2633,5,59.99
71.08,0.96,2021-04-02T10:57:45Z,2632,4,82.92
81.84,1,2021-04-02T10:56:15Z,2631,5,57.29
87.3,0.99,2021-04-02T07:08:29Z,2630,5,97.48
78.69,0.98,2021-04-02T07:07:26Z,2629,5,72.14
79.98,0.97,2021-04-02T07:06:23Z,2628,5,43.99
72.99,0.96,2021-04-02T07:03:47Z,2627,4,74.21
58.68,0.95,2021-04-01T19:28:18Z,2626,5,39.12
73.96,0.98,2021-04-01T19:27:17Z,2625,5,44.38
