accuracy,racers_num,wpm,time,game_num,points
0.97,5,81.84,2021-09-09T03:04:46Z,2613,35.46
0.97,5,91,2021-08-14T04:03:35Z,2612,97.07
0.95,5,78.29,2021-08-14T04:02:41Z,2611,65.24
0.96,5,82.05,2021-08-14T04:00:09Z,2610,94.35
0.96,5,85.12,2021-08-14T03:59:05Z,2609,82.29
0.96,3,76.55,2021-08-14T03:55:47Z,2608,99.51
0.97,5,87.03,2021-08-14T03:53:57Z,2607,104.44
0.98,5,93.37,2021-08-08T05:29:02Z,2606,57.58
0.97,5,88.88,2021-08-08T05:28:20Z,2605,54.81
0.96,5,90.08,2021-07-19T04:30:37Z,2604,111.1
0.96,5,84.07,2021-07-19T04:27:51Z,2603,35.03
0.97,5,90.97,2021-07-19T04:27:18Z,2602,71.26
0.97,5,81.17,2021-07-19T04:26:33Z,2601,74.4
0.97,4,92.34,2021-07-19T04:25:38Z,2600,95.41
1,5,108.21,2021-07-19T04:24:41Z,2599,30.66
0.96,4,85.37,2021-07-19T04:22:14Z,2598,35.57
0.96,5,93.46,2021-07-17T05:07:16Z,2597,70.09
0.96,5,81.62,2021-07-16T23:49:08Z,2596,73.45
0.97,4,87.82,2021-07-15T06:13:37Z,2595,49.77
0.97,5,91.88,2021-07-15T06:12:58Z,2594,75.04
0.97,5,93.16,2021-07-15T06:12:14Z,2593,74.53
0.94,5,87.91,2021-07-13T23:22:09Z,2592,54.21
0.97,4,86.98,2021-07-13T23:21:29Z,2591,50.74
0.96,5,81.61,2021-07-13T23:20:46Z,2590,50.33
0.96,5,85.65,2021-07-13T23:18:58Z,2589,71.38
0.96,5,95.8,2021-07-13T23:18:11Z,2588,121.34
0.96,4,78.54,2021-07-13T23:13:49Z,2587,74.61
0.97,5,77.64,2021-07-13T23:12:50Z,2586,36.23
0.96,5,88.91,2021-07-13T23:12:14Z,2585,63.72
0.95,5,93.61,2021-07-13T23:11:33Z,2584,20.28
0.97,5,86.15,2021-07-13T23:01:22Z,2583,57.43
0.97,5,95,2021-07-13T23:00:43Z,2582,74.42
0.98,5,82.74,2021-07-11T10:08:46Z,2581,52.4
0.96,5,81.42,2021-07-11T06:21:22Z,2580,89.56
0.96,5,84.35,2021-07-11T06:20:14Z,2579,56.23
0.99,5,96.82,2021-07-10T06:02:26Z,2578,119.41
0.97,5,82.55,2021-07-04T05:07:41Z,2577,35.77
0.97,5,81.6,2021-07-04T05:07:11Z,2576,76.16
0.96,5,84.81,2021-07-04T01:27:11Z,2575,60.78
0.97,5,87.43,2021-07-04T01:26:27Z,2574,102
0.96,5,86.5,2021-07-04T01:25:23Z,2573,63.43
0.96,5,89.8,2021-07-04T01:24:31Z,2572,71.84
0.97,4,90.86,2021-07-04T01:23:43Z,2571,116.6
0.97,5,82.18,2021-07-04T01:22:36Z,2570,68.48
0.97,5,88.06,2021-07-04T01:21:50Z,2569,140.9
0.96,5,80.65,2021-07-04T01:20:31Z,2568,80.65
0.97,5,88.46,2021-07-04T01:19:38Z,2567,72.24
0.96,5,81.3,2021-07-03T05:57:01Z,2566,81.3
0.96,5,79,2021-07-01T03:46:38Z,2565,51.35
0.95,5,77.74,2021-06-30T21:25:04Z,2564,45.35
0.98,5,100.69,2021-06-26T05:58:37Z,2563,120.82
0.97,4,83.46,2021-06-26T05:56:30Z,2562,75.12
0.96,4,81.17,2021-06-26T05:55:41Z,2561,87.93
0.99,5,102.4,2021-06-26T05:54:31Z,2560,64.85
0.97,5,90.15,2021-06-26T05:53:53Z,2559,78.13
0.97,5,90.07,2021-06-26T05:53:03Z,2558,55.54
0.98,5,107.07,2021-06-26T05:51:20Z,2557,66.03
0.98,4,93.38,2021-06-26T05:50:36Z,2556,51.36
0.97,4,81.28,2021-06-26T05:50:00Z,2555,65.02
0.96,5,88.78,2021-06-26T05:49:10Z,2554,50.31
0.97,4,83.03,2021-06-26T05:48:37Z,2553,67.81
0.96,5,89.5,2021-06-25T00:12:45Z,2552,37.29
0.97,4,79.56,2021-06-25T00:12:13Z,2551,88.85
0.96,4,84.76,2021-06-25T00:11:06Z,2550,83.35
0.96,5,87.13,2021-06-25T00:10:12Z,2549,65.34
0.96,5,84.68,2021-06-25T00:09:30Z,2548,60.69
0.96,5,79.45,2021-06-25T00:08:45Z,2547,67.53
0.96,5,89.73,2021-06-25T00:07:52Z,2546,82.25
0.96,5,78.89,2021-06-25T00:07:03Z,2545,56.54
0.96,5,82.09,2021-06-25T00:06:22Z,2544,94.4
0.97,5,83.44,2021-06-25T00:05:20Z,2543,76.48
0.97,5,80.51,2021-06-25T00:04:20Z,2542,45.62
0.98,5,95.2,2021-06-25T00:02:08Z,2541,77.75
0.96,5,85.8,2021-06-25T00:01:25Z,2540,102.96
0.97,5,90.04,2021-06-25T00:00:20Z,2539,67.53
0.98,5,94.74,2021-06-24T23:59:26Z,2538,69.48
0.95,5,84.18,2021-06-24T23:58:42Z,2537,68.75
0.98,4,84.05,2021-06-24T10:00:39Z,2536,61.64
0.98,5,91.89,2021-06-23T05:39:51Z,2535,150.09
0.97,5,86.12,2021-06-21T01:00:12Z,2534,96.17
0.98,5,92.08,2021-06-21T00:58:00Z,2533,82.87
0.96,5,91.71,2021-06-13T22:13:14Z,2532,85.6
0.98,4,103.82,2021-06-13T22:12:24Z,2531,72.68
0.97,5,77.01,2021-06-13T22:11:49Z,2530,25.67
0.97,5,83.89,2021-06-12T04:01:38Z,2529,53.13
0.98,4,87.92,2021-06-12T04:00:55Z,2528,35.17
0.96,4,84.57,2021-06-12T03:58:12Z,2527,74.7
0.97,5,93.68,2021-05-31T02:09:47Z,2526,70.26
0.95,3,83.74,2021-05-31T02:09:05Z,2525,61.41
0.95,5,84.48,2021-05-31T02:08:17Z,2524,78.85
0.98,5,101.27,2021-05-31T02:06:08Z,2523,60.76
0.98,4,101.06,2021-05-31T02:05:32Z,2522,55.58
0.96,5,73.56,2021-05-26T16:09:57Z,2521,30.65
0.96,5,72.21,2021-05-26T16:09:20Z,2520,57.77
0.97,5,78.93,2021-05-12T19:50:50Z,2519,65.78
0.96,5,77.02,2021-05-12T19:49:52Z,2518,82.16
0.97,5,85.65,2021-05-11T17:36:34Z,2517,108.49
0.96,5,81.61,2021-05-11T17:35:28Z,2516,61.21
0.96,5,82.9,2021-05-11T17:34:38Z,2515,106.39
0.95,5,81.08,2021-05-11T17:33:28Z,2514,75.67
0.97,5,82.14,2021-05-11T17:31:51Z,2513,106.78
0.95,5,76.52,2021-05-11T17:30:36Z,2512,65.04
0.97,5,84.13,2021-05-11T17:29:36Z,2511,65.9
0.98,5,102.62,2021-05-03T02:18:00Z,2510,61.57
0.96,5,90.23,2021-05-03T02:17:29Z,2509,40.61
0.98,5,88.69,2021-04-27T04:52:50Z,2508,69.47
0.96,4,80.72,2021-04-27T04:12:37Z,2507,82.06
0.97,5,82.5,2021-04-27T04:11:37Z,2506,63.25
0.98,5,103.12,2021-04-27T04:10:48Z,2505,82.5
0.96,4,79.34,2021-04-26T22:40:49Z,2504,85.95
0.98,5,84.93,2021-04-26T22:39:31Z,2503,75.02
0.96,5,86.03,2021-04-26T22:37:37Z,2502,76
0.96,4,86.1,2021-04-26T22:35:57Z,2501,73.18
0.97,5,95.69,2021-04-26T22:33:53Z,2500,51.04
0.98,5,90.61,2021-04-26T22:33:18Z,2499,80.04
0.97,5,93.45,2021-04-26T19:47:35Z,2498,54.51
0.97,4,90.92,2021-04-26T19:46:15Z,2497,101.52
0.96,5,83.83,2021-04-26T19:45:11Z,2496,72.66
0.97,5,92.47,2021-04-26T19:43:37Z,2495,87.85
0.98,5,97.21,2021-04-26T19:41:50Z,2494,53.47
0.96,5,83.73,2021-04-25T05:23:24Z,2493,54.43
0.97,5,88.66,2021-04-25T05:22:28Z,2492,103.43
0.97,5,93.19,2021-04-25T05:21:21Z,2491,166.19
0.98,5,93.3,2021-04-24T20:52:17Z,2490,83.97
0.96,5,85.68,2021-04-24T20:51:22Z,2489,55.69
0.97,5,92.53,2021-04-24T20:49:05Z,2488,83.28
0.95,4,82.28,2021-04-24T20:46:16Z,2487,67.2
0.97,5,89.11,2021-04-24T20:45:28Z,2486,43.07
0.96,5,76.65,2021-04-24T20:44:34Z,2485,88.15
0.98,4,92.66,2021-04-24T20:43:23Z,2484,67.95
0.99,4,94.98,2021-04-24T20:41:07Z,2483,66.48
0.95,5,84.06,2021-04-24T20:40:24Z,2482,65.85
0.97,5,86.43,2021-04-20T21:04:00Z,2481,69.15
0.97,5,83.35,2021-04-20T21:02:05Z,2480,81.96
0.97,5,86.51,2021-04-20T21:01:04Z,2479,76.41
0.97,5,91.12,2021-04-20T20:59:44Z,2478,69.86
0.97,5,90.84,2021-04-20T20:58:53Z,2477,60.56
0.99,5,102.86,2021-04-20T20:56:40Z,2476,49.72
0.97,5,91.88,2021-04-20T20:56:08Z,2475,53.59
0.97,5,89.85,2021-04-17T20:39:21Z,2474,92.84
0.97,4,90.26,2021-04-17T20:31:44Z,2473,57.16
0.97,4,81.22,2021-04-17T20:31:03Z,2472,56.86
0.97,5,86.64,2021-04-17T20:30:00Z,2471,105.42
0.97,5,87.29,2021-04-17T20:28:48Z,2470,90.2
0.97,4,94.14,2021-04-17T20:27:49Z,2469,101.99
0.97,5,70.54,2021-04-14T20:10:27Z,2468,82.3
0.96,5,76.15,2021-04-11T05:46:14Z,2467,88.84
0.95,5,76.79,2021-04-11T05:44:58Z,2466,52.47
0.97,5,86.65,2021-04-11T05:40:12Z,2465,109.75
0.96,5,80.28,2021-04-11T05:38:53Z,2464,29.44
0.99,5,100.6,2021-04-11T05:38:18Z,2463,80.48
0.96,5,93.06,2021-04-07T04:58:47Z,2462,88.4
0.96,5,79.32,2021-04-07T04:55:14Z,2461,150.7
0.96,5,84.98,2021-04-07T04:53:29Z,2460,86.39
0.97,4,91.82,2021-03-26T20:27:05Z,2459,74.99
0.98,4,93.5,2021-03-26T20:18:56Z,2458,90.38
0.97,4,90.55,2021-03-26T20:17:57Z,2457,69.42
0.97,4,94.12,2021-03-26T20:16:24Z,2456,149.03
0.97,5,80.59,2021-03-26T20:09:42Z,2455,53.72
0.96,5,90.33,2021-03-26T20:09:03Z,2454,126.46
0.98,5,80.17,2021-03-26T20:07:51Z,2453,77.5
0.97,4,94.23,2021-03-26T20:06:45Z,2452,97.37
0.96,5,82.84,2021-03-26T20:03:43Z,2451,46.94
0.98,5,91.16,2021-03-26T20:02:53Z,2450,123.07
0.97,5,86.72,2021-03-26T19:57:09Z,2449,115.62
0.96,5,79.26,2021-03-26T19:55:58Z,2448,76.62
0.97,5,91.26,2021-03-23T21:53:33Z,2447,74.53
0.94,4,75.75,2021-03-23T21:52:48Z,2446,92.16
0.96,5,90.13,2021-03-23T21:50:21Z,2445,78.11
0.95,4,80.63,2021-03-23T21:49:31Z,2444,44.35
0.96,4,82.62,2021-03-23T21:48:49Z,2443,61.97
0.97,4,84.51,2021-03-23T21:48:00Z,2442,66.2
0.97,5,86.99,2021-03-23T21:47:09Z,2441,60.89
0.95,5,77.89,2021-03-23T21:46:29Z,2440,58.42
0.96,5,83.4,2021-03-23T21:45:41Z,2439,61.16
0.96,5,85.75,2021-03-23T21:44:48Z,2438,61.45
0.95,4,83.49,2021-03-23T21:43:52Z,2437,72.36
0.96,5,85.71,2021-03-23T21:42:57Z,2436,61.43
0.96,5,85.76,2021-03-23T21:42:13Z,2435,154.37
0.95,5,76.04,2021-03-23T21:40:39Z,2434,69.71
0.96,5,85.44,2021-03-23T21:39:47Z,2433,106.8
0.96,5,87.96,2021-03-23T21:38:31Z,2432,123.15
0.96,5,82.8,2021-03-23T21:37:16Z,2431,93.84
0.98,5,102.02,2021-03-23T21:36:15Z,2430,66.31
0.96,5,86.37,2021-03-23T21:35:32Z,2429,82.05
0.97,5,94.42,2021-03-23T21:34:42Z,2428,66.1
0.97,5,93.63,2021-03-23T21:32:34Z,2427,63.98
0.96,4,88.62,2021-03-23T21:31:48Z,2426,64.98
0.96,5,85.43,2021-03-23T21:31:00Z,2425,102.52
0.96,5,87.12,2021-03-23T21:29:43Z,2424,74.06
0.95,5,84.94,2021-03-23T21:28:54Z,2423,41.05
0.96,4,84.93,2021-03-23T21:28:00Z,2422,70.78
0.96,5,84.79,2021-03-23T21:26:30Z,2421,53.7
0.97,5,93.97,2021-03-23T21:25:47Z,2420,92.4
0.97,5,81.05,2021-03-22T19:49:49Z,2419,59.44
0.96,5,83.17,2021-03-22T19:48:56Z,2418,51.29
0.98,5,91.91,2021-03-22T19:48:15Z,2417,41.36
0.97,5,83.37,2021-03-21T20:14:08Z,2416,69.47
0.97,5,89.22,2021-03-21T20:13:21Z,2415,55.02
0.96,4,80.98,2021-03-21T20:12:27Z,2414,45.89
0.96,5,78.18,2021-03-21T20:11:48Z,2413,62.55
0.95,5,75.83,2021-03-21T20:11:00Z,2412,72.04
0.97,5,83.7,2021-03-21T20:08:45Z,2411,50.22
0.97,5,92.93,2021-03-21T20:07:58Z,2410,46.46
0.98,5,85.69,2021-03-21T20:07:22Z,2409,48.56
0.96,5,86.06,2021-03-21T20:06:32Z,2408,53.07
0.99,5,80.05,2021-03-21T20:05:57Z,2407,66.71
0.98,5,101.91,2021-03-21T20:05:10Z,2406,54.35
0.96,4,87.48,2021-03-21T20:04:23Z,2405,67.07
0.95,5,78.08,2021-03-21T20:03:29Z,2404,53.35
0.95,4,81.68,2021-03-21T20:02:04Z,2403,106.18
0.98,5,91.86,2021-03-21T20:00:52Z,2402,62.77
0.98,5,99.43,2021-03-21T20:00:13Z,2401,58
0.99,5,112.6,2021-03-21T19:59:34Z,2400,39.41
0.97,5,94.36,2021-03-21T19:58:47Z,2399,80.21
0.98,5,97.95,2021-03-21T19:56:57Z,2398,62.04
0.97,5,87.51,2021-03-21T19:55:20Z,2397,126.89
0.95,5,79.77,2021-03-21T05:47:00Z,2396,53.18
0.98,5,79.94,2021-03-21T05:45:29Z,2395,49.3
0.96,5,87.48,2021-03-21T05:43:25Z,2394,67.07
0.96,5,84.54,2021-03-21T05:42:25Z,2393,49.32
0.97,5,86.41,2021-03-21T05:41:44Z,2392,63.37
0.97,5,81.97,2021-03-21T04:49:43Z,2391,69.67
0.98,5,85.72,2021-03-20T08:04:07Z,2390,61.44
0.95,4,74.34,2021-03-19T06:08:49Z,2389,48.32
0.96,5,77.97,2021-03-19T06:07:58Z,2388,72.77
0.96,5,77.93,2021-03-19T06:05:31Z,2387,114.3
0.95,3,76.27,2021-03-19T06:04:14Z,2386,141.1
0.96,5,85.39,2021-03-19T06:02:28Z,2385,56.92
0.98,5,99.06,2021-03-19T06:01:44Z,2384,79.24
0.97,5,86.36,2021-03-19T06:01:00Z,2383,97.87
0.95,5,82.99,2021-03-19T06:00:00Z,2382,63.63
0.96,5,81.52,2021-03-19T05:59:15Z,2381,50.27
0.95,5,88.02,2021-03-19T05:58:31Z,2380,60.15
0.96,4,84.94,2021-03-19T05:57:51Z,2379,72.2
0.96,5,78.78,2021-03-19T05:56:59Z,2378,73.52
0.94,5,81.62,2021-03-19T05:56:01Z,2377,72.1
0.97,4,92.45,2021-03-19T05:54:11Z,2376,80.12
0.98,5,99.63,2021-03-19T05:53:06Z,2375,58.12
0.97,5,94.52,2021-03-19T05:52:29Z,2374,110.28
0.95,5,81.37,2021-03-19T05:51:31Z,2373,51.53
0.96,5,96.62,2021-03-19T05:50:37Z,2372,49.92
0.96,5,86.4,2021-03-19T05:49:51Z,2371,89.28
0.99,5,102.21,2021-03-19T05:48:52Z,2370,68.14
0.97,5,87.32,2021-03-19T05:48:13Z,2369,96.05
0.94,5,86.01,2021-03-19T05:47:12Z,2368,71.67
0.96,5,81.19,2021-03-19T05:46:22Z,2367,44.65
0.95,5,82.27,2021-03-19T05:45:45Z,2366,42.51
0.97,5,91.36,2021-03-19T05:44:27Z,2365,54.82
0.98,5,96.96,2021-03-19T05:43:47Z,2364,69.49
0.94,4,75.15,2021-03-19T05:43:04Z,2363,52.6
0.97,5,85.59,2021-03-19T05:42:12Z,2362,37.09
0.98,5,107.6,2021-03-19T05:41:39Z,2361,84.28
0.95,5,87.79,2021-03-19T05:40:55Z,2360,40.97
0.94,5,82.94,2021-03-16T00:51:04Z,2359,37.32
0.96,5,83.48,2021-03-16T00:49:47Z,2358,59.82
0.97,5,94.51,2021-03-16T00:49:02Z,2357,64.58
0.97,5,81.82,2021-03-16T00:48:22Z,2356,84.55
0.95,5,79.41,2021-03-16T00:47:24Z,2355,64.85
0.97,5,91.3,2021-03-16T00:46:30Z,2354,51.73
0.96,5,88.47,2021-03-16T00:45:51Z,2353,38.34
0.97,5,85.08,2021-03-16T00:45:14Z,2352,95
0.99,5,106.69,2021-03-16T00:44:12Z,2351,85.35
0.96,5,83.67,2021-03-16T00:43:31Z,2350,100.41
0.96,5,87.78,2021-03-16T00:42:23Z,2349,62.91
0.99,5,99.54,2021-03-16T00:41:30Z,2348,68.02
0.97,4,92.15,2021-03-16T00:40:50Z,2347,67.58
0.97,5,88.52,2021-03-16T00:40:04Z,2346,113.6
0.96,5,81.89,2021-03-16T00:38:33Z,2345,96.9
0.97,4,86.03,2021-03-16T00:37:19Z,2344,91.76
0.98,4,95.13,2021-03-16T00:36:15Z,2343,52.32
0.95,5,79.42,2021-03-16T00:35:40Z,2342,38.39
0.96,5,88.09,2021-03-16T00:34:55Z,2341,89.56
0.96,5,86.88,2021-03-16T00:33:53Z,2340,92.67
0.98,5,88.6,2021-03-16T00:32:40Z,2339,107.79
0.96,5,83.57,2021-03-16T00:29:32Z,2338,72.42
0.97,5,89.02,2021-03-16T00:28:34Z,2337,45.99
0.97,3,88.61,2021-03-16T00:27:54Z,2336,147.68
0.97,5,86.53,2021-03-16T00:26:39Z,2335,50.47
0.96,5,79.7,2021-03-16T00:26:00Z,2334,26.57
0.97,5,80.86,2021-03-16T00:25:31Z,2333,92.99
