wpm,accuracy,time,game_num,racers_num,points
72.44,0.95,2021-11-04T16:55:56Z,2945,5,35.01
79.6,0.95,2021-11-04T16:53:13Z,2944,5,26.53
65.48,0.94,2021-10-04T15:32:48Z,2943,5,32.74
52.45,0.95,2021-10-04T15:30:29Z,2942,5,39.33
59.06,0.93,2021-10-04T15:29:21Z,2941,5,33.46
65.01,0.92,2021-10-04T15:28:22Z,2940,5,40.09
48.17,0.95,2021-10-04T15:26:12Z,2939,5,12.04
59.92,0.92,2021-10-04T15:25:21Z,2938,5,63.91
55.95,0.93,2021-10-04T15:24:01Z,2937,5,33.57
69.67,0.94,2021-10-04T15:23:03Z,2936,5,39.48
63.28,0.94,2021-09-30T18:12:18Z,2935,4,59.06
67.46,0.96,2021-09-30T18:11:07Z,2934,5,50.59
45.6,0.92,2021-09-30T18:09:59Z,2933,5,21.28
62.71,0.94,2021-09-30T18:09:01Z,2932,4,27.18
51.95,0.92,2021-09-30T17:58:33Z,2931,5,7.79
68.19,0.94,2021-09-30T17:57:55Z,2930,5,29.55
77.06,0.96,2021-09-30T17:56:44Z,2929,5,30.82
57.57,0.95,2021-09-30T17:56:03Z,2928,5,46.06
57.46,0.92,2021-09-30T17:47:01Z,2927,5,41.18
68.36,0.95,2021-09-30T17:40:19Z,2926,5,48.99
67.01,0.95,2021-09-30T17:39:23Z,2925,5,44.67
72.96,0.95,2021-09-30T17:38:23Z,2924,5,62.02
65.58,0.95,2021-09-30T17:37:28Z,2923,5,47
67.57,0.95,2021-09-30T17:34:59Z,2922,5,59.69
65.92,0.93,2021-09-30T17:32:45Z,2921,5,42.85
70,0.95,2021-09-30T17:31:56Z,2920,3,57.17
57.71,0.94,2021-09-30T17:30:25Z,2919,5,27.89
64.74,0.93,2021-09-30T17:29:09Z,2918,4,83.08
62.81,0.93,2021-09-30T17:27:43Z,2917,5,54.44
78.33,0.96,2021-09-30T17:26:29Z,2916,5,73.11
66.91,0.95,2021-09-30T14:12:38Z,2915,5,70.26
66.53,0.95,2021-09-30T14:11:23Z,2914,5,39.92
51,0.92,2021-09-29T14:48:37Z,2913,5,27.2
43.74,0.9,2021-09-29T14:32:38Z,2912,5,29.89
