wpm,accuracy,time,game_num,racers_num,points
71.14,0.95,2021-11-21T23:49:19Z,2591,5,39.13
62.1,0.93,2021-11-21T23:48:35Z,2590,5,62.1
71.73,0.96,2021-11-21T23:47:11Z,2589,5,63.36
73.86,0.94,2021-11-21T23:46:05Z,2588,5,35.7
73.48,0.95,2021-11-21T23:45:26Z,2587,5,37.96
73.96,0.96,2021-11-21T08:21:34Z,2586,5,40.68
71.08,0.96,2021-11-20T08:04:48Z,2585,5,65.16
58.94,0.95,2021-11-20T02:52:28Z,2584,5,45.19
71.81,0.95,2021-11-20T02:51:08Z,2583,5,39.49
77.1,0.97,2021-11-18T21:46:13Z,2582,5,47.55
64.66,0.93,2021-11-18T09:06:01Z,2581,4,62.51
71.14,0.95,2021-11-18T08:22:43Z,2580,5,36.76
72.74,0.96,2021-11-18T07:57:03Z,2579,4,73.96
72.95,0.96,2021-11-18T07:44:08Z,2578,5,58.36
77.8,0.96,2021-11-18T07:41:30Z,2577,5,50.57
84.89,0.97,2021-11-18T07:34:05Z,2576,5,77.82
69.53,0.95,2021-11-18T07:32:32Z,2575,4,82.28
65.51,0.93,2021-11-18T07:30:07Z,2574,5,45.86
74.2,0.96,2021-11-18T07:29:03Z,2573,5,37.1
66.74,0.94,2021-11-18T07:16:44Z,2572,5,62.29
67.4,0.93,2021-11-18T07:10:39Z,2571,5,32.58
69.59,0.96,2021-11-18T07:09:10Z,2570,5,47.55
78.97,0.96,2021-11-17T04:29:11Z,2569,5,48.7
63.48,0.94,2021-11-16T20:34:02Z,2568,5,66.65
67.13,0.94,2021-11-16T20:31:27Z,2567,5,30.21
72.09,0.96,2021-11-16T20:30:46Z,2566,4,43.25
73.24,0.96,2021-11-16T20:03:40Z,2565,3,118.41
60.51,0.93,2021-11-16T20:00:55Z,2564,5,47.4
78.92,0.97,2021-11-16T19:59:38Z,2563,5,47.35
69.15,0.94,2021-11-16T19:58:56Z,2562,5,43.8
71.25,0.96,2021-11-16T19:57:59Z,2561,5,77.18
71.14,0.94,2021-11-15T02:03:26Z,2560,5,56.91
80.72,0.96,2021-11-15T01:43:39Z,2559,5,52.47
76.78,0.96,2021-11-15T01:40:50Z,2558,5,58.87
70.63,0.95,2021-11-15T01:39:16Z,2557,5,64.74
71.62,0.96,2021-11-15T01:37:54Z,2556,5,44.16
67.11,0.94,2021-11-15T01:37:10Z,2555,4,116.32
75.16,0.95,2021-11-15T01:34:35Z,2554,5,63.89
79.33,0.95,2021-11-15T01:33:03Z,2553,5,48.92
70.26,0.95,2021-11-15T01:30:50Z,2552,5,24.59
73.48,0.95,2021-11-14T22:41:48Z,2551,5,48.98
86.97,0.97,2021-11-14T07:26:36Z,2550,5,63.78
64.09,0.95,2021-11-14T07:25:53Z,2549,5,51.28
65.69,0.94,2021-11-14T07:24:55Z,2548,5,45.99
72.63,0.95,2021-11-14T07:23:00Z,2547,5,46
66.73,0.95,2021-11-14T07:11:03Z,2546,5,68.96
73.51,0.96,2021-11-14T07:09:11Z,2545,5,66.16
71.87,0.96,2021-11-14T06:50:10Z,2544,5,65.88
62.96,0.94,2021-11-14T06:46:14Z,2543,5,55.62
72.16,0.95,2021-11-14T06:45:08Z,2542,5,32.47
74.44,0.96,2021-11-14T06:44:30Z,2541,5,42.18
72.2,0.95,2021-11-14T06:43:45Z,2540,5,44.52
70.91,0.95,2021-11-14T06:42:56Z,2539,5,49.64
76.73,0.96,2021-11-14T06:42:01Z,2538,5,30.69
65.7,0.93,2021-11-14T06:41:10Z,2537,5,43.8
67.68,0.96,2021-11-14T06:40:20Z,2536,4,50.76
62.67,0.93,2021-11-14T06:37:49Z,2535,5,51.18
77.29,0.96,2021-11-14T06:34:57Z,2534,5,81.15
76.57,0.97,2021-11-14T06:33:55Z,2533,5,49.77
62.8,0.94,2021-11-14T06:33:09Z,2532,5,29.31
68.29,0.95,2021-11-14T06:31:10Z,2531,5,63.74
58.74,0.93,2021-11-14T06:27:15Z,2530,5,33.29
81.4,0.95,2021-11-14T06:20:18Z,2529,5,78.69
68.09,0.94,2021-11-14T06:17:22Z,2528,5,62.41
