wpm,accuracy,time,game_num,racers_num,points
85.75,0.96,2021-11-21T19:22:22Z,2934,5,61.45
87.31,0.97,2021-11-21T19:21:32Z,2933,4,85.86
95.11,0.98,2021-11-21T19:20:22Z,2932,5,82.43
98.5,0.96,2021-11-21T19:19:34Z,2931,5,64.02
79.16,0.95,2021-11-19T19:26:27Z,2930,5,42.22
95.81,0.97,2021-11-19T19:25:47Z,2929,5,130.94
106.56,0.99,2021-11-19T19:24:37Z,2928,5,53.28
93.22,0.96,2021-11-19T19:24:03Z,2927,5,49.72
93.35,0.98,2021-11-14T18:58:08Z,2926,5,46.68
106.44,0.99,2021-11-14T18:57:27Z,2925,4,97.57
86.83,0.96,2021-11-14T18:56:40Z,2924,5,57.89
98.7,0.98,2021-11-14T18:55:58Z,2923,5,62.51
98.7,0.97,2021-11-13T19:46:14Z,2922,5,108.57
93.22,0.97,2021-11-13T19:45:20Z,2921,5,51.27
96.97,0.98,2021-11-13T19:44:43Z,2920,5,117.98
112.73,0.99,2021-11-13T19:43:46Z,2919,3,60.13
94.51,0.97,2021-11-10T18:36:50Z,2918,5,113.41
110.02,0.98,2021-11-10T18:35:49Z,2917,5,91.69
102.96,0.99,2021-11-10T18:35:07Z,2916,5,87.52
95.76,0.98,2021-11-10T18:34:21Z,2915,5,97.36
104.04,0.98,2021-11-09T18:32:58Z,2914,5,36.42
87.91,0.97,2021-11-09T18:31:05Z,2913,5,174.35
95.69,0.98,2021-11-09T18:29:25Z,2912,4,92.5
89.33,0.97,2021-11-09T18:28:34Z,2911,5,61.04
86.11,0.97,2021-11-08T19:24:34Z,2910,5,45.93
91.53,0.97,2021-11-08T19:23:35Z,2909,5,100.68
94.41,0.97,2021-11-08T19:22:44Z,2908,5,42.49
95.33,0.98,2021-11-08T19:22:06Z,2907,3,103.27
88.4,0.96,2021-11-08T19:21:06Z,2906,5,101.67
101.79,0.98,2021-11-07T17:54:20Z,2905,4,89.91
98.08,0.98,2021-11-07T17:53:33Z,2904,5,201.07
94.87,0.98,2021-11-07T17:52:02Z,2903,4,85.38
95.47,0.98,2021-11-07T17:51:21Z,2902,5,31.82
90.7,0.97,2021-11-06T22:04:57Z,2901,4,86.16
92.23,0.97,2021-11-06T22:03:37Z,2900,5,87.61
96.69,0.98,2021-11-06T22:02:41Z,2899,5,101.53
84.42,0.96,2021-11-06T22:01:49Z,2898,5,97.08
88.57,0.97,2021-11-06T22:00:47Z,2897,4,122.53
94.64,0.98,2021-11-05T18:24:59Z,2896,5,55.21
81.83,0.97,2021-11-05T18:24:23Z,2895,5,75.01
105.49,0.98,2021-11-05T18:23:25Z,2894,5,80.87
99.2,0.96,2021-11-05T18:22:46Z,2893,5,64.48
91.79,0.97,2021-11-04T23:07:58Z,2892,4,64.25
90.61,0.98,2021-11-04T23:06:33Z,2891,4,132.9
99.42,0.98,2021-11-04T23:05:19Z,2890,5,119.31
89.51,0.97,2021-11-04T23:04:23Z,2889,3,76.08
92.03,0.98,2021-11-02T16:08:45Z,2888,5,165.65
77.57,0.96,2021-11-02T16:07:24Z,2887,5,58.17
97.07,0.97,2021-11-02T16:06:31Z,2886,5,88.98
97.77,0.97,2021-11-01T17:54:37Z,2885,5,78.21
81.1,0.96,2021-11-01T17:53:56Z,2884,5,74.34
95.07,0.98,2021-11-01T17:53:01Z,2883,5,90.32
84.74,0.96,2021-11-01T17:52:09Z,2882,5,74.85
87.03,0.97,2021-10-31T18:03:14Z,2881,5,47.87
103.96,0.98,2021-10-31T18:02:35Z,2880,5,84.9
120.27,0.99,2021-10-31T18:01:50Z,2879,5,72.16
81.31,0.96,2021-10-31T18:01:20Z,2878,5,89.44
94.3,0.98,2021-10-30T17:45:31Z,2877,4,64.44
99.2,0.97,2021-10-30T17:44:42Z,2876,5,102.5
104.64,0.99,2021-10-30T17:43:43Z,2875,5,61.04
95.5,0.97,2021-10-29T19:04:55Z,2874,5,57.3
107.79,0.99,2021-10-29T19:04:16Z,2873,5,77.25
88.55,0.96,2021-10-29T19:03:32Z,2872,5,45.75
107.81,0.99,2021-10-29T19:02:20Z,2871,5,89.84
97.1,0.98,2021-10-29T19:01:36Z,2870,4,118.14
83.67,0.96,2021-10-28T18:15:38Z,2869,5,59.96
90.49,0.97,2021-10-28T18:14:44Z,2868,5,161.38
94.28,0.97,2021-10-28T18:13:14Z,2867,5,80.14
91.16,0.97,2021-10-27T17:36:29Z,2866,5,44.06
99.93,0.98,2021-10-27T17:35:51Z,2865,5,91.6
94.39,0.97,2021-10-27T17:35:00Z,2864,5,146.3
91.93,0.97,2021-10-26T18:59:44Z,2863,3,130.24
103.55,0.98,2021-10-26T18:58:35Z,2862,5,79.39
85.95,0.95,2021-10-26T18:57:54Z,2861,5,128.92
83.51,0.95,2021-10-25T18:11:28Z,2860,5,51.5
97.17,0.96,2021-10-25T18:10:43Z,2859,5,71.26
94.34,0.98,2021-10-25T18:09:59Z,2858,5,62.89
81.82,0.96,2021-10-25T18:09:12Z,2857,4,47.73
93.59,0.96,2021-10-25T18:08:26Z,2856,4,134.14
103.38,0.99,2021-10-24T18:12:19Z,2855,4,27.57
83.85,0.97,2021-10-24T18:11:56Z,2854,5,60.09
85.79,0.96,2021-10-24T18:11:07Z,2853,5,58.63
84.71,0.96,2021-10-24T18:10:20Z,2852,5,76.24
91.91,0.97,2021-10-23T19:31:34Z,2851,4,96.5
87.64,0.96,2021-10-23T19:30:43Z,2850,5,62.81
94.68,0.97,2021-10-23T19:29:56Z,2849,5,56.81
101.97,0.98,2021-10-23T19:29:17Z,2848,4,96.88
103.48,0.98,2021-10-22T17:42:00Z,2847,5,72.44
100.47,0.98,2021-10-22T17:41:24Z,2846,5,45.21
80.87,0.94,2021-10-22T17:40:44Z,2845,5,39.09
101.05,0.98,2021-10-22T17:40:05Z,2844,5,117.89
106.3,0.98,2021-10-21T17:50:16Z,2843,5,81.49
94.65,0.97,2021-10-21T17:49:33Z,2842,5,63.1
96.83,0.97,2021-10-21T17:48:52Z,2841,5,108.13
100.89,0.97,2021-10-21T17:47:55Z,2840,5,80.72
87.02,0.95,2021-10-21T17:47:12Z,2839,5,42.06
87.14,0.97,2021-10-20T23:33:33Z,2838,5,62.45
96.82,0.97,2021-10-20T23:32:48Z,2837,5,109.73
95.65,0.96,2021-10-20T23:31:52Z,2836,5,74.92
110.06,0.99,2021-10-20T23:31:11Z,2835,5,64.2
86.92,0.98,2021-10-19T21:44:44Z,2834,5,68.09
108.82,1,2021-10-19T21:43:55Z,2833,5,90.69
103.39,0.98,2021-10-19T21:43:14Z,2832,4,77.55
94.65,0.97,2021-10-19T21:42:32Z,2831,3,66.25
102.55,0.99,2021-10-18T18:56:57Z,2830,5,64.95
89.7,0.96,2021-10-18T18:56:21Z,2829,5,71.76
98.21,0.98,2021-10-18T18:55:05Z,2828,5,80.21
95.51,0.98,2021-10-18T18:47:53Z,2827,5,130.53
102.63,0.98,2021-10-18T18:46:49Z,2826,4,88.94
90.78,0.96,2021-10-17T20:37:56Z,2825,5,114.99
110.93,0.99,2021-10-17T20:36:52Z,2824,5,96.14
65.95,0.95,2021-10-17T20:36:07Z,2823,5,35.17
88.76,0.96,2021-10-17T20:35:21Z,2822,4,81.37
96.94,0.99,2021-10-17T20:34:29Z,2821,5,67.86
89.85,0.97,2021-10-17T20:33:45Z,2820,4,116.81
84.74,0.96,2021-10-17T20:32:35Z,2819,5,46.61
87.68,0.96,2021-10-16T19:17:39Z,2818,5,61.38
110.62,0.99,2021-10-16T19:16:51Z,2817,5,66.37
73.96,0.96,2021-10-16T19:16:07Z,2816,3,106.01
101,0.98,2021-10-16T19:14:31Z,2815,4,104.37
70.08,0.93,2021-10-15T17:20:42Z,2814,5,60.73
93.28,0.98,2021-10-15T17:19:49Z,2813,5,94.83
88.7,0.97,2021-10-15T17:18:59Z,2812,4,85.74
93.95,0.97,2021-10-15T17:18:01Z,2811,4,165.98
95.56,0.98,2021-10-15T17:16:36Z,2810,5,133.78
80.01,0.96,2021-10-14T17:18:38Z,2809,5,44.01
97.56,0.97,2021-10-14T17:16:27Z,2808,3,89.43
83.19,0.96,2021-10-14T17:15:29Z,2807,5,42.98
99.46,0.97,2021-10-13T18:19:30Z,2806,5,99.46
105.48,0.99,2021-10-13T18:18:40Z,2805,5,101.96
97.91,0.98,2021-10-13T18:17:56Z,2804,5,73.43
100.61,0.97,2021-10-12T18:18:45Z,2803,5,53.66
114.68,0.99,2021-10-12T18:18:14Z,2802,5,42.05
97.19,0.98,2021-10-12T18:17:45Z,2801,5,69.65
84.76,0.97,2021-10-12T18:17:06Z,2800,5,62.15
92.44,0.97,2021-10-11T17:49:50Z,2799,5,87.82
