wpm,accuracy,time,game_num,racers_num,points
71.65,0.94,2021-11-19T21:25:23Z,2634,5,41.79
74.72,0.97,2021-11-19T21:23:10Z,2633,5,62.27
76.62,0.98,2021-11-19T21:22:12Z,2632,4,85.56
83.67,0.96,2021-11-19T21:20:49Z,2631,5,66.94
69.4,0.95,2021-11-19T21:19:42Z,2630,5,55.52
77.62,0.97,2021-11-19T21:18:29Z,2629,3,64.68
80.1,0.97,2021-11-19T21:17:26Z,2628,5,40.05
72.53,0.97,2021-11-19T21:16:42Z,2627,5,50.77
73.48,0.97,2021-11-18T23:32:33Z,2626,4,106.55
80.41,0.99,2021-11-18T21:23:10Z,2625,5,40.2
90.67,0.98,2021-11-17T23:25:25Z,2624,5,63.47
61.75,0.95,2021-11-17T23:22:52Z,2623,5,36.02
66.07,0.97,2021-11-16T22:24:29Z,2622,5,66.07
72.63,0.96,2021-11-16T22:17:39Z,2621,5,41.16
64.88,0.96,2021-11-16T00:58:39Z,2620,5,24.87
68.84,0.94,2021-11-16T00:57:57Z,2619,5,45.89
67.01,0.97,2021-11-16T00:01:14Z,2618,5,59.2
71.64,0.96,2021-11-14T19:00:48Z,2617,5,62.09
68.93,0.95,2021-11-14T18:59:41Z,2616,5,29.87
82.75,0.97,2021-11-14T18:58:37Z,2615,4,41.37
64.28,0.96,2021-11-14T18:57:57Z,2614,5,37.49
95.23,0.99,2021-11-14T18:56:56Z,2613,5,42.85
67.82,0.96,2021-11-09T00:13:15Z,2612,5,61.04
76.66,0.97,2021-11-09T00:11:54Z,2611,5,49.83
92.66,0.98,2021-11-09T00:11:00Z,2610,5,88.02
89,0.97,2021-11-09T00:10:10Z,2609,5,44.5
80.65,0.98,2021-11-09T00:08:44Z,2608,5,73.92
73.69,0.96,2021-11-09T00:07:41Z,2607,4,46.67
85.27,0.98,2021-11-09T00:06:46Z,2606,5,41.21
71.99,0.96,2021-11-09T00:06:03Z,2605,5,33.6
76.35,0.98,2021-11-09T00:05:18Z,2604,5,66.17
86.75,0.99,2021-11-08T23:57:03Z,2603,5,37.59
72.9,0.95,2021-11-08T23:55:49Z,2602,5,30.37
82.56,0.97,2021-11-08T23:55:03Z,2601,5,52.29
71.04,0.97,2021-11-08T23:54:16Z,2600,5,54.46
68.98,0.96,2021-11-05T20:10:00Z,2599,5,55.19
78.14,0.96,2021-11-05T20:09:04Z,2598,5,50.79
74.92,0.97,2021-11-05T20:08:08Z,2597,5,99.9
65.45,0.95,2021-11-05T20:06:42Z,2596,5,45.81
84.03,0.99,2021-11-05T20:05:48Z,2595,5,51.82
72.87,0.98,2021-11-05T20:04:35Z,2594,4,43.72
71.86,0.95,2021-11-05T17:28:27Z,2593,5,57.49
76.88,0.98,2021-11-05T17:27:29Z,2592,4,69.19
78.05,0.98,2021-11-05T17:26:20Z,2591,5,32.52
80.54,0.97,2021-11-05T17:25:38Z,2590,5,49.67
75.43,0.96,2021-11-05T17:24:29Z,2589,4,61.6
75.26,0.97,2021-11-05T17:23:27Z,2588,5,40.14
73.77,0.96,2021-11-05T17:22:28Z,2587,4,99.6
