wpm,accuracy,time,game_num,racers_num,points
100.94,0.98,2019-06-29T06:20:47Z,2984,4,40.38
98.1,0.98,2019-06-29T04:04:26Z,2983,5,83.39
85.96,0.97,2019-03-05T18:39:57Z,2982,5,110.31
80.94,0.96,2019-03-05T18:38:30Z,2981,4,117.36
79.06,0.97,2019-03-05T18:37:07Z,2980,5,119.91
100.38,0.99,2019-01-23T19:10:07Z,2979,5,45.17
96.78,0.97,2019-01-23T19:09:31Z,2978,5,75.81
96.44,0.98,2019-01-23T19:08:27Z,2977,5,70.72
86.28,0.96,2019-01-23T19:00:07Z,2976,4,129.42
84.36,0.96,2019-01-23T18:58:54Z,2975,5,67.48
81.65,0.98,2019-01-23T18:58:04Z,2974,4,83.01
76.29,0.97,2019-01-23T18:52:37Z,2973,4,47.04
96.82,0.96,2019-01-23T18:51:46Z,2972,5,80.69
90.53,0.96,2019-01-23T18:50:55Z,2971,3,49.79
89.43,0.98,2019-01-23T18:50:16Z,2970,5,64.09
95.15,0.98,2019-01-23T18:49:31Z,2969,4,69.78
94.01,0.97,2019-01-23T18:48:45Z,2968,5,51.7
87.26,0.97,2019-01-23T16:41:53Z,2967,2,90.16
106.68,1,2019-01-22T23:27:14Z,2966,5,97.79
95.06,0.98,2019-01-18T20:59:54Z,2965,3,215.47
86.21,0.98,2019-01-18T20:58:13Z,2964,5,38.79
100.91,0.98,2019-01-18T20:57:29Z,2963,5,58.87
95.83,0.98,2019-01-18T20:56:30Z,2962,5,159.72
98.14,0.98,2019-01-18T20:55:12Z,2961,5,45.8
80.03,0.96,2019-01-18T20:54:41Z,2960,5,117.38
76.2,0.97,2019-01-18T20:53:20Z,2959,4,46.99
100.76,0.98,2019-01-18T20:52:29Z,2958,5,65.49
80.79,0.97,2019-01-18T20:51:49Z,2957,5,102.33
78.1,0.97,2019-01-18T20:50:35Z,2956,4,44.25
78.77,0.96,2019-01-18T20:49:49Z,2955,5,38.07
69.67,0.95,2019-01-18T20:49:15Z,2954,4,40.64
73.73,0.96,2019-01-18T18:27:33Z,2953,3,87.25
68.3,0.94,2019-01-18T18:26:12Z,2952,5,44.39
91,0.96,2019-01-18T18:25:23Z,2951,5,91
87.92,0.97,2019-01-18T18:24:27Z,2950,5,90.85
102.5,1,2019-01-18T18:23:34Z,2949,4,70.04
81.34,0.97,2019-01-18T18:22:53Z,2948,5,71.85
101.83,1,2019-01-18T18:21:52Z,2947,5,69.58
80.98,0.96,2019-01-18T18:21:13Z,2946,5,85.03
73.42,0.96,2019-01-18T18:20:04Z,2945,4,56.28
76.17,0.97,2019-01-18T18:19:02Z,2944,5,60.93
108.5,0.99,2019-01-18T18:17:59Z,2943,5,65.1
70.82,0.96,2019-01-18T18:17:06Z,2942,3,82.63
81.5,0.97,2019-01-18T18:15:41Z,2941,5,103.24
95.96,0.98,2019-01-18T18:14:20Z,2940,5,68.77
85.84,0.96,2019-01-18T18:13:30Z,2939,5,58.66
90.75,0.97,2019-01-10T16:04:59Z,2938,4,83.18
94.81,0.98,2019-01-10T15:40:48Z,2937,4,150.11
100.32,0.99,2019-01-10T15:39:15Z,2936,5,40.13
87.83,0.98,2019-01-10T15:38:40Z,2935,5,43.91
82.72,0.96,2019-01-10T15:38:04Z,2934,5,57.9
93.43,0.98,2019-01-10T15:37:10Z,2933,4,88.76
88.44,0.97,2019-01-10T15:35:55Z,2932,5,109.08
109.41,1,2019-01-10T15:34:31Z,2931,5,78.41
