wpm,accuracy,time,game_num,racers_num,points
77.08,0.96,2021-11-20T08:26:32Z,2661,4,134.89
88.38,0.97,2021-11-20T08:24:07Z,2660,5,60.39
83.33,0.96,2021-11-19T14:08:11Z,2659,4,50
80.99,0.95,2021-11-19T13:52:28Z,2658,5,56.69
85.22,0.97,2021-11-19T13:51:27Z,2657,5,197.44
82.06,0.96,2021-11-19T13:47:56Z,2656,4,41.03
85.01,0.96,2021-11-18T12:53:01Z,2655,5,70.84
81.02,0.97,2021-11-18T12:51:03Z,2654,5,75.62
86.96,0.96,2021-11-18T12:50:06Z,2653,5,57.98
84.95,0.96,2021-11-18T12:49:26Z,2652,5,75.04
77.87,0.95,2021-11-18T12:48:32Z,2651,5,46.72
88.6,0.97,2021-11-18T12:47:08Z,2650,5,47.26
92.83,0.96,2021-11-18T12:46:29Z,2649,5,74.26
76.98,0.94,2021-11-18T12:45:24Z,2648,5,56.45
74.66,0.95,2021-11-18T12:44:35Z,2647,5,72.17
79.79,0.95,2021-11-18T12:43:05Z,2646,5,61.18
85.66,0.97,2021-11-18T12:42:11Z,2645,5,71.38
78.13,0.95,2021-11-18T12:41:22Z,2644,5,54.69
82.8,0.94,2021-11-18T07:58:49Z,2643,5,53.82
92.71,0.98,2021-11-18T07:57:58Z,2642,4,83.44
90.93,0.95,2021-11-18T07:56:07Z,2641,5,42.44
84.43,0.95,2021-11-18T07:55:28Z,2640,4,64.73
97.09,0.98,2021-11-17T12:41:10Z,2639,5,87.38
95.68,0.98,2021-11-17T12:39:46Z,2638,5,66.98
81.28,0.97,2021-11-17T12:38:48Z,2637,5,60.96
87.01,0.96,2021-11-17T12:36:42Z,2636,5,43.51
88.98,0.96,2021-11-17T12:36:02Z,2635,5,72.66
81.5,0.96,2021-11-17T12:33:40Z,2634,4,131.75
80.7,0.96,2021-11-17T10:49:53Z,2633,5,112.99
84.04,0.96,2021-11-17T10:48:25Z,2632,3,54.62
89.78,0.98,2021-11-17T10:47:38Z,2631,5,53.87
93.14,0.97,2021-11-17T10:46:59Z,2630,5,40.36
83.74,0.97,2021-11-17T10:45:18Z,2629,5,68.39
84.84,0.97,2021-11-17T10:44:29Z,2628,5,76.36
89.65,0.97,2021-11-17T10:43:03Z,2627,5,98.62
74.82,0.95,2021-11-17T10:42:03Z,2626,5,91.03
84.99,0.97,2021-11-17T10:39:26Z,2625,4,50.99
91.59,0.98,2021-11-17T10:38:44Z,2624,5,47.32
70.66,0.96,2021-11-17T10:38:12Z,2623,4,43.57
81.19,0.95,2021-11-17T10:36:47Z,2622,3,66.31
79.26,0.97,2021-11-17T10:35:56Z,2621,5,47.56
100,0.99,2021-11-17T10:35:13Z,2620,5,65
77.77,0.95,2021-11-17T06:36:33Z,2619,5,75.18
95.74,0.97,2021-11-17T06:35:34Z,2618,5,92.55
82.18,0.96,2021-11-17T06:34:28Z,2617,5,121.9
79.25,0.96,2021-11-16T18:40:56Z,2616,5,76.61
76.77,0.96,2021-11-16T18:39:30Z,2615,5,71.65
79.78,0.96,2021-11-16T18:38:11Z,2614,2,144.93
87.35,0.96,2021-11-16T18:36:31Z,2613,4,53.87
76.53,0.96,2021-11-12T12:56:32Z,2612,5,48.47
80.12,0.96,2021-11-12T12:55:43Z,2611,5,82.79
88.02,0.97,2021-11-12T12:54:34Z,2610,5,35.21
85.54,0.96,2021-11-12T12:52:24Z,2609,5,104.08
86.81,0.96,2021-11-12T12:51:18Z,2608,5,40.51
86.64,0.97,2021-11-12T12:50:35Z,2607,5,106.86
85.44,0.96,2021-11-12T12:49:28Z,2606,5,72.62
76.31,0.95,2021-11-12T12:48:32Z,2605,5,59.77
79.62,0.95,2021-11-12T12:47:37Z,2604,5,120.76
78.69,0.94,2021-11-12T11:53:29Z,2603,5,55.08
79.14,0.96,2021-11-12T11:52:37Z,2602,5,47.48
78,0.95,2021-11-12T11:51:51Z,2601,5,53.3
81.21,0.96,2021-11-12T11:48:52Z,2600,5,59.55
76.9,0.95,2021-11-12T11:20:48Z,2599,5,76.9
74.93,0.97,2021-11-12T11:18:45Z,2598,4,42.46
76.79,0.95,2021-11-12T11:14:10Z,2597,5,71.67
90.8,0.98,2021-11-12T11:13:08Z,2596,3,52.97
86.07,0.95,2021-11-12T11:12:04Z,2595,5,60.25
