accuracy,wpm,game_num,time,racers_num,points
0.98,122.9,2900,2021-11-19T22:44:02Z,5,75.79
0.98,116.02,2899,2021-11-19T22:24:07Z,5,79.28
0.99,126.67,2898,2021-11-19T22:23:26Z,3,99.23
0.98,110.39,2897,2021-11-18T22:46:16Z,5,128.78
0.97,101.06,2896,2021-11-18T02:24:08Z,4,89.27
0.98,108.09,2895,2021-11-18T02:16:17Z,4,205.36
0.98,115.12,2894,2021-11-16T22:16:57Z,3,84.42
0.97,100,2893,2021-11-15T21:14:54Z,5,48.33
0.99,136.26,2892,2021-11-15T21:14:15Z,5,61.32
0.99,122.76,2891,2021-11-15T21:13:54Z,5,122.76
0.99,130.97,2890,2021-11-15T21:13:06Z,5,126.61
1,132.56,2889,2021-11-15T21:11:41Z,5,75.11
0.98,120.83,2888,2021-11-15T21:05:49Z,5,132.92
0.98,111.64,2887,2021-11-13T01:42:14Z,5,91.17
0.98,110.53,2886,2021-11-12T23:07:32Z,5,81.05
0.98,108.78,2885,2021-11-12T23:01:34Z,4,67.08
0.97,107.01,2884,2021-11-11T19:52:25Z,3,62.42
0.98,122.61,2883,2021-11-11T19:51:53Z,5,118.53
0.99,124.98,2882,2021-11-11T19:51:09Z,5,114.57
0.98,117.75,2881,2021-11-11T14:37:27Z,5,62.8
0.98,114.42,2880,2021-11-11T13:45:12Z,4,131.58
0.98,128.84,2879,2021-11-11T13:27:07Z,4,118.1
0.98,112.8,2878,2021-11-11T13:20:39Z,5,103.4
0.97,108.76,2877,2021-11-03T00:34:16Z,5,67.07
0.99,126.87,2876,2021-11-03T00:30:56Z,5,86.69
0.99,121.08,2875,2021-11-03T00:27:10Z,3,179.6
0.99,127.26,2874,2021-11-02T21:58:20Z,5,99.69
0.98,121.99,2873,2021-11-02T21:57:21Z,2,95.56
0.98,121.45,2872,2021-10-31T21:49:47Z,5,91.09
0.98,114.27,2871,2021-10-31T21:49:07Z,5,121.89
0.98,115.54,2870,2021-10-31T21:48:20Z,5,171.39
0.98,110.84,2869,2021-10-31T21:46:32Z,5,112.69
0.99,135.46,2868,2021-10-31T21:36:05Z,3,139.98
1,139.13,2867,2021-10-31T21:35:23Z,5,132.18
1,152.15,2866,2021-10-31T21:34:44Z,5,78.61
