wpm,accuracy,time,game_num,racers_num,points
55.66,0.95,2018-06-06T09:22:37Z,2568,2,38.96
74.42,0.98,2017-10-27T15:32:58Z,2567,5,115.36
78.45,0.98,2017-10-27T15:31:19Z,2566,5,61.45
58.89,0.97,2017-10-27T15:30:09Z,2565,5,34.35
71.24,0.97,2017-10-27T15:29:07Z,2564,5,87.87
61.35,0.96,2017-10-27T15:27:34Z,2563,4,48.06
72.87,0.98,2017-10-27T15:26:26Z,2562,4,36.43
57.4,0.96,2017-10-27T15:25:31Z,2561,5,50.7
65.25,0.97,2017-10-27T15:23:58Z,2560,4,58.72
64.04,0.96,2017-10-27T15:22:21Z,2559,5,50.17
77.08,0.98,2017-10-27T12:33:51Z,2558,5,61.66
62.9,0.97,2017-10-27T12:32:55Z,2557,3,40.88
57.36,0.96,2017-10-27T12:31:30Z,2556,5,42.06
61.68,0.98,2017-10-27T12:30:09Z,2555,5,43.18
73.1,0.98,2017-10-27T12:29:00Z,2554,5,54.82
65.81,0.95,2017-10-27T12:28:02Z,2553,4,84.45
63.07,0.96,2017-10-27T12:26:24Z,2552,2,73.58
69.47,0.97,2017-10-27T12:24:56Z,2551,4,62.52
71.14,0.98,2017-10-27T12:23:48Z,2550,5,62.84
69,0.97,2017-10-27T12:22:46Z,2549,5,46
57.17,0.96,2017-10-27T12:21:41Z,2548,5,38.11
61.47,0.96,2017-10-27T12:20:41Z,2547,5,52.25
49.49,0.94,2017-10-27T12:19:32Z,2546,5,26.39
59.82,0.97,2017-10-27T12:18:24Z,2545,3,34.9
68.94,0.97,2017-10-27T12:17:28Z,2544,5,25.28
57.71,0.95,2017-10-27T12:12:04Z,2543,4,59.63
69.06,0.99,2017-10-27T12:10:19Z,2542,5,29.93
61.57,0.97,2017-10-24T13:47:48Z,2541,5,59.52
68.72,0.97,2017-10-24T13:46:17Z,2540,4,57.26
63.74,0.95,2017-10-24T13:45:01Z,2539,5,47.8
62.29,0.96,2017-10-24T13:44:00Z,2538,5,41.53
63.68,0.97,2017-10-24T13:42:55Z,2537,4,23.35
67.76,0.98,2017-10-24T13:42:06Z,2536,5,58.72
59.81,0.97,2017-10-16T13:32:35Z,2535,4,45.86
72.79,0.97,2017-10-06T14:17:15Z,2534,5,44.89
58.34,0.96,2017-10-06T14:15:45Z,2533,5,70.01
65.41,0.97,2017-10-06T14:13:46Z,2532,5,40.33
57.06,0.96,2017-10-06T14:04:38Z,2531,3,38.99
61.38,0.97,2017-09-20T11:31:34Z,2530,3,42.97
62.43,0.97,2017-09-20T11:14:56Z,2529,4,63.47
56.36,0.96,2017-09-20T11:13:34Z,2528,4,58.24
60.58,0.97,2017-09-20T11:11:56Z,2527,5,29.28
71.48,0.98,2017-09-20T11:11:05Z,2526,5,29.78
70.2,0.96,2017-09-20T11:09:46Z,2525,5,66.69
58.59,0.95,2017-09-20T11:08:35Z,2524,5,41.99
67.29,0.97,2017-09-20T11:07:30Z,2523,4,48.22
58.26,0.95,2017-09-20T10:07:15Z,2522,5,98.06
70.41,0.97,2017-09-20T10:04:59Z,2521,5,73.93
58.43,0.95,2017-09-20T10:03:48Z,2520,5,63.3
57.78,0.95,2017-09-20T08:59:23Z,2519,5,35.63
64.11,0.96,2017-09-20T08:58:00Z,2518,5,35.26
62.31,0.97,2017-09-20T08:54:13Z,2517,5,69.58
56.62,0.96,2017-09-20T08:42:52Z,2516,5,56.62
62.45,0.97,2017-09-19T18:18:53Z,2515,5,86.4
56.27,0.94,2017-09-19T18:16:32Z,2514,4,45.01
60.03,0.97,2017-09-19T18:14:49Z,2513,5,56.03
72.39,0.97,2017-09-19T18:13:34Z,2512,5,74.8
48.41,0.96,2017-09-19T18:11:48Z,2511,3,24.2
63.19,0.97,2017-09-19T18:10:50Z,2510,4,24.22
73.71,0.98,2017-09-19T18:08:28Z,2509,5,71.25
56.54,0.96,2017-09-18T12:14:28Z,2508,5,58.42
56.58,0.95,2017-09-18T12:12:53Z,2507,5,65.06
60.49,0.95,2017-09-18T12:10:58Z,2506,5,40.33
52.12,0.95,2017-09-18T12:09:26Z,2505,5,65.15
63.8,0.98,2017-09-03T12:16:50Z,2504,5,48.91
58.82,0.96,2017-09-03T11:29:14Z,2503,5,83.32
57.2,0.94,2017-08-30T13:08:38Z,2502,5,43.85
59.42,0.96,2017-08-30T13:07:27Z,2501,4,37.63
58.86,0.96,2017-08-30T13:06:11Z,2500,5,66.71
63.82,0.96,2017-08-17T12:58:43Z,2499,4,60.63
57.26,0.95,2017-08-17T12:57:14Z,2498,5,41.04
67.83,0.98,2017-08-08T07:44:59Z,2497,4,66.7
64.31,0.95,2017-08-08T07:43:17Z,2496,5,36.44
66.14,0.97,2017-08-08T07:42:16Z,2495,2,45.2
68.83,0.98,2017-08-08T07:40:55Z,2494,3,67.68
72.59,0.98,2017-08-08T07:37:28Z,2493,5,45.97
61.94,0.97,2017-08-08T07:36:02Z,2492,5,56.78
54.44,0.95,2017-08-08T07:34:24Z,2491,2,40.83
57.59,0.95,2017-08-08T07:32:24Z,2490,5,42.24
67.19,0.98,2017-08-07T14:17:57Z,2489,4,80.63
70.29,0.97,2017-08-07T13:41:47Z,2488,5,84.35
48.26,0.94,2017-08-07T13:40:17Z,2487,5,17.7
57.9,0.96,2017-08-07T13:32:37Z,2486,4,112.91
59.19,0.96,2017-08-07T13:30:11Z,2485,5,47.35
70.75,0.97,2017-08-07T13:11:47Z,2484,5,47.17
85.61,0.99,2017-08-07T13:10:07Z,2483,5,58.5
67.63,0.97,2017-08-07T13:03:38Z,2482,3,56.35
64.72,0.98,2017-08-07T13:02:01Z,2481,5,52.86
52.96,0.95,2017-08-06T11:00:26Z,2480,5,38.84
58.93,0.96,2017-08-06T09:31:43Z,2479,4,89.37
69.32,0.98,2017-08-06T09:29:25Z,2478,5,60.08
55.11,0.95,2017-08-06T08:31:12Z,2477,4,50.51
61.25,0.96,2017-08-06T08:29:27Z,2476,5,50.02
61.35,0.97,2017-08-06T08:14:44Z,2475,5,46.01
60.64,0.96,2017-08-06T08:13:16Z,2474,4,41.44
63.59,0.96,2017-08-06T03:22:36Z,2473,3,44.51
56.25,0.96,2017-08-06T03:05:52Z,2472,5,51.56
69.66,0.97,2017-08-06T03:02:38Z,2471,5,88.23
59.72,0.96,2017-08-06T02:40:40Z,2470,4,73.65
54.66,0.94,2017-08-06T02:38:56Z,2469,5,29.15
59.5,0.96,2017-08-06T02:37:52Z,2468,5,53.55
65.37,0.97,2017-07-14T12:37:09Z,2467,5,0
74.53,0.97,2017-07-14T12:35:57Z,2466,5,0
54.63,0.97,2017-07-14T12:31:31Z,2465,5,0
75.77,0.98,2017-07-14T12:30:09Z,2464,5,0
64.56,0.96,2017-07-14T12:29:19Z,2463,5,0
79.42,0.99,2017-07-14T12:27:49Z,2462,5,0
73.87,0.98,2017-07-14T12:26:45Z,2461,5,0
53.14,0.97,2017-07-14T12:21:57Z,2460,3,0
55.87,0.95,2017-07-14T12:21:03Z,2459,5,0
62.71,0.98,2017-07-14T12:20:11Z,2458,5,0
63.62,0.96,2017-07-14T11:39:04Z,2457,3,0
64.08,0.97,2017-07-14T11:35:39Z,2456,5,0
68.82,0.97,2017-07-11T12:45:54Z,2455,5,0
54.87,0.96,2017-07-11T12:44:32Z,2454,4,0
54.7,0.95,2017-07-11T12:43:05Z,2453,5,0
54.3,0.97,2017-07-03T12:12:56Z,2452,5,0
58.77,0.96,2017-07-03T12:09:38Z,2451,5,0
62.64,0.95,2017-07-03T12:04:58Z,2450,5,0
67.67,0.97,2017-07-03T12:03:06Z,2449,4,0
77.1,0.98,2017-07-03T11:59:52Z,2448,5,0
51.38,0.95,2017-07-03T11:59:06Z,2447,5,0
60.63,0.97,2017-07-03T11:56:56Z,2446,5,0
72.65,0.98,2017-07-03T11:42:43Z,2445,5,0
60.95,0.95,2017-07-03T11:41:05Z,2444,5,0
56.14,0.95,2017-07-03T11:39:11Z,2443,5,0
60.02,0.96,2017-07-03T11:31:33Z,2442,5,0
67.52,0.97,2017-07-03T11:25:57Z,2441,3,0
72.06,0.98,2017-07-03T11:24:35Z,2440,5,0
57.05,0.96,2017-07-03T11:22:57Z,2439,5,0
56.03,0.96,2017-07-03T11:20:45Z,2438,5,0
58.82,0.97,2017-06-23T12:44:20Z,2437,4,0
51.41,0.96,2017-06-23T12:42:46Z,2436,5,0
59.3,0.96,2017-06-23T12:41:00Z,2435,5,0
56.43,0.96,2017-06-23T12:39:26Z,2434,3,0
58.75,0.95,2017-06-23T12:29:41Z,2433,4,0
70.23,0.97,2017-06-23T12:27:58Z,2432,4,0
61.21,0.96,2017-06-23T12:25:34Z,2431,5,0
54.79,0.96,2017-06-23T12:24:01Z,2430,5,0
53.42,0.95,2017-06-23T12:22:15Z,2429,5,0
62.24,0.97,2017-06-21T13:15:44Z,2428,5,0
61.25,0.96,2017-06-21T12:57:01Z,2427,5,0
64.61,0.97,2017-06-21T12:55:09Z,2426,5,0
67.72,0.96,2017-06-21T12:54:06Z,2425,5,0
72.72,0.97,2017-06-21T12:52:52Z,2424,5,0
68.73,0.95,2017-06-21T12:51:10Z,2423,5,0
66.21,0.96,2017-06-21T12:50:00Z,2422,5,0
80.02,0.98,2017-06-21T12:49:07Z,2421,5,0
65.17,0.96,2017-06-21T12:48:13Z,2420,5,0
79.35,0.99,2017-06-21T12:47:11Z,2419,5,0
56.16,0.96,2017-06-21T12:45:51Z,2418,4,0
58.58,0.95,2017-06-21T12:43:46Z,2417,5,0
63.94,0.96,2017-06-21T12:42:34Z,2416,5,0
62.5,0.97,2017-06-21T12:41:21Z,2415,5,0
58.6,0.97,2017-06-21T12:40:21Z,2414,5,0
54.11,0.95,2017-06-19T15:52:15Z,2413,5,0
60.34,0.96,2017-06-19T15:50:52Z,2412,5,0
55.14,0.95,2017-06-19T15:49:21Z,2411,4,0
63.83,0.97,2017-06-19T12:56:05Z,2410,4,0
66.6,0.97,2017-06-19T12:54:52Z,2409,5,0
53.23,0.95,2017-06-16T12:59:13Z,2408,5,0
59.27,0.97,2017-06-16T12:57:23Z,2407,4,0
50.41,0.95,2017-06-16T12:55:17Z,2406,5,0
54.65,0.96,2017-06-16T12:54:11Z,2405,3,0
69.53,0.96,2017-06-16T12:52:41Z,2404,5,0
69.45,0.96,2017-06-16T12:50:52Z,2403,5,0
70.87,0.97,2017-06-16T12:49:25Z,2402,5,0
56.35,0.97,2017-06-16T12:47:57Z,2401,4,0
63.31,0.97,2017-06-16T11:34:53Z,2400,4,0
62.95,0.96,2017-06-16T11:32:13Z,2399,5,0
59.3,0.97,2017-06-16T11:30:56Z,2398,5,0
52.54,0.96,2017-06-16T11:07:02Z,2397,4,0
63.43,0.98,2017-06-16T11:05:32Z,2396,4,0
60.84,0.96,2017-06-16T11:02:42Z,2395,5,0
57.68,0.96,2017-06-16T11:00:04Z,2394,3,0
59.28,0.95,2017-06-16T10:57:30Z,2393,4,0
65.93,0.97,2017-06-16T10:55:57Z,2392,5,0
58.66,0.95,2017-06-16T10:54:52Z,2391,5,0
72.31,0.97,2017-06-16T10:53:35Z,2390,5,0
62.52,0.97,2017-06-16T10:52:43Z,2389,5,0
56.86,0.95,2017-06-16T10:49:52Z,2388,3,0
59.46,0.96,2017-06-16T10:47:08Z,2387,5,0
62.95,0.97,2017-06-16T10:44:53Z,2386,5,0
59.58,0.95,2017-06-16T10:42:39Z,2385,5,0
57.31,0.96,2017-06-16T10:40:54Z,2384,5,0
63.92,0.95,2017-06-16T10:39:43Z,2383,5,0
66.07,0.97,2017-06-16T10:37:40Z,2382,4,0
63.51,0.96,2017-06-16T10:35:20Z,2381,5,0
77.04,0.99,2017-06-16T10:33:43Z,2380,5,0
40.23,0.95,2017-06-16T10:32:07Z,2379,4,0
53.91,0.95,2017-06-16T10:12:31Z,2378,5,0
69.18,0.96,2017-06-16T10:10:23Z,2377,5,0
