wpm,accuracy,time,game_num,racers_num,points
123.86,0.99,2021-09-28T11:51:25Z,2667,3,134.18
124.32,0.99,2021-09-28T11:49:45Z,2666,5,111.89
126.97,1,2021-09-03T05:30:30Z,2665,5,88.88
127.83,0.99,2021-09-03T05:29:59Z,2664,5,115.05
117.42,0.98,2021-09-03T05:29:17Z,2663,5,129.16
108,0.98,2021-09-03T05:28:01Z,2662,5,64.8
122.38,0.98,2021-09-03T05:27:26Z,2661,4,138.7
121.69,0.99,2021-09-03T05:25:50Z,2660,5,81.13
122.36,0.99,2021-09-03T05:24:49Z,2659,4,42.83
111.32,0.98,2021-09-03T05:24:19Z,2658,4,131.72
121.3,0.98,2021-09-03T05:23:20Z,2657,5,133.43
126.79,1,2021-05-30T09:47:36Z,2656,5,101.43
114.04,0.99,2021-04-25T19:58:40Z,2655,5,74.13
110.22,0.99,2021-04-25T19:57:38Z,2654,5,71.65
118.05,0.98,2021-04-19T14:15:53Z,2653,5,86.57
128.6,1,2021-04-19T14:04:45Z,2652,5,92.16
122.29,0.99,2021-04-19T14:03:51Z,2651,5,112.1
107.52,0.97,2021-04-01T11:14:37Z,2650,5,175.61
117.53,0.98,2021-02-27T13:17:54Z,2649,5,80.31
115.91,0.98,2021-02-27T13:17:17Z,2648,5,204.78
118.21,0.97,2021-02-24T13:14:27Z,2647,5,114.27
119.37,0.98,2021-02-24T13:13:44Z,2646,4,103.46
137.19,0.99,2021-02-22T05:50:55Z,2645,4,173.77
116.76,0.99,2021-02-22T05:49:30Z,2644,5,134.28
114.92,0.99,2021-02-22T05:48:45Z,2643,5,86.19
120.88,0.99,2021-02-21T06:47:31Z,2642,4,72.53
127.98,0.98,2021-02-21T06:45:50Z,2641,5,87.46
104.6,0.98,2021-02-19T13:06:51Z,2640,5,90.65
119.15,0.98,2021-02-19T13:06:07Z,2639,3,129.08
124.31,0.98,2021-02-19T13:05:06Z,2638,5,89.09
121.11,0.98,2021-02-16T05:46:10Z,2637,4,151.38
111.76,0.97,2021-02-16T05:45:18Z,2636,5,89.41
121.2,0.98,2021-02-16T05:20:20Z,2635,5,147.46
126.18,1,2021-02-16T05:19:27Z,2634,5,77.81
118.64,0.99,2021-02-16T05:16:24Z,2633,5,100.85
124.94,0.99,2021-02-16T05:15:50Z,2632,5,108.28
129.69,0.99,2021-02-13T05:43:57Z,2631,5,97.27
134.85,0.99,2021-02-12T13:09:58Z,2630,5,98.89
139.21,0.99,2021-02-12T13:09:22Z,2629,5,83.52
115.47,0.98,2021-02-12T13:08:59Z,2628,4,75.05
124.49,0.98,2021-02-12T13:08:25Z,2627,4,101.67
135.95,1,2021-02-12T13:07:38Z,2626,5,70.24
102.18,0.97,2021-02-12T13:07:14Z,2625,5,56.2
117.05,0.98,2021-02-12T13:06:39Z,2624,5,107.3
128.2,0.98,2021-02-12T13:05:57Z,2623,5,100.42
119.5,0.99,2021-02-12T13:04:59Z,2622,5,81.66
117.18,0.97,2021-02-12T13:04:24Z,2621,4,115.23
130.81,0.99,2021-02-12T11:25:18Z,2620,5,135.17
112.14,0.97,2021-02-12T11:24:23Z,2619,5,76.63
124.3,0.98,2021-02-12T11:16:24Z,2618,4,159.52
118.47,0.98,2021-02-11T06:58:50Z,2617,4,134.27
112.38,0.98,2021-02-11T06:58:03Z,2616,5,58.06
107.82,0.97,2021-02-10T05:55:01Z,2615,5,84.46
113.84,0.98,2021-02-09T05:22:46Z,2614,5,89.17
115.02,0.97,2021-02-09T05:21:11Z,2613,5,84.35
112.69,0.98,2021-02-09T05:20:35Z,2612,5,107.05
111.5,0.99,2021-02-09T05:18:13Z,2611,3,78.05
111.02,0.99,2021-02-09T05:15:59Z,2610,5,72.16
115.22,0.98,2021-02-09T05:14:15Z,2609,4,145.95
131.21,0.99,2021-02-08T05:04:51Z,2608,5,80.91
118.83,0.97,2021-02-04T06:48:48Z,2607,4,102.99
117.27,0.98,2021-02-02T11:52:35Z,2606,5,173.95
128.67,0.98,2021-02-02T11:51:31Z,2605,5,124.38
127.11,0.99,2021-02-02T11:49:10Z,2604,5,93.21
115.64,0.97,2021-02-02T11:48:16Z,2603,5,82.87
127.25,0.99,2021-02-02T11:47:41Z,2602,3,84.83
124.84,0.99,2021-02-02T11:46:22Z,2601,5,93.63
130.25,1,2021-02-02T11:45:45Z,2600,5,82.49
120.53,0.98,2021-02-02T11:45:12Z,2599,5,96.42
129.47,0.99,2021-02-02T11:44:31Z,2598,5,88.47
112.5,0.97,2021-02-02T11:41:46Z,2597,5,88.13
119.69,0.99,2021-02-02T11:40:42Z,2596,5,55.85
111.71,0.97,2021-02-02T07:26:13Z,2595,3,67.03
117.45,0.98,2021-02-02T07:24:42Z,2594,5,72.42
117.99,0.97,2021-02-02T07:19:52Z,2593,4,102.26
126.32,0.99,2021-02-02T07:19:17Z,2592,5,75.79
129.51,1,2021-02-02T07:18:45Z,2591,5,94.98
118.44,0.98,2021-02-01T09:55:06Z,2590,5,78.96
111.08,0.97,2021-02-01T09:51:50Z,2589,5,127.74
129.11,0.99,2021-02-01T09:51:01Z,2588,4,202.27
