wpm,accuracy,time,game_num,racers_num,points
75.83,0.96,2021-11-21T22:38:55Z,2892,5,42.97
73.29,0.97,2021-11-20T00:55:26Z,2891,5,52.52
76.65,0.97,2021-11-20T00:54:22Z,2890,5,44.71
68.34,0.97,2021-11-20T00:53:35Z,2889,5,53.53
79.21,0.97,2021-11-20T00:52:35Z,2888,5,52.81
83.13,0.97,2021-11-19T18:16:38Z,2887,4,70.66
81.48,0.97,2021-11-19T04:17:35Z,2886,5,71.98
80.87,0.97,2021-11-19T04:16:21Z,2885,5,66.04
73.51,0.96,2021-11-18T17:16:10Z,2884,5,44.11
62.61,0.97,2021-11-18T17:15:21Z,2883,5,64.7
75.65,0.96,2021-11-18T17:13:59Z,2882,5,61.78
78.77,0.97,2021-11-18T17:12:56Z,2881,5,45.95
71.56,0.97,2021-11-18T15:21:37Z,2880,5,47.71
72.52,0.96,2021-11-18T15:20:47Z,2879,3,67.69
79.75,0.98,2021-11-18T15:19:43Z,2878,5,37.22
74.83,0.96,2021-11-18T15:18:07Z,2877,5,57.37
72.99,0.96,2021-11-18T15:17:06Z,2876,5,48.66
70.87,0.96,2021-11-18T15:16:13Z,2875,5,77.95
80.45,0.98,2021-11-17T21:18:34Z,2874,5,44.25
74.2,0.97,2021-11-16T06:28:27Z,2873,5,51.94
73.65,0.97,2021-11-16T06:25:50Z,2872,5,68.74
80.37,0.99,2021-11-16T06:23:53Z,2871,5,49.56
80.83,0.98,2021-11-16T06:23:06Z,2870,5,76.79
73.17,0.97,2021-11-16T06:16:22Z,2869,5,54.88
97.76,1,2021-11-16T06:15:21Z,2868,5,27.7
80.36,0.97,2021-11-16T01:57:20Z,2867,5,44.2
86.8,0.98,2021-11-09T01:35:55Z,2866,4,52.08
74.54,0.97,2021-11-09T01:34:52Z,2865,5,57.15
62.13,0.93,2021-11-09T01:33:53Z,2864,5,46.6
74.34,0.95,2021-11-09T01:32:53Z,2863,5,58.23
74.58,0.97,2021-11-09T01:31:54Z,2862,4,64.63
69.3,0.95,2021-11-09T01:30:57Z,2861,5,79.69
75.24,0.97,2021-11-09T01:29:43Z,2860,5,90.28
82.68,0.97,2021-11-09T01:28:25Z,2859,3,73.03
88.71,0.99,2021-11-09T01:27:03Z,2858,5,62.1
75.05,0.95,2021-11-09T01:26:20Z,2857,5,83.8
68.32,0.95,2021-11-09T01:25:13Z,2856,4,33.02
84.82,0.99,2021-11-09T01:23:44Z,2855,5,46.65
75.43,0.97,2021-11-08T22:58:11Z,2854,4,62.86
69.43,0.97,2021-11-08T22:57:08Z,2853,5,53.23
70.43,0.97,2021-11-08T06:51:14Z,2852,5,57.52
66.43,0.97,2021-11-08T06:49:01Z,2851,5,55.36
80.96,0.98,2021-11-06T20:08:47Z,2850,5,89.05
77.28,0.98,2021-11-06T20:07:08Z,2849,5,60.54
67.69,0.95,2021-11-06T20:06:09Z,2848,5,60.92
69.93,0.96,2021-11-06T20:04:48Z,2847,4,76.92
