wpm,accuracy,time,game_num,racers_num,points
152.38,1,2021-09-30T04:32:56Z,2901,3,53.33
137.74,0.99,2021-09-30T04:22:35Z,2900,4,94.12
114.9,0.98,2021-09-28T05:57:17Z,2899,4,107.24
133.33,0.98,2021-09-28T05:50:49Z,2898,5,128.89
132.72,0.98,2021-09-28T05:21:52Z,2897,5,148.2
128.75,0.98,2021-09-28T05:20:10Z,2896,5,137.33
146.12,1,2021-09-28T05:18:19Z,2895,5,124.2
130.45,0.96,2021-09-28T05:17:14Z,2894,4,97.83
144.18,0.97,2021-09-28T05:16:36Z,2893,5,62.48
130.42,0.99,2021-07-23T15:00:49Z,2892,5,110.86
130.42,0.98,2021-07-23T14:57:39Z,2891,5,95.64
132.53,0.99,2021-07-23T14:57:01Z,2890,5,81.73
143.67,0.99,2021-07-23T14:53:13Z,2889,3,57.47
129.69,0.97,2021-07-23T14:51:55Z,2888,3,146.98
158.49,1,2021-07-23T14:50:58Z,2887,4,55.47
127.54,0.98,2021-07-23T14:46:24Z,2886,3,104.16
141.53,0.99,2021-07-23T14:44:55Z,2885,2,125.02
154.29,1,2021-07-23T14:42:59Z,2884,5,231.44
135.92,0.98,2021-07-23T14:41:54Z,2883,5,106.47
144.35,0.99,2021-07-23T13:06:47Z,2882,5,115.48
128.57,0.98,2021-07-23T07:28:54Z,2881,3,83.57
141.26,0.98,2021-07-23T07:27:43Z,2880,2,134.2
137.2,0.99,2021-07-23T07:21:57Z,2879,4,132.63
148.69,0.99,2021-07-23T07:21:25Z,2878,5,111.52
129.46,0.98,2021-07-23T06:54:47Z,2877,4,105.73
131.15,0.98,2021-07-22T12:43:40Z,2876,5,159.57
129.16,0.98,2021-07-21T11:02:22Z,2875,4,146.39
120.24,0.98,2021-07-21T11:01:37Z,2874,5,60.12
125.74,0.98,2021-07-21T10:59:04Z,2873,5,56.58
145.41,0.99,2021-07-21T10:53:58Z,2872,4,104.21
149.47,0.99,2021-07-21T10:52:10Z,2871,3,79.72
142.79,0.99,2021-07-21T10:50:16Z,2870,3,88.05
140.87,0.99,2021-07-21T10:48:50Z,2869,5,143.22
135.39,0.98,2021-07-21T10:46:31Z,2868,1,101.54
132.96,0.99,2021-07-21T10:45:56Z,2867,5,75.35
141.52,0.98,2021-07-21T10:45:18Z,2866,4,101.42
132.55,0.99,2021-07-21T10:44:20Z,2865,3,83.95
131.39,0.99,2021-07-21T10:39:08Z,2864,3,91.98
140.2,0.99,2021-07-19T15:00:41Z,2863,5,112.16
131.11,0.99,2021-07-19T14:53:51Z,2862,3,96.15
156.38,0.99,2021-07-19T14:53:20Z,2861,3,65.16
139.55,0.99,2021-07-19T14:52:33Z,2860,5,74.43
135.7,0.99,2021-07-19T14:47:37Z,2859,4,74.64
144.7,0.99,2021-07-19T14:45:57Z,2858,3,103.7
136.69,0.98,2021-07-19T11:37:57Z,2857,5,198.21
127.03,0.99,2021-07-19T11:35:59Z,2856,2,86.81
133.86,0.97,2021-07-18T06:26:55Z,2855,4,98.17
138.86,0.99,2021-07-18T06:23:34Z,2854,3,76.38
131.99,0.98,2021-07-18T06:15:56Z,2853,4,81.39
136.36,0.99,2021-07-18T06:14:19Z,2852,4,134.09
147.32,0.99,2021-07-18T06:13:07Z,2851,5,95.76
132.41,0.97,2021-07-18T06:12:37Z,2850,5,103.72
114.51,0.98,2021-07-18T06:06:45Z,2849,5,89.7
138.29,0.98,2021-07-18T05:25:49Z,2848,5,94.5
127.57,0.97,2021-07-18T04:56:30Z,2847,3,136.08
140.31,0.98,2021-07-18T04:52:39Z,2846,5,114.59
143.76,0.98,2021-07-17T05:19:48Z,2845,5,110.21
141.13,0.98,2021-07-17T05:02:26Z,2844,4,79.97
134.1,0.98,2021-07-17T05:00:42Z,2843,3,91.63
130.44,0.99,2021-07-17T03:24:36Z,2842,5,58.7
124.55,0.98,2021-07-16T14:18:12Z,2841,4,89.26
130.59,1,2021-07-16T14:16:18Z,2840,5,97.94
135.78,0.98,2021-07-16T14:12:16Z,2839,5,70.15
149.78,1,2021-07-16T14:07:58Z,2838,5,117.32
145.46,0.99,2021-07-16T14:07:25Z,2837,5,101.82
137.77,0.99,2021-07-16T14:06:25Z,2836,5,84.96
133.33,0.99,2021-07-14T08:00:53Z,2835,5,84.44
132.93,0.98,2021-07-14T08:00:20Z,2834,4,70.89
139.28,0.98,2021-07-14T07:51:51Z,2833,5,139.28
130.05,0.99,2021-07-14T07:47:22Z,2832,5,149.56
138.13,0.99,2021-07-14T07:42:25Z,2831,5,112.8
141.33,0.99,2021-07-12T14:40:14Z,2830,4,63.6
137.6,0.99,2021-07-12T14:31:38Z,2829,4,80.27
130.09,0.98,2021-07-12T14:28:53Z,2828,4,231.99
144.21,0.99,2021-07-12T14:19:31Z,2827,5,86.52
141.69,0.99,2021-07-12T14:09:26Z,2826,5,122.8
131.4,0.98,2021-07-12T05:16:31Z,2825,5,59.13
130.02,0.98,2021-07-12T05:14:08Z,2824,5,58.51
154.47,1,2021-07-11T13:50:00Z,2823,4,100.41
129.88,0.98,2021-07-11T13:46:29Z,2822,4,147.2
141.64,0.98,2021-07-11T06:26:11Z,2821,3,106.23
134.76,0.98,2021-07-11T06:23:44Z,2820,4,123.53
131.52,0.98,2021-07-11T05:05:14Z,2819,4,85.49
138.49,0.98,2021-07-09T05:52:41Z,2818,5,80.79
132.33,0.97,2021-07-09T05:47:22Z,2817,5,101.45
140.69,0.99,2021-06-20T17:02:38Z,2816,5,86.76
140.5,0.98,2021-06-18T10:47:42Z,2815,5,156.89
133.95,0.98,2021-06-18T10:44:15Z,2814,5,118.32
172.85,1,2021-06-18T10:41:19Z,2813,5,25.93
132.36,0.97,2021-06-18T09:30:53Z,2812,4,185.31
136.14,0.98,2021-06-18T09:25:37Z,2811,5,156.56
128.03,0.98,2021-06-15T15:37:16Z,2810,5,113.09
139.1,0.99,2021-06-14T05:21:13Z,2809,4,99.69
122.55,0.98,2021-06-12T14:15:17Z,2808,5,55.15
136.99,0.99,2021-06-12T14:06:33Z,2807,5,121.01
129.34,0.98,2021-06-11T11:03:27Z,2806,5,103.47
126.83,0.99,2021-06-11T03:06:15Z,2805,5,88.78
127.28,0.98,2021-06-10T14:32:11Z,2804,5,224.87
128.47,0.95,2021-06-10T14:30:05Z,2803,5,87.79
134.17,0.97,2021-06-10T14:24:33Z,2802,5,69.32
128.38,0.98,2021-06-08T10:51:13Z,2801,4,74.89
146.45,0.98,2021-06-08T10:49:13Z,2800,4,92.75
137.27,0.99,2021-06-08T08:29:09Z,2799,4,86.94
141.43,0.99,2021-06-08T08:24:53Z,2798,4,82.5
140.88,0.99,2021-06-08T08:14:24Z,2797,5,93.92
135.58,0.98,2021-06-08T08:13:12Z,2796,3,126.54
160.82,1,2021-06-08T08:09:39Z,2795,2,125.98
134.31,0.98,2021-06-08T08:06:44Z,2794,2,98.5
129.94,0.97,2021-06-08T08:05:20Z,2793,5,112.61
129.57,0.97,2021-06-08T08:01:39Z,2792,5,97.18
138.96,0.98,2021-06-08T08:01:07Z,2791,5,88.01
135.09,0.98,2021-06-08T08:00:39Z,2790,4,130.59
145.91,1,2021-06-08T07:57:22Z,2789,5,75.39
135.39,0.98,2021-06-08T07:56:21Z,2788,5,99.28
135.09,0.99,2021-06-08T07:55:00Z,2787,5,83.3
127.51,0.99,2021-06-08T07:54:29Z,2786,4,97.76
136.18,0.98,2021-06-07T08:25:49Z,2785,5,90.79
128.64,0.98,2021-06-07T08:24:44Z,2784,2,227.26
137.1,0.97,2021-06-07T08:20:29Z,2783,4,111.96
121.41,0.96,2021-06-06T06:39:37Z,2782,3,131.53
135.77,0.98,2021-06-06T06:33:04Z,2781,4,85.99
136.02,0.99,2021-06-06T06:32:09Z,2780,5,124.69
137.13,0.99,2021-06-06T06:15:44Z,2779,5,95.99
141.65,0.99,2021-06-06T06:15:15Z,2778,5,106.24
130.38,0.99,2021-06-06T06:13:28Z,2777,2,126.03
142.3,0.98,2021-06-06T06:12:46Z,2776,2,83.01
129.9,0.99,2021-06-06T06:11:41Z,2775,4,82.27
132.68,0.98,2021-06-06T06:09:03Z,2774,4,95.09
143.38,0.99,2021-06-06T06:07:48Z,2773,4,100.36
158.58,1,2021-06-05T14:34:25Z,2772,4,129.51
137.81,0.98,2021-06-05T14:32:31Z,2771,5,73.5
142.94,0.98,2021-06-05T14:30:45Z,2770,3,119.12
133.48,0.98,2021-06-05T14:19:54Z,2769,4,102.33
154.43,1,2021-06-05T14:16:54Z,2768,5,123.55
144.22,0.99,2021-06-05T14:16:19Z,2767,5,96.15
134.47,0.98,2021-06-05T14:15:51Z,2766,5,76.2
123.74,0.98,2021-05-21T02:42:24Z,2765,4,127.86
133.01,0.99,2021-05-21T02:39:54Z,2764,4,166.26
139.89,0.99,2021-05-21T02:39:02Z,2763,5,146.89
131.48,0.99,2021-05-16T06:19:41Z,2762,5,81.08
132.61,0.98,2021-05-16T06:10:58Z,2761,5,97.25
137.98,1,2021-05-16T06:08:37Z,2760,5,98.88
134.33,0.98,2021-05-16T06:05:12Z,2759,5,125.37
139.21,0.99,2021-05-16T06:03:04Z,2758,5,88.16
121.59,0.99,2021-05-16T06:00:05Z,2757,4,160.09
139.06,0.99,2021-05-16T05:59:13Z,2756,5,69.53
131.35,0.97,2021-05-15T05:36:08Z,2755,2,113.84
138.59,1,2021-05-15T05:06:03Z,2754,5,117.8
142.74,0.98,2021-05-15T05:01:50Z,2753,4,161.77
155.41,0.99,2021-05-15T05:01:05Z,2752,2,93.25
136.3,0.99,2021-05-15T04:39:54Z,2751,3,129.48
135.32,0.98,2021-05-15T04:39:06Z,2750,2,184.93
131.86,0.98,2021-05-15T04:37:44Z,2749,4,120.87
138.87,0.99,2021-05-15T04:35:15Z,2748,5,106.46
127.72,0.98,2021-05-14T14:28:07Z,2747,4,117.07
131.25,0.98,2021-05-14T14:27:26Z,2746,5,70
135.01,0.99,2021-05-14T14:26:20Z,2745,5,164.26
138.74,0.98,2021-05-14T14:24:24Z,2744,5,113.31
122.96,0.99,2021-05-14T14:23:48Z,2743,4,79.92
151.34,1,2021-05-14T14:21:45Z,2742,5,108.46
150.81,1,2021-05-14T14:21:17Z,2741,5,80.43
134.74,0.99,2021-05-14T14:20:56Z,2740,5,89.82
134.35,0.99,2021-05-14T14:20:23Z,2739,5,107.48
159,0.99,2021-05-09T05:40:21Z,2738,5,82.15
146.33,0.99,2021-05-03T11:41:10Z,2737,5,65.85
130.77,0.98,2021-05-01T12:31:19Z,2736,5,135.13
138.68,0.99,2021-04-28T04:37:17Z,2735,5,129.43
117.19,0.98,2021-04-08T14:45:42Z,2734,1,101.57
135.94,0.99,2021-03-21T16:00:14Z,2733,3,113.29
134.3,0.98,2021-03-21T11:52:07Z,2732,5,120.87
134.91,0.98,2021-03-21T11:51:28Z,2731,5,80.95
135.88,0.98,2021-03-20T05:52:40Z,2730,3,144.94
141.44,0.99,2021-03-20T05:50:03Z,2729,5,271.09
136.08,0.97,2021-03-20T05:48:09Z,2728,5,83.91
135.56,0.99,2021-03-20T05:46:22Z,2727,3,99.41
137.84,0.98,2021-03-20T05:45:46Z,2726,4,68.92
148.71,0.99,2021-03-20T05:41:56Z,2725,3,228.02
139.38,0.98,2021-03-20T05:41:03Z,2724,5,155.64
144.87,0.98,2021-03-20T05:36:42Z,2723,3,111.07
126.47,0.98,2021-03-19T13:36:32Z,2722,4,90.64
147.84,0.99,2021-03-16T15:36:02Z,2721,5,76.38
134.75,0.98,2021-03-16T15:31:53Z,2720,4,89.83
132.73,0.99,2021-03-16T10:52:00Z,2719,4,86.27
138.12,0.99,2021-03-16T10:51:27Z,2718,3,103.59
124.66,0.98,2021-03-16T10:50:27Z,2717,4,120.5
129.95,0.98,2021-03-16T10:49:43Z,2716,5,90.97
144.5,1,2021-03-16T10:48:20Z,2715,5,81.89
122.94,0.98,2021-03-16T10:47:06Z,2714,4,141.38
144.89,0.99,2021-03-12T14:18:49Z,2713,5,89.35
150.7,1,2021-03-12T14:17:46Z,2712,5,108
150.13,0.99,2021-03-11T04:52:38Z,2711,5,102.59
134.88,0.99,2021-03-11T04:51:30Z,2710,4,98.91
134.25,0.99,2021-03-11T04:49:55Z,2709,5,64.89
132.75,0.98,2021-03-11T04:36:24Z,2708,5,92.93
137.58,0.97,2021-03-09T07:59:37Z,2707,4,119.23
122.47,0.96,2021-03-09T07:58:46Z,2706,5,81.65
133.97,0.96,2021-03-09T07:58:12Z,2705,3,107.17
145.53,0.99,2021-03-09T07:51:33Z,2704,2,80.04
126.11,0.98,2021-03-09T07:50:28Z,2703,5,153.44
146.98,0.99,2021-03-09T07:48:22Z,2702,5,115.13
132.55,0.98,2021-03-09T07:46:24Z,2701,5,110.45
137.91,0.99,2021-03-04T08:43:28Z,2700,4,91.94
146.08,0.98,2021-03-04T08:41:00Z,2699,3,129.04
143.86,0.98,2021-03-04T08:39:28Z,2698,4,83.92
137.88,0.99,2021-03-04T08:37:58Z,2697,5,68.94
129.44,0.97,2021-03-04T06:34:18Z,2696,5,116.5
120.47,0.97,2021-03-04T06:31:07Z,2695,5,68.27
135.5,0.98,2021-03-04T06:30:01Z,2694,4,79.04
144.61,0.99,2021-03-04T06:24:29Z,2693,5,91.59
128.89,0.96,2021-03-04T06:23:05Z,2692,5,94.52
172.87,1,2021-03-01T11:50:56Z,2691,3,77.79
119.86,0.98,2021-02-27T12:03:16Z,2690,3,81.9
133.59,0.98,2021-02-27T12:02:45Z,2689,3,200.38
127.82,0.98,2021-02-27T12:01:46Z,2688,5,87.34
130.77,0.98,2021-02-27T11:52:21Z,2687,3,91.54
139.36,0.99,2021-02-27T11:51:14Z,2686,3,88.26
132.56,0.98,2021-02-24T12:05:22Z,2685,2,205.47
139.52,0.98,2021-02-24T12:04:20Z,2684,2,195.33
126.13,0.98,2021-02-24T12:03:33Z,2683,5,86.19
137.01,0.98,2021-02-24T12:02:24Z,2682,3,89.06
131.35,0.97,2021-02-24T12:00:00Z,2681,5,113.84
126.96,0.97,2021-02-24T11:57:14Z,2680,4,154.47
133.76,0.98,2021-02-24T11:56:26Z,2679,4,200.64
142.43,0.98,2021-02-24T11:55:30Z,2678,4,151.92
143.97,0.99,2021-02-24T11:54:50Z,2677,5,64.78
127.38,0.98,2021-02-24T11:53:29Z,2676,3,59.45
143.06,0.98,2021-02-23T07:30:56Z,2675,4,159.75
142.64,0.98,2021-02-23T07:29:37Z,2674,4,97.47
134.1,0.98,2021-02-23T07:26:59Z,2673,4,87.16
131.53,0.98,2021-02-23T07:26:27Z,2672,4,120.57
124.33,0.98,2021-02-23T07:25:46Z,2671,4,84.96
146.06,0.98,2021-02-23T07:25:15Z,2670,5,155.8
129.68,0.99,2021-02-23T04:28:24Z,2669,5,82.13
135.04,0.99,2021-02-22T04:58:47Z,2668,4,105.78
149.07,0.98,2021-02-22T04:53:36Z,2667,3,141.61
136.45,0.99,2021-01-19T14:57:32Z,2666,5,115.98
126.64,0.97,2021-01-19T14:56:23Z,2665,4,122.42
127.02,0.98,2021-01-19T14:53:56Z,2664,5,80.45
152.35,0.99,2021-01-09T15:16:00Z,2663,3,68.56
148.02,0.99,2021-01-09T15:08:10Z,2662,4,187.49
138.47,0.99,2021-01-09T15:07:24Z,2661,4,57.69
132.07,0.97,2021-01-09T15:04:54Z,2660,5,138.67
133.59,0.97,2021-01-09T15:04:08Z,2659,2,91.29
140.92,0.99,2021-01-09T15:01:53Z,2658,3,126.83
131.29,0.98,2021-01-09T15:01:10Z,2657,4,161.93
135.57,0.99,2021-01-09T14:56:59Z,2656,5,97.16
137.75,0.99,2021-01-09T14:56:21Z,2655,5,59.69
129.37,0.98,2021-01-09T14:50:41Z,2654,5,133.68
143.57,0.98,2021-01-09T11:59:27Z,2653,4,169.89
125.7,0.98,2021-01-09T11:56:32Z,2652,2,129.89
138.42,0.98,2021-01-09T11:54:08Z,2651,5,117.65
