wpm,accuracy,time,game_num,racers_num,points
130.35,0.99,2021-06-04T20:26:42Z,2894,4,228.12
132.82,0.99,2021-06-04T20:25:35Z,2893,5,137.24
132.09,0.99,2021-06-04T20:24:46Z,2892,3,107.87
117.8,0.96,2021-06-04T20:23:19Z,2891,5,76.57
131.64,0.99,2021-06-04T20:19:19Z,2890,5,147
123.9,0.98,2021-06-04T20:18:34Z,2889,5,64.01
143.77,1,2021-06-04T20:17:29Z,2888,5,112.62
116.92,0.98,2021-06-04T20:16:56Z,2887,5,76
117.14,0.98,2021-06-04T20:16:20Z,2886,5,97.62
130.2,0.99,2021-06-04T20:15:33Z,2885,4,115.01
140.55,0.99,2021-06-04T20:14:41Z,2884,5,119.47
121.33,0.98,2021-06-04T20:13:44Z,2883,5,109.19
118.84,0.98,2021-06-04T20:12:56Z,2882,5,104.97
127.22,0.99,2021-06-04T20:12:11Z,2881,5,118.74
130.17,0.99,2021-06-04T20:11:31Z,2880,5,95.46
108.65,0.98,2021-05-23T23:09:04Z,2879,5,106.84
113.84,0.98,2021-05-23T23:08:17Z,2878,5,55.02
134.29,1,2021-05-23T23:07:43Z,2877,5,22.38
120.6,0.98,2021-05-23T23:07:21Z,2876,3,86.43
123,0.99,2021-05-23T23:06:44Z,2875,2,151.71
114.58,0.98,2021-05-23T23:05:44Z,2874,5,158.5
125.61,0.99,2021-05-23T23:04:46Z,2873,2,110.95
121.41,0.99,2021-05-23T23:03:27Z,2872,4,87.01
109.6,0.97,2021-05-13T17:48:06Z,2871,3,73.07
118.4,0.98,2021-05-13T17:47:19Z,2870,5,102.61
112.51,0.98,2021-05-13T17:46:39Z,2869,5,84.38
110.68,0.97,2021-05-13T17:46:00Z,2868,5,105.15
120.48,0.99,2021-05-13T17:45:09Z,2867,5,80.32
137.85,1,2021-05-13T17:44:31Z,2866,5,101.09
125.66,0.98,2021-05-13T17:44:02Z,2865,4,159.17
116.76,0.98,2021-05-13T17:42:26Z,2864,5,134.28
129.7,0.98,2021-05-13T17:41:35Z,2863,5,77.82
142.82,1,2021-05-13T17:40:48Z,2862,5,47.61
114.72,0.98,2021-05-13T17:40:25Z,2861,4,89.87
116.69,0.98,2021-05-13T17:39:44Z,2860,4,77.8
109.38,0.98,2021-04-14T19:48:45Z,2859,5,83.86
108.61,0.97,2021-04-14T19:48:11Z,2858,4,65.16
152.79,1,2021-04-14T19:46:55Z,2857,5,22.92
124.52,0.99,2021-04-14T19:46:35Z,2856,5,126.59
115.73,0.99,2021-04-14T19:45:48Z,2855,5,92.59
123.03,0.99,2021-04-12T18:52:09Z,2854,5,112.78
122.48,0.98,2021-04-12T18:51:33Z,2853,5,97.98
112.96,0.96,2021-04-12T18:50:55Z,2852,4,90.37
121.71,0.99,2021-04-12T18:50:11Z,2851,5,87.22
126.6,0.99,2021-04-12T18:49:40Z,2850,4,54.86
128.31,1,2021-04-12T18:49:11Z,2849,4,166.8
133.08,1,2021-04-12T18:48:08Z,2848,5,88.72
122.69,0.99,2021-04-12T18:47:33Z,2847,5,100.2
110.57,0.98,2021-04-12T18:46:50Z,2846,4,167.69
131.43,0.99,2021-04-12T18:45:40Z,2845,5,87.62
124.18,0.99,2021-04-12T18:45:05Z,2844,5,78.65
107.89,0.96,2021-04-12T18:44:33Z,2843,5,44.96
111.9,0.99,2021-04-12T18:44:01Z,2842,5,57.82
112.93,0.97,2021-04-12T18:31:07Z,2841,5,82.82
131.17,1,2021-04-12T18:30:17Z,2840,4,91.82
