wpm,accuracy,time,game_num,racers_num,points
88.73,0.96,2018-09-25T21:53:20Z,2951,5,127.17
87.19,0.97,2018-09-25T21:52:01Z,2950,4,87.19
109.88,0.99,2018-09-25T21:50:48Z,2949,4,91.56
83.68,0.95,2018-09-19T22:05:06Z,2948,5,96.23
94.92,0.97,2018-09-19T22:03:42Z,2947,4,45.88
94.73,0.97,2018-09-19T22:02:56Z,2946,5,66.31
96,0.96,2018-09-19T22:01:47Z,2945,4,113.6
77.93,0.95,2018-09-19T22:00:02Z,2944,3,110.4
97.24,0.97,2018-09-19T21:58:24Z,2943,5,123.17
92.14,0.97,2018-09-19T21:56:47Z,2942,3,101.35
97.07,0.95,2018-09-19T21:55:15Z,2941,5,55
102,0.97,2018-09-19T21:53:54Z,2940,5,61.2
99.1,0.97,2018-09-19T21:53:00Z,2939,3,99.1
95.06,0.96,2018-09-19T21:51:09Z,2938,4,136.26
94.1,0.97,2018-09-19T21:49:40Z,2937,5,90.96
89.88,0.97,2018-09-19T21:48:34Z,2936,4,89.88
81.17,0.95,2018-09-19T21:47:33Z,2935,4,93.35
102.33,0.97,2018-09-19T21:46:01Z,2934,5,105.74
103.82,0.96,2018-09-19T21:44:39Z,2933,5,48.45
97.39,0.97,2018-09-19T21:42:59Z,2932,5,118.49
97.4,0.97,2018-09-19T21:41:36Z,2931,4,55.19
74.77,0.94,2018-09-19T21:40:53Z,2930,5,48.6
84.54,0.97,2018-09-19T21:39:59Z,2929,5,87.35
86.91,0.96,2018-09-18T17:25:16Z,2928,4,81.12
79.57,0.93,2018-09-18T17:24:09Z,2927,5,46.42
82.42,0.95,2018-09-18T17:22:51Z,2926,3,131.87
88.39,0.96,2018-09-18T17:20:13Z,2925,4,139.95
92.89,0.96,2018-09-18T17:18:51Z,2924,5,61.93
88.68,0.96,2018-09-18T17:17:54Z,2923,3,65.03
115.15,1,2018-09-18T17:16:15Z,2922,4,84.45
93.43,0.96,2018-09-18T17:15:14Z,2921,3,62.29
93.06,0.97,2018-09-18T17:13:49Z,2920,4,100.82
90.91,0.96,2018-09-18T17:10:46Z,2919,4,190.91
73.56,0.96,2018-09-18T16:17:45Z,2918,3,49.04
86.86,0.96,2018-09-18T16:16:55Z,2917,4,101.34
84.98,0.95,2018-09-18T16:13:54Z,2916,4,67.98
94.97,0.96,2018-09-18T16:12:11Z,2915,5,55.4
76.38,0.95,2018-09-18T16:10:46Z,2914,5,48.38
80.29,0.95,2018-09-18T16:09:41Z,2913,5,52.19
85.62,0.95,2018-09-18T16:08:43Z,2912,4,81.34
75.74,0.93,2018-09-18T16:07:37Z,2911,5,104.78
80.25,0.95,2018-09-18T16:06:11Z,2910,4,100.32
95.97,0.96,2018-09-18T16:04:49Z,2909,5,155.16
91.67,0.96,2018-09-18T16:03:25Z,2908,2,125.28
86.43,0.96,2018-09-18T16:01:48Z,2907,5,60.5
86.98,0.96,2018-09-18T16:00:33Z,2906,5,143.51
