wpm,accuracy,time,game_num,racers_num,points
42.55,0.97,2017-11-14T21:09:14Z,2586,4,25.53
39.7,0.95,2017-11-14T21:08:09Z,2585,5,17.2
41.38,0.93,2017-11-14T21:07:14Z,2584,5,26.9
41.78,0.95,2017-11-14T21:06:09Z,2583,5,30.64
32.19,0.91,2017-11-14T21:04:34Z,2582,5,17.17
46.03,0.94,2017-11-14T21:03:21Z,2581,5,16.11
38.09,0.92,2017-11-14T20:19:51Z,2580,4,21.59
40.26,0.94,2017-11-14T20:17:33Z,2579,4,35.56
38.72,0.94,2017-11-14T20:15:17Z,2578,5,29.04
47.07,0.95,2017-11-14T20:13:46Z,2577,4,12.55
36.56,0.92,2017-11-13T17:24:55Z,2576,4,29.86
42.86,0.96,2017-11-13T17:23:09Z,2575,5,25
42.3,0.94,2017-11-12T18:51:11Z,2574,5,31.02
41.03,0.93,2017-11-12T18:49:43Z,2573,5,32.82
46.15,0.95,2017-11-12T18:48:05Z,2572,5,33.85
39.06,0.94,2017-11-12T18:13:03Z,2571,5,39.06
37.95,0.95,2017-11-12T17:26:00Z,2570,5,30.99
35.88,0.93,2017-11-12T16:52:29Z,2569,5,32.89
42.57,0.95,2017-11-12T16:50:28Z,2568,5,23.41
43.8,0.95,2017-11-12T16:49:25Z,2567,5,21.17
42.5,0.93,2017-11-12T16:48:35Z,2566,5,25.5
44.39,0.96,2017-11-12T16:47:28Z,2565,5,32.56
38.15,0.93,2017-11-12T16:45:51Z,2564,5,36.25
35.63,0.92,2017-11-12T16:44:08Z,2563,5,10.09
40.35,0.95,2017-11-12T16:43:08Z,2562,5,18.83
38.22,0.95,2017-11-12T16:39:23Z,2561,5,24.21
36.91,0.93,2017-11-12T15:00:07Z,2560,5,27.68
34.13,0.92,2017-11-12T14:58:30Z,2559,5,23.32
40.66,0.94,2017-11-12T14:56:57Z,2558,5,31.18
37.57,0.93,2017-11-12T14:55:18Z,2557,5,25.05
39.14,0.95,2017-11-12T14:53:57Z,2556,4,27.4
32.02,0.95,2017-11-12T14:13:25Z,2555,5,12.81
45.58,0.96,2017-11-12T13:01:20Z,2554,5,23.55
42.89,0.94,2017-11-12T12:08:26Z,2553,4,37.88
44.97,0.94,2017-11-12T12:06:54Z,2552,5,18.74
38.25,0.94,2017-11-12T12:06:07Z,2551,4,22.31
34.2,0.93,2017-11-12T12:03:45Z,2550,5,21.66
44.21,0.93,2017-11-12T12:02:09Z,2549,5,19.16
43.25,0.95,2017-11-12T11:06:14Z,2548,5,17.3
45.2,0.96,2017-11-11T18:02:35Z,2547,4,27.87
41.74,0.94,2017-11-11T17:50:08Z,2546,5,34.09
43.23,0.96,2017-11-11T17:47:06Z,2545,5,15.85
40.48,0.94,2017-11-11T17:45:11Z,2544,5,18.89
35.27,0.94,2017-11-11T17:12:54Z,2543,5,28.8
47.17,0.95,2017-11-11T17:11:17Z,2542,5,14.94
47.01,0.97,2017-11-11T15:35:03Z,2541,4,23.51
47.83,0.96,2017-11-11T15:34:09Z,2540,5,28.7
45.19,0.94,2017-11-11T15:33:14Z,2539,5,27.87
46.69,0.96,2017-11-11T15:32:12Z,2538,5,38.13
41.3,0.93,2017-11-11T15:30:53Z,2537,5,23.4
28.87,0.92,2017-11-11T15:29:42Z,2536,4,13.47
36.91,0.94,2017-11-11T12:16:50Z,2535,3,20.91
37.71,0.94,2017-11-11T12:15:34Z,2534,5,25.77
46.68,0.97,2017-11-10T22:54:27Z,2533,5,33.45
36.08,0.93,2017-11-10T22:53:17Z,2532,4,10.22
40.03,0.95,2017-11-10T22:52:25Z,2531,5,26.68
43.62,0.95,2017-11-10T22:51:11Z,2530,5,23.26
40.19,0.95,2017-11-10T22:50:24Z,2529,4,58.27
43.64,0.95,2017-11-10T22:47:56Z,2528,4,38.55
40.33,0.95,2017-11-10T22:46:33Z,2527,5,31.59
44.33,0.95,2017-11-10T22:45:11Z,2526,5,28.81
41.96,0.94,2017-11-10T22:44:03Z,2525,5,29.37
39.02,0.94,2017-11-10T22:42:26Z,2524,4,24.06
40.63,0.95,2017-11-10T22:41:01Z,2523,5,29.11
39.31,0.96,2017-11-10T22:39:33Z,2522,5,19.66
39.49,0.96,2017-11-10T21:51:27Z,2521,5,19.75
33.96,0.92,2017-11-10T21:49:10Z,2520,5,29.43
40.33,0.94,2017-11-10T20:18:45Z,2519,5,15.46
48.9,0.96,2017-11-10T20:17:49Z,2518,5,32.6
36.47,0.9,2017-11-10T20:16:34Z,2517,5,18.23
44.89,0.95,2017-11-10T20:15:32Z,2516,5,36.66
31.02,0.94,2017-11-10T20:14:06Z,2515,5,4.65
38.59,0.93,2017-11-10T20:13:36Z,2514,5,30.87
42.84,0.94,2017-11-10T20:11:40Z,2513,2,54.98
39.15,0.93,2017-11-10T20:09:14Z,2512,5,31.97
50.83,0.96,2017-11-10T20:07:41Z,2511,5,44.06
42.78,0.95,2017-11-10T20:06:19Z,2510,5,15.69
44.19,0.95,2017-11-10T20:05:21Z,2509,5,22.83
40.74,0.95,2017-11-10T20:04:14Z,2508,5,28.52
41.99,0.95,2017-11-10T19:50:15Z,2507,5,16.1
48.46,0.98,2017-11-10T19:49:17Z,2506,4,29.08
41.71,0.93,2017-11-10T19:48:15Z,2505,5,41.71
48.79,0.96,2017-11-10T19:46:20Z,2504,5,48.79
50.85,0.97,2017-11-10T19:44:54Z,2503,5,33.05
41.36,0.95,2017-11-10T19:43:55Z,2502,5,24.13
33.18,0.9,2017-11-10T19:42:41Z,2501,5,14.93
40.98,0.95,2017-11-10T19:18:09Z,2500,4,36.2
38.29,0.92,2017-11-10T18:54:52Z,2499,5,38.29
38.87,0.94,2017-11-10T18:02:09Z,2498,4,34.98
37.78,0.94,2017-11-10T05:21:34Z,2497,4,26.45
49.99,0.97,2017-11-10T05:20:14Z,2496,5,28.33
35.74,0.93,2017-11-10T05:19:21Z,2495,5,33.36
34.46,0.93,2017-11-10T05:11:55Z,2494,5,27
43.47,0.96,2017-11-10T05:09:56Z,2493,5,38.4
42.61,0.95,2017-11-08T18:05:01Z,2492,4,31.25
48.84,0.96,2017-11-08T18:03:43Z,2491,5,30.93
39.64,0.94,2017-11-08T18:02:46Z,2490,5,31.05
36.09,0.92,2017-11-08T18:01:24Z,2489,5,15.04
38.65,0.93,2017-11-07T20:57:44Z,2488,5,32.21
47.13,0.96,2017-11-07T19:18:24Z,2487,5,38.49
39.33,0.95,2017-11-07T16:01:02Z,2486,5,27.53
42.21,0.96,2017-11-07T15:59:24Z,2485,5,34.47
36.23,0.95,2017-11-07T15:15:07Z,2484,4,28.38
40.94,0.96,2017-11-07T15:13:26Z,2483,4,34.8
47.17,0.96,2017-11-07T14:55:42Z,2482,5,35.38
43.93,0.96,2017-11-07T14:54:27Z,2481,4,36.61
43.93,0.97,2017-11-07T11:22:58Z,2480,5,15.37
42.76,0.95,2017-11-07T11:20:36Z,2479,5,32.07
39.2,0.94,2017-11-07T11:18:59Z,2478,5,30.05
46.55,0.96,2017-11-07T11:17:28Z,2477,5,21.72
41.2,0.94,2017-11-07T11:16:38Z,2476,5,17.17
41.97,0.95,2017-11-07T11:15:26Z,2475,5,11.89
42.48,0.94,2017-11-07T11:14:43Z,2474,5,19.12
48.99,0.97,2017-11-07T09:45:37Z,2473,5,40.01
36.93,0.94,2017-11-07T09:19:33Z,2472,5,25.85
37.4,0.94,2017-11-07T09:17:44Z,2471,4,25.56
32.47,0.94,2017-11-07T09:16:04Z,2470,5,10.82
41.77,0.95,2017-11-07T09:15:12Z,2469,5,36.2
36.76,0.94,2017-11-07T09:13:41Z,2468,5,45.34
39,0.95,2017-11-07T09:11:12Z,2467,5,22.1
38.12,0.94,2017-11-07T09:10:07Z,2466,5,19.06
39,0.94,2017-11-07T09:09:02Z,2465,4,33.8
36.74,0.94,2017-11-07T08:44:41Z,2464,5,39.19
42.61,0.96,2017-11-07T08:42:28Z,2463,5,34.79
39.09,0.94,2017-11-07T08:40:51Z,2462,4,25.41
42.69,0.96,2017-11-07T08:39:38Z,2461,5,41.27
36.02,0.94,2017-11-07T08:37:58Z,2460,4,10.2
45.78,0.97,2017-11-07T08:36:59Z,2459,5,45.78
37.12,0.93,2017-11-06T21:39:48Z,2458,5,13.61
38.41,0.94,2017-11-06T21:38:57Z,2457,4,23.69
46.77,0.97,2017-11-06T21:11:52Z,2456,5,30.4
47.48,0.97,2017-11-06T20:32:15Z,2455,5,17.41
37.45,0.93,2017-11-06T20:31:32Z,2454,5,11.23
37.86,0.94,2017-11-06T19:54:57Z,2453,4,41.02
38.8,0.95,2017-11-06T19:52:33Z,2452,5,21.34
42.35,0.96,2017-11-06T19:51:09Z,2451,5,19.76
42.24,0.95,2017-11-06T19:49:59Z,2450,4,35.9
38.31,0.96,2017-11-06T19:48:19Z,2449,4,22.99
38.86,0.96,2017-11-06T19:46:39Z,2448,5,30.44
39.47,0.95,2017-11-06T19:45:05Z,2447,5,17.1
33.68,0.94,2017-11-06T19:44:09Z,2446,5,19.65
46.28,0.96,2017-11-06T19:35:33Z,2445,4,43.2
39.74,0.94,2017-11-06T19:34:00Z,2444,5,27.82
38.73,0.94,2017-11-06T19:32:31Z,2443,5,21.95
36.97,0.95,2017-11-06T19:31:18Z,2442,5,25.26
39.04,0.96,2017-11-06T19:12:43Z,2441,4,46.2
31.27,0.92,2017-11-06T19:10:23Z,2440,5,19.8
39.31,0.96,2017-11-06T19:08:39Z,2439,4,49.79
43.33,0.94,2017-11-06T17:57:16Z,2438,5,20.94
