wpm,accuracy,time,game_num,racers_num,points
153.22,1,2021-04-26T05:25:39Z,2664,5,53.63
105.57,0.95,2021-04-26T05:25:17Z,2663,5,102.05
132.41,0.98,2021-04-26T05:24:24Z,2662,4,172.14
120.78,0.99,2021-04-26T05:23:38Z,2661,4,62.4
133.88,0.99,2021-04-26T05:23:08Z,2660,4,93.72
123.44,0.98,2021-04-26T05:22:35Z,2659,4,195.45
134.61,0.99,2021-04-26T05:21:35Z,2658,4,65.06
120.09,0.98,2021-04-26T05:21:08Z,2657,5,216.16
107.65,0.97,2021-04-26T05:20:02Z,2656,5,98.68
108.16,0.97,2021-04-26T05:19:15Z,2655,5,70.3
118.83,0.97,2021-04-26T05:18:38Z,2654,5,89.12
106.86,0.98,2021-04-26T05:17:59Z,2653,4,76.59
105.19,0.97,2021-04-26T05:17:18Z,2652,5,98.17
112.25,0.98,2021-04-26T05:16:26Z,2651,3,59.87
131.83,0.99,2021-04-26T05:15:50Z,2650,5,107.66
104.83,0.97,2021-04-26T05:15:11Z,2649,5,61.15
121.7,0.99,2021-04-26T05:14:38Z,2648,5,58.82
126.38,0.97,2021-04-26T05:14:08Z,2647,5,84.25
151.18,0.99,2021-04-26T05:13:35Z,2646,5,123.46
143.3,0.99,2021-04-26T05:13:00Z,2645,5,155.24
132.42,0.99,2021-04-26T05:12:19Z,2644,4,110.35
131.03,0.98,2021-04-26T05:11:36Z,2643,5,91.72
137.07,1,2021-04-26T05:10:59Z,2642,3,194.18
113.67,0.98,2021-04-26T05:10:11Z,2641,5,68.2
115.63,0.97,2021-04-26T05:09:33Z,2640,3,80.94
151.69,0.99,2021-04-26T05:08:45Z,2639,5,169.38
130.07,0.99,2021-04-26T05:08:03Z,2638,4,106.22
127.95,0.98,2021-04-26T05:07:30Z,2637,4,157.8
137.65,1,2021-04-26T05:06:31Z,2636,4,87.18
116.1,0.98,2021-04-26T05:06:07Z,2635,3,230.26
111.12,0.97,2021-04-26T05:04:50Z,2634,5,72.23
119.36,0.97,2021-04-26T05:04:19Z,2633,5,131.3
128.16,0.98,2021-04-26T05:03:32Z,2632,5,138.84
165.25,1,2021-04-24T19:14:56Z,2631,5,60.59
112.16,0.97,2021-04-24T19:14:34Z,2630,5,162.63
130.34,0.98,2021-04-24T19:13:32Z,2629,5,156.4
130.68,1,2021-04-24T19:12:45Z,2628,2,87.12
126.41,0.97,2021-04-24T19:12:09Z,2627,3,191.72
91.52,0.96,2021-04-24T19:11:16Z,2626,4,48.81
132.93,0.99,2021-04-24T19:10:31Z,2625,5,90.83
119.48,0.97,2021-04-24T19:09:58Z,2624,3,67.71
145.21,0.99,2021-04-24T19:09:25Z,2623,5,116.17
114.69,0.97,2021-04-24T19:08:54Z,2622,4,152.92
114.19,0.97,2021-04-24T19:07:53Z,2621,5,218.87
119.86,0.98,2021-04-24T19:06:40Z,2620,5,133.84
157,0.99,2021-04-24T19:05:54Z,2619,3,81.11
112.43,0.97,2021-04-24T19:05:29Z,2618,4,76.83
148.14,0.99,2021-04-24T19:04:42Z,2617,5,86.41
127.28,0.97,2021-04-24T19:04:14Z,2616,5,99.71
125.2,0.98,2021-04-24T19:03:39Z,2615,3,141.89
114.13,0.98,2021-04-24T19:02:50Z,2614,4,49.46
154.73,0.99,2021-04-24T19:02:08Z,2613,5,159.89
94.11,0.95,2021-04-24T19:01:33Z,2612,5,87.84
127.3,0.97,2021-04-24T19:00:39Z,2611,2,93.35
132.24,0.98,2021-04-24T19:00:00Z,2610,4,81.55
108.19,0.97,2021-04-24T18:59:32Z,2609,5,91.96
146.22,0.99,2021-04-24T18:58:43Z,2608,5,77.98
127.2,0.99,2021-04-24T18:58:12Z,2607,5,84.8
118.24,0.98,2021-04-24T18:57:39Z,2606,5,102.48
124.13,0.99,2021-04-24T18:56:54Z,2605,5,119.99
112.35,0.97,2021-04-24T18:56:10Z,2604,2,101.12
124.4,0.97,2021-04-24T18:53:13Z,2603,3,105.74
113,0.97,2021-04-24T18:52:36Z,2602,5,67.8
163.06,1,2021-04-24T18:24:52Z,2601,5,35.33
122.2,0.98,2021-04-24T18:24:38Z,2600,5,364.56
116.29,0.97,2021-04-24T18:23:01Z,2599,5,87.22
133.27,0.98,2021-04-24T18:22:20Z,2598,5,117.73
132.35,0.98,2021-04-24T18:21:39Z,2597,5,112.5
110.51,0.97,2021-04-24T18:21:01Z,2596,5,134.46
126.94,0.98,2021-04-24T18:20:02Z,2595,3,262.34
141.12,0.99,2021-04-17T18:26:21Z,2594,5,112.9
151.09,1,2021-04-17T06:09:39Z,2593,5,78.06
93.57,0.94,2021-04-17T06:09:17Z,2592,5,51.46
106.16,0.98,2021-04-17T06:08:34Z,2591,5,70.77
148.58,1,2021-04-14T14:24:25Z,2590,5,108.96
147.69,0.99,2021-04-11T19:13:40Z,2589,4,155.08
105.36,0.96,2021-04-11T19:13:01Z,2588,5,66.73
110.9,0.99,2021-04-11T19:12:18Z,2587,5,81.33
105,0.97,2021-04-08T10:54:02Z,2586,3,63
100.23,0.96,2021-04-08T10:53:30Z,2585,4,78.51
132.34,0.98,2021-04-08T10:52:51Z,2584,4,125.73
102.22,0.96,2021-04-08T10:52:16Z,2583,5,66.44
118.02,0.97,2021-04-08T10:51:33Z,2582,5,135.72
133.76,0.99,2021-04-08T10:50:41Z,2581,5,102.55
110.89,0.98,2021-04-08T10:49:57Z,2580,3,97.96
135.4,0.99,2021-04-08T10:49:19Z,2579,5,139.92
131.59,0.98,2021-04-08T10:48:38Z,2578,5,109.66
123.17,0.98,2021-04-08T10:48:00Z,2577,4,92.38
123.84,0.98,2021-04-08T10:47:24Z,2576,5,70.18
121.47,0.98,2021-04-08T10:46:50Z,2575,4,58.71
138.63,0.99,2021-04-07T04:26:14Z,2574,4,115.53
95.69,0.96,2021-04-07T04:25:37Z,2573,5,78.15
138.5,0.98,2021-04-06T07:31:08Z,2572,5,99.25
130.47,0.99,2021-04-06T07:30:27Z,2571,3,139.17
137.83,0.99,2021-04-06T07:28:56Z,2570,5,110.26
124.04,0.99,2021-04-06T07:28:28Z,2569,3,70.29
136.47,0.99,2021-04-06T07:27:54Z,2568,5,70.51
124.36,0.97,2021-04-06T07:27:25Z,2567,5,68.4
136.09,1,2021-04-06T04:38:03Z,2566,5,77.12
125.29,0.98,2021-04-06T04:37:34Z,2565,5,108.58
112.67,0.97,2021-04-06T04:36:57Z,2564,5,146.47
