wpm,accuracy,time,game_num,racers_num,points
59.09,0.96,2021-11-21T17:07:25Z,2779,5,93.55
51.9,0.94,2021-11-20T17:58:17Z,2778,5,43.25
60.38,0.96,2021-11-20T17:49:07Z,2777,4,49.31
50.72,0.95,2021-11-20T17:47:01Z,2776,4,40.57
59.47,0.96,2021-11-20T10:24:39Z,2775,5,27.75
62.77,0.97,2021-11-20T10:23:56Z,2774,5,50.22
53.02,0.95,2021-11-19T10:03:10Z,2773,5,38
57.64,0.95,2021-11-19T10:01:59Z,2772,4,47.07
58.09,0.97,2021-11-19T10:00:57Z,2771,5,33.89
60.13,0.97,2021-11-19T10:00:05Z,2770,5,38.08
55.49,0.95,2021-11-18T08:01:08Z,2769,4,54.56
66.07,0.98,2021-11-18T07:59:47Z,2768,5,44.05
53.54,0.96,2021-11-18T06:44:44Z,2767,4,44.61
65.45,0.97,2021-11-17T08:28:27Z,2766,5,44.72
68.74,0.98,2021-11-17T08:27:15Z,2765,4,98.52
59.07,0.96,2021-11-17T08:25:00Z,2764,5,30.52
63.57,0.96,2021-11-17T08:24:17Z,2763,4,50.86
64.67,0.97,2021-11-16T07:43:22Z,2762,5,37.72
53.43,0.95,2021-11-16T07:12:54Z,2761,5,40.07
66.12,0.98,2021-11-15T09:18:09Z,2760,5,27.55
65.34,0.96,2021-11-15T08:45:53Z,2759,5,21.78
57.67,0.96,2021-11-15T08:40:00Z,2758,5,29.8
58.87,0.97,2021-11-15T08:39:03Z,2757,5,114.8
65.87,0.97,2021-11-15T08:36:52Z,2756,5,75.75
64.45,0.98,2021-11-15T08:34:02Z,2755,4,89.15
58.93,0.95,2021-11-13T18:06:47Z,2754,5,20.62
59.93,0.97,2021-11-13T18:06:12Z,2753,5,51.94
66.18,0.97,2021-11-13T17:53:16Z,2752,5,40.81
55.88,0.98,2021-11-13T17:52:27Z,2751,5,44.71
57.37,0.96,2021-11-13T17:51:14Z,2750,5,44.94
56,0.94,2021-11-09T12:09:11Z,2749,5,50.4
62.26,0.98,2021-11-09T12:08:01Z,2748,5,115.18
59.86,0.96,2021-11-09T11:48:56Z,2747,5,45.89
59.63,0.96,2021-11-09T11:41:38Z,2746,5,38.76
65.54,0.98,2021-11-05T13:41:01Z,2745,5,78.64
63.47,0.97,2021-11-05T13:39:44Z,2744,5,52.89
59.17,0.96,2021-11-05T13:37:46Z,2743,5,46.35
65.88,0.97,2021-11-05T13:36:39Z,2742,5,75.76
55.48,0.96,2021-11-05T08:44:56Z,2741,5,43.46
58.87,0.96,2021-11-05T08:43:53Z,2740,5,58.87
74.38,0.99,2021-11-05T08:42:29Z,2739,5,44.63
62.19,0.97,2021-11-05T08:39:51Z,2738,5,91.21
48.44,0.93,2021-11-05T08:01:05Z,2737,5,25.03
55.49,0.96,2021-11-05T07:35:26Z,2736,5,60.11
66.58,0.99,2021-11-05T07:33:59Z,2735,4,51.04
65.2,0.98,2021-11-05T07:33:03Z,2734,5,36.94
50.99,0.96,2021-11-05T07:32:02Z,2733,5,28.89
55.58,0.97,2021-11-04T19:31:25Z,2732,5,53.72
66.69,0.97,2021-11-04T19:30:10Z,2731,5,33.35
64.6,0.98,2021-11-04T19:28:48Z,2730,5,52.75
72.43,0.98,2021-11-04T10:28:25Z,2729,5,25.35
58.09,0.97,2021-11-04T10:27:30Z,2728,5,51.31
67.15,0.98,2021-11-04T10:22:58Z,2727,5,44.77
59.3,0.95,2021-11-04T10:22:03Z,2726,5,46.45
51.67,0.94,2021-11-04T10:13:36Z,2725,5,21.53
65.16,0.98,2021-11-04T10:11:07Z,2724,5,48.87
64.75,0.98,2021-11-04T10:10:08Z,2723,5,44.25
57.55,0.96,2021-11-04T10:03:37Z,2722,5,49.88
63.61,0.97,2021-11-04T10:02:01Z,2721,5,61.49
60.78,0.96,2021-11-04T09:59:34Z,2720,4,56.72
56.5,0.97,2021-11-03T18:32:19Z,2719,5,78.16
58.21,0.95,2021-11-03T09:39:20Z,2718,5,40.75
61.93,0.97,2021-11-03T09:36:11Z,2717,5,51.61
58.58,0.97,2021-11-03T09:35:03Z,2716,5,45.88
59.28,0.97,2021-11-03T08:31:01Z,2715,5,38.53
61.7,0.98,2021-11-02T16:12:40Z,2714,5,38.05
71.2,0.98,2021-11-02T16:11:42Z,2713,5,71.2
63.65,0.97,2021-11-02T16:09:59Z,2712,5,63.65
70.79,0.99,2021-11-02T10:04:34Z,2711,5,56.63
57.06,0.96,2021-11-02T05:58:40Z,2710,4,49.45
64.95,0.98,2021-11-02T05:50:34Z,2709,5,59.54
54.01,0.95,2021-11-02T05:46:15Z,2708,5,31.51
64.29,0.97,2021-11-01T19:27:40Z,2707,4,52.5
