wpm,accuracy,time,game_num,racers_num,points
68.13,0.94,2021-02-28T21:45:40Z,2645,4,44.29
80.22,0.95,2021-02-25T18:54:57Z,2644,5,40.11
76.42,0.96,2021-02-25T18:53:38Z,2643,5,39.48
60.19,0.94,2021-02-17T02:24:24Z,2642,5,18.06
80.5,0.96,2021-02-17T02:23:30Z,2641,5,49.64
88.33,0.98,2021-02-17T02:22:14Z,2640,5,44.17
78.64,0.97,2021-02-17T02:20:31Z,2639,5,62.91
76.35,0.97,2021-02-17T02:18:35Z,2638,5,47.08
75.09,0.96,2021-02-05T02:01:53Z,2637,4,62.58
70.59,0.95,2021-02-05T01:56:29Z,2636,4,45.89
88.46,0.98,2021-02-05T01:55:37Z,2635,5,58.97
70.09,0.97,2021-02-04T12:11:29Z,2634,5,66.58
75.69,0.97,2021-02-04T12:07:01Z,2633,5,56.77
82.14,0.95,2021-02-04T12:04:51Z,2632,5,50.65
62.49,0.93,2021-02-02T08:55:49Z,2631,5,63.54
64.38,0.95,2021-02-01T18:22:04Z,2630,5,51.51
77.41,0.96,2021-01-30T15:23:05Z,2629,5,52.9
59.68,0.95,2021-01-30T14:44:07Z,2628,5,42.77
64.67,0.96,2021-01-30T14:17:05Z,2627,5,31.25
77.12,0.97,2021-01-30T14:15:41Z,2626,4,43.7
77.6,0.97,2021-01-30T14:13:16Z,2625,5,43.97
81.4,0.97,2021-01-30T14:11:38Z,2624,5,35.27
49.47,0.95,2021-01-30T14:08:17Z,2623,5,36.28
77.71,0.96,2021-01-30T12:59:12Z,2622,5,90.66
86.47,0.97,2021-01-30T09:56:25Z,2621,5,53.32
79.29,0.96,2021-01-30T09:55:41Z,2620,5,33.04
94.12,0.98,2021-01-30T09:55:02Z,2619,5,56.47
80.53,0.96,2021-01-30T09:54:19Z,2618,5,64.43
85.62,0.98,2021-01-30T09:52:42Z,2617,5,51.37
83.72,0.96,2021-01-30T09:51:55Z,2616,5,58.6
89.18,0.97,2021-01-30T09:50:54Z,2615,5,52.02
91.48,0.98,2021-01-30T09:49:55Z,2614,5,71.66
74.91,0.97,2021-01-30T09:49:09Z,2613,5,38.7
79.42,0.95,2021-01-28T09:08:19Z,2612,4,60.89
79.37,0.97,2021-01-28T04:55:09Z,2611,5,70.11
81.43,0.97,2021-01-28T04:54:06Z,2610,5,88.22
90.38,0.97,2021-01-27T07:55:40Z,2609,5,55.73
79.19,0.96,2021-01-27T07:54:58Z,2608,5,26.4
93.26,0.97,2021-01-27T07:53:58Z,2607,4,40.41
83.42,0.97,2021-01-27T07:52:48Z,2606,5,54.22
79.48,0.98,2021-01-27T07:46:53Z,2605,5,41.07
86.99,0.96,2021-01-27T07:45:34Z,2604,5,57.99
88.2,0.97,2021-01-27T07:43:35Z,2603,4,45.57
82.34,0.97,2021-01-27T07:40:54Z,2602,5,72.74
74.96,0.95,2021-01-27T07:39:57Z,2601,4,47.48
86.63,0.95,2021-01-27T07:37:56Z,2600,5,36.1
91.31,0.98,2021-01-27T07:37:09Z,2599,4,77.61
89.34,0.99,2021-01-27T07:35:57Z,2598,4,67.01
94.87,0.99,2021-01-27T07:34:21Z,2597,5,71.15
77.64,0.96,2021-01-27T07:33:40Z,2596,4,60.82
85.8,0.97,2021-01-27T07:32:29Z,2595,5,55.77
77.8,0.95,2021-01-27T07:31:17Z,2594,5,41.49
84,0.97,2021-01-27T07:30:00Z,2593,5,60.2
65.04,0.94,2021-01-27T01:53:42Z,2592,5,34.69
85.06,0.97,2021-01-27T01:52:20Z,2591,5,35.44
85.42,0.97,2021-01-27T01:51:48Z,2590,5,69.76
72.52,0.96,2021-01-27T01:24:46Z,2589,5,47.14
78.25,0.96,2021-01-27T01:22:44Z,2588,5,78.25
79.55,0.96,2021-01-27T01:21:05Z,2587,5,66.29
81.07,0.97,2021-01-27T01:20:08Z,2586,5,36.48
103.24,0.99,2021-01-27T01:18:42Z,2585,5,53.34
75.46,0.96,2021-01-18T20:18:08Z,2584,5,79.23
79.96,0.96,2021-01-18T20:17:02Z,2583,5,69.3
87.65,0.98,2021-01-18T20:15:38Z,2582,5,43.82
82.6,0.96,2021-01-18T20:13:43Z,2581,5,45.43
87.26,0.96,2021-01-18T20:13:01Z,2580,5,62.54
71.2,0.96,2021-01-18T15:35:25Z,2579,5,65.27
75.2,0.96,2021-01-18T15:34:16Z,2578,5,55.14
65.97,0.94,2021-01-16T10:17:52Z,2577,5,51.68
75.24,0.94,2021-01-16T10:15:48Z,2576,5,42.63
84.51,0.97,2021-01-16T10:14:57Z,2575,5,57.75
86.98,0.98,2021-01-16T10:14:14Z,2574,5,52.19
77.93,0.96,2021-01-16T10:13:17Z,2573,5,63.64
65.01,0.95,2021-01-16T10:12:11Z,2572,5,36.84
76.42,0.97,2021-01-16T10:11:05Z,2571,5,57.32
78.02,0.96,2021-01-16T10:10:06Z,2570,5,52.01
81.36,0.95,2021-01-16T10:08:55Z,2569,5,54.24
69.13,0.96,2021-01-14T08:36:13Z,2568,5,39.18
82.7,0.97,2021-01-14T08:35:13Z,2567,5,48.24
81.96,0.96,2021-01-14T08:33:07Z,2566,4,53.28
77.03,0.96,2021-01-14T08:28:49Z,2565,5,61.62
82.42,0.96,2021-01-14T08:27:47Z,2564,4,45.33
79.06,0.96,2021-01-14T08:26:26Z,2563,4,42.16
61.61,0.94,2021-01-13T02:11:07Z,2562,5,33.88
79.36,0.96,2021-01-08T14:57:06Z,2561,5,55.55
79.13,0.95,2021-01-08T14:56:18Z,2560,5,55.39
71.97,0.95,2021-01-08T14:55:29Z,2559,5,63.57
67.42,0.95,2021-01-06T20:32:22Z,2558,5,47.2
80.95,0.99,2021-01-06T20:31:02Z,2557,5,67.46
72.6,0.96,2021-01-06T12:31:47Z,2556,5,37.51
71.27,0.97,2021-01-05T14:01:51Z,2555,5,33.26
70.66,0.95,2021-01-05T12:41:37Z,2554,5,58.89
69.25,0.96,2021-01-05T12:40:00Z,2553,5,50.79
97.59,0.98,2021-01-05T12:38:08Z,2552,5,68.32
74.15,0.95,2021-01-05T12:29:51Z,2551,4,106.28
82.16,0.96,2021-01-05T10:30:04Z,2550,5,68.47
63.36,0.94,2021-01-05T10:28:28Z,2549,5,45.4
74.69,0.97,2021-01-01T08:07:14Z,2548,5,70.95
82.33,0.98,2021-01-01T08:06:02Z,2547,5,42.54
68.35,0.94,2021-01-01T08:05:04Z,2546,5,47.85
75.21,0.96,2021-01-01T08:04:03Z,2545,5,36.35
72.03,0.95,2021-01-01T08:02:06Z,2544,5,55.23
99.31,0.99,2021-01-01T08:00:23Z,2543,5,56.27
76.53,0.94,2021-01-01T06:56:52Z,2542,5,61.22
75.8,0.96,2021-01-01T04:53:06Z,2541,5,41.69
74.85,0.95,2021-01-01T04:47:01Z,2540,5,62.38
79.15,0.96,2020-12-31T02:03:14Z,2539,5,51.45
82.81,0.96,2020-12-30T22:53:48Z,2538,5,42.78
81.07,0.97,2020-12-30T17:15:31Z,2537,5,52.69
73.05,0.96,2020-12-30T10:00:39Z,2536,5,43.83
69.6,0.95,2020-12-30T09:23:43Z,2535,4,58
72.14,0.98,2020-12-30T08:17:54Z,2534,5,37.27
66.02,0.95,2020-12-30T08:14:14Z,2533,5,26.41
73.74,0.96,2020-12-30T08:11:10Z,2532,5,65.14
81.04,0.96,2020-12-30T08:09:22Z,2531,5,68.88
63.34,0.95,2020-12-30T07:44:22Z,2530,5,30.61
69.17,0.96,2020-12-30T07:42:24Z,2529,5,24.21
84.09,0.98,2020-12-30T07:41:41Z,2528,5,46.25
67.56,0.96,2020-12-30T07:40:39Z,2527,5,42.79
