wpm,accuracy,time,game_num,racers_num,points
97.86,0.96,2021-08-16T08:25:28Z,2923,5,117.43
99.33,0.99,2021-08-15T06:54:24Z,2922,5,51.32
89.52,0.97,2021-08-14T23:53:27Z,2921,4,111.9
97.78,0.97,2021-08-14T23:52:26Z,2920,5,53.78
84.69,0.96,2021-08-13T07:52:49Z,2919,5,70.57
94.86,0.97,2021-08-13T07:51:54Z,2918,5,90.12
77.89,0.97,2021-08-08T23:38:22Z,2917,4,66.2
81.86,0.97,2021-08-08T02:42:47Z,2916,5,53.21
93.18,0.98,2021-08-08T02:42:00Z,2915,4,60.56
90.94,0.98,2021-08-08T02:41:02Z,2914,5,124.29
95.41,0.97,2021-08-08T02:39:49Z,2913,5,47.7
79.19,0.95,2021-08-08T02:39:12Z,2912,5,43.55
90.65,0.98,2021-08-08T02:38:32Z,2911,5,80.08
90.25,0.96,2021-08-08T02:37:39Z,2910,5,69.19
86.08,0.96,2021-08-08T02:36:36Z,2909,5,71.73
83.68,0.96,2021-08-08T02:35:28Z,2908,4,55.79
89.1,0.98,2021-08-08T02:34:39Z,2907,4,56.43
89.64,0.97,2021-08-07T00:30:00Z,2906,5,89.64
97.79,0.99,2021-08-07T00:29:02Z,2905,5,101.05
96.67,0.98,2021-08-07T00:28:12Z,2904,5,87
89.8,0.97,2021-08-07T00:26:46Z,2903,5,76.33
99,0.97,2021-08-07T00:25:58Z,2902,5,62.7
96.01,0.99,2021-08-07T00:25:12Z,2901,5,67.21
86.24,0.96,2021-08-07T00:24:34Z,2900,5,103.48
90.21,0.97,2021-08-07T00:23:33Z,2899,5,69.16
89.18,0.98,2021-08-06T11:43:09Z,2898,5,44.59
85.32,0.96,2021-08-06T11:42:36Z,2897,4,71.1
102.13,0.99,2021-08-06T11:41:24Z,2896,4,163.41
90.34,0.97,2021-08-06T11:39:30Z,2895,5,37.64
112.63,0.99,2021-08-06T11:38:34Z,2894,5,82.6
87.02,0.96,2021-08-06T11:36:44Z,2893,5,50.76
75.77,0.97,2021-08-06T04:07:09Z,2892,5,55.57
96.4,0.97,2021-08-06T04:06:11Z,2891,5,77.12
84.24,0.95,2021-08-06T04:05:31Z,2890,5,65.99
80.04,0.96,2021-08-06T04:04:42Z,2889,5,74.71
82.2,0.97,2021-08-06T02:09:09Z,2888,5,45.21
90.18,0.97,2021-08-06T01:55:24Z,2887,4,69.14
76.68,0.98,2021-08-06T01:53:24Z,2886,4,62.62
99.05,0.97,2021-08-06T01:52:22Z,2885,5,51.18
100.08,0.99,2021-08-06T01:51:23Z,2884,5,81.73
