wpm,accuracy,time,game_num,racers_num,points
77.04,0.97,2021-03-31T20:09:21Z,2562,3,44.94
94.66,0.99,2021-03-29T19:56:07Z,2561,5,77.31
103.45,1,2021-03-22T19:41:14Z,2560,5,56.9
88.64,0.98,2021-03-22T19:40:33Z,2559,4,66.48
86.63,0.96,2021-03-22T19:38:51Z,2558,5,72.19
93.21,0.98,2021-03-20T21:34:19Z,2557,5,63.69
107.37,0.98,2021-03-17T20:24:45Z,2556,2,75.16
86.88,0.97,2021-03-17T20:23:20Z,2555,2,62.26
85.62,0.96,2021-03-17T20:22:27Z,2554,2,47.09
98.1,0.98,2021-03-17T20:21:09Z,2553,2,101.37
94.67,0.98,2021-03-17T20:19:24Z,2552,2,99.41
86.2,0.97,2021-03-17T20:18:10Z,2551,2,44.54
85.12,0.98,2021-03-17T20:16:59Z,2550,2,66.68
95.28,0.98,2021-03-17T20:15:56Z,2549,2,103.22
99.84,0.98,2021-03-17T20:14:31Z,2548,2,101.51
110.92,0.99,2021-03-17T20:13:18Z,2547,2,73.94
90.95,0.98,2021-03-17T20:12:24Z,2546,2,65.18
97.07,0.98,2021-03-17T20:11:13Z,2545,2,79.28
99.82,0.98,2021-03-17T20:10:10Z,2544,2,103.15
90.39,0.98,2021-03-17T20:08:57Z,2543,2,132.57
89.1,0.98,2021-03-17T20:05:28Z,2542,2,83.16
109.18,0.99,2021-03-17T20:03:35Z,2541,2,52.77
98.5,0.98,2021-03-17T20:02:46Z,2540,2,78.8
82.75,0.96,2021-03-17T20:01:46Z,2539,2,42.75
109.31,0.99,2021-03-17T20:00:51Z,2538,2,142.1
109.66,1,2021-03-17T19:59:38Z,2537,2,85.9
95.98,0.99,2021-03-17T19:58:38Z,2536,2,121.57
100.7,0.99,2021-03-17T19:57:06Z,2535,2,80.56
81.28,0.96,2021-03-17T19:56:08Z,2534,2,149.02
89.06,0.97,2021-03-17T19:54:21Z,2533,2,65.31
96.72,0.98,2021-03-17T19:52:51Z,2532,2,67.71
112.18,0.99,2021-03-17T19:50:55Z,2531,3,140.22
94.56,0.99,2021-03-17T19:49:53Z,2530,5,89.83
112.74,0.99,2021-03-17T19:48:40Z,2529,5,30.06
98.98,0.99,2020-10-08T02:34:43Z,2528,2,112.18
90.54,0.97,2020-10-08T02:32:20Z,2527,2,60.36
112.94,1,2020-10-08T02:31:14Z,2526,2,114.82
77.66,0.98,2020-10-08T02:29:40Z,2525,2,94.48
102.58,0.99,2020-10-07T23:20:26Z,2524,5,56.42
93.76,0.96,2020-10-07T23:18:15Z,2523,5,62.51
113.49,1,2020-10-07T23:17:08Z,2522,5,88.9
108.7,0.99,2020-10-07T23:16:13Z,2521,5,125
97.59,0.97,2020-10-07T23:15:08Z,2520,5,87.83
102.11,0.99,2020-10-07T23:13:57Z,2519,5,62.97
95.63,0.98,2020-10-07T23:12:09Z,2518,5,81.28
89.86,0.98,2020-05-21T01:46:51Z,2517,2,44.93
86.91,0.97,2020-05-21T01:44:50Z,2516,2,44.9
69.07,0.98,2020-05-21T01:43:40Z,2515,2,79.43
59.93,0.97,2020-05-21T01:41:02Z,2514,2,49.94
67.49,0.98,2020-05-21T01:37:51Z,2513,2,62.99
85.41,0.98,2020-05-21T01:35:46Z,2512,2,109.61
107.07,0.99,2019-10-17T12:35:32Z,2511,5,98.15
89.28,0.98,2019-10-17T12:34:46Z,2510,2,59.52
91.79,0.97,2019-10-17T12:33:52Z,2509,3,79.55
98.2,0.98,2019-10-17T12:32:13Z,2508,5,57.28
108.07,1,2019-10-17T12:31:15Z,2507,5,93.66
97.49,0.98,2019-10-17T12:30:04Z,2506,5,60.12
88.05,0.98,2019-10-17T12:28:27Z,2505,5,58.7
89.31,0.98,2019-10-17T12:27:43Z,2504,5,61.03
94.07,0.98,2019-10-16T17:32:39Z,2503,5,54.88
81.06,0.96,2019-10-16T15:36:08Z,2502,4,68.9
81.37,0.97,2019-10-16T15:34:34Z,2501,5,103.06
89.05,0.97,2019-10-16T15:32:45Z,2500,5,63.82
95.85,0.98,2019-10-16T15:31:08Z,2499,5,105.43
105.36,0.98,2019-10-16T15:29:39Z,2498,5,59.71
91.28,0.98,2019-10-16T15:28:18Z,2497,5,76.06
98.19,0.98,2019-10-16T15:26:38Z,2496,5,94.92
91.47,0.98,2019-10-16T15:25:11Z,2495,4,74.7
87.17,0.98,2019-10-16T15:23:47Z,2494,4,62.47
99.45,1,2019-10-11T22:45:18Z,2493,5,67.96
92.2,0.97,2019-10-11T22:43:52Z,2492,4,61.47
93.76,0.98,2019-10-11T22:43:07Z,2491,5,101.57
103.42,0.99,2019-10-11T22:41:30Z,2490,4,94.8
89.05,0.98,2019-10-11T22:40:40Z,2489,5,71.24
97.62,0.97,2019-10-11T16:55:58Z,2488,5,58.57
99.18,0.98,2019-10-11T16:54:16Z,2487,5,89.26
101.45,0.99,2019-10-11T16:53:27Z,2486,5,59.18
99.88,0.98,2019-10-11T16:52:10Z,2485,5,44.95
91.57,0.97,2019-10-11T16:51:25Z,2484,5,82.41
103.19,0.99,2019-10-11T16:49:45Z,2483,5,153.07
95.42,0.98,2019-10-11T16:48:31Z,2482,4,49.3
88.66,0.98,2019-10-11T16:46:18Z,2481,5,54.68
95.15,0.99,2019-10-11T16:45:35Z,2480,5,57.09
94.09,0.99,2019-10-11T16:44:51Z,2479,4,54.88
94.36,0.97,2019-10-11T16:14:02Z,2478,4,56.62
80.98,0.95,2019-10-11T16:13:01Z,2477,4,26.99
82.34,0.97,2019-10-11T16:12:07Z,2476,4,50.78
74.1,0.97,2019-10-11T16:10:50Z,2475,4,44.46
57.5,0.96,2019-10-11T16:09:23Z,2474,4,46.96
89.52,0.98,2019-10-11T16:07:31Z,2473,3,44.76
90.89,0.97,2019-10-11T14:38:44Z,2472,4,62.11
98.73,0.97,2019-10-11T14:31:11Z,2471,5,80.63
112.27,0.99,2019-10-11T14:30:13Z,2470,4,48.65
87.79,0.99,2019-10-11T14:29:14Z,2469,5,64.38
102.77,1,2019-10-11T14:28:20Z,2468,5,73.65
68.61,0.97,2019-10-11T14:27:16Z,2467,5,43.45
86.25,0.99,2019-10-11T14:26:13Z,2466,5,53.19
103.35,1,2019-10-11T14:22:06Z,2465,5,41.34
80.8,0.98,2019-10-11T14:21:35Z,2464,5,35.01
54.28,0.98,2019-10-11T14:20:25Z,2463,2,61.52
83.82,0.99,2019-10-11T14:12:05Z,2462,5,69.85
80.43,0.98,2019-10-10T16:14:28Z,2461,4,46.92
79.71,0.96,2019-10-10T16:13:05Z,2460,4,38.53
101.59,1,2019-10-10T16:11:27Z,2459,4,82.97
88.74,0.98,2019-10-10T16:09:50Z,2458,4,45.85
93.24,0.98,2019-10-10T16:07:45Z,2457,4,99.45
90.31,0.95,2019-10-10T16:06:19Z,2456,4,28.6
76.98,0.96,2019-10-10T16:04:40Z,2455,4,75.7
92.21,0.98,2019-10-10T16:03:05Z,2454,4,58.4
90.62,0.99,2019-10-10T16:01:22Z,2453,3,89.11
87.46,0.99,2019-10-10T15:59:31Z,2452,3,59.76
87.4,0.99,2019-10-10T15:57:37Z,2451,2,56.81
92.8,0.98,2019-10-10T15:55:57Z,2450,2,103.62
108.7,0.99,2019-10-04T16:18:40Z,2449,2,68.85
99.16,0.99,2019-10-04T16:17:38Z,2448,2,76.02
99.43,0.99,2019-10-04T16:16:22Z,2447,2,39.77
93.28,0.98,2019-10-04T16:15:13Z,2446,2,79.29
84.29,0.98,2019-10-04T16:14:09Z,2445,2,77.27
110.23,1,2019-10-04T16:12:48Z,2444,2,79
113.73,1,2019-10-04T16:11:47Z,2443,2,79.61
79.58,0.99,2019-10-04T16:10:46Z,2442,2,26.53
95.26,0.98,2019-10-04T13:58:44Z,2441,3,49.22
94.43,0.98,2019-10-04T13:55:58Z,2440,4,61.38
104.08,0.99,2019-10-04T13:49:23Z,2439,5,74.59
97.63,0.98,2019-10-04T13:48:10Z,2438,5,61.83
101.4,0.99,2019-10-02T13:11:47Z,2437,5,57.46
94.77,0.99,2019-10-02T13:11:08Z,2436,5,71.08
108.25,0.98,2019-09-27T21:58:36Z,2435,3,101.03
100.95,0.98,2019-09-27T21:55:20Z,2434,5,57.21
100.63,0.99,2019-09-27T21:54:46Z,2433,5,70.44
110.44,0.99,2019-09-27T21:52:20Z,2432,5,68.11
101.18,0.99,2019-09-27T21:51:33Z,2431,5,77.57
87.58,0.97,2019-09-27T21:50:48Z,2430,5,56.93
89.93,0.98,2019-09-27T12:43:14Z,2429,3,50.96
94.22,0.99,2019-09-27T12:39:50Z,2428,3,80.09
107.49,0.99,2019-09-27T12:38:00Z,2427,5,87.79
101.56,0.98,2019-09-27T12:36:43Z,2426,5,93.09
94.59,0.98,2019-09-27T12:35:01Z,2425,5,86.71
110.42,1,2019-09-27T12:33:48Z,2424,5,66.25
106.34,1,2019-09-27T12:32:04Z,2423,4,83.3
91.44,0.98,2019-09-27T12:10:29Z,2422,5,86.87
101.14,0.98,2019-09-26T17:55:42Z,2421,2,57.31
83.79,0.98,2019-09-26T17:17:34Z,2420,2,69.82
89.84,0.98,2019-09-26T17:16:10Z,2419,2,71.87
87.35,0.98,2019-09-26T13:15:03Z,2418,2,101.91
94.83,0.99,2019-09-26T13:13:43Z,2417,2,56.9
100.45,0.99,2019-09-26T13:12:39Z,2416,2,65.29
88.68,0.98,2019-09-26T13:11:48Z,2415,2,63.56
89.24,0.98,2019-09-26T13:09:34Z,2414,2,110.06
94.08,0.98,2019-09-26T13:08:11Z,2413,2,142.69
85.36,0.97,2019-09-26T13:06:46Z,2412,2,52.64
71.26,0.96,2019-09-26T13:05:15Z,2411,2,62.95
59.65,0.96,2019-09-26T13:03:54Z,2410,2,30.82
92.87,0.99,2019-09-26T13:02:30Z,2409,2,72.75
104.27,1,2019-09-26T12:44:23Z,2408,2,93.84
82.68,0.99,2019-09-26T12:43:26Z,2407,2,78.55
74.68,0.97,2019-09-26T12:41:36Z,2406,2,43.56
77.89,0.97,2019-09-26T12:40:34Z,2405,2,31.15
71.72,0.97,2019-09-26T12:39:46Z,2404,2,44.23
82.57,0.97,2019-09-26T12:37:57Z,2403,2,64.68
92.54,0.99,2019-09-26T12:36:47Z,2402,2,80.2
100.38,0.99,2019-09-26T12:35:42Z,2401,2,120.45
104.07,1,2019-09-26T12:31:21Z,2400,4,76.32
88.84,0.99,2019-09-26T12:30:26Z,2399,5,53.3
90.64,0.99,2019-09-26T12:29:34Z,2398,5,101.22
82.97,0.97,2019-09-26T12:27:47Z,2397,3,49.78
92.01,0.97,2019-09-26T12:25:45Z,2396,5,47.54
87.73,0.98,2019-09-25T21:32:50Z,2395,5,68.72
85.29,0.97,2019-09-24T17:56:14Z,2394,5,92.4
84.92,0.98,2019-09-24T17:54:21Z,2393,5,41.04
84.88,0.97,2019-09-24T17:52:15Z,2392,3,124.5
78.27,0.98,2019-09-24T16:58:12Z,2391,2,53.49
77.81,0.98,2019-09-24T16:55:45Z,2390,2,97.26
78.44,0.98,2019-09-24T16:54:13Z,2389,2,78.44
90.47,0.98,2019-09-24T16:07:29Z,2388,5,79.92
74.53,0.97,2019-09-24T16:06:34Z,2387,5,58.38
80.73,0.98,2019-09-24T14:38:04Z,2386,5,74.01
93.71,0.98,2018-11-01T12:57:03Z,2385,2,43.73
90.08,0.98,2018-11-01T12:55:56Z,2384,2,49.54
91.33,0.98,2018-11-01T12:54:42Z,2383,2,60.89
71.46,0.95,2018-11-01T12:53:05Z,2382,2,53.59
77.03,0.99,2018-09-21T12:16:30Z,2381,2,60.34
80.87,0.95,2018-09-21T12:13:09Z,2380,5,51.22
