wpm,accuracy,time,game_num,racers_num,points
67.75,0.97,2019-08-01T04:30:32Z,2740,3,112.92
59.5,0.95,2019-08-01T04:28:38Z,2739,5,39.67
80.46,0.98,2019-07-28T07:17:27Z,2738,5,124.72
68.5,0.98,2019-07-28T07:16:04Z,2737,3,97.04
67.97,0.96,2019-07-28T07:14:16Z,2736,3,73.64
70.79,0.96,2019-07-28T07:12:35Z,2735,5,38.93
83.81,0.99,2019-07-28T07:11:47Z,2734,5,74.03
73.08,0.97,2019-07-28T07:10:56Z,2733,5,51.15
70.85,0.97,2019-07-19T03:31:03Z,2732,4,76.76
69.74,0.97,2019-07-19T03:27:32Z,2731,5,62.77
78.76,0.98,2019-07-19T03:17:45Z,2730,5,56.45
79.96,0.99,2019-07-19T03:16:13Z,2729,4,70.63
79.22,0.99,2019-07-19T03:11:29Z,2728,5,87.14
71.23,0.96,2019-07-19T03:10:25Z,2727,5,49.86
78.02,0.97,2019-07-16T02:19:05Z,2726,2,74.12
73.86,0.98,2019-07-16T02:18:05Z,2725,4,41.86
66.51,0.95,2019-07-16T02:17:16Z,2724,5,45.45
72.61,0.96,2019-07-13T06:19:17Z,2723,5,83.5
74.1,0.96,2019-07-13T06:18:01Z,2722,5,49.4
72.78,0.96,2019-07-13T06:17:10Z,2721,4,78.85
93.4,0.99,2019-07-09T11:29:53Z,2720,5,62.26
75.3,0.96,2019-07-09T10:18:25Z,2719,5,43.92
72.05,0.96,2019-07-09T10:14:42Z,2718,5,60.04
78.81,0.98,2019-07-09T10:10:06Z,2717,5,51.23
75.01,0.97,2019-07-09T10:09:22Z,2716,5,83.76
75.02,0.98,2019-07-09T10:08:14Z,2715,5,20.01
75,0.96,2019-07-09T04:39:38Z,2714,5,88.75
69.45,0.96,2019-07-09T04:35:12Z,2713,5,91.44
77.06,0.97,2019-07-06T11:27:30Z,2712,5,92.47
81.27,0.98,2019-07-06T11:25:09Z,2711,5,28.44
81.29,0.95,2019-07-06T11:24:41Z,2710,4,62.32
80.37,0.97,2019-07-06T11:22:59Z,2709,5,88.41
71.14,0.95,2019-07-06T11:21:51Z,2708,3,75.89
83.5,0.98,2019-07-06T11:20:44Z,2707,5,66.8
76.81,0.97,2019-07-06T11:19:44Z,2706,5,124.17
67.68,0.96,2019-07-06T11:15:39Z,2705,5,46.25
77.07,0.98,2019-07-04T11:28:40Z,2704,5,77.07
61.4,0.96,2019-07-04T02:25:47Z,2703,4,161.7
77.31,0.98,2019-07-04T02:22:29Z,2702,5,54.12
72.96,0.96,2019-07-04T01:22:03Z,2701,5,59.59
81.89,0.97,2019-07-04T00:51:53Z,2700,5,50.5
82.43,0.97,2019-07-04T00:48:02Z,2699,5,49.46
67.99,0.97,2019-06-19T00:52:01Z,2698,5,50.99
70.37,0.98,2019-05-28T09:08:02Z,2697,2,139.56
69.79,0.98,2019-05-28T08:57:10Z,2696,2,45.36
80.99,0.98,2019-05-28T08:56:14Z,2695,3,78.29
77.4,0.98,2019-05-28T08:50:08Z,2694,2,74.82
78.17,0.98,2019-05-28T08:44:40Z,2693,5,140.7
79.5,0.98,2019-05-28T04:54:22Z,2692,5,43.73
70.71,0.98,2019-05-28T04:53:42Z,2691,5,74.24
75.53,0.98,2019-05-28T04:49:43Z,2690,5,95.67
73.94,0.97,2019-05-27T10:04:25Z,2689,5,89.97
67.4,0.97,2019-05-27T04:12:21Z,2688,5,35.94
62.97,0.98,2019-05-27T04:10:28Z,2687,5,27.29
80.26,0.98,2019-05-27T04:09:45Z,2686,5,34.78
81.63,0.98,2019-05-27T04:08:29Z,2685,4,99.32
68.66,0.98,2019-05-27T04:06:53Z,2684,5,30.9
75.23,0.98,2019-05-27T04:06:09Z,2683,5,101.57
78.02,0.98,2019-05-27T04:04:48Z,2682,5,44.21
81.28,0.99,2019-05-27T04:04:01Z,2681,5,102.95
77.08,0.98,2019-05-27T04:02:04Z,2680,4,88.64
79.52,0.98,2019-05-27T03:05:40Z,2679,5,88.8
73.9,0.97,2019-05-27T03:03:40Z,2678,5,61.58
74.71,0.99,2019-05-27T01:53:14Z,2677,5,29.88
74.27,0.98,2019-05-27T01:52:13Z,2676,2,66.84
80.99,0.99,2019-05-27T01:50:50Z,2675,5,56.69
78.76,0.98,2019-05-27T01:50:04Z,2674,5,69.57
77.82,0.96,2019-05-27T01:47:19Z,2673,4,81.71
70.5,0.98,2019-05-27T01:42:35Z,2672,4,52.87
77.96,0.98,2019-05-27T01:00:14Z,2671,5,62.37
84.72,0.99,2019-05-27T00:59:22Z,2670,5,79.07
63.58,0.97,2019-05-27T00:58:04Z,2669,4,21.19
70.21,0.98,2019-05-27T00:57:27Z,2668,3,70.21
80.75,0.98,2019-05-27T00:54:13Z,2667,5,67.29
89.64,1,2019-05-27T00:43:29Z,2666,5,55.28
79.84,0.98,2019-05-27T00:27:15Z,2665,5,93.15
79.11,0.99,2019-05-27T00:21:01Z,2664,5,35.6
73.2,0.99,2019-05-27T00:19:54Z,2663,5,56.12
79.46,0.98,2019-05-27T00:12:49Z,2662,5,128.45
73.59,0.97,2019-05-27T00:10:53Z,2661,5,44.15
79.84,0.98,2019-05-27T00:03:41Z,2660,5,43.91
70.58,0.97,2019-05-27T00:01:04Z,2659,2,71.76
78.02,0.97,2019-05-26T23:59:49Z,2658,5,106.62
71.79,0.98,2019-05-26T23:58:24Z,2657,5,46.67
75.91,0.98,2019-05-26T23:57:36Z,2656,5,64.52
66.21,0.98,2019-05-26T23:52:04Z,2655,4,73.93
85.77,0.99,2019-05-26T23:50:38Z,2654,5,72.91
78.6,0.98,2019-05-26T23:49:51Z,2653,4,65.5
68.53,0.98,2019-05-26T10:35:27Z,2652,3,74.24
79.76,0.99,2019-05-26T10:31:41Z,2651,5,62.47
63.76,0.98,2019-05-26T10:30:56Z,2650,4,24.44
62.06,0.97,2019-05-26T10:27:24Z,2649,5,58.95
71.05,0.98,2019-05-26T10:12:36Z,2648,5,61.57
72.19,0.97,2019-05-26T10:11:15Z,2647,5,50.53
79.09,0.99,2019-05-26T10:09:48Z,2646,5,31.64
76.35,0.99,2019-05-26T10:09:17Z,2645,3,61.08
80.93,0.99,2019-05-26T09:36:34Z,2644,5,80.93
82.18,0.98,2019-05-26T09:35:35Z,2643,5,45.2
76.2,0.99,2019-05-26T09:34:42Z,2642,5,80.01
80.05,0.99,2019-05-26T09:33:31Z,2641,5,64.04
81.68,0.98,2019-05-26T09:32:41Z,2640,5,49.01
71.86,0.99,2019-05-26T09:30:57Z,2639,5,47.91
77.48,0.99,2019-05-26T09:27:21Z,2638,2,47.78
75.38,0.98,2019-05-26T09:26:29Z,2637,5,56.54
78.84,0.99,2019-05-26T09:25:37Z,2636,5,52.56
70,0.97,2019-05-26T09:24:49Z,2635,4,64.16
80.9,0.98,2019-05-26T09:23:49Z,2634,5,57.98
71.52,0.99,2019-05-26T09:23:05Z,2633,3,44.1
63.58,0.97,2019-05-26T09:22:14Z,2632,5,40.27
71.24,0.96,2019-05-26T09:21:24Z,2631,3,43.93
67.6,0.96,2019-05-26T09:20:33Z,2630,3,54.08
87.34,0.99,2019-05-26T08:57:58Z,2629,5,74.23
70.07,0.97,2019-05-26T08:12:56Z,2628,5,72.41
78.58,0.97,2019-05-26T08:11:53Z,2627,3,58.94
74.55,0.97,2019-05-26T08:09:51Z,2626,5,72.06
78.4,0.98,2019-05-26T07:52:24Z,2625,4,90.16
73.39,0.98,2019-05-26T07:41:31Z,2624,4,80.72
84.32,0.99,2019-05-26T07:40:17Z,2623,5,66.05
79.27,0.98,2019-05-26T07:23:26Z,2622,3,80.59
77.78,0.98,2019-05-26T07:11:38Z,2621,5,63.52
82.26,0.99,2019-05-26T07:10:45Z,2620,5,49.36
76.29,0.99,2019-05-26T07:10:06Z,2619,5,47.05
83.05,0.99,2019-05-26T07:09:15Z,2618,5,73.36
78.47,0.98,2019-05-26T07:07:53Z,2617,3,105.93
77.2,0.97,2019-05-26T07:04:23Z,2616,5,55.33
75.89,0.98,2019-05-26T06:54:43Z,2615,5,63.24
79.3,0.99,2019-05-26T06:51:50Z,2614,5,52.87
84.91,0.98,2019-05-26T06:51:06Z,2613,4,50.95
77.49,0.98,2019-05-26T06:48:55Z,2612,4,118.82
72.6,0.97,2019-05-26T06:38:01Z,2611,5,60.5
71.85,0.97,2019-05-26T06:30:54Z,2610,2,38.32
97.34,1,2019-05-26T06:11:58Z,2609,5,77.88
76.03,0.98,2019-05-26T05:56:10Z,2608,4,111.51
80.22,0.97,2019-05-26T05:41:55Z,2607,5,50.81
84.94,0.98,2019-05-26T05:41:18Z,2606,5,53.79
75.67,0.99,2019-05-26T04:03:58Z,2605,3,37.84
72.87,0.97,2019-05-26T04:03:15Z,2604,4,47.36
71.71,0.97,2019-05-25T23:37:17Z,2603,4,46.61
70.68,0.97,2019-05-24T11:23:45Z,2602,5,70.68
78.49,0.99,2019-05-24T11:13:19Z,2601,5,37.94
82.54,0.98,2019-05-23T07:40:07Z,2600,5,46.77
72.27,0.97,2019-05-23T07:39:12Z,2599,4,86.72
80.16,0.98,2019-05-23T07:37:10Z,2598,4,69.47
74.94,0.97,2019-05-22T13:08:11Z,2597,5,51.21
84.25,0.98,2019-05-22T12:19:36Z,2596,4,87.05
74.88,0.98,2019-05-22T12:18:34Z,2595,4,69.89
83.31,0.98,2019-05-22T12:17:29Z,2594,5,43.05
69.72,0.98,2019-05-22T12:16:52Z,2593,5,53.45
79.36,0.97,2019-05-22T12:16:01Z,2592,5,62.16
83.04,0.99,2019-05-22T11:49:12Z,2591,3,76.12
74.66,0.97,2019-05-22T11:26:19Z,2590,3,58.49
93.85,0.99,2019-05-22T11:12:40Z,2589,5,100.1
