wpm,accuracy,time,game_num,racers_num,points
95.05,0.98,2021-03-12T03:02:35Z,2928,3,85.55
108.12,0.98,2021-03-12T03:01:39Z,2927,5,117.13
98.41,0.99,2021-03-12T03:00:45Z,2926,5,36.08
94.64,0.97,2021-03-12T03:00:15Z,2925,4,53.63
116.45,0.99,2021-03-12T02:59:34Z,2924,5,108.68
111.42,0.99,2021-03-12T02:58:41Z,2923,5,87.28
120.66,0.99,2021-03-12T02:57:56Z,2922,4,140.77
109.42,0.98,2020-10-09T16:32:26Z,2921,1,134.95
112.03,0.99,2020-10-09T16:31:14Z,2920,1,65.35
111.52,0.99,2020-10-05T17:47:55Z,2919,4,107.8
88.88,0.97,2020-10-05T17:47:10Z,2918,5,71.1
108.42,0.99,2020-10-04T23:13:12Z,2917,4,108.42
110.21,0.99,2020-10-04T23:12:04Z,2916,5,78.98
121.89,0.99,2020-10-04T23:11:21Z,2915,5,60.94
94.72,0.99,2020-10-04T23:10:50Z,2914,4,93.14
101.12,0.98,2020-10-04T23:09:45Z,2913,5,62.35
100.09,0.99,2020-10-04T23:09:11Z,2912,4,81.74
102.11,0.99,2020-10-04T23:08:20Z,2911,5,79.99
105.65,0.98,2020-09-21T19:28:58Z,2910,5,121.5
103.62,0.97,2020-09-21T19:28:00Z,2909,4,122.62
105.46,0.98,2020-09-21T19:26:53Z,2908,5,174.01
129.04,0.99,2020-09-21T19:25:35Z,2907,5,90.33
91.52,0.96,2020-09-21T19:24:37Z,2906,4,86.94
108.94,0.99,2020-06-26T00:16:03Z,2905,4,137.99
67.17,0.97,2020-05-01T16:11:26Z,2904,4,113.07
120.21,0.99,2020-04-29T18:06:41Z,2903,2,128.22
109.47,0.98,2020-04-29T18:05:49Z,2902,5,60.21
95.17,0.98,2020-04-29T18:05:13Z,2901,5,72.96
105.33,0.98,2020-04-29T18:04:16Z,2900,5,87.77
120.85,0.99,2020-04-29T17:59:44Z,2899,5,94.66
115.62,1,2020-02-21T04:13:20Z,2898,4,84.79
71.83,0.96,2019-12-06T22:30:22Z,2897,2,59.86
108.85,0.98,2019-12-06T22:29:19Z,2896,5,79.82
107.26,0.99,2019-12-06T22:28:34Z,2895,5,110.84
110.07,0.99,2019-12-06T22:27:25Z,2894,4,155.93
119.85,0.98,2019-12-06T22:26:12Z,2893,5,101.87
125.44,1,2019-12-06T22:25:30Z,2892,5,204.89
111.87,0.99,2019-12-06T22:24:25Z,2891,3,145.43
104.16,0.98,2019-09-29T22:37:52Z,2890,5,121.52
103.82,0.98,2019-09-29T22:36:48Z,2889,5,79.6
123.54,0.99,2019-09-29T22:35:59Z,2888,3,61.77
99.38,0.98,2019-09-29T22:35:19Z,2887,5,53
120.59,0.99,2019-09-29T22:34:39Z,2886,5,120.59
83.68,0.97,2019-09-29T04:33:38Z,2885,4,48.81
113.04,0.99,2019-09-29T04:32:29Z,2884,5,69.71
95.02,0.98,2019-09-29T04:31:47Z,2883,4,66.51
97.41,0.99,2019-09-29T04:31:05Z,2882,5,47.08
109.68,0.99,2019-09-29T04:30:29Z,2881,3,140.76
101.58,0.98,2019-09-29T04:29:04Z,2880,5,120.2
97.91,0.98,2019-09-29T04:28:09Z,2879,5,66.91
97.26,0.98,2019-09-29T04:27:27Z,2878,5,108.61
122.24,0.99,2019-09-29T04:25:59Z,2877,5,95.75
101.53,0.98,2019-09-01T01:48:06Z,2876,2,99.84
108.8,0.98,2019-09-01T01:47:16Z,2875,4,90.67
117.51,0.99,2019-09-01T01:46:23Z,2874,5,109.67
107.56,0.99,2019-08-23T15:40:05Z,2873,4,204.37
