wpm,accuracy,time,game_num,racers_num,points
46.43,0.98,2020-03-29T13:12:50Z,2627,5,19.34
48.93,0.98,2020-03-29T13:11:34Z,2626,5,34.25
50.28,0.98,2020-03-29T13:09:11Z,2625,3,16.76
40.54,0.96,2020-03-29T13:07:39Z,2624,5,12.84
38.95,0.98,2020-03-29T13:06:32Z,2623,5,43.49
40.98,0.98,2019-06-01T02:56:21Z,2622,5,15.71
47.6,0.97,2019-06-01T02:54:39Z,2621,5,20.63
47.46,0.98,2019-06-01T02:53:18Z,2620,4,35.59
49.74,0.98,2019-03-21T12:06:58Z,2619,5,28.19
31.12,0.95,2019-03-21T12:05:49Z,2618,5,23.86
30.12,0.94,2019-03-21T12:03:55Z,2617,4,23.09
45.77,0.97,2019-03-20T19:00:09Z,2616,5,33.56
34.76,0.97,2018-09-18T03:14:39Z,2615,5,19.12
46.45,0.99,2018-09-17T12:34:48Z,2614,5,28.64
57.25,0.99,2018-09-17T12:33:04Z,2613,5,16.22
40.57,0.97,2018-09-17T12:32:14Z,2612,5,25.02
47.59,0.98,2018-09-17T12:30:37Z,2611,3,29.35
54.23,0.99,2018-09-17T12:29:09Z,2610,5,50.61
24.84,0.95,2018-09-17T12:27:15Z,2609,5,6.62
43.85,0.97,2018-09-09T03:20:16Z,2608,4,46.05
41.65,0.95,2018-09-05T11:19:08Z,2607,5,40.26
42.72,0.95,2018-09-05T11:17:15Z,2606,4,29.9
39.54,0.98,2018-09-05T11:15:21Z,2605,5,19.11
46.72,0.98,2018-09-05T11:14:05Z,2604,5,48.28
34.51,0.96,2018-09-03T06:42:28Z,2603,5,10.35
42.48,0.97,2018-09-03T06:41:33Z,2602,4,33.28
43.1,0.96,2018-09-03T06:39:53Z,2601,4,42.38
47.82,0.97,2018-09-03T02:57:52Z,2600,4,57.38
47.88,0.97,2018-09-03T02:55:41Z,2599,5,16.76
37.45,0.96,2018-09-03T02:54:33Z,2598,5,28.71
49.48,0.97,2018-09-02T16:28:09Z,2597,5,40.41
54.12,0.98,2018-09-02T16:26:41Z,2596,5,29.77
55.17,1,2018-09-02T16:25:05Z,2595,5,34.94
44.53,0.96,2018-09-02T16:21:41Z,2594,5,33.4
44.5,0.96,2018-09-02T15:58:17Z,2593,5,29.66
40.89,0.97,2018-09-02T15:56:11Z,2592,5,27.94
51.84,0.97,2018-09-02T15:21:01Z,2591,3,20.74
39.35,0.96,2018-09-02T15:20:01Z,2590,5,32.14
51.84,0.98,2018-09-02T09:11:19Z,2589,4,34.56
54.17,0.99,2018-09-02T09:09:50Z,2588,4,48.76
56.84,1,2018-09-02T09:08:15Z,2587,3,46.42
46.38,0.98,2018-09-02T09:06:46Z,2586,5,37.88
45.15,0.96,2018-09-02T09:05:08Z,2585,3,57.19
48.38,0.97,2018-09-02T09:03:05Z,2584,3,38.7
49.37,0.98,2018-09-02T08:56:40Z,2583,4,38.68
45.31,0.96,2018-09-02T08:55:03Z,2582,5,21.15
44.52,0.97,2018-09-02T08:53:20Z,2581,4,23
40.59,0.95,2018-09-01T06:22:59Z,2580,5,10.82
45.57,0.97,2018-09-01T06:21:53Z,2579,5,52.41
44.39,0.97,2018-08-31T15:56:14Z,2578,5,28.11
51.63,0.97,2018-08-31T15:54:47Z,2577,5,40.44
54.65,0.97,2018-08-31T15:53:20Z,2576,5,18.22
49.18,0.95,2018-08-31T15:51:01Z,2575,5,7.38
57.95,0.99,2018-08-31T15:49:52Z,2574,5,29.94
44.45,0.95,2018-08-31T12:15:22Z,2573,5,29.63
44.7,0.96,2018-08-31T12:13:49Z,2572,5,27.57
42.55,0.96,2018-08-31T12:12:06Z,2571,5,31.91
32.51,0.96,2018-08-31T12:10:39Z,2570,4,12.46
45.37,0.97,2018-08-31T12:04:24Z,2569,5,32.51
46.81,0.97,2018-08-31T12:02:56Z,2568,5,24.19
45.88,0.95,2018-08-31T12:01:31Z,2567,4,35.17
54.64,0.99,2018-08-31T11:59:21Z,2566,4,36.43
40.37,0.96,2018-08-31T02:52:28Z,2565,5,32.3
54.86,0.99,2018-08-30T12:45:04Z,2564,5,29.26
46.13,0.99,2018-08-30T12:43:57Z,2563,5,46.9
43.82,0.93,2018-08-30T12:42:06Z,2562,5,13.15
41.46,0.97,2018-08-30T12:41:03Z,2561,5,33.86
50.41,0.98,2018-08-30T12:39:13Z,2560,5,42.85
53.06,0.98,2018-08-30T12:37:33Z,2559,5,26.53
43.94,0.98,2018-08-30T12:36:20Z,2558,5,35.88
42.61,0.96,2018-08-29T13:36:45Z,2557,5,26.99
51.07,0.98,2018-08-29T13:35:01Z,2556,5,31.49
50.77,0.98,2018-08-29T13:32:24Z,2555,5,36.39
44.39,0.99,2018-08-29T13:31:04Z,2554,4,19.24
47.73,0.97,2018-08-29T13:29:36Z,2553,5,25.46
53.04,0.99,2018-08-29T13:27:16Z,2552,5,38.01
41.05,0.97,2018-08-29T04:02:21Z,2551,5,30.79
38.55,0.97,2018-08-29T04:00:41Z,2550,5,12.85
38.34,0.96,2018-08-29T03:59:23Z,2549,5,19.17
37.88,0.95,2018-08-29T03:36:01Z,2548,4,19.57
44.92,0.97,2018-08-29T03:34:30Z,2547,5,23.21
34.61,0.94,2018-08-29T03:33:06Z,2546,5,23.07
47.37,0.97,2018-08-29T03:30:32Z,2545,4,47.37
48.37,0.98,2018-08-29T03:28:33Z,2544,3,44.34
47.31,0.98,2018-08-29T03:26:50Z,2543,5,31.54
50.43,0.99,2018-08-29T03:24:25Z,2542,5,42.86
45.55,0.98,2018-08-29T03:22:41Z,2541,3,37.95
35.94,0.95,2018-08-29T03:10:21Z,2540,5,20.37
54.22,0.99,2018-08-29T03:08:25Z,2539,5,19.88
38.56,0.98,2018-08-29T03:07:13Z,2538,5,22.49
48.75,0.98,2018-08-29T03:05:07Z,2537,5,34.94
51.18,0.97,2018-08-29T03:03:29Z,2536,5,34.12
46.42,0.97,2018-08-29T03:02:08Z,2535,4,25.53
44.56,0.98,2018-08-29T03:00:10Z,2534,5,28.97
47.5,0.95,2018-08-28T12:48:27Z,2533,5,33.25
40.48,0.95,2018-08-28T12:35:40Z,2532,4,33.73
47.76,0.98,2018-08-28T12:33:55Z,2531,5,44.57
42.81,0.97,2018-08-28T12:32:12Z,2530,5,24.97
48.43,0.97,2018-08-28T12:29:40Z,2529,5,39.55
47.05,0.99,2018-08-28T12:28:12Z,2528,5,29.01
41.22,0.96,2018-08-28T12:24:15Z,2527,5,24.05
42.6,0.96,2018-08-28T12:22:50Z,2526,5,16.33
45.58,0.97,2018-08-28T09:25:51Z,2525,5,57.73
44.06,0.97,2018-08-28T09:23:33Z,2524,5,36.72
48.81,0.96,2018-08-28T09:20:01Z,2523,5,37.42
47.61,0.96,2018-08-28T09:18:05Z,2522,3,27.78
45.41,0.97,2018-08-28T09:16:49Z,2521,5,37.85
43.4,0.96,2018-08-28T09:14:53Z,2520,5,63.65
