wpm,accuracy,time,game_num,racers_num,points
60.56,0.96,2021-11-22T06:15:11Z,2857,5,42.39
72.75,0.97,2021-11-22T02:47:28Z,2856,4,77.6
66.5,0.95,2021-11-22T02:46:21Z,2855,5,32.14
71.36,0.97,2021-11-22T02:45:39Z,2854,5,70.17
70.54,0.97,2021-11-22T02:44:32Z,2853,5,61.13
65.89,0.96,2021-11-22T02:43:34Z,2852,5,68.08
67.83,0.96,2021-11-22T02:42:22Z,2851,5,91.57
58,0.96,2021-11-22T01:34:07Z,2850,5,62.84
67.37,0.96,2021-11-22T01:21:51Z,2849,4,59.51
85.1,0.97,2021-11-21T23:41:35Z,2848,5,39.71
69.53,0.97,2021-11-21T23:40:55Z,2847,5,49.83
68.35,0.97,2021-11-21T23:39:57Z,2846,5,30.76
69.77,0.96,2021-11-21T23:39:09Z,2845,5,31.4
64.01,0.95,2021-11-21T23:38:25Z,2844,5,41.6
88.72,0.99,2021-11-21T23:37:35Z,2843,5,59.15
69.74,0.96,2021-11-21T23:36:54Z,2842,5,41.84
71.73,0.96,2021-11-21T23:24:13Z,2841,4,41.84
61.08,0.96,2021-11-21T23:23:32Z,2840,4,30.54
70.47,0.96,2021-11-21T23:22:44Z,2839,5,98.65
70.12,0.96,2021-11-21T23:21:13Z,2838,5,35.06
74.16,0.97,2021-11-21T23:20:03Z,2837,5,74.16
68.85,0.97,2021-11-21T23:18:51Z,2836,5,69.99
62.47,0.95,2021-11-21T20:27:38Z,2835,5,51.02
66.6,0.96,2021-11-21T20:26:38Z,2834,5,63.27
61.38,0.97,2021-11-21T20:25:28Z,2833,5,72.63
69,0.97,2021-11-21T19:54:36Z,2832,5,47.15
70.77,0.94,2021-11-21T18:47:11Z,2831,5,43.64
74.6,0.96,2021-11-21T18:45:58Z,2830,5,41.03
62.2,0.95,2021-11-21T02:14:41Z,2829,4,60.12
64.82,0.96,2021-11-21T02:13:29Z,2828,5,47.53
72.31,0.98,2021-11-21T02:12:31Z,2827,5,30.13
56.04,0.94,2021-11-21T02:11:23Z,2826,4,33.63
64.27,0.96,2021-11-21T02:10:19Z,2825,5,62.12
65.84,0.96,2021-11-21T02:09:04Z,2824,5,31.82
64.51,0.95,2021-11-21T02:08:18Z,2823,5,38.71
69.73,0.96,2021-11-21T02:07:19Z,2822,5,74.37
58.53,0.94,2021-11-21T02:05:38Z,2821,3,37.07
85.08,0.98,2021-11-21T01:54:22Z,2820,5,53.88
63.94,0.95,2021-11-21T01:51:28Z,2819,5,44.76
64.41,0.95,2021-11-21T01:50:42Z,2818,5,26.84
66.32,0.96,2021-11-21T01:49:56Z,2817,5,89.54
71.89,0.96,2021-11-21T01:48:21Z,2816,5,79.08
62.57,0.95,2021-11-21T01:47:05Z,2815,5,28.16
61.28,0.95,2021-11-21T01:46:17Z,2814,5,45.96
72.44,0.95,2021-11-21T01:45:16Z,2813,5,43.46
74.27,0.97,2021-11-21T01:44:32Z,2812,5,44.56
53.85,0.94,2021-11-21T01:43:49Z,2811,4,52.06
60.9,0.95,2021-11-21T01:42:08Z,2810,5,31.46
57.54,0.93,2021-11-21T01:41:01Z,2809,5,22.06
66.4,0.96,2021-11-20T19:48:19Z,2808,5,107.35
55.16,0.95,2021-11-20T19:44:48Z,2807,5,33.1
72.22,0.97,2021-11-20T19:43:40Z,2806,5,31.29
70.83,0.96,2021-11-20T19:43:05Z,2805,5,44.86
64.49,0.94,2021-11-20T19:40:50Z,2804,5,19.35
70.89,0.97,2021-11-20T06:23:24Z,2803,5,46.08
66.02,0.96,2021-11-20T06:22:34Z,2802,5,51.72
60.71,0.94,2021-11-20T06:21:41Z,2801,5,37.44
69.74,0.96,2021-11-20T06:20:44Z,2800,5,86.02
63.86,0.95,2021-11-20T05:23:00Z,2799,5,36.19
72.09,0.96,2021-11-20T05:22:07Z,2798,4,130.96
69.79,0.96,2021-11-20T05:20:04Z,2797,5,41.87
73.89,0.96,2021-11-20T05:18:55Z,2796,5,39.41
67,0.96,2021-11-19T18:33:24Z,2795,4,45.78
59.63,0.94,2021-11-19T02:37:36Z,2794,5,70.56
66.63,0.95,2021-11-19T02:36:06Z,2793,5,69.96
69.08,0.94,2021-11-19T02:19:42Z,2792,5,33.39
67.91,0.95,2021-11-19T01:32:27Z,2791,4,70.17
66.13,0.95,2021-11-19T00:54:20Z,2790,4,87.07
60.74,0.95,2021-11-19T00:52:49Z,2789,5,31.38
63.58,0.94,2021-11-19T00:20:26Z,2788,5,45.56
63.52,0.95,2021-11-19T00:18:59Z,2787,4,81.51
59.86,0.95,2021-11-19T00:07:47Z,2786,5,34.92
81.33,0.97,2021-11-19T00:06:49Z,2785,4,46.09
73.27,0.96,2021-11-18T21:00:44Z,2784,4,61.05
61.97,0.93,2021-11-18T20:59:41Z,2783,5,41.31
69.53,0.96,2021-11-18T19:25:37Z,2782,5,57.94
75.9,0.98,2021-11-18T19:24:37Z,2781,5,70.84
67.7,0.95,2021-11-18T19:23:39Z,2780,5,37.23
77.98,0.98,2021-11-18T19:22:54Z,2779,5,45.49
72.53,0.95,2021-11-18T19:21:52Z,2778,5,58.03
58.6,0.95,2021-11-18T19:20:40Z,2777,5,84
67.42,0.97,2021-11-18T04:49:13Z,2776,5,28.09
73.52,0.97,2021-11-18T02:50:39Z,2775,5,56.36
66.26,0.95,2021-11-18T02:48:26Z,2774,4,68.46
59.81,0.94,2021-11-18T01:48:50Z,2773,5,47.85
65.7,0.96,2021-11-18T01:46:51Z,2772,5,123.73
68.77,0.97,2021-11-18T01:44:55Z,2771,5,63.04
67.4,0.95,2021-11-18T01:43:52Z,2770,5,34.82
66.78,0.96,2021-11-18T00:22:01Z,2769,4,66.78
68.25,0.95,2021-11-17T20:08:08Z,2768,5,32.99
74.1,0.98,2021-11-17T19:08:17Z,2767,5,41.99
