wpm,accuracy,time,game_num,racers_num,points
65.17,0.93,2019-09-19T16:50:49Z,2978,5,40.19
65.8,0.96,2019-09-19T16:49:05Z,2977,5,59.22
62.4,0.96,2019-09-19T16:47:43Z,2976,5,44.72
57.99,0.95,2019-09-19T16:45:23Z,2975,5,34.8
64.55,0.95,2019-09-19T16:44:22Z,2974,5,59.17
57.37,0.94,2019-09-19T16:41:32Z,2973,3,43.98
76.95,0.99,2019-09-19T16:39:54Z,2972,5,42.32
60,0.96,2019-09-19T16:38:55Z,2971,5,81
76.64,0.97,2019-09-19T16:34:06Z,2970,4,83.03
69.87,0.97,2019-07-20T17:42:26Z,2969,5,66.38
75.94,0.98,2019-07-20T17:41:16Z,2968,2,54.43
69.49,0.97,2019-07-20T17:40:16Z,2967,5,52.11
63.24,0.97,2019-07-20T17:37:12Z,2966,5,55.86
57.81,0.95,2019-07-20T17:26:23Z,2965,5,49.14
63.52,0.96,2019-07-20T17:25:13Z,2964,5,49.76
64.57,0.95,2019-07-20T17:23:29Z,2963,4,69.95
69.31,0.97,2019-07-20T17:18:33Z,2962,5,82.02
76.15,0.98,2019-07-20T16:47:34Z,2961,4,39.34
66.67,0.95,2019-07-20T16:46:54Z,2960,5,53.34
64.69,0.96,2019-07-20T16:45:30Z,2959,5,73.32
78.98,0.99,2019-07-20T16:44:00Z,2958,5,63.18
62.01,0.95,2019-07-20T16:43:10Z,2957,5,35.14
72.8,0.97,2019-07-20T16:41:04Z,2956,5,74.02
58.25,0.94,2019-07-20T16:39:54Z,2955,5,27.18
67.41,0.97,2019-07-20T16:38:35Z,2954,5,39.32
54.43,0.95,2019-07-20T16:37:47Z,2953,5,47.17
58.99,0.96,2019-07-13T17:46:59Z,2952,5,57.02
63.15,0.95,2019-07-13T17:42:25Z,2951,5,66.31
71.37,0.98,2019-07-13T17:40:53Z,2950,4,44.01
68,0.97,2019-07-13T17:34:30Z,2949,5,74.8
65.98,0.96,2019-07-13T17:23:15Z,2948,5,69.28
71.42,0.97,2019-07-13T17:20:40Z,2947,4,60.71
64.79,0.95,2019-07-13T17:16:40Z,2946,5,41.03
79.16,0.98,2019-07-13T17:15:35Z,2945,5,40.9
74.53,0.97,2019-07-13T17:12:38Z,2944,5,81.98
68.52,0.97,2019-07-13T17:04:53Z,2943,5,59.39
73.79,0.97,2019-07-13T17:01:50Z,2942,2,51.65
59.1,0.95,2019-07-13T16:51:41Z,2941,5,67.96
59.93,0.95,2019-07-13T16:49:17Z,2940,5,98.88
68.38,0.96,2019-07-13T16:46:54Z,2939,4,96.87
63.54,0.95,2019-07-13T16:43:51Z,2938,4,80.48
65.13,0.96,2019-07-12T18:19:45Z,2937,4,58.62
62.28,0.96,2019-07-12T18:18:05Z,2936,5,103.8
66.65,0.97,2019-07-12T18:15:58Z,2935,5,35.55
72.23,0.98,2019-07-12T18:15:00Z,2934,5,73.43
61.5,0.94,2019-07-12T18:13:36Z,2933,5,36.9
